timestamps,TP9,AF7,AF8,TP10,Right AUX
1706145455.636,445.312,33.691,29.297,283.203,752.930
1706145455.640,78.125,33.691,35.156,13.184,289.551
1706145455.644,-400.879,26.855,32.227,-237.305,-555.664
1706145455.648,-69.336,29.785,24.902,-6.348,-353.516
1706145455.652,413.086,33.691,25.391,276.367,585.449
1706145455.656,208.984,30.762,32.227,92.773,491.211
1706145455.660,-352.051,26.855,29.785,-219.727,-373.535
1706145455.663,-204.102,25.391,20.996,-90.820,-509.277
1706145455.667,303.711,26.855,20.996,235.840,326.172
1706145455.671,340.820,31.250,26.855,189.941,688.477
1706145455.675,-194.824,31.250,31.738,-142.090,-166.504
1706145455.679,-321.777,24.414,22.949,-180.664,-662.109
1706145455.681,166.992,27.832,20.508,140.625,-12.695
1706145455.685,430.176,35.156,25.391,259.277,778.809
1706145455.689,-24.902,34.180,27.344,-50.293,158.203
1706145455.693,-392.578,26.855,28.809,-227.539,-541.992
1706145455.697,29.297,28.320,24.414,52.734,-176.270
1706145455.701,455.566,35.645,26.855,279.785,701.660
1706145455.705,109.375,35.156,34.180,30.762,329.590
1706145455.708,-398.438,28.320,34.668,-238.281,-580.078
1706145455.712,-98.145,29.297,32.227,-24.902,-472.656
1706145455.716,393.066,36.133,30.762,274.414,471.191
1706145455.720,251.953,37.109,32.715,110.840,516.602
1706145455.724,-308.594,31.738,30.762,-206.543,-349.609
1706145455.726,-239.258,28.320,24.902,-115.723,-570.312
1706145455.730,271.484,31.738,25.879,212.891,270.508
1706145455.734,369.141,36.133,30.273,211.914,740.234
1706145455.738,-155.762,31.738,31.250,-125.488,-99.609
1706145455.742,-344.727,28.320,26.367,-204.102,-656.738
1706145455.746,123.047,34.180,23.438,115.234,-78.613
1706145455.750,434.082,36.133,23.438,261.719,786.621
1706145455.753,15.625,33.203,28.809,-37.109,152.344
1706145455.757,-397.949,29.785,28.320,-238.770,-691.895
1706145455.761,-11.719,32.715,22.949,29.785,-274.902
1706145455.765,441.895,36.621,22.949,280.762,708.984
1706145455.769,154.297,36.133,29.297,46.875,449.219
1706145455.771,-387.207,29.785,31.738,-237.305,-454.102
1706145455.775,-142.090,27.344,27.832,-55.664,-488.770
1706145455.779,362.305,31.738,26.855,259.277,441.895
1706145455.783,263.672,33.691,30.762,138.184,615.234
1706145455.787,-299.805,28.809,30.762,-196.289,-308.105
1706145455.791,-280.762,25.391,24.902,-144.043,-656.250
1706145455.795,219.727,29.785,22.949,183.105,134.766
1706145455.798,381.836,34.180,25.391,214.844,729.492
1706145455.802,-104.004,30.273,29.297,-108.887,-61.035
1706145455.806,-369.629,23.438,27.832,-214.844,-661.621
