timestamps,TP9,AF7,AF8,TP10,Right AUX
1706145148.361,-762.207,18.555,26.367,-395.996,-579.590
1706145148.365,643.066,18.555,7.812,454.590,152.832
1706145148.369,-946.777,32.715,8.301,551.270,695.801
1706145148.373,-293.457,36.133,28.320,-297.363,-28.320
1706145148.377,-1000.000,22.461,21.973,-593.750,-556.152
1706145148.381,217.285,21.484,3.418,225.098,-58.105
1706145148.385,-786.133,32.715,4.883,709.473,727.051
1706145148.388,129.395,37.598,24.414,-59.082,229.492
1706145148.392,-1000.000,28.320,27.832,-677.246,-527.832
1706145148.396,-157.227,20.020,-0.977,-3.418,-300.293
1706145148.400,-823.242,26.367,-9.766,719.727,606.445
1706145148.404,412.598,40.527,22.461,163.086,455.078
1706145148.406,-1000.000,38.086,33.691,-639.648,-372.070
1706145148.410,-486.328,20.996,5.859,-233.887,-413.574
1706145148.414,954.590,24.902,-2.930,621.582,439.941
1706145148.418,787.598,43.945,18.066,410.645,611.816
1706145148.422,-705.078,42.969,32.715,-471.191,-292.969
1706145148.426,-847.656,24.902,17.090,-452.637,-607.422
1706145148.430,525.879,25.879,4.883,416.992,127.930
1706145148.433,-884.277,39.062,15.137,618.652,762.207
1706145148.437,-159.668,42.480,31.738,-240.234,60.547
1706145148.441,-1000.000,29.785,25.879,-636.719,-625.000
1706145148.445,117.676,22.949,10.742,166.016,-147.949
1706145148.449,-781.250,35.156,11.230,735.352,768.555
1706145148.451,201.660,44.434,26.855,-3.418,281.738
1706145148.455,-1000.000,34.180,29.785,-697.754,-624.512
1706145148.459,-253.418,23.438,10.254,-70.312,-360.352
1706145148.463,-864.258,26.367,3.906,711.914,601.562
1706145148.467,491.699,38.574,19.531,222.168,503.418
1706145148.471,-1000.000,37.598,28.320,-624.512,-363.770
1706145148.475,-603.516,21.484,13.672,-302.246,-523.438
1706145148.478,833.984,24.414,1.953,577.637,329.102
1706145148.482,892.090,41.016,13.672,451.660,643.555
1706145148.486,-568.359,39.062,29.297,-448.730,-206.543
1706145148.490,-922.363,24.414,20.508,-524.414,-601.562
1706145148.494,412.109,26.855,7.324,354.004,61.523
1706145148.496,-837.402,37.109,8.789,650.879,787.598
1706145148.500,-45.410,42.969,21.973,-181.641,132.324
1706145148.504,-1000.000,38.086,19.531,-647.461,-592.285
1706145148.508,23.438,26.367,7.324,110.352,-173.828
1706145148.512,-787.109,25.391,11.719,729.004,751.953
1706145148.516,265.137,33.691,32.715,43.945,345.703
1706145148.520,-1000.000,28.320,36.621,-691.406,-559.082
1706145148.523,-349.609,16.602,18.066,-130.859,-422.852
1706145148.527,-926.758,19.043,10.742,678.711,563.477
1706145148.531,579.102,31.738,29.297,270.508,562.012
1706145148.535,-938.477,31.738,44.922,-587.891,-356.445
1706145148.539,-688.477,17.578,22.949,-363.281,-608.887
1706145148.543,735.352,20.508,5.371,515.625,229.492
1706145148.547,977.051,35.156,17.090,515.137,752.930
1706145148.551,-430.664,36.621,34.668,-367.188,-80.566
1706145148.555,-992.676,23.438,25.391,-558.105,-629.395
1706145148.559,290.527,21.484,11.719,301.270,3.418
1706145148.563,-806.152,33.203,17.090,690.918,819.824
1706145148.567,53.223,39.062,33.691,-133.301,210.449
1706145148.570,-1000.000,31.738,37.598,-694.824,-557.129
1706145148.574,-93.262,21.484,18.066,36.621,-200.195
1706145148.578,-804.199,24.414,12.207,736.816,732.422
1706145148.582,338.379,35.645,32.227,110.840,398.438
1706145148.586,-1000.000,31.250,40.039,-673.828,-512.695
