LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1706145445.045578,559658.000,26170,2,AK,1,100,25374
1706145445.045578,559658.000,26170,2,AK,1,100,RD
1706145447.604600,562217.000,27006,2,AK,1,100,26171
1706145450.163622,564776.000,27006,2,AK,1,100,RD
1706145450.164622,564777.000,27008,2,AK,1,100,26171
1706145450.165622,564778.000,27008,2,AK,1,100,RD
1706145452.731144,567343.500,27839,2,AK,1,100,27009
1706145455.296666,569909.000,27839,2,AK,1,100,RD
1706145455.297666,569910.000,27841,2,AK,1,100,27009
1706145455.298666,569911.000,27841,2,AK,1,100,RD
1706145457.863188,572475.500,28674,2,AK,1,100,27842
1706145460.427710,575040.000,28674,2,AK,1,100,RD
1706145460.428710,575041.000,28676,2,AK,1,100,27842
1706145460.429710,575042.000,28676,2,AK,1,100,RD
1706145460.453210,575065.500,28679,2,AK,1,100,28677
1706145460.476710,575089.000,28679,2,AK,1,100,RD
1706145463.010732,577623.000,29510,2,AK,1,100,28677
1706145465.544754,580157.000,29510,2,AK,1,100,RD
1706145465.574254,580186.500,29513,2,AK,1,100,29511
1706145465.603754,580216.000,29513,2,AK,1,100,RD
1706145468.127276,582739.500,30347,2,AK,1,100,29511
1706145470.650797,585263.000,30347,2,AK,1,100,RD
1706145470.677298,585289.500,30350,2,AK,1,100,30348
1706145470.703798,585316.000,30350,2,AK,1,100,RD
1706145473.231819,587844.000,31187,2,AK,1,100,30348
1706145475.759841,590372.000,31187,2,AK,1,100,RD
1706145475.764341,590376.500,31190,2,AK,1,100,31188
1706145475.768841,590381.000,31190,2,AK,1,100,RD
1706145478.332363,592944.500,32037,2,AK,1,100,31188
1706145480.895885,595508.000,32037,2,AK,1,100,RD
1706145480.914385,595526.500,32040,2,AK,1,100,32038
1706145480.932885,595545.000,32040,2,AK,1,100,RD
1706145483.469907,598082.000,32873,2,AK,1,100,32038
1706145486.006929,600619.000,32873,2,AK,1,100,RD
1706145488.566451,603178.500,33709,2,AK,1,100,32874
1706145491.125973,605738.000,33709,2,AK,1,100,RD
1706145491.127473,605739.500,33711,2,AK,1,100,32874
1706145491.128973,605741.000,33711,2,AK,1,100,RD
1706145491.162473,605774.500,33714,2,AK,1,100,33712
1706145491.195973,605808.000,33714,2,AK,1,100,RD
1706145493.727495,608339.500,34546,2,AK,1,100,33712
1706145496.259017,610871.000,34546,2,AK,1,100,RD
1706145498.813538,613425.500,35365,2,AK,1,100,34547
1706145501.368060,615980.000,35365,2,AK,1,100,RD
1706145501.370060,615982.000,35367,2,AK,1,100,34547
1706145501.372060,615984.000,35367,2,AK,1,100,RD
1706145503.929582,618541.500,36201,2,AK,1,100,35368
1706145506.487104,621099.000,36201,2,AK,1,100,RD
1706145506.488104,621100.000,36203,2,AK,1,100,35368
1706145506.489104,621101.000,36203,2,AK,1,100,RD
1706145506.502604,621114.500,36206,2,AK,1,100,36204
1706145506.516104,621128.000,36206,2,AK,1,100,RD
1706145509.068126,623680.000,37039,2,AK,1,100,36204
1706145511.620148,626232.000,37039,2,AK,1,100,RD
1706145511.626648,626238.500,37042,2,AK,1,100,37040
1706145511.633148,626245.000,37042,2,AK,1,100,RD
1706145514.192670,628804.500,37876,2,AK,1,100,37040
1706145516.752192,631364.000,37876,2,AK,1,100,RD
1706145516.759692,631371.500,37879,2,AK,1,100,37877
1706145516.767192,631379.000,37879,2,AK,1,100,RD
1706145519.321214,633933.000,38716,2,AK,1,100,37877
1706145521.875236,636487.000,38716,2,AK,1,100,RD
1706145521.887736,636499.500,38719,2,AK,1,100,38717
1706145521.900236,636512.000,38719,2,AK,1,100,RD
1706145524.448758,639060.500,39551,2,AK,1,100,38717
1706145526.997279,641609.000,39551,2,AK,1,100,RD
1706145527.008280,641620.000,39554,2,AK,1,100,39552
1706145527.019280,641631.000,39554,2,AK,1,100,RD
1706145529.562301,644174.000,40371,2,AK,1,100,39552
1706145532.105323,646717.000,40371,2,AK,1,100,RD
1706145532.141324,646753.000,40374,2,AK,1,100,40372
1706145532.177324,646789.000,40374,2,AK,1,100,RD
1706145534.707845,649319.500,41207,2,AK,1,100,40372
1706145537.238367,651850.000,41207,2,AK,1,100,RD
1706145537.251367,651863.000,41210,2,AK,1,100,41208
1706145537.264367,651876.000,41210,2,AK,1,100,RD
1706145539.817389,654429.000,42043,2,AK,1,100,41208
1706145542.370411,656982.000,42043,2,AK,1,100,RD
1706145542.376911,656988.500,42046,2,AK,1,100,42044
1706145542.383411,656995.000,42046,2,AK,1,100,RD
1706145544.941933,659553.500,42881,2,AK,1,100,42044
1706145547.500455,662112.000,42881,2,AK,1,100,RD
1706145547.505455,662117.000,42884,2,AK,1,100,42882
1706145547.510455,662122.000,42884,2,AK,1,100,RD
1706145550.068977,664680.500,43716,2,AK,1,100,42882
1706145552.627499,667239.000,43716,2,AK,1,100,RD
1706145552.650999,667262.500,43719,2,AK,1,100,43717
1706145552.674499,667286.000,43719,2,AK,1,100,RD
1706145555.212021,669823.500,44551,2,AK,1,100,43717
1706145557.749543,672361.000,44551,2,AK,1,100,RD
1706145557.757543,672369.000,44554,2,AK,1,100,44552
1706145557.765543,672377.000,44554,2,AK,1,100,RD
1706145560.316565,674928.000,45389,2,AK,1,100,44552
1706145562.867586,677479.000,45389,2,AK,1,100,RD
1706145562.888087,677499.500,45392,2,AK,1,100,45390
1706145562.908587,677520.000,45392,2,AK,1,100,RD
1706145565.441608,680053.000,46212,2,AK,1,100,45390
1706145567.974630,682586.000,46212,2,AK,1,100,RD
1706145570.528652,685140.000,47029,2,AK,1,100,46213
1706145573.082674,687694.000,47029,2,AK,1,100,RD
1706145573.083674,687695.000,47031,2,AK,1,100,46213
1706145573.084674,687696.000,47031,2,AK,1,100,RD
1706145573.115674,687727.000,47034,2,AK,1,100,47032
1706145573.146674,687758.000,47034,2,AK,1,100,RD
1706145575.669696,690281.000,47855,2,AK,1,100,47032
1706145578.192718,692804.000,47855,2,AK,1,100,RD
1706145578.218218,692829.500,47858,2,AK,1,100,47856
1706145578.243718,692855.000,47858,2,AK,1,100,RD
1706145580.772240,695383.500,48629,2,AK,1,100,47856
1706145583.300761,697912.000,48629,2,AK,1,100,RD
1706145583.332762,697944.000,48632,2,AK,1,100,48630
1706145583.364762,697976.000,48632,2,AK,1,100,RD
1706145585.895283,700506.500,49464,2,AK,1,100,48630
1706145588.425805,703037.000,49464,2,AK,1,100,RD
1706145588.445805,703057.000,49467,2,AK,1,100,49465
