LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1706145446.707592,561320.000,26456,1,B%,1,100,31
1706145451.707635,566320.000,27259,1,B%,1,100,31
1706145456.706678,571319.000,28076,1,B%,1,100,31
1706145461.706721,576319.000,28896,1,B%,1,100,31
1706145466.705764,581318.000,29714,1,B%,1,100,31
1706145471.704806,586317.000,30535,1,B%,1,100,31
1706145476.704849,591317.000,31373,1,B%,1,100,32
1706145481.704892,596317.000,32191,1,B%,1,100,31
1706145486.703935,601316.000,32992,1,B%,1,100,32
1706145491.703978,606316.000,33817,1,B%,1,100,32
1706145496.703020,611315.000,34634,1,B%,1,100,32
1706145501.703063,616315.000,35438,1,B%,1,100,32
1706145506.702106,621314.000,36260,1,B%,1,100,31
1706145511.702149,626314.000,37061,1,B%,1,100,32
1706145516.701191,631313.000,37874,1,B%,1,100,32
1706145521.700234,636312.000,38696,1,B%,1,100,32
1706145526.700277,641312.000,39516,1,B%,1,100,32
1706145531.700320,646312.000,40337,1,B%,1,100,32
1706145536.699363,651311.000,41140,1,B%,1,100,32
1706145541.699405,656311.000,41943,1,B%,1,100,32
1706145546.698448,661310.000,42764,1,B%,1,100,32
1706145551.698491,666310.000,43582,1,B%,1,100,32
1706145556.697534,671309.000,44383,1,B%,1,100,32
1706145561.696576,676308.000,45204,1,B%,1,100,32
1706145566.696619,681308.000,46008,1,B%,1,100,32
1706145571.696662,686308.000,46827,1,B%,1,100,33
1706145576.695705,691307.000,47636,1,B%,1,100,33
1706145581.695748,696307.000,48440,1,B%,1,100,32
1706145586.694790,701306.000,49198,1,B%,1,100,33
1706145591.694833,706306.000,50018,1,B%,1,100,33
1706145596.693876,711305.000,50816,1,B%,1,100,33
1706145601.693919,716305.000,51639,1,B%,1,100,33
1706145606.692961,721304.000,52445,1,B%,1,100,33
1706145611.693004,726304.000,53264,1,B%,1,100,33
1706145616.692047,731303.000,54083,1,B%,1,100,33
1706145621.691090,736302.000,54887,1,B%,1,100,33
1706145626.691133,741302.000,55708,1,B%,1,100,33
1706145631.691175,746302.000,56525,1,B%,1,100,33
1706145636.690218,751301.000,57328,1,B%,1,100,33
