LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1706145444.449573,559062,26071,1,BI,1,100,920
1706145445.329581,559942,26205,1,BI,1,100,880
1706145446.129587,560742,26338,1,BI,1,100,800
1706145446.889594,561502,26474,1,BI,1,100,760
1706145447.809602,562422,26622,1,BI,1,100,920
1706145448.822611,563435,26787,1,BI,1,100,1000
1706145449.542617,564155,26905,1,BI,1,100,720
1706145451.342632,565955,27191,1,BI,1,100,1800
1706145452.315640,566928,27343,1,BI,1,100,960
1706145453.275649,567888,27507,1,BI,1,100,960
1706145454.075655,568688,27639,1,BI,1,100,800
1706145454.955663,569568,27772,1,BI,1,100,880
1706145455.928671,570541,27941,1,BI,1,100,960
1706145456.608677,571221,28042,1,BI,1,100,680
1706145457.728687,572341,28224,1,BI,1,100,1120
1706145458.488693,573101,28357,1,BI,1,100,760
1706145459.368701,573981,28490,1,BI,1,100,880
1706145460.301709,574914,28655,1,BI,1,100,920
1706145461.141716,575754,28795,1,BI,1,100,840
1706145461.981723,576594,28929,1,BI,1,100,840
1706145462.901731,577514,29080,1,BI,1,100,920
1706145463.794739,578407,29228,1,BI,1,100,880
1706145464.634746,579247,29360,1,BI,1,100,840
1706145465.514753,580127,29515,1,BI,1,100,880
1706145466.274760,580887,29632,1,BI,1,100,760
1706145467.074767,581687,29766,1,BI,1,100,800
1706145467.927774,582540,29899,1,BI,1,100,840
1706145468.807781,583420,30049,1,BI,1,100,880
1706145469.607788,584220,30181,1,BI,1,100,800
1706145470.527796,585140,30330,1,BI,1,100,920
1706145471.367803,585980,30467,1,BI,1,100,840
1706145472.220811,586833,30602,1,BI,1,100,840
1706145473.020818,587633,30734,1,BI,1,100,800
1706145473.900825,588513,30884,1,BI,1,100,880
1706145474.540831,589153,30984,1,BI,1,100,640
1706145474.660832,589273,31001,1,BI,1,100,120
1706145475.420838,590033,31133,1,BI,1,100,760
1706145476.233845,590846,31271,1,BI,1,100,800
1706145476.913851,591526,31391,1,BI,1,100,680
1706145477.753858,592366,31523,1,BI,1,100,840
1706145478.592865,593205,31656,1,BI,1,100,840
1706145479.433872,594046,31788,1,BI,1,100,840
1706145480.246879,594859,31921,1,BI,1,100,800
1706145481.006886,595619,32058,1,BI,1,100,760
1706145481.925894,596538,32209,1,BI,1,100,920
1706145482.805901,597418,32359,1,BI,1,100,880
1706145483.619908,598232,32491,1,BI,1,100,800
1706145484.459915,599072,32624,1,BI,1,100,840
1706145485.139921,599752,32739,1,BI,1,100,680
1706145486.058929,600671,32876,1,BI,1,100,920
1706145486.858936,601471,33011,1,BI,1,100,800
1706145487.672943,602285,33143,1,BI,1,100,800
1706145488.552951,603165,33292,1,BI,1,100,880
1706145489.071955,603684,33376,1,BI,1,100,520
1706145489.871962,604484,33492,1,BI,1,100,800
1706145490.831970,605444,33658,1,BI,1,100,960
1706145491.605977,606218,33783,1,BI,1,100,760
1706145492.645986,607258,33949,1,BI,1,100,1040
1706145494.405001,609017,34245,1,BI,1,100,1760
1706145495.125007,609737,34361,1,BI,1,100,720
1706145496.019014,610631,34510,1,BI,1,100,880
1706145496.698020,611310,34614,1,BI,1,100,680
1706145497.538027,612150,34734,1,BI,1,100,840
1706145498.458035,613070,34898,1,BI,1,100,920
1706145499.138041,613750,34998,1,BI,1,100,680
1706145500.151050,614763,35165,1,BI,1,100,1000
1706145500.911056,615523,35297,1,BI,1,100,760
1706145501.751063,616363,35420,1,BI,1,100,840
1706145502.551070,617163,35555,1,BI,1,100,800
1706145503.444078,618056,35705,1,BI,1,100,880
1706145504.284085,618896,35837,1,BI,1,100,840
1706145505.084092,619696,35969,1,BI,1,100,800
1706145505.844099,620456,36102,1,BI,1,100,760
1706145506.644105,621256,36224,1,BI,1,100,800
1706145507.537113,622149,36375,1,BI,1,100,880
1706145508.577122,623189,36541,1,BI,1,100,1040
1706145509.897133,624509,36755,1,BI,1,100,1320
1706145510.737140,625349,36887,1,BI,1,100,840
1706145511.550147,626162,37020,1,BI,1,100,800
1706145512.310154,626922,37145,1,BI,1,100,760
1706145512.950159,627562,37244,1,BI,1,100,640
1706145513.830167,628442,37393,1,BI,1,100,880
1706145514.710174,629322,37542,1,BI,1,100,880
1706145515.523181,630135,37675,1,BI,1,100,800
1706145516.363189,630975,37807,1,BI,1,100,840
1706145517.243196,631855,37949,1,BI,1,100,880
1706145517.923202,632535,38064,1,BI,1,100,680
1706145518.643208,633255,38180,1,BI,1,100,720
1706145519.256213,633868,38281,1,BI,1,100,600
1706145520.216222,634828,38430,1,BI,1,100,960
1706145520.816226,635428,38528,1,BI,1,100,600
1706145521.816235,636428,38697,1,BI,1,100,1000
1706145522.629242,637241,38834,1,BI,1,100,800
1706145523.509250,638121,38984,1,BI,1,100,880
1706145524.269256,638881,39101,1,BI,1,100,760
1706145525.029263,639641,39217,1,BI,1,100,760
1706145525.949270,640561,39383,1,BI,1,100,920
1706145526.882278,641494,39532,1,BI,1,100,920
1706145527.642285,642254,39655,1,BI,1,100,760
1706145528.282290,642894,39756,1,BI,1,100,640
1706145529.122298,643734,39888,1,BI,1,100,840
1706145529.842304,644454,40004,1,BI,1,100,720
1706145530.695311,645307,40153,1,BI,1,100,840
1706145531.535318,646147,40286,1,BI,1,100,840
1706145532.335325,646947,40408,1,BI,1,100,800
1706145533.415334,648027,40574,1,BI,1,100,1080
1706145534.095340,648707,40689,1,BI,1,100,680
1706145535.028348,649640,40839,1,BI,1,100,920
1706145535.868356,650480,40972,1,BI,1,100,840
1706145536.628362,651240,41105,1,BI,1,100,760
1706145537.508369,652120,41246,1,BI,1,100,880
1706145538.321376,652933,41378,1,BI,1,100,800
1706145539.121383,653733,41511,1,BI,1,100,800
1706145539.841389,654453,41627,1,BI,1,100,720
1706145540.601396,655213,41744,1,BI,1,100,760
1706145541.521404,656133,41908,1,BI,1,100,920
1706145542.374411,656986,42048,1,BI,1,100,840
1706145543.214418,657826,42181,1,BI,1,100,840
1706145543.974425,658586,42296,1,BI,1,100,760
1706145544.774432,659386,42428,1,BI,1,100,800
1706145545.654439,660266,42578,1,BI,1,100,880
1706145546.467446,661079,42711,1,BI,1,100,800
1706145547.187452,661799,42830,1,BI,1,100,720
1706145548.067460,662679,42967,1,BI,1,100,880
1706145548.866467,663478,43100,1,BI,1,100,800
1706145549.787475,664399,43250,1,BI,1,100,920
1706145550.520481,665132,43365,1,BI,1,100,720
1706145551.320488,665932,43498,1,BI,1,100,800
1706145552.040494,666652,43617,1,BI,1,100,720
1706145552.919501,667531,43753,1,BI,1,100,880
1706145553.719508,668331,43886,1,BI,1,100,800
1706145554.413514,669025,44002,1,BI,1,100,680
1706145555.333522,669945,44152,1,BI,1,100,920
1706145556.132529,670744,44285,1,BI,1,100,800
1706145557.052537,671664,44435,1,BI,1,100,920
1706145557.946544,672558,44573,1,BI,1,100,880
1706145558.586550,673198,44689,1,BI,1,100,640
1706145559.545558,674157,44838,1,BI,1,100,960
1706145560.305565,674917,44970,1,BI,1,100,760
1706145561.105571,675717,45103,1,BI,1,100,800
1706145561.799577,676411,45205,1,BI,1,100,680
1706145562.638584,677250,45355,1,BI,1,100,840
1706145563.438591,678050,45475,1,BI,1,100,800
1706145564.278599,678890,45609,1,BI,1,100,840
1706145565.158606,679770,45758,1,BI,1,100,880
1706145566.051614,680663,45906,1,BI,1,100,880
1706145566.851620,681463,46027,1,BI,1,100,800
1706145567.731628,682343,46175,1,BI,1,100,880
1706145568.651636,683263,46311,1,BI,1,100,920
1706145569.624644,684236,46463,1,BI,1,100,960
1706145570.744654,685356,46643,1,BI,1,100,1120
1706145571.544661,686156,46776,1,BI,1,100,800
1706145572.384668,686996,46910,1,BI,1,100,840
1706145573.037673,687649,47035,1,BI,1,100,640
1706145573.837680,688449,47154,1,BI,1,100,800
1706145574.877689,689489,47318,1,BI,1,100,1040
1706145575.677696,690289,47452,1,BI,1,100,800
1706145576.557703,691169,47585,1,BI,1,100,880
1706145577.250710,691862,47702,1,BI,1,100,680
1706145578.010716,692622,47820,1,BI,1,100,760
1706145578.770723,693382,47941,1,BI,1,100,760
1706145579.650730,694262,48090,1,BI,1,100,880
1706145580.530738,695142,48223,1,BI,1,100,880
1706145581.383745,695995,48372,1,BI,1,100,840
1706145582.183752,696795,48507,1,BI,1,100,800
1706145583.063759,697675,48595,1,BI,1,100,880
1706145583.943767,698555,48731,1,BI,1,100,880
1706145584.796774,699408,48866,1,BI,1,100,840
1706145585.636781,700248,48998,1,BI,1,100,840
1706145586.436788,701048,49130,1,BI,1,100,800
1706145587.316796,701928,49281,1,BI,1,100,880
1706145588.156803,702768,49414,1,BI,1,100,840
1706145589.009810,703621,49551,1,BI,1,100,840
1706145589.769817,704381,49684,1,BI,1,100,760
1706145590.449822,705061,49784,1,BI,1,100,680
1706145591.289830,705901,49934,1,BI,1,100,840
