LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1706145446.707592,561320.000,26455,1,BV,1,100,3.60
1706145451.707635,566320.000,27258,1,BV,1,100,3.60
1706145456.706678,571319.000,28075,1,BV,1,100,3.61
1706145461.706721,576319.000,28895,1,BV,1,100,3.61
1706145466.705764,581318.000,29713,1,BV,1,100,3.61
1706145471.704806,586317.000,30534,1,BV,1,100,3.60
1706145476.704849,591317.000,31372,1,BV,1,100,3.61
1706145481.703892,596316.000,32190,1,BV,1,100,3.61
1706145486.703935,601316.000,32991,1,BV,1,100,3.61
1706145491.703978,606316.000,33816,1,BV,1,100,3.61
1706145496.703020,611315.000,34633,1,BV,1,100,3.61
1706145501.703063,616315.000,35437,1,BV,1,100,3.61
1706145506.702106,621314.000,36259,1,BV,1,100,3.61
1706145511.702149,626314.000,37060,1,BV,1,100,3.61
1706145516.701191,631313.000,37873,1,BV,1,100,3.61
1706145521.700234,636312.000,38695,1,BV,1,100,3.61
1706145526.700277,641312.000,39515,1,BV,1,100,3.61
1706145531.700320,646312.000,40336,1,BV,1,100,3.61
1706145536.699363,651311.000,41139,1,BV,1,100,3.61
1706145541.699405,656311.000,41942,1,BV,1,100,3.61
1706145546.698448,661310.000,42763,1,BV,1,100,3.61
1706145551.697491,666309.000,43581,1,BV,1,100,3.61
1706145556.697534,671309.000,44382,1,BV,1,100,3.61
1706145561.696576,676308.000,45203,1,BV,1,100,3.61
1706145566.696619,681308.000,46007,1,BV,1,100,3.61
1706145571.696662,686308.000,46826,1,BV,1,100,3.62
1706145576.695705,691307.000,47635,1,BV,1,100,3.62
1706145581.695748,696307.000,48439,1,BV,1,100,3.62
1706145586.694790,701306.000,49197,1,BV,1,100,3.61
1706145591.693833,706305.000,50017,1,BV,1,100,3.62
1706145596.693876,711305.000,50815,1,BV,1,100,3.62
1706145601.692919,716304.000,51638,1,BV,1,100,3.62
1706145606.692961,721304.000,52444,1,BV,1,100,3.62
1706145611.693004,726304.000,53263,1,BV,1,100,3.62
1706145616.692047,731303.000,54082,1,BV,1,100,3.62
1706145621.691090,736302.000,54886,1,BV,1,100,3.62
1706145626.691133,741302.000,55707,1,BV,1,100,3.62
1706145631.691175,746302.000,56524,1,BV,1,100,3.62
1706145636.690218,751301.000,57327,1,BV,1,100,3.62
