LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1706145443.941569,558554.000,25992,2,EA,1,100,0.703988
1706145443.941569,558554.000,25992,2,EA,1,100,0.703209
1706145444.008569,558621.000,26009,1,EA,1,100,0.703351
1706145444.075070,558687.500,26024,2,EA,1,100,0.702714
1706145444.141571,558754.000,26024,2,EA,1,100,0.702008
1706145444.208571,558821.000,26041,1,EA,1,100,0.702149
1706145444.275072,558887.500,26057,2,EA,1,100,0.701163
1706145444.341572,558954.000,26057,2,EA,1,100,0.701515
1706145444.408573,559021.000,26077,1,EA,1,100,0.702997
1706145444.475073,559087.500,26091,2,EA,1,100,0.703846
1706145444.541574,559154.000,26091,2,EA,1,100,0.703280
1706145444.608574,559221.000,26108,1,EA,1,100,0.701867
1706145444.675075,559287.500,26125,2,EA,1,100,0.705338
1706145444.741575,559354.000,26125,2,EA,1,100,0.706693
1706145444.808576,559421.000,26142,1,EA,1,100,0.703138
1706145444.875077,559487.500,26157,2,EA,1,100,0.701304
1706145444.941577,559554.000,26157,2,EA,1,100,0.702431
1706145445.008245,559620.667,26177,3,EA,1,100,0.703705
1706145445.074912,559687.333,26177,3,EA,1,100,0.705338
1706145445.141579,559754.000,26177,3,EA,1,100,0.704983
1706145445.208580,559821.000,26193,1,EA,1,100,0.705695
1706145445.275080,559887.500,26210,2,EA,1,100,0.707910
1706145445.341581,559954.000,26210,2,EA,1,100,0.706836
1706145445.408581,560021.000,26227,1,EA,1,100,0.706693
1706145445.475082,560087.500,26244,2,EA,1,100,0.705979
1706145445.541582,560154.000,26244,2,EA,1,100,0.705552
1706145445.608583,560221.000,26260,1,EA,1,100,0.705125
1706145445.675084,560287.500,26277,2,EA,1,100,0.704840
1706145445.741584,560354.000,26277,2,EA,1,100,0.706122
1706145445.808585,560421.000,26292,1,EA,1,100,0.707123
1706145445.875085,560487.500,26309,2,EA,1,100,0.706979
1706145445.941586,560554.000,26309,2,EA,1,100,0.706336
1706145446.008586,560621.000,26325,1,EA,1,100,0.706622
1706145446.075087,560687.500,26344,2,EA,1,100,0.706979
1706145446.141587,560754.000,26344,2,EA,1,100,0.706908
1706145446.208088,560820.500,26359,2,EA,1,100,0.706551
1706145446.274589,560887.000,26359,2,EA,1,100,0.705695
1706145446.341589,560954.000,26376,1,EA,1,100,0.706908
1706145446.408090,561020.500,26393,2,EA,1,100,0.707266
1706145446.474591,561087.000,26393,2,EA,1,100,0.707123
1706145446.541591,561154.000,26410,1,EA,1,100,0.707910
1706145446.608092,561220.500,26424,2,EA,1,100,0.709203
1706145446.674592,561287.000,26424,2,EA,1,100,0.708269
1706145446.741593,561354.000,26442,1,EA,1,100,0.709203
1706145446.808093,561420.500,26460,2,EA,1,100,0.708413
1706145446.874594,561487.000,26460,2,EA,1,100,0.708844
1706145446.941594,561554.000,26479,1,EA,1,100,0.709780
1706145447.008095,561620.500,26494,2,EA,1,100,0.708269
1706145447.074595,561687.000,26494,2,EA,1,100,0.708484
1706145447.141596,561754.000,26511,1,EA,1,100,0.709563
1706145447.208097,561820.500,26527,2,EA,1,100,0.709996
1706145447.274597,561887.000,26527,2,EA,1,100,0.709780
1706145447.341598,561954.000,26544,1,EA,1,100,0.710284
1706145447.408098,562020.500,26559,2,EA,1,100,0.708844
1706145447.474599,562087.000,26559,2,EA,1,100,0.709203
1706145447.541600,562154.000,26576,1,EA,1,100,0.710502
1706145447.608100,562220.500,26592,2,EA,1,100,0.708557
1706145447.674601,562287.000,26592,2,EA,1,100,0.709060
1706145447.741601,562354.000,26610,1,EA,1,100,0.709924
1706145447.808102,562420.500,26627,2,EA,1,100,0.710429
1706145447.874602,562487.000,26627,2,EA,1,100,0.708413
1706145447.941603,562554.000,26643,1,EA,1,100,0.708341
1706145448.008104,562620.500,26660,2,EA,1,100,0.708772
1706145448.074604,562687.000,26660,2,EA,1,100,0.710574
1706145448.141605,562754.000,26677,1,EA,1,100,0.711080
1706145448.208105,562820.500,26692,2,EA,1,100,0.708988
1706145448.274606,562887.000,26692,2,EA,1,100,0.707481
1706145448.341106,562953.500,26709,2,EA,1,100,0.708700
1706145448.407607,563020.000,26709,2,EA,1,100,0.709491
1706145448.474607,563087.000,26725,1,EA,1,100,0.711514
1706145448.541608,563154.000,26742,2,EA,1,100,0.712239
1706145448.608609,563221.000,26742,2,EA,1,100,0.709780
1706145448.674609,563287.000,26758,1,EA,1,100,0.710357
1706145448.741110,563353.500,26774,2,EA,1,100,0.711731
1706145448.807610,563420.000,26774,2,EA,1,100,0.712893
1706145448.874611,563487.000,26792,1,EA,1,100,0.713184
1706145448.941112,563553.500,26809,2,EA,1,100,0.713475
1706145449.007612,563620.000,26809,2,EA,1,100,0.713111
1706145449.074613,563687.000,26826,1,EA,1,100,0.714205
1706145449.141113,563753.500,26843,2,EA,1,100,0.714277
1706145449.207614,563820.000,26843,2,EA,1,100,0.711369
1706145449.274614,563887.000,26859,1,EA,1,100,0.712602
1706145449.341115,563953.500,26877,2,EA,1,100,0.714351
1706145449.407615,564020.000,26877,2,EA,1,100,0.714205
1706145449.474616,564087.000,26893,1,EA,1,100,0.713840
1706145449.541117,564153.500,26910,2,EA,1,100,0.712094
1706145449.607617,564220.000,26910,2,EA,1,100,0.712384
1706145449.674618,564287.000,26926,1,EA,1,100,0.712820
1706145449.741118,564353.500,26944,2,EA,1,100,0.713548
1706145449.807619,564420.000,26944,2,EA,1,100,0.713840
1706145449.874619,564487.000,26960,1,EA,1,100,0.714205
1706145449.941120,564553.500,26975,2,EA,1,100,0.713330
1706145450.007621,564620.000,26975,2,EA,1,100,0.713257
1706145450.074621,564687.000,26992,1,EA,1,100,0.714789
1706145450.141289,564753.667,27014,3,EA,1,100,0.715887
1706145450.207956,564820.333,27014,3,EA,1,100,0.714935
1706145450.274623,564887.000,27014,3,EA,1,100,0.713840
1706145450.341624,564954.000,27030,1,EA,1,100,0.714058
1706145450.408124,565020.500,27048,2,EA,1,100,0.715082
1706145450.474625,565087.000,27048,2,EA,1,100,0.715961
1706145450.541625,565154.000,27064,1,EA,1,100,0.716401
1706145450.608126,565220.500,27079,2,EA,1,100,0.715301
1706145450.674626,565287.000,27079,2,EA,1,100,0.715374
1706145450.741627,565354.000,27096,1,EA,1,100,0.715667
1706145450.808127,565420.500,27113,2,EA,1,100,0.716107
1706145450.874628,565487.000,27113,2,EA,1,100,0.715961
1706145450.941629,565554.000,27129,1,EA,1,100,0.716548
1706145451.008129,565620.500,27145,2,EA,1,100,0.718020
1706145451.074630,565687.000,27145,2,EA,1,100,0.718315
1706145451.141630,565754.000,27161,1,EA,1,100,0.717504
1706145451.208131,565820.500,27178,2,EA,1,100,0.715887
1706145451.274632,565887.000,27178,2,EA,1,100,0.716401
1706145451.341632,565954.000,27196,1,EA,1,100,0.716695
1706145451.408133,566020.500,27212,2,EA,1,100,0.717725
1706145451.474633,566087.000,27212,2,EA,1,100,0.718759
1706145451.541634,566154.000,27228,1,EA,1,100,0.719277
1706145451.608134,566220.500,27245,2,EA,1,100,0.719129
1706145451.674635,566287.000,27245,2,EA,1,100,0.718463
1706145451.741136,566353.500,27264,2,EA,1,100,0.717946
1706145451.807636,566420.000,27264,2,EA,1,100,0.717873
1706145451.874637,566487.000,27281,1,EA,1,100,0.717652
1706145451.941137,566553.500,27295,2,EA,1,100,0.718463
1706145452.007638,566620.000,27295,2,EA,1,100,0.718242
1706145452.074638,566687.000,27313,1,EA,1,100,0.718242
1706145452.141139,566753.500,27329,2,EA,1,100,0.717136
1706145452.207639,566820.000,27329,2,EA,1,100,0.716695
1706145452.274640,566887.000,27348,1,EA,1,100,0.718389
