LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1706145443.941569,558554.000,25993,2,EL,1,100,-17645.599609
1706145443.941569,558554.000,25993,2,EL,1,100,-17643.400391
1706145444.008569,558621.000,26010,1,EL,1,100,-17643.800781
1706145444.075070,558687.500,26025,2,EL,1,100,-17642.000000
1706145444.141571,558754.000,26025,2,EL,1,100,-17640.000000
1706145444.208571,558821.000,26042,1,EL,1,100,-17640.400391
1706145444.275072,558887.500,26058,2,EL,1,100,-17637.599609
1706145444.341572,558954.000,26058,2,EL,1,100,-17638.599609
1706145444.408573,559021.000,26078,1,EL,1,100,-17642.800781
1706145444.475073,559087.500,26092,2,EL,1,100,-17645.199219
1706145444.541574,559154.000,26092,2,EL,1,100,-17643.599609
1706145444.608574,559221.000,26109,1,EL,1,100,-17639.599609
1706145444.675075,559287.500,26126,2,EL,1,100,-17649.400391
1706145444.741575,559354.000,26126,2,EL,1,100,-17653.199219
1706145444.808576,559421.000,26143,1,EL,1,100,-17643.199219
1706145444.875077,559487.500,26158,2,EL,1,100,-17638.000000
1706145444.941577,559554.000,26158,2,EL,1,100,-17641.199219
1706145445.008245,559620.667,26178,3,EL,1,100,-17644.800781
1706145445.074912,559687.333,26178,3,EL,1,100,-17649.400391
1706145445.141579,559754.000,26178,3,EL,1,100,-17648.400391
1706145445.208580,559821.000,26194,1,EL,1,100,-17650.400391
1706145445.275080,559887.500,26211,2,EL,1,100,-17656.599609
1706145445.341581,559954.000,26211,2,EL,1,100,-17653.599609
1706145445.408581,560021.000,26228,1,EL,1,100,-17653.199219
1706145445.475082,560087.500,26245,2,EL,1,100,-17651.199219
1706145445.541582,560154.000,26245,2,EL,1,100,-17650.000000
1706145445.608583,560221.000,26261,1,EL,1,100,-17648.800781
1706145445.675084,560287.500,26278,2,EL,1,100,-17648.000000
1706145445.741584,560354.000,26278,2,EL,1,100,-17651.599609
1706145445.808585,560421.000,26293,1,EL,1,100,-17654.400391
1706145445.875085,560487.500,26310,2,EL,1,100,-17654.000000
