LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1706145443.855568,558468.000,25979,4,EM,1,100,RS
1706145443.855568,558468.000,25979,4,EM,1,100,RB
1706145443.855568,558468.000,25979,4,EM,1,100,2024-01-24_20-17-23-366683.csv
1706145443.855568,558468.000,25979,4,EM,1,100,PS
1706145443.905818,558518.250,26005,4,EM,1,100,RS
1706145443.956069,558568.500,26005,4,EM,1,100,RB
1706145444.006319,558618.750,26005,4,EM,1,100,2024-01-24_20-17-23-366683.csv
1706145444.056570,558669.000,26005,4,EM,1,100,PS
1706145444.106820,558719.250,26037,4,EM,1,100,RS
1706145444.157071,558769.500,26037,4,EM,1,100,RB
1706145444.207321,558819.750,26037,4,EM,1,100,2024-01-24_20-17-23-366683.csv
1706145444.257571,558870.000,26037,4,EM,1,100,PS
1706145444.307822,558920.250,26070,4,EM,1,100,RS
1706145444.358072,558970.500,26070,4,EM,1,100,RB
1706145444.408323,559020.750,26070,4,EM,1,100,2024-01-24_20-17-23-366683.csv
1706145444.458573,559071.000,26070,4,EM,1,100,PS
1706145444.508824,559121.250,26104,4,EM,1,100,RS
1706145444.559074,559171.500,26104,4,EM,1,100,RB
1706145444.609324,559221.750,26104,4,EM,1,100,2024-01-24_20-17-23-366683.csv
1706145444.659575,559272.000,26104,4,EM,1,100,PS
1706145444.710575,559323.000,26138,4,EM,1,100,RS
1706145444.761576,559374.000,26138,4,EM,1,100,RB
1706145444.812576,559425.000,26138,4,EM,1,100,2024-01-24_20-17-23-366683.csv
1706145444.863577,559476.000,26138,4,EM,1,100,PS
1706145444.937077,559549.500,26172,4,EM,1,100,RS
1706145445.010578,559623.000,26172,4,EM,1,100,RB
1706145445.084079,559696.500,26172,4,EM,1,100,2024-01-24_20-17-23-366683.csv
1706145445.157579,559770.000,26172,4,EM,1,100,PS
1706145445.207829,559820.250,26204,4,EM,1,100,RS
1706145445.258080,559870.500,26204,4,EM,1,100,RB
1706145445.308331,559920.750,26204,4,EM,1,100,2024-01-24_20-17-23-366683.csv
1706145445.358581,559971.000,26204,4,EM,1,100,PS
1706145445.408581,560021.000,26240,4,EM,1,100,RS
1706145445.458582,560071.000,26240,4,EM,1,100,RB
1706145445.508582,560121.000,26240,4,EM,1,100,2024-01-24_20-17-23-366683.csv
1706145445.558583,560171.000,26240,4,EM,1,100,PS
1706145445.608833,560221.250,26272,4,EM,1,100,RS
1706145445.659083,560271.500,26272,4,EM,1,100,RB
1706145445.709334,560321.750,26272,4,EM,1,100,2024-01-24_20-17-23-366683.csv
1706145445.759584,560372.000,26272,4,EM,1,100,PS
1706145445.809835,560422.250,26305,4,EM,1,100,RS
1706145445.860085,560472.500,26305,4,EM,1,100,RB
1706145445.910336,560522.750,26305,4,EM,1,100,2024-01-24_20-17-23-366683.csv
