LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1706145443.849568,558462.000,25984,1,GY,1,100,0.427
1706145443.889568,558502.000,26000,2,GY,1,100,-0.824
1706145443.929569,558542.000,26000,2,GY,1,100,0.092
1706145443.969902,558582.333,26015,3,GY,1,100,-0.153
1706145444.010236,558622.667,26015,3,GY,1,100,-0.397
1706145444.050570,558663.000,26015,3,GY,1,100,-0.488
1706145444.085570,558698.000,26032,3,GY,1,100,0.580
1706145444.120570,558733.000,26032,3,GY,1,100,0.732
1706145444.155571,558768.000,26032,3,GY,1,100,-0.275
1706145444.195571,558808.000,26049,2,GY,1,100,0.305
1706145444.235571,558848.000,26049,2,GY,1,100,-0.305
1706145444.275572,558888.000,26065,3,GY,1,100,-0.244
1706145444.315572,558928.000,26065,3,GY,1,100,-0.061
1706145444.355572,558968.000,26065,3,GY,1,100,-0.427
1706145444.395573,559008.000,26083,2,GY,1,100,-0.336
1706145444.435573,559048.000,26083,2,GY,1,100,-0.275
1706145444.475573,559088.000,26099,3,GY,1,100,-0.092
1706145444.515574,559128.000,26099,3,GY,1,100,-0.458
1706145444.555574,559168.000,26099,3,GY,1,100,-0.336
1706145444.595574,559208.000,26116,2,GY,1,100,-1.831
1706145444.635575,559248.000,26116,2,GY,1,100,-2.167
1706145444.675575,559288.000,26133,3,GY,1,100,-0.946
1706145444.715575,559328.000,26133,3,GY,1,100,1.526
1706145444.755576,559368.000,26133,3,GY,1,100,1.343
1706145444.795576,559408.000,26149,2,GY,1,100,-0.610
1706145444.835576,559448.000,26149,2,GY,1,100,-2.014
1706145444.875577,559488.000,26164,3,GY,1,100,-2.472
1706145444.915577,559528.000,26164,3,GY,1,100,-1.221
1706145444.955577,559568.000,26164,3,GY,1,100,0.732
1706145444.995578,559608.000,26185,5,GY,1,100,1.099
1706145445.035578,559648.000,26185,5,GY,1,100,-0.305
1706145445.075578,559688.000,26185,5,GY,1,100,-0.916
1706145445.115579,559728.000,26185,5,GY,1,100,-0.031
1706145445.155579,559768.000,26185,5,GY,1,100,-0.824
1706145445.195580,559808.000,26199,2,GY,1,100,2.258
1706145445.235580,559848.000,26199,2,GY,1,100,0.580
1706145445.275580,559888.000,26218,3,GY,1,100,0.824
1706145445.315581,559928.000,26218,3,GY,1,100,0.061
1706145445.355581,559968.000,26218,3,GY,1,100,-0.702
1706145445.395581,560008.000,26235,2,GY,1,100,0.000
1706145445.435581,560048.000,26235,2,GY,1,100,0.214
1706145445.475582,560088.000,26252,3,GY,1,100,0.366
1706145445.515582,560128.000,26252,3,GY,1,100,0.763
1706145445.555583,560168.000,26252,3,GY,1,100,0.580
1706145445.595583,560208.000,26267,2,GY,1,100,0.092
1706145445.635583,560248.000,26267,2,GY,1,100,0.000
1706145445.675584,560288.000,26284,3,GY,1,100,0.458
1706145445.715584,560328.000,26284,3,GY,1,100,0.458
1706145445.755584,560368.000,26284,3,GY,1,100,0.427
1706145445.795585,560408.000,26300,2,GY,1,100,-0.092
1706145445.835585,560448.000,26300,2,GY,1,100,0.122
1706145445.875585,560488.000,26317,3,GY,1,100,0.214
1706145445.915586,560528.000,26317,3,GY,1,100,-0.214
1706145445.955586,560568.000,26317,3,GY,1,100,-0.061
1706145445.991253,560603.667,26332,3,GY,1,100,0.305
1706145446.026920,560639.333,26332,3,GY,1,100,-0.275
1706145446.062587,560675.000,26332,3,GY,1,100,0.183
1706145446.102587,560715.000,26351,2,GY,1,100,0.427
1706145446.142588,560755.000,26351,2,GY,1,100,0.061
1706145446.182588,560795.000,26367,3,GY,1,100,-0.336
1706145446.222588,560835.000,26367,3,GY,1,100,-0.610
1706145446.262589,560875.000,26367,3,GY,1,100,0.000
1706145446.302589,560915.000,26384,2,GY,1,100,0.000
1706145446.342589,560955.000,26384,2,GY,1,100,0.275
1706145446.382590,560995.000,26401,3,GY,1,100,0.183
1706145446.422590,561035.000,26401,3,GY,1,100,-0.031
1706145446.462590,561075.000,26401,3,GY,1,100,0.305
1706145446.502591,561115.000,26416,2,GY,1,100,0.488
1706145446.542591,561155.000,26416,2,GY,1,100,0.092
1706145446.582591,561195.000,26432,3,GY,1,100,0.000
1706145446.622592,561235.000,26432,3,GY,1,100,-0.305
1706145446.662592,561275.000,26432,3,GY,1,100,0.061
1706145446.702592,561315.000,26450,3,GY,1,100,0.000
1706145446.742593,561355.000,26450,3,GY,1,100,-0.336
1706145446.782593,561395.000,26450,3,GY,1,100,-0.305
1706145446.822593,561435.000,26468,2,GY,1,100,0.122
1706145446.862594,561475.000,26468,2,GY,1,100,0.031
1706145446.902594,561515.000,26485,3,GY,1,100,0.427
1706145446.942595,561555.000,26485,3,GY,1,100,0.061
1706145446.982595,561595.000,26485,3,GY,1,100,-0.336
1706145447.022595,561635.000,26502,2,GY,1,100,-0.061
1706145447.062595,561675.000,26502,2,GY,1,100,-0.275
1706145447.102596,561715.000,26519,3,GY,1,100,-0.885
1706145447.142596,561755.000,26519,3,GY,1,100,-0.977
1706145447.182596,561795.000,26519,3,GY,1,100,0.000
1706145447.222597,561835.000,26535,2,GY,1,100,0.183
1706145447.262597,561875.000,26535,2,GY,1,100,-0.153
1706145447.302598,561915.000,26550,3,GY,1,100,0.549
1706145447.342598,561955.000,26550,3,GY,1,100,-0.397
1706145447.382598,561995.000,26550,3,GY,1,100,-0.458
1706145447.422599,562035.000,26567,2,GY,1,100,-0.031
1706145447.462599,562075.000,26567,2,GY,1,100,0.671
1706145447.502599,562115.000,26584,3,GY,1,100,0.031
1706145447.542600,562155.000,26584,3,GY,1,100,0.244
1706145447.582600,562195.000,26584,3,GY,1,100,-0.671
1706145447.622600,562235.000,26600,2,GY,1,100,1.373
1706145447.662601,562275.000,26600,2,GY,1,100,0.031
1706145447.702601,562315.000,26617,3,GY,1,100,-0.488
1706145447.742601,562355.000,26617,3,GY,1,100,-0.641
1706145447.782602,562395.000,26617,3,GY,1,100,-0.458
1706145447.822602,562435.000,26634,3,GY,1,100,-0.641
1706145447.862602,562475.000,26634,3,GY,1,100,-0.122
1706145447.902603,562515.000,26634,3,GY,1,100,0.458
1706145447.942603,562555.000,26651,2,GY,1,100,0.183
1706145447.982603,562595.000,26651,2,GY,1,100,-0.336
1706145448.017937,562630.333,26668,3,GY,1,100,-0.244
1706145448.053271,562665.667,26668,3,GY,1,100,0.153
1706145448.088604,562701.000,26668,3,GY,1,100,0.580
1706145448.128605,562741.000,26684,2,GY,1,100,0.641
1706145448.168605,562781.000,26684,2,GY,1,100,-0.610
1706145448.208605,562821.000,26699,3,GY,1,100,-1.373
1706145448.248605,562861.000,26699,3,GY,1,100,-1.251
1706145448.288606,562901.000,26699,3,GY,1,100,-1.801
1706145448.328606,562941.000,26717,3,GY,1,100,-1.190
1706145448.368607,562981.000,26717,3,GY,1,100,1.709
1706145448.408607,563021.000,26717,3,GY,1,100,-1.038
1706145448.448607,563061.000,26733,2,GY,1,100,0.061
1706145448.488608,563101.000,26733,2,GY,1,100,-1.312
1706145448.528608,563141.000,26750,3,GY,1,100,0.336
1706145448.568608,563181.000,26750,3,GY,1,100,0.244
1706145448.608609,563221.000,26750,3,GY,1,100,0.061
1706145448.648609,563261.000,26764,2,GY,1,100,0.183
1706145448.688609,563301.000,26764,2,GY,1,100,0.519
1706145448.728610,563341.000,26782,3,GY,1,100,-0.610
1706145448.768610,563381.000,26782,3,GY,1,100,1.068
1706145448.808610,563421.000,26782,3,GY,1,100,0.366
1706145448.848611,563461.000,26800,2,GY,1,100,1.221
1706145448.888611,563501.000,26800,2,GY,1,100,0.214
1706145448.928612,563541.000,26817,3,GY,1,100,0.946
1706145448.968612,563581.000,26817,3,GY,1,100,0.305
1706145449.008612,563621.000,26817,3,GY,1,100,-2.106
1706145449.048612,563661.000,26832,2,GY,1,100,-1.434
1706145449.088613,563701.000,26832,2,GY,1,100,1.251
1706145449.128613,563741.000,26851,3,GY,1,100,1.373
1706145449.168613,563781.000,26851,3,GY,1,100,-0.580
1706145449.208614,563821.000,26851,3,GY,1,100,-3.448
1706145449.248614,563861.000,26867,2,GY,1,100,-0.519
1706145449.288615,563901.000,26867,2,GY,1,100,3.174
1706145449.328615,563941.000,26885,3,GY,1,100,2.869
1706145449.368615,563981.000,26885,3,GY,1,100,-0.275
1706145449.408616,564021.000,26885,3,GY,1,100,2.655
1706145449.448616,564061.000,26899,2,GY,1,100,0.427
1706145449.488616,564101.000,26899,2,GY,1,100,-0.244
1706145449.528617,564141.000,26918,3,GY,1,100,-0.183
1706145449.568617,564181.000,26918,3,GY,1,100,-0.244
1706145449.608617,564221.000,26918,3,GY,1,100,-1.373
1706145449.648618,564261.000,26934,3,GY,1,100,0.092
1706145449.688618,564301.000,26934,3,GY,1,100,-0.488
1706145449.728618,564341.000,26934,3,GY,1,100,0.671
1706145449.768619,564381.000,26952,2,GY,1,100,0.885
1706145449.808619,564421.000,26952,2,GY,1,100,-3.387
1706145449.848619,564461.000,26966,3,GY,1,100,-0.366
1706145449.888620,564501.000,26966,3,GY,1,100,-0.061
