LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1706145444.449573,559062,26072,1,HR,1,100,66
1706145445.329581,559942,26206,1,HR,1,100,67
1706145446.129587,560742,26339,1,HR,1,100,68
1706145446.889594,561502,26475,1,HR,1,100,71
1706145447.809602,562422,26623,1,HR,1,100,70
1706145448.822611,563435,26788,1,HR,1,100,67
1706145449.542617,564155,26906,1,HR,1,100,71
1706145451.342632,565955,27192,1,HR,1,100,63
1706145452.315640,566928,27344,1,HR,1,100,63
1706145453.275649,567888,27508,1,HR,1,100,63
1706145454.075655,568688,27640,1,HR,1,100,65
1706145454.955663,569568,27773,1,HR,1,100,66
1706145455.928671,570541,27942,1,HR,1,100,65
1706145456.608677,571221,28043,1,HR,1,100,70
1706145457.728687,572341,28225,1,HR,1,100,67
1706145458.488693,573101,28358,1,HR,1,100,69
1706145459.368701,573981,28491,1,HR,1,100,69
1706145460.301709,574914,28656,1,HR,1,100,68
1706145461.141716,575754,28796,1,HR,1,100,69
1706145461.981723,576594,28930,1,HR,1,100,69
1706145462.901731,577514,29081,1,HR,1,100,69
1706145463.794739,578407,29229,1,HR,1,100,68
1706145464.634746,579247,29361,1,HR,1,100,69
1706145465.514753,580127,29516,1,HR,1,100,69
1706145466.274760,580887,29633,1,HR,1,100,71
1706145467.074767,581687,29767,1,HR,1,100,72
1706145467.927774,582540,29900,1,HR,1,100,72
1706145468.807781,583420,30050,1,HR,1,100,71
1706145469.607788,584220,30182,1,HR,1,100,72
1706145470.527796,585140,30331,1,HR,1,100,70
1706145471.367803,585980,30468,1,HR,1,100,71
1706145472.220811,586833,30603,1,HR,1,100,71
1706145473.020818,587633,30735,1,HR,1,100,72
1706145473.900825,588513,30885,1,HR,1,100,71
1706145474.540831,589153,30985,1,HR,1,100,76
1706145474.660832,589273,31002,1,HR,1,100,170
1706145475.420838,590033,31134,1,HR,1,100,150
1706145476.233845,590846,31272,1,HR,1,100,133
1706145476.913851,591526,31392,1,HR,1,100,123
1706145477.753858,592366,31524,1,HR,1,100,112
1706145478.592865,593205,31657,1,HR,1,100,103
1706145479.433872,594046,31789,1,HR,1,100,96
1706145480.246879,594859,31922,1,HR,1,100,91
1706145481.006886,595619,32059,1,HR,1,100,88
1706145481.925894,596538,32210,1,HR,1,100,83
1706145482.805901,597418,32360,1,HR,1,100,80
1706145483.619908,598232,32492,1,HR,1,100,79
1706145484.459915,599072,32625,1,HR,1,100,77
1706145485.139921,599752,32740,1,HR,1,100,80
1706145486.058929,600671,32877,1,HR,1,100,76
1706145486.858936,601471,33012,1,HR,1,100,76
1706145487.672943,602285,33144,1,HR,1,100,76
1706145488.552951,603165,33293,1,HR,1,100,74
1706145489.071955,603684,33377,1,HR,1,100,83
1706145489.871962,604484,33493,1,HR,1,100,81
1706145490.831970,605444,33659,1,HR,1,100,77
1706145491.605977,606218,33784,1,HR,1,100,78
1706145492.645986,607258,33950,1,HR,1,100,73
1706145494.405001,609017,34246,1,HR,1,100,65
1706145495.125007,609737,34362,1,HR,1,100,69
1706145496.019014,610631,34511,1,HR,1,100,69
1706145496.698020,611310,34615,1,HR,1,100,73
1706145497.538027,612150,34735,1,HR,1,100,73
1706145498.458035,613070,34899,1,HR,1,100,71
1706145499.138041,613750,34999,1,HR,1,100,75
1706145500.151050,614763,35166,1,HR,1,100,72
1706145500.911056,615523,35298,1,HR,1,100,73
1706145501.751063,616363,35421,1,HR,1,100,73
1706145502.551070,617163,35556,1,HR,1,100,73
1706145503.444078,618056,35706,1,HR,1,100,72
1706145504.284085,618896,35838,1,HR,1,100,72
1706145505.084092,619696,35970,1,HR,1,100,73
1706145505.844099,620456,36103,1,HR,1,100,74
1706145506.644105,621256,36225,1,HR,1,100,74
1706145507.537113,622149,36376,1,HR,1,100,73
1706145508.577122,623189,36542,1,HR,1,100,70
1706145509.897133,624509,36756,1,HR,1,100,64
1706145510.737140,625349,36888,1,HR,1,100,66
1706145511.550147,626162,37021,1,HR,1,100,68
1706145512.310154,626922,37146,1,HR,1,100,70
1706145512.950159,627562,37245,1,HR,1,100,76
1706145513.830167,628442,37394,1,HR,1,100,74
1706145514.710174,629322,37543,1,HR,1,100,73
1706145515.523181,630135,37676,1,HR,1,100,73
1706145516.363189,630975,37808,1,HR,1,100,73
1706145517.243196,631855,37950,1,HR,1,100,72
1706145517.923202,632535,38065,1,HR,1,100,75
1706145518.643208,633255,38181,1,HR,1,100,77
1706145519.256213,633868,38282,1,HR,1,100,82
1706145520.216222,634828,38431,1,HR,1,100,78
1706145520.816226,635428,38529,1,HR,1,100,83
1706145521.816235,636428,38698,1,HR,1,100,78
1706145522.629242,637241,38835,1,HR,1,100,77
1706145523.509250,638121,38985,1,HR,1,100,75
1706145524.269256,638881,39102,1,HR,1,100,76
1706145525.029263,639641,39218,1,HR,1,100,77
1706145525.949270,640561,39384,1,HR,1,100,74
1706145526.882278,641494,39533,1,HR,1,100,72
1706145527.642285,642254,39656,1,HR,1,100,74
1706145528.282290,642894,39757,1,HR,1,100,78
1706145529.122298,643734,39889,1,HR,1,100,77
1706145529.842304,644454,40005,1,HR,1,100,78
1706145530.695311,645307,40154,1,HR,1,100,77
1706145531.535318,646147,40287,1,HR,1,100,75
1706145532.335325,646947,40409,1,HR,1,100,75
1706145533.415334,648027,40575,1,HR,1,100,71
1706145534.095340,648707,40690,1,HR,1,100,75
1706145535.028348,649640,40840,1,HR,1,100,73
1706145535.868356,650480,40973,1,HR,1,100,72
1706145536.628362,651240,41106,1,HR,1,100,74
1706145537.508369,652120,41247,1,HR,1,100,73
1706145538.321376,652933,41379,1,HR,1,100,73
1706145539.121383,653733,41512,1,HR,1,100,74
1706145539.841389,654453,41628,1,HR,1,100,76
1706145540.601396,655213,41745,1,HR,1,100,76
1706145541.521404,656133,41909,1,HR,1,100,74
1706145542.374411,656986,42049,1,HR,1,100,73
1706145543.214418,657826,42182,1,HR,1,100,73
1706145543.974425,658586,42297,1,HR,1,100,74
1706145544.774432,659386,42429,1,HR,1,100,74
1706145545.654439,660266,42579,1,HR,1,100,73
1706145546.467446,661079,42712,1,HR,1,100,73
1706145547.187452,661799,42831,1,HR,1,100,76
1706145548.067460,662679,42968,1,HR,1,100,74
1706145548.866467,663478,43101,1,HR,1,100,74
1706145549.787475,664399,43251,1,HR,1,100,72
1706145550.520481,665132,43366,1,HR,1,100,75
