LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1706145443.956569,558569.000,25991,3,PG,1,100,4679
1706145443.956569,558569.000,25991,3,PG,1,100,4669
1706145443.956569,558569.000,25991,3,PG,1,100,4665
1706145444.003569,558616.000,26008,2,PG,1,100,4664
1706145444.050570,558663.000,26008,2,PG,1,100,4655
1706145444.090070,558702.500,26023,2,PG,1,100,4657
1706145444.129570,558742.000,26023,2,PG,1,100,4680
1706145444.169571,558782.000,26040,3,PG,1,100,4658
1706145444.209571,558822.000,26040,3,PG,1,100,4655
1706145444.249571,558862.000,26040,3,PG,1,100,4659
1706145444.289572,558902.000,26056,2,PG,1,100,4672
1706145444.329572,558942.000,26056,2,PG,1,100,4666
1706145444.369572,558982.000,26076,3,PG,1,100,4661
1706145444.409573,559022.000,26076,3,PG,1,100,4672
1706145444.449573,559062.000,26076,3,PG,1,100,4672
1706145444.489573,559102.000,26090,3,PG,1,100,4687
1706145444.529574,559142.000,26090,3,PG,1,100,4683
1706145444.569574,559182.000,26090,3,PG,1,100,4686
1706145444.609575,559222.000,26107,2,PG,1,100,4702
1706145444.649575,559262.000,26107,2,PG,1,100,4696
1706145444.689575,559302.000,26124,3,PG,1,100,4692
1706145444.729575,559342.000,26124,3,PG,1,100,4690
1706145444.769576,559382.000,26124,3,PG,1,100,4689
1706145444.809576,559422.000,26141,2,PG,1,100,4670
1706145444.849576,559462.000,26141,2,PG,1,100,4668
1706145444.889577,559502.000,26156,3,PG,1,100,4669
1706145444.929577,559542.000,26156,3,PG,1,100,4659
1706145444.969578,559582.000,26156,3,PG,1,100,4662
1706145445.009578,559622.000,26176,4,PG,1,100,4673
1706145445.049578,559662.000,26176,4,PG,1,100,4669
1706145445.089579,559702.000,26176,4,PG,1,100,4657
1706145445.129579,559742.000,26176,4,PG,1,100,4656
1706145445.169579,559782.000,26192,3,PG,1,100,4663
1706145445.209580,559822.000,26192,3,PG,1,100,4672
1706145445.249580,559862.000,26192,3,PG,1,100,4678
1706145445.289580,559902.000,26209,2,PG,1,100,4685
1706145445.329581,559942.000,26209,2,PG,1,100,4667
1706145445.369581,559982.000,26226,3,PG,1,100,4692
1706145445.409581,560022.000,26226,3,PG,1,100,4689
1706145445.449582,560062.000,26226,3,PG,1,100,4689
1706145445.489582,560102.000,26243,2,PG,1,100,4700
1706145445.529582,560142.000,26243,2,PG,1,100,4698
1706145445.569583,560182.000,26259,3,PG,1,100,4700
1706145445.609583,560222.000,26259,3,PG,1,100,4690
1706145445.649583,560262.000,26259,3,PG,1,100,4678
1706145445.689584,560302.000,26276,3,PG,1,100,4669
1706145445.729584,560342.000,26276,3,PG,1,100,4671
1706145445.769584,560382.000,26276,3,PG,1,100,4670
1706145445.809585,560422.000,26291,2,PG,1,100,4667
1706145445.849585,560462.000,26291,2,PG,1,100,4660
1706145445.889585,560502.000,26308,3,PG,1,100,4662
1706145445.929586,560542.000,26308,3,PG,1,100,4656
1706145445.969586,560582.000,26308,3,PG,1,100,4663
1706145446.009586,560622.000,26324,2,PG,1,100,4665
1706145446.049587,560662.000,26324,2,PG,1,100,4667
1706145446.089587,560702.000,26343,3,PG,1,100,4691
1706145446.129587,560742.000,26343,3,PG,1,100,4688
1706145446.169588,560782.000,26343,3,PG,1,100,4681
1706145446.209588,560822.000,26358,2,PG,1,100,4686
1706145446.249588,560862.000,26358,2,PG,1,100,4685
1706145446.289589,560902.000,26375,3,PG,1,100,4682
1706145446.329589,560942.000,26375,3,PG,1,100,4701
1706145446.369590,560982.000,26375,3,PG,1,100,4706
1706145446.409590,561022.000,26392,2,PG,1,100,4691
1706145446.449590,561062.000,26392,2,PG,1,100,4682
1706145446.489591,561102.000,26409,3,PG,1,100,4673
1706145446.529591,561142.000,26409,3,PG,1,100,4673
1706145446.569591,561182.000,26409,3,PG,1,100,4656
1706145446.609591,561222.000,26423,2,PG,1,100,4669
1706145446.649592,561262.000,26423,2,PG,1,100,4652
1706145446.689592,561302.000,26441,3,PG,1,100,4655
1706145446.729593,561342.000,26441,3,PG,1,100,4671
1706145446.769593,561382.000,26441,3,PG,1,100,4647
1706145446.809593,561422.000,26459,2,PG,1,100,4673
1706145446.849594,561462.000,26459,2,PG,1,100,4671
