LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1706145443.956569,558569.000,25989,3,PI,1,100,156129
1706145443.956569,558569.000,25989,3,PI,1,100,156125
1706145443.956569,558569.000,25989,3,PI,1,100,156112
1706145444.003569,558616.000,26006,2,PI,1,100,156098
1706145444.050570,558663.000,26006,2,PI,1,100,156105
1706145444.090070,558702.500,26021,2,PI,1,100,156122
1706145444.129570,558742.000,26021,2,PI,1,100,156120
1706145444.169571,558782.000,26038,3,PI,1,100,156088
1706145444.209571,558822.000,26038,3,PI,1,100,156117
1706145444.249571,558862.000,26038,3,PI,1,100,156092
1706145444.289572,558902.000,26054,2,PI,1,100,156098
1706145444.329572,558942.000,26054,2,PI,1,100,156097
1706145444.369572,558982.000,26074,3,PI,1,100,156123
1706145444.409573,559022.000,26074,3,PI,1,100,156128
1706145444.449573,559062.000,26074,3,PI,1,100,156138
1706145444.489573,559102.000,26088,3,PI,1,100,156134
1706145444.529574,559142.000,26088,3,PI,1,100,156135
1706145444.569574,559182.000,26088,3,PI,1,100,156154
1706145444.609575,559222.000,26105,2,PI,1,100,156175
1706145444.649575,559262.000,26105,2,PI,1,100,156191
1706145444.689575,559302.000,26122,3,PI,1,100,156207
1706145444.729575,559342.000,26122,3,PI,1,100,156174
1706145444.769576,559382.000,26122,3,PI,1,100,156132
1706145444.809576,559422.000,26139,2,PI,1,100,156126
1706145444.849576,559462.000,26139,2,PI,1,100,156113
1706145444.889577,559502.000,26154,3,PI,1,100,156121
1706145444.929577,559542.000,26154,3,PI,1,100,156123
1706145444.969578,559582.000,26154,3,PI,1,100,156132
1706145445.009578,559622.000,26174,4,PI,1,100,156103
1706145445.049578,559662.000,26174,4,PI,1,100,156089
1706145445.089579,559702.000,26174,4,PI,1,100,156116
1706145445.129579,559742.000,26174,4,PI,1,100,156099
1706145445.169579,559782.000,26190,3,PI,1,100,156110
1706145445.209580,559822.000,26190,3,PI,1,100,156112
1706145445.249580,559862.000,26190,3,PI,1,100,156105
1706145445.289580,559902.000,26207,2,PI,1,100,156123
1706145445.329581,559942.000,26207,2,PI,1,100,156100
1706145445.369581,559982.000,26224,3,PI,1,100,156131
1706145445.409581,560022.000,26224,3,PI,1,100,156131
1706145445.449582,560062.000,26224,3,PI,1,100,156157
1706145445.489582,560102.000,26241,2,PI,1,100,156152
1706145445.529582,560142.000,26241,2,PI,1,100,156170
1706145445.569583,560182.000,26257,3,PI,1,100,156174
1706145445.609583,560222.000,26257,3,PI,1,100,156112
1706145445.649583,560262.000,26257,3,PI,1,100,156104
1706145445.689584,560302.000,26274,3,PI,1,100,156111
1706145445.729584,560342.000,26274,3,PI,1,100,156097
1706145445.769584,560382.000,26274,3,PI,1,100,156093
1706145445.809585,560422.000,26289,2,PI,1,100,156112
1706145445.849585,560462.000,26289,2,PI,1,100,156091
1706145445.889585,560502.000,26306,3,PI,1,100,156086
1706145445.929586,560542.000,26306,3,PI,1,100,156074
1706145445.969586,560582.000,26306,3,PI,1,100,156082
1706145446.009586,560622.000,26322,2,PI,1,100,156069
1706145446.049587,560662.000,26322,2,PI,1,100,156098
1706145446.089587,560702.000,26341,3,PI,1,100,156122
1706145446.129587,560742.000,26341,3,PI,1,100,156123
1706145446.169588,560782.000,26341,3,PI,1,100,156112
1706145446.209588,560822.000,26356,2,PI,1,100,156131
1706145446.249588,560862.000,26356,2,PI,1,100,156160
1706145446.289589,560902.000,26373,3,PI,1,100,156157
1706145446.329589,560942.000,26373,3,PI,1,100,156181
1706145446.369590,560982.000,26373,3,PI,1,100,156176
1706145446.409590,561022.000,26390,2,PI,1,100,156139
1706145446.449590,561062.000,26390,2,PI,1,100,156140
1706145446.489591,561102.000,26407,3,PI,1,100,156120
1706145446.529591,561142.000,26407,3,PI,1,100,156089
1706145446.569591,561182.000,26407,3,PI,1,100,156111
1706145446.609591,561222.000,26421,2,PI,1,100,156097
1706145446.649592,561262.000,26421,2,PI,1,100,156104
1706145446.689592,561302.000,26439,3,PI,1,100,156077
1706145446.729593,561342.000,26439,3,PI,1,100,156088
1706145446.769593,561382.000,26439,3,PI,1,100,156108
1706145446.809593,561422.000,26457,2,PI,1,100,156110
1706145446.849594,561462.000,26457,2,PI,1,100,156097
1706145446.889594,561502.000,26476,3,PI,1,100,156105
1706145446.929594,561542.000,26476,3,PI,1,100,156111
1706145446.969595,561582.000,26476,3,PI,1,100,156118
1706145447.009595,561622.000,26491,3,PI,1,100,156126
1706145447.049595,561662.000,26491,3,PI,1,100,156158
1706145447.089596,561702.000,26491,3,PI,1,100,156144
1706145447.129596,561742.000,26508,2,PI,1,100,156161
1706145447.169596,561782.000,26508,2,PI,1,100,156183
1706145447.209597,561822.000,26524,3,PI,1,100,156180
1706145447.249597,561862.000,26524,3,PI,1,100,156196
1706145447.289598,561902.000,26524,3,PI,1,100,156201
1706145447.329598,561942.000,26541,2,PI,1,100,156195
1706145447.369598,561982.000,26541,2,PI,1,100,156160
1706145447.409598,562022.000,26556,3,PI,1,100,156139
1706145447.449599,562062.000,26556,3,PI,1,100,156137
1706145447.489599,562102.000,26556,3,PI,1,100,156127
1706145447.529599,562142.000,26573,2,PI,1,100,156140
1706145447.569600,562182.000,26573,2,PI,1,100,156136
1706145447.609600,562222.000,26589,3,PI,1,100,156109
1706145447.649601,562262.000,26589,3,PI,1,100,156126
1706145447.689601,562302.000,26589,3,PI,1,100,156132
1706145447.729601,562342.000,26607,2,PI,1,100,156124
1706145447.769602,562382.000,26607,2,PI,1,100,156147
1706145447.809602,562422.000,26624,3,PI,1,100,156171
1706145447.849602,562462.000,26624,3,PI,1,100,156160
1706145447.889602,562502.000,26624,3,PI,1,100,156167
1706145447.936103,562548.500,26640,2,PI,1,100,156202
1706145447.982603,562595.000,26640,2,PI,1,100,156185
1706145448.022604,562635.000,26657,3,PI,1,100,156206
1706145448.062604,562675.000,26657,3,PI,1,100,156207
1706145448.102604,562715.000,26657,3,PI,1,100,156213
1706145448.142605,562755.000,26674,2,PI,1,100,156229
1706145448.182605,562795.000,26674,2,PI,1,100,156235
1706145448.222605,562835.000,26689,3,PI,1,100,156244
