LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1706145443.956569,558569.000,25990,3,PR,1,100,83550
1706145443.956569,558569.000,25990,3,PR,1,100,83551
1706145443.956569,558569.000,25990,3,PR,1,100,83547
1706145444.003569,558616.000,26007,2,PR,1,100,83553
1706145444.050570,558663.000,26007,2,PR,1,100,83565
1706145444.090070,558702.500,26022,2,PR,1,100,83560
1706145444.129570,558742.000,26022,2,PR,1,100,83559
1706145444.169571,558782.000,26039,3,PR,1,100,83538
1706145444.209571,558822.000,26039,3,PR,1,100,83561
1706145444.249571,558862.000,26039,3,PR,1,100,83551
1706145444.289572,558902.000,26055,2,PR,1,100,83567
1706145444.329572,558942.000,26055,2,PR,1,100,83573
1706145444.369572,558982.000,26075,3,PR,1,100,83551
1706145444.409573,559022.000,26075,3,PR,1,100,83568
1706145444.449573,559062.000,26075,3,PR,1,100,83570
1706145444.489573,559102.000,26089,3,PR,1,100,83560
1706145444.529574,559142.000,26089,3,PR,1,100,83558
1706145444.569574,559182.000,26089,3,PR,1,100,83569
1706145444.609575,559222.000,26106,2,PR,1,100,83564
1706145444.649575,559262.000,26106,2,PR,1,100,83568
1706145444.689575,559302.000,26123,3,PR,1,100,83584
1706145444.729575,559342.000,26123,3,PR,1,100,83585
1706145444.769576,559382.000,26123,3,PR,1,100,83559
1706145444.809576,559422.000,26140,2,PR,1,100,83578
1706145444.849576,559462.000,26140,2,PR,1,100,83556
1706145444.889577,559502.000,26155,3,PR,1,100,83560
1706145444.929577,559542.000,26155,3,PR,1,100,83576
1706145444.969578,559582.000,26155,3,PR,1,100,83575
1706145445.009578,559622.000,26175,4,PR,1,100,83563
1706145445.049578,559662.000,26175,4,PR,1,100,83570
1706145445.089579,559702.000,26175,4,PR,1,100,83550
1706145445.129579,559742.000,26175,4,PR,1,100,83559
1706145445.169579,559782.000,26191,3,PR,1,100,83575
1706145445.209580,559822.000,26191,3,PR,1,100,83560
1706145445.249580,559862.000,26191,3,PR,1,100,83546
1706145445.289580,559902.000,26208,2,PR,1,100,83567
1706145445.329581,559942.000,26208,2,PR,1,100,83579
1706145445.369581,559982.000,26225,3,PR,1,100,83564
1706145445.409581,560022.000,26225,3,PR,1,100,83562
1706145445.449582,560062.000,26225,3,PR,1,100,83562
1706145445.489582,560102.000,26242,2,PR,1,100,83553
1706145445.529582,560142.000,26242,2,PR,1,100,83583
1706145445.569583,560182.000,26258,3,PR,1,100,83573
1706145445.609583,560222.000,26258,3,PR,1,100,83536
1706145445.649583,560262.000,26258,3,PR,1,100,83572
1706145445.689584,560302.000,26275,3,PR,1,100,83568
1706145445.729584,560342.000,26275,3,PR,1,100,83571
1706145445.769584,560382.000,26275,3,PR,1,100,83558
1706145445.809585,560422.000,26290,2,PR,1,100,83566
1706145445.849585,560462.000,26290,2,PR,1,100,83565
1706145445.889585,560502.000,26307,3,PR,1,100,83563
1706145445.929586,560542.000,26307,3,PR,1,100,83568
1706145445.969586,560582.000,26307,3,PR,1,100,83558
1706145446.009586,560622.000,26323,2,PR,1,100,83575
1706145446.049587,560662.000,26323,2,PR,1,100,83574
1706145446.089587,560702.000,26342,3,PR,1,100,83578
1706145446.129587,560742.000,26342,3,PR,1,100,83581
1706145446.169588,560782.000,26342,3,PR,1,100,83588
1706145446.209588,560822.000,26357,2,PR,1,100,83580
1706145446.249588,560862.000,26357,2,PR,1,100,83585
1706145446.289589,560902.000,26374,3,PR,1,100,83574
1706145446.329589,560942.000,26374,3,PR,1,100,83584
1706145446.369590,560982.000,26374,3,PR,1,100,83576
1706145446.409590,561022.000,26391,2,PR,1,100,83595
1706145446.449590,561062.000,26391,2,PR,1,100,83574
1706145446.489591,561102.000,26408,3,PR,1,100,83560
