LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1706145445.046578,559659.000,26171,2,RD,1,100,TL
1706145445.046578,559659.000,26171,2,RD,1,100,TU
1706145447.606600,562219.000,27009,2,RD,1,100,TL
1706145450.166622,564779.000,27009,2,RD,1,100,TU
1706145452.734644,567347.000,27842,2,RD,1,100,TL
1706145455.302666,569915.000,27842,2,RD,1,100,TU
1706145457.866688,572479.000,28677,2,RD,1,100,TL
1706145460.430710,575043.000,28677,2,RD,1,100,TU
1706145462.990232,577602.500,29511,2,RD,1,100,TL
1706145465.549754,580162.000,29511,2,RD,1,100,TU
1706145468.100276,582712.500,30348,2,RD,1,100,TL
1706145470.650797,585263.000,30348,2,RD,1,100,TU
1706145473.205819,587818.000,31188,2,RD,1,100,TL
1706145475.760841,590373.000,31188,2,RD,1,100,TU
1706145478.328863,592941.000,32038,2,RD,1,100,TL
1706145480.896885,595509.000,32038,2,RD,1,100,TU
1706145483.452407,598064.500,32874,2,RD,1,100,TL
1706145486.007929,600620.000,32874,2,RD,1,100,TU
1706145488.568451,603180.500,33712,2,RD,1,100,TL
1706145491.128973,605741.000,33712,2,RD,1,100,TU
1706145493.694494,608306.500,34547,2,RD,1,100,TL
1706145496.260016,610872.000,34547,2,RD,1,100,TU
1706145498.816038,613428.000,35368,2,RD,1,100,TL
1706145501.372060,615984.000,35368,2,RD,1,100,TU
1706145503.931082,618543.000,36204,2,RD,1,100,TL
1706145506.490104,621102.000,36204,2,RD,1,100,TU
1706145509.055626,623667.500,37040,2,RD,1,100,TL
1706145511.621148,626233.000,37040,2,RD,1,100,TU
1706145514.187170,628799.000,37877,2,RD,1,100,TL
1706145516.753192,631365.000,37877,2,RD,1,100,TU
1706145519.314714,633926.500,38717,2,RD,1,100,TL
1706145521.876236,636488.000,38717,2,RD,1,100,TU
1706145524.437258,639049.000,39552,2,RD,1,100,TL
1706145526.998280,641610.000,39552,2,RD,1,100,TU
1706145529.553801,644165.500,40372,2,RD,1,100,TL
1706145532.109323,646721.000,40372,2,RD,1,100,TU
1706145534.675845,649287.500,41208,2,RD,1,100,TL
1706145537.242367,651854.000,41208,2,RD,1,100,TU
1706145539.806389,654418.000,42044,2,RD,1,100,TL
1706145542.370411,656982.000,42044,2,RD,1,100,TU
1706145544.935433,659547.000,42882,2,RD,1,100,TL
1706145547.500455,662112.000,42882,2,RD,1,100,TU
1706145550.064477,664676.000,43717,2,RD,1,100,TL
1706145552.628499,667240.000,43717,2,RD,1,100,TU
1706145555.189521,669801.000,44552,2,RD,1,100,TL
1706145557.750543,672362.000,44552,2,RD,1,100,TU
1706145560.309065,674920.500,45390,2,RD,1,100,TL
1706145562.867586,677479.000,45390,2,RD,1,100,TU
1706145565.421608,680033.000,46213,2,RD,1,100,TL
1706145567.975630,682587.000,46213,2,RD,1,100,TU
1706145570.530652,685142.000,47032,2,RD,1,100,TL
1706145573.085674,687697.000,47032,2,RD,1,100,TU
1706145575.639696,690251.000,47856,2,RD,1,100,TL
1706145578.193718,692805.000,47856,2,RD,1,100,TU
1706145580.749239,695360.500,48630,2,RD,1,100,TL
1706145583.304761,697916.000,48630,2,RD,1,100,TU
1706145585.865283,700476.500,49465,2,RD,1,100,TL
1706145588.425805,703037.000,49465,2,RD,1,100,TU
1706145590.988327,705599.500,50301,2,RD,1,100,TL
1706145593.550849,708162.000,50301,2,RD,1,100,TU
1706145596.120371,710731.500,51136,2,RD,1,100,TL
1706145598.689893,713301.000,51136,2,RD,1,100,TU
1706145601.240915,715852.000,51957,2,RD,1,100,TL
1706145603.791937,718403.000,51957,2,RD,1,100,TU
1706145606.354959,720966.000,52795,2,RD,1,100,TL
1706145608.917980,723529.000,52795,2,RD,1,100,TU
1706145611.479502,726090.500,53630,2,RD,1,100,TL
1706145614.041024,728652.000,53630,2,RD,1,100,TU
1706145616.607046,731218.000,54469,2,RD,1,100,TL
1706145619.173068,733784.000,54469,2,RD,1,100,TU
1706145621.734590,736345.500,55304,2,RD,1,100,TL
1706145624.296112,738907.000,55304,2,RD,1,100,TU
1706145626.862634,741473.500,56139,2,RD,1,100,TL
1706145629.429156,744040.000,56139,2,RD,1,100,TU
1706145631.992178,746603.000,56975,2,RD,1,100,TL
1706145634.555200,749166.000,56975,2,RD,1,100,TU
