LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1706145444.141571,558754.000,26020,1,SF,1,100,28.2819
1706145444.408573,559021.000,26073,1,SF,1,100,27.9548
1706145444.741575,559354.000,26121,1,SF,1,100,27.6314
1706145445.141579,559754.000,26173,1,SF,1,100,27.3117
1706145445.408581,560021.000,26223,1,SF,1,100,26.9958
1706145445.741584,560354.000,26273,1,SF,1,100,26.6835
1706145446.141587,560754.000,26340,1,SF,1,100,26.3748
1706145446.474591,561087.000,26389,1,SF,1,100,26.0697
1706145446.741593,561354.000,26438,1,SF,1,100,25.7681
1706145447.074595,561687.000,26490,1,SF,1,100,25.4701
1706145447.474599,562087.000,26555,1,SF,1,100,25.1754
1706145447.741601,562354.000,26606,1,SF,1,100,24.8842
1706145448.074604,562687.000,26656,1,SF,1,100,24.5963
1706145448.407607,563020.000,26705,1,SF,1,100,24.3118
1706145448.807610,563420.000,26770,1,SF,1,100,24.0306
1706145449.074613,563687.000,26822,1,SF,1,100,23.7526
1706145449.407615,564020.000,26873,1,SF,1,100,25.5600
1706145449.807619,564420.000,26940,1,SF,1,100,25.2644
1706145450.074621,564687.000,26988,1,SF,1,100,24.9721
1706145450.474625,565087.000,27044,1,SF,1,100,24.6832
1706145450.741627,565354.000,27092,1,SF,1,100,24.3977
1706145451.074630,565687.000,27141,1,SF,1,100,24.1155
1706145451.474633,566087.000,27208,1,SF,1,100,23.8365
1706145451.807636,566420.000,27260,1,SF,1,100,23.5607
1706145452.074638,566687.000,27309,1,SF,1,100,23.2882
1706145452.407641,567020.000,27359,1,SF,1,100,23.0188
1706145452.807645,567420.000,27424,1,SF,1,100,22.7525
1706145453.074647,567687.000,27475,1,SF,1,100,22.4893
1706145453.407650,568020.000,27525,1,SF,1,100,22.2291
1706145453.807653,568420.000,27590,1,SF,1,100,21.9720
1706145454.140656,568753.000,27641,1,SF,1,100,21.7178
1706145454.407658,569020.000,27691,1,SF,1,100,21.4666
1706145454.740661,569353.000,27740,1,SF,1,100,21.2183
1706145455.140665,569753.000,27807,1,SF,1,100,20.9728
1706145455.407667,570020.000,27844,1,SF,1,100,20.7302
1706145455.807670,570420.000,27909,1,SF,1,100,20.4904
1706145456.073673,570686.000,27959,1,SF,1,100,20.2534
1706145456.407676,571020.000,28008,1,SF,1,100,20.0191
1706145456.807679,571420.000,28078,1,SF,1,100,19.7875
1706145457.073681,571686.000,28127,1,SF,1,100,19.5586
1706145457.407684,572020.000,28176,1,SF,1,100,19.3323
1706145457.740687,572353.000,28226,1,SF,1,100,19.1087
1706145458.140690,572753.000,28291,1,SF,1,100,18.8876
1706145458.407692,573020.000,28342,1,SF,1,100,18.6691
1706145458.740695,573353.000,28392,1,SF,1,100,18.4532
1706145459.140699,573753.000,28457,1,SF,1,100,18.2397
1706145459.473702,574086.000,28508,1,SF,1,100,18.0287
1706145459.740704,574353.000,28558,1,SF,1,100,17.8202
1706145460.073707,574686.000,28607,1,SF,1,100,17.6140
1706145460.473710,575086.000,28681,1,SF,1,100,17.4102
1706145460.740712,575353.000,28729,1,SF,1,100,17.2088
1706145461.073715,575686.000,28778,1,SF,1,100,17.0098
1706145461.406718,576019.000,28830,1,SF,1,100,16.8130
1706145461.806722,576419.000,28897,1,SF,1,100,16.6185
1706145462.073724,576686.000,28948,1,SF,1,100,16.4263
1706145462.406727,577019.000,28996,1,SF,1,100,16.2362
1706145462.739730,577352.000,29047,1,SF,1,100,16.0484
1706145463.073732,577686.000,29097,1,SF,1,100,15.8628
1706145463.473736,578086.000,29162,1,SF,1,100,15.6793
1706145463.739738,578352.000,29213,1,SF,1,100,15.4979
1706145464.073741,578686.000,29263,1,SF,1,100,15.3186
1706145464.473744,579086.000,29328,1,SF,1,100,15.1414
1706145464.739747,579352.000,29379,1,SF,1,100,14.9662
1706145465.072750,579685.000,29428,1,SF,1,100,14.7931
1706145465.406752,580019.000,29478,1,SF,1,100,14.6220
1706145465.806756,580419.000,29550,1,SF,1,100,14.4528
1706145466.072758,580685.000,29598,1,SF,1,100,14.2856
1706145466.406761,581019.000,29649,1,SF,1,100,14.1204
1706145466.806764,581419.000,29716,1,SF,1,100,13.9570
1706145467.072767,581685.000,29768,1,SF,1,100,13.7956
1706145467.406770,582019.000,29817,1,SF,1,100,13.6360
1706145467.739772,582352.000,29865,1,SF,1,100,13.4783
1706145468.139776,582752.000,29932,1,SF,1,100,13.3223
1706145468.405778,583018.000,29983,1,SF,1,100,13.1682
1706145468.739781,583352.000,30031,1,SF,1,100,13.0159
1706145469.139784,583752.000,30098,1,SF,1,100,12.8653
1706145469.472787,584085.000,30147,1,SF,1,100,12.7165
1706145469.739789,584352.000,30199,1,SF,1,100,12.5694
1706145470.072792,584685.000,30248,1,SF,1,100,12.4240
1706145470.472796,585085.000,30313,1,SF,1,100,12.2803
1706145470.805799,585418.000,30368,1,SF,1,100,12.1382
1706145471.072801,585685.000,30419,1,SF,1,100,11.9978
1706145471.405804,586018.000,30469,1,SF,1,100,11.8590
1706145471.805807,586418.000,30536,1,SF,1,100,11.7218
1706145472.072809,586685.000,30585,1,SF,1,100,11.5862
1706145472.405812,587018.000,30636,1,SF,1,100,11.4522
1706145472.738815,587351.000,30686,1,SF,1,100,11.3197
1706145473.138819,587751.000,30753,1,SF,1,100,11.1888
1706145473.405821,588018.000,30801,1,SF,1,100,11.0593
1706145473.738824,588351.000,30850,1,SF,1,100,10.9314
1706145474.138827,588751.000,30917,1,SF,1,100,10.8049
1706145474.405829,589018.000,30967,1,SF,1,100,10.6799
1706145474.738832,589351.000,31020,1,SF,1,100,10.5564
1706145475.071835,589684.000,31068,1,SF,1,100,10.4343
1706145475.471838,590084.000,31135,1,SF,1,100,10.3136
1706145475.738841,590351.000,31191,1,SF,1,100,10.1943
1706145476.071844,590684.000,31239,1,SF,1,100,10.0763
1706145476.471847,591084.000,31306,1,SF,1,100,9.9598
1706145476.738849,591351.000,31355,1,SF,1,100,9.8446
1706145477.071852,591684.000,31408,1,SF,1,100,9.7307
1706145477.405855,592018.000,31458,1,SF,1,100,9.6181
1706145477.805859,592418.000,31525,1,SF,1,100,9.5069
1706145478.071861,592684.000,31573,1,SF,1,100,9.3969
1706145478.404864,593017.000,31622,1,SF,1,100,9.2882
1706145478.805867,593418.000,31689,1,SF,1,100,9.1807
1706145479.071869,593684.000,31739,1,SF,1,100,9.0745
1706145479.404872,594017.000,31790,1,SF,1,100,8.9695
1706145479.738875,594351.000,31838,1,SF,1,100,8.8658
1706145480.138879,594751.000,31903,1,SF,1,100,8.7632
1706145480.405881,595018.000,31956,1,SF,1,100,8.6619
1706145480.738884,595351.000,32004,1,SF,1,100,8.5617
1706145481.138887,595751.000,32076,1,SF,1,100,8.4626
1706145481.404889,596017.000,32125,1,SF,1,100,8.3647
1706145481.737892,596350.000,32175,1,SF,1,100,8.2680
1706145482.071895,596684.000,32228,1,SF,1,100,8.1723
1706145482.471899,597084.000,32293,1,SF,1,100,8.0778
1706145482.737901,597350.000,32341,1,SF,1,100,7.9843
1706145483.071904,597684.000,32392,1,SF,1,100,7.8920
1706145483.471907,598084.000,32458,1,SF,1,100,7.8007
1706145483.804910,598417.000,32509,1,SF,1,100,7.7104
1706145484.071912,598684.000,32558,1,SF,1,100,7.6212
1706145484.404915,599017.000,32606,1,SF,1,100,7.5331
1706145484.804919,599417.000,32673,1,SF,1,100,7.4459
1706145485.071921,599684.000,32724,1,SF,1,100,7.3598
1706145485.404924,600017.000,32774,1,SF,1,100,7.2747
1706145485.804927,600417.000,32839,1,SF,1,100,7.1905
1706145486.070929,600683.000,32878,1,SF,1,100,7.1073
1706145486.404932,601017.000,32926,1,SF,1,100,7.0251
1706145486.804935,601417.000,32993,1,SF,1,100,6.9438
1706145487.070938,601683.000,33046,1,SF,1,100,6.8635
1706145487.404941,602017.000,33094,1,SF,1,100,6.7841
1706145487.804944,602417.000,33161,1,SF,1,100,6.7056
1706145488.137947,602750.000,33210,1,SF,1,100,6.6281
1706145488.404949,603017.000,33260,1,SF,1,100,6.5514
1706145488.737952,603350.000,33311,1,SF,1,100,6.4756
1706145489.137955,603750.000,33378,1,SF,1,100,6.4007
1706145489.403958,604016.000,33426,1,SF,1,100,6.3266
1706145489.737961,604350.000,33476,1,SF,1,100,6.2535
1706145490.070963,604683.000,33527,1,SF,1,100,6.1811
1706145490.470967,605083.000,33592,1,SF,1,100,6.1096
1706145490.737969,605350.000,33641,1,SF,1,100,6.0389
1706145491.070972,605683.000,33691,1,SF,1,100,5.9691
1706145491.403975,606016.000,33749,1,SF,1,100,5.9000
1706145491.737978,606350.000,33799,1,SF,1,100,5.8318
1706145492.136981,606749.000,33866,1,SF,1,100,5.7643
1706145492.403983,607016.000,33917,1,SF,1,100,5.6976
1706145492.736986,607349.000,33967,1,SF,1,100,5.6317
1706145493.136990,607749.000,34032,1,SF,1,100,5.5666
1706145493.470993,608083.000,34081,1,SF,1,100,5.5022
1706145493.736995,608349.000,34131,1,SF,1,100,5.4385
1706145494.070998,608683.000,34180,1,SF,1,100,5.3756
1706145494.471001,609083.000,34247,1,SF,1,100,5.3134
1706145494.737003,609349.000,34295,1,SF,1,100,5.2520
1706145495.071006,609683.000,34344,1,SF,1,100,5.1912
1706145495.471010,610083.000,34412,1,SF,1,100,5.1312
1706145495.804013,610416.000,34461,1,SF,1,100,5.0718
1706145496.070015,610682.000,34512,1,SF,1,100,5.0131
1706145496.404018,611016.000,34565,1,SF,1,100,4.9551
1706145496.737020,611349.000,34616,1,SF,1,100,4.8978
1706145497.070023,611682.000,34666,1,SF,1,100,4.8412
1706145497.404026,612016.000,34717,1,SF,1,100,4.7852
1706145497.737029,612349.000,34767,1,SF,1,100,4.7298
1706145498.137033,612749.000,34832,1,SF,1,100,4.6751
1706145498.404035,613016.000,34883,1,SF,1,100,4.6210
1706145498.737038,613349.000,34933,1,SF,1,100,4.5675
1706145499.137041,613749.000,35000,1,SF,1,100,4.5147
1706145499.403043,614015.000,35049,1,SF,1,100,4.4625
1706145499.737046,614349.000,35099,1,SF,1,100,4.4109
1706145500.070049,614682.000,35148,1,SF,1,100,4.3598
1706145500.470052,615082.000,35215,1,SF,1,100,4.3094
1706145500.737055,615349.000,35263,1,SF,1,100,4.2595
1706145501.070058,615682.000,35314,1,SF,1,100,4.2103
1706145501.470061,616082.000,35370,1,SF,1,100,4.1616
1706145501.736063,616348.000,35422,1,SF,1,100,4.1134
1706145502.070066,616682.000,35473,1,SF,1,100,4.0658
1706145502.470070,617082.000,35538,1,SF,1,100,4.0188
1706145502.736072,617348.000,35588,1,SF,1,100,3.9723
1706145503.070075,617682.000,35638,1,SF,1,100,3.9264
1706145503.403078,618015.000,35687,1,SF,1,100,3.8809
1706145503.803081,618415.000,35754,1,SF,1,100,3.8361
1706145504.070083,618682.000,35803,1,SF,1,100,3.7917
1706145504.403086,619015.000,35853,1,SF,1,100,3.7478
1706145504.803090,619415.000,35918,1,SF,1,100,3.7045
1706145505.070092,619682.000,35971,1,SF,1,100,3.6616
1706145505.403095,620015.000,36019,1,SF,1,100,3.6192
1706145505.736098,620348.000,36068,1,SF,1,100,3.5774
1706145506.136101,620748.000,36135,1,SF,1,100,3.5360
1706145506.403103,621015.000,36185,1,SF,1,100,3.4951
1706145506.736106,621348.000,36242,1,SF,1,100,3.4547
1706145507.069109,621681.000,36293,1,SF,1,100,3.4147
1706145507.403112,622015.000,36343,1,SF,1,100,3.3752
1706145507.803115,622415.000,36410,1,SF,1,100,3.3361
1706145508.069118,622681.000,36458,1,SF,1,100,3.2976
1706145508.402120,623014.000,36507,1,SF,1,100,3.2594
1706145508.803124,623415.000,36574,1,SF,1,100,3.2217
1706145509.069126,623681.000,36624,1,SF,1,100,3.1844
1706145509.402129,624014.000,36673,1,SF,1,100,3.1476
1706145509.736132,624348.000,36721,1,SF,1,100,3.1112
1706145510.136135,624748.000,36788,1,SF,1,100,3.0752
1706145510.402138,625014.000,36839,1,SF,1,100,3.0396
1706145510.736140,625348.000,36889,1,SF,1,100,3.0045
1706145511.136144,625748.000,36954,1,SF,1,100,2.9697
1706145511.469147,626081.000,37003,1,SF,1,100,2.9354
1706145511.802150,626414.000,37062,1,SF,1,100,2.9014
1706145512.069152,626681.000,37111,1,SF,1,100,2.8678
1706145512.402155,627014.000,37163,1,SF,1,100,2.8347
1706145512.735157,627347.000,37212,1,SF,1,100,2.8019
1706145513.135161,627747.000,37279,1,SF,1,100,2.7695
1706145513.402163,628014.000,37327,1,SF,1,100,2.7374
1706145513.735166,628347.000,37376,1,SF,1,100,2.7057
1706145514.135170,628747.000,37444,1,SF,1,100,2.6744
1706145514.469172,629081.000,37493,1,SF,1,100,2.6435
