LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1706145443.934569,558547.000,25994,1,T1,1,100,38.105
1706145444.068570,558681.000,26026,1,T1,1,100,38.116
1706145444.201571,558814.000,26043,1,T1,1,100,38.157
1706145444.334572,558947.000,26059,1,T1,1,100,38.139
1706145444.468573,559081.000,26093,1,T1,1,100,38.202
1706145444.601574,559214.000,26110,1,T1,1,100,38.123
1706145444.734576,559347.000,26127,1,T1,1,100,38.195
1706145444.868577,559481.000,26144,1,T1,1,100,38.191
1706145445.001578,559614.000,26179,2,T1,1,100,38.083
1706145445.134579,559747.000,26179,2,T1,1,100,38.107
1706145445.268580,559881.000,26212,1,T1,1,100,38.188
1706145445.401581,560014.000,26229,1,T1,1,100,38.188
1706145445.534582,560147.000,26246,1,T1,1,100,38.223
1706145445.668584,560281.000,26262,1,T1,1,100,38.132
1706145445.801585,560414.000,26294,1,T1,1,100,38.093
1706145445.934586,560547.000,26311,1,T1,1,100,38.111
1706145446.068587,560681.000,26327,1,T1,1,100,38.154
1706145446.201588,560814.000,26361,1,T1,1,100,37.960
1706145446.334589,560947.000,26378,1,T1,1,100,38.054
1706145446.468590,561081.000,26395,1,T1,1,100,38.201
1706145446.601592,561214.000,26426,1,T1,1,100,38.193
1706145446.734593,561347.000,26444,1,T1,1,100,38.190
1706145446.867594,561480.000,26462,1,T1,1,100,38.259
1706145447.001595,561614.000,26496,1,T1,1,100,38.148
1706145447.134596,561747.000,26513,1,T1,1,100,38.206
1706145447.267597,561880.000,26529,1,T1,1,100,38.195
1706145447.401598,562014.000,26561,1,T1,1,100,38.155
1706145447.534600,562147.000,26578,1,T1,1,100,38.138
1706145447.667601,562280.000,26594,1,T1,1,100,38.131
1706145447.801602,562414.000,26612,1,T1,1,100,38.092
1706145447.934603,562547.000,26645,1,T1,1,100,38.146
1706145448.067604,562680.000,26662,1,T1,1,100,38.205
1706145448.201605,562814.000,26679,1,T1,1,100,38.231
1706145448.334606,562947.000,26711,1,T1,1,100,38.171
1706145448.467607,563080.000,26727,1,T1,1,100,38.145
