LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1706145443.949569,558562.000,25995,1,TH,1,100,36.922
1706145444.083570,558696.000,26027,1,TH,1,100,36.922
1706145444.216571,558829.000,26044,1,TH,1,100,36.927
1706145444.349572,558962.000,26060,1,TH,1,100,36.934
1706145444.483573,559096.000,26094,1,TH,1,100,36.880
1706145444.616575,559229.000,26111,1,TH,1,100,36.873
1706145444.749576,559362.000,26128,1,TH,1,100,36.941
1706145444.883577,559496.000,26159,1,TH,1,100,36.948
1706145445.016578,559629.000,26180,2,TH,1,100,36.918
1706145445.149579,559762.000,26180,2,TH,1,100,36.918
1706145445.283580,559896.000,26213,1,TH,1,100,36.873
1706145445.416581,560029.000,26230,1,TH,1,100,36.873
1706145445.549582,560162.000,26247,1,TH,1,100,36.887
1706145445.683584,560296.000,26279,1,TH,1,100,36.887
1706145445.816585,560429.000,26295,1,TH,1,100,36.972
1706145445.949586,560562.000,26312,1,TH,1,100,36.972
1706145446.083587,560696.000,26346,1,TH,1,100,36.854
1706145446.216588,560829.000,26362,1,TH,1,100,36.854
1706145446.349589,560962.000,26379,1,TH,1,100,36.887
1706145446.482590,561095.000,26396,1,TH,1,100,36.887
1706145446.616592,561229.000,26427,1,TH,1,100,36.922
1706145446.749593,561362.000,26445,1,TH,1,100,36.922
1706145446.882594,561495.000,26463,1,TH,1,100,36.950
1706145447.016595,561629.000,26497,1,TH,1,100,36.950
1706145447.149596,561762.000,26514,1,TH,1,100,36.929
1706145447.282597,561895.000,26530,1,TH,1,100,36.929
1706145447.416599,562029.000,26562,1,TH,1,100,36.969
1706145447.549600,562162.000,26579,1,TH,1,100,36.969
1706145447.682601,562295.000,26595,1,TH,1,100,36.885
1706145447.816602,562429.000,26629,1,TH,1,100,36.885
1706145447.949603,562562.000,26646,1,TH,1,100,36.873
1706145448.082604,562695.000,26663,1,TH,1,100,36.873
1706145448.216605,562829.000,26694,1,TH,1,100,36.868
1706145448.349607,562962.000,26712,1,TH,1,100,36.868
1706145448.482608,563095.000,26728,1,TH,1,100,36.955
1706145448.616609,563229.000,26745,1,TH,1,100,36.955
1706145448.749610,563362.000,26777,1,TH,1,100,36.887
1706145448.882611,563495.000,26795,1,TH,1,100,36.894
1706145449.016612,563629.000,26812,1,TH,1,100,36.887
1706145449.149613,563762.000,26846,1,TH,1,100,36.887
1706145449.282614,563895.000,26862,1,TH,1,100,36.897
1706145449.415616,564028.000,26880,1,TH,1,100,36.897
1706145449.549617,564162.000,26913,1,TH,1,100,36.958
1706145449.682618,564295.000,26929,1,TH,1,100,36.958
1706145449.816619,564429.000,26947,1,TH,1,100,36.918
1706145449.949620,564562.000,26978,1,TH,1,100,36.918
1706145450.082621,564695.000,26995,1,TH,1,100,36.864
1706145450.216622,564829.000,27017,1,TH,1,100,36.864
1706145450.349624,564962.000,27033,1,TH,1,100,36.916
1706145450.482625,565095.000,27051,1,TH,1,100,36.916
1706145450.615626,565228.000,27082,1,TH,1,100,36.958
1706145450.749627,565362.000,27099,1,TH,1,100,36.958
1706145450.882628,565495.000,27116,1,TH,1,100,36.890
1706145451.016629,565629.000,27148,1,TH,1,100,36.890
1706145451.149631,565762.000,27164,1,TH,1,100,36.960
1706145451.282632,565895.000,27181,1,TH,1,100,36.960
1706145451.415633,566028.000,27215,1,TH,1,100,36.923
1706145451.549634,566162.000,27231,1,TH,1,100,36.923
1706145451.682635,566295.000,27248,1,TH,1,100,36.885
1706145451.815636,566428.000,27267,1,TH,1,100,36.885
1706145451.949637,566562.000,27298,1,TH,1,100,36.939
1706145452.082639,566695.000,27316,1,TH,1,100,36.939
1706145452.215640,566828.000,27332,1,TH,1,100,36.923
1706145452.349641,566962.000,27366,1,TH,1,100,36.923
1706145452.482642,567095.000,27383,1,TH,1,100,36.899
1706145452.615643,567228.000,27399,1,TH,1,100,36.899
1706145452.749644,567362.000,27431,1,TH,1,100,36.951
1706145452.882645,567495.000,27448,1,TH,1,100,36.958
1706145453.015646,567628.000,27464,1,TH,1,100,36.960
1706145453.149647,567762.000,27496,1,TH,1,100,36.960
1706145453.282649,567895.000,27515,1,TH,1,100,36.953
1706145453.415650,568028.000,27532,1,TH,1,100,36.953
1706145453.548651,568161.000,27563,1,TH,1,100,36.939
1706145453.682652,568295.000,27580,1,TH,1,100,36.939
