LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1706145445.044578,559657.000,26169,1,TL,1,100,2024-01-24_20-17-20-079149
1706145450.162622,564775.000,27005,1,TL,1,100,2024-01-24_20-17-25-208055
1706145450.164622,564777.000,27007,1,TL,1,100,2024-01-24_20-17-25-208196
1706145455.295666,569908.000,27838,1,TL,1,100,2024-01-24_20-17-30-289537
1706145455.297666,569910.000,27840,1,TL,1,100,2024-01-24_20-17-30-319109
1706145460.425710,575038.000,28673,1,TL,1,100,2024-01-24_20-17-35-476772
1706145460.428710,575041.000,28675,1,TL,1,100,2024-01-24_20-17-35-476897
1706145460.475710,575088.000,28678,1,TL,1,100,2024-01-24_20-17-40-472033
1706145465.542754,580155.000,29509,1,TL,1,100,2024-01-24_20-17-40-745516
1706145465.602754,580215.000,29512,1,TL,1,100,2024-01-24_20-17-45-595094
1706145470.649797,585262.000,30346,1,TL,1,100,2024-01-24_20-17-45-634678
1706145470.701798,585314.000,30349,1,TL,1,100,2024-01-24_20-17-50-698314
1706145475.758841,590371.000,31186,1,TL,1,100,2024-01-24_20-17-50-750321
1706145475.767841,590380.000,31189,1,TL,1,100,2024-01-24_20-17-55-764341
1706145480.894885,595507.000,32036,1,TL,1,100,2024-01-24_20-17-55-831287
1706145480.931885,595544.000,32039,1,TL,1,100,2024-01-24_20-18-00-926267
1706145486.002929,600615.000,32872,1,TL,1,100,2024-01-24_20-18-00-983634
1706145491.121973,605734.000,33708,1,TL,1,100,2024-01-24_20-18-06-176376
1706145491.127973,605740.000,33710,1,TL,1,100,2024-01-24_20-18-06-176461
1706145491.193973,605806.000,33713,1,TL,1,100,2024-01-24_20-18-11-185234
1706145496.255016,610867.000,34545,1,TL,1,100,2024-01-24_20-18-11-286092
1706145501.367060,615979.000,35364,1,TL,1,100,2024-01-24_20-18-16-279877
1706145501.370060,615982.000,35366,1,TL,1,100,2024-01-24_20-18-16-436674
1706145506.486104,621098.000,36200,1,TL,1,100,2024-01-24_20-18-21-690419
1706145506.488104,621100.000,36202,1,TL,1,100,2024-01-24_20-18-21-690533
1706145506.513104,621125.000,36205,1,TL,1,100,2024-01-24_20-18-26-509595
1706145511.619148,626231.000,37038,1,TL,1,100,2024-01-24_20-18-26-653401
1706145511.632148,626244.000,37041,1,TL,1,100,2024-01-24_20-18-31-625314
1706145516.751192,631363.000,37875,1,TL,1,100,2024-01-24_20-18-31-770118
