RD,TS_received,TS_sent,AK,RoundTrip,
559659,564775,2024-01-24_20-17-25-208055,564776,5116,
564779,569908,2024-01-24_20-17-30-289537,569909,5129,
569915,575038,2024-01-24_20-17-35-476772,575040,5123,
575043,575088,2024-01-24_20-17-40-472033,575089,45,
580162,580215,2024-01-24_20-17-45-595094,580216,53,
585263,585314,2024-01-24_20-17-50-698314,585316,51,
590373,590380,2024-01-24_20-17-55-764341,590381,7,
595509,595544,2024-01-24_20-18-00-926267,595545,35,
600620,605734,2024-01-24_20-18-06-176376,605738,5114,
605741,605806,2024-01-24_20-18-11-185234,605808,65,
610872,615979,2024-01-24_20-18-16-279877,615980,5107,
615984,621098,2024-01-24_20-18-21-690419,621099,5114,
621102,621125,2024-01-24_20-18-26-509595,621128,23,
626233,626244,2024-01-24_20-18-31-625314,626245,11,
631365,631378,2024-01-24_20-18-36-758018,631379,13,
636488,636511,2024-01-24_20-18-41-894752,636512,23,
641610,641629,2024-01-24_20-18-47-014435,641631,19,
646721,646788,2024-01-24_20-18-52-163308,646789,67,
651854,651875,2024-01-24_20-18-57-259610,651876,21,
656982,656994,2024-01-24_20-19-02-379220,656995,12,
662112,662120,2024-01-24_20-19-07-503863,662122,8,
667240,667285,2024-01-24_20-19-12-669225,667286,45,
672362,672375,2024-01-24_20-19-17-754686,672377,13,
677479,677519,2024-01-24_20-19-22-903340,677520,40,
682587,687693,2024-01-24_20-19-28-092927,687694,5106,
687697,687757,2024-01-24_20-19-33-137553,687758,60,
692805,692854,2024-01-24_20-19-38-237095,692855,49,
697916,697974,2024-01-24_20-19-43-358020,697976,58,
703037,703075,2024-01-24_20-19-48-459210,703077,38,
708162,713293,2024-01-24_20-19-53-576364,713294,5131,
713301,713316,2024-01-24_20-19-58-700520,713317,15,
718403,718434,2024-01-24_20-20-03-815555,718436,31,
723529,723557,2024-01-24_20-20-08-942725,723558,28,
728652,733779,2024-01-24_20-20-14-048309,733780,5127,
733784,733806,2024-01-24_20-20-19-187616,733807,22,
738907,739006,2024-01-24_20-20-24-389707,739007,99,
744040,744052,2024-01-24_20-20-29-435156,744053,12,
749166,749258,2024-01-24_20-20-34-641565,749260,92,
