LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1706145137.885971,252499.000,40779,2,AK,1,100,39963
1706145137.885971,252499.000,40779,2,AK,1,100,RD
1706145137.891972,252505.000,40782,2,AK,1,100,40780
1706145137.897972,252511.000,40782,2,AK,1,100,RD
1706145140.445503,255058.500,41612,2,AK,1,100,40780
1706145142.993035,257606.000,41612,2,AK,1,100,RD
1706145143.013535,257626.500,41615,2,AK,1,100,41613
1706145143.034036,257647.000,41615,2,AK,1,100,RD
1706145145.567568,260180.500,42441,2,AK,1,100,41613
1706145148.101099,262714.000,42441,2,AK,1,100,RD
1706145148.147600,262760.500,42444,2,AK,1,100,42442
1706145148.194100,262807.000,42444,2,AK,1,100,RD
1706145150.703632,265316.500,43230,2,AK,1,100,42442
1706145153.213163,267826.000,43230,2,AK,1,100,RD
1706145153.243664,267856.500,43233,2,AK,1,100,43231
1706145153.274164,267887.000,43233,2,AK,1,100,RD
1706145155.803695,270416.500,44079,2,AK,1,100,43231
1706145158.333227,272946.000,44079,2,AK,1,100,RD
1706145158.374228,272987.000,44082,2,AK,1,100,44080
1706145158.415228,273028.000,44082,2,AK,1,100,RD
1706145160.933760,275546.500,44911,2,AK,1,100,44080
1706145163.452291,278065.000,44911,2,AK,1,100,RD
1706145166.006323,280619.000,45749,2,AK,1,100,44912
1706145168.560355,283173.000,45749,2,AK,1,100,RD
1706145168.561355,283174.000,45751,2,AK,1,100,44912
1706145168.562355,283175.000,45751,2,AK,1,100,RD
1706145168.571355,283184.000,45754,2,AK,1,100,45752
1706145168.580355,283193.000,45754,2,AK,1,100,RD
1706145171.123387,285736.000,46594,2,AK,1,100,45752
1706145173.666419,288279.000,46594,2,AK,1,100,RD
1706145173.686419,288299.000,46597,2,AK,1,100,46595
1706145173.706419,288319.000,46597,2,AK,1,100,RD
1706145176.319952,290932.500,47394,2,AK,1,100,46595
1706145178.933485,293546.000,47394,2,AK,1,100,RD
1706145178.939485,293552.000,47397,2,AK,1,100,47395
1706145178.945485,293558.000,47397,2,AK,1,100,RD
1706145181.508517,296121.000,48254,2,AK,1,100,47395
1706145184.071549,298684.000,48254,2,AK,1,100,RD
1706145186.641581,301254.000,49105,2,AK,1,100,48255
1706145189.211613,303824.000,49105,2,AK,1,100,RD
1706145189.213114,303825.500,49107,2,AK,1,100,48255
1706145189.214613,303827.000,49107,2,AK,1,100,RD
1706145189.223614,303836.000,49110,2,AK,1,100,49108
1706145189.232614,303845.000,49110,2,AK,1,100,RD
1706145191.784646,306397.000,49962,2,AK,1,100,49108
1706145194.336678,308949.000,49962,2,AK,1,100,RD
1706145194.373178,308985.500,49965,2,AK,1,100,49963
1706145194.409678,309022.000,49965,2,AK,1,100,RD
1706145196.929210,311541.500,50800,2,AK,1,100,49963
1706145199.448741,314061.000,50800,2,AK,1,100,RD
1706145199.478242,314090.500,50803,2,AK,1,100,50801
1706145199.507742,314120.000,50803,2,AK,1,100,RD
1706145202.033274,316645.500,51660,2,AK,1,100,50801
1706145204.558805,319171.000,51660,2,AK,1,100,RD
1706145207.118838,321731.000,52519,2,AK,1,100,51661
1706145209.678869,324291.000,52519,2,AK,1,100,RD
1706145209.680370,324292.500,52521,2,AK,1,100,51661
1706145209.681870,324294.000,52521,2,AK,1,100,RD
1706145209.712370,324324.500,52524,2,AK,1,100,52522
