LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1706145137.292964,251906.000,40685,3,AY,1,100,-0.083
1706145137.292964,251906.000,40685,3,AY,1,100,-0.085
1706145137.292964,251906.000,40685,3,AY,1,100,-0.088
1706145137.332964,251946.000,40700,2,AY,1,100,-0.087
1706145137.372965,251986.000,40700,2,AY,1,100,-0.086
1706145137.412966,252026.000,40717,3,AY,1,100,-0.085
1706145137.452966,252066.000,40717,3,AY,1,100,-0.084
1706145137.492966,252106.000,40717,3,AY,1,100,-0.085
1706145137.532967,252146.000,40736,3,AY,1,100,-0.087
1706145137.572968,252186.000,40736,3,AY,1,100,-0.085
1706145137.612968,252226.000,40736,3,AY,1,100,-0.087
1706145137.652968,252266.000,40752,3,AY,1,100,-0.084
1706145137.692969,252306.000,40752,3,AY,1,100,-0.088
1706145137.732970,252346.000,40752,3,AY,1,100,-0.087
1706145137.772970,252386.000,40770,2,AY,1,100,-0.085
1706145137.812970,252426.000,40770,2,AY,1,100,-0.088
1706145137.852971,252466.000,40791,4,AY,1,100,-0.088
1706145137.892972,252506.000,40791,4,AY,1,100,-0.083
1706145137.932972,252546.000,40791,4,AY,1,100,-0.085
1706145137.972972,252586.000,40791,4,AY,1,100,-0.087
1706145138.012973,252626.000,40808,2,AY,1,100,-0.084
1706145138.052974,252666.000,40808,2,AY,1,100,-0.085
1706145138.092974,252706.000,40827,3,AY,1,100,-0.086
1706145138.132974,252746.000,40827,3,AY,1,100,-0.086
1706145138.172975,252786.000,40827,3,AY,1,100,-0.086
1706145138.212976,252826.000,40844,3,AY,1,100,-0.085
1706145138.252976,252866.000,40844,3,AY,1,100,-0.084
1706145138.292977,252906.000,40844,3,AY,1,100,-0.086
1706145138.332977,252946.000,40860,2,AY,1,100,-0.085
1706145138.372977,252986.000,40860,2,AY,1,100,-0.088
1706145138.412978,253026.000,40878,3,AY,1,100,-0.084
1706145138.452979,253066.000,40878,3,AY,1,100,-0.085
1706145138.492979,253106.000,40878,3,AY,1,100,-0.085
