LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1706145141.737020,256350.000,41427,1,B%,1,100,28
1706145146.737082,261350.000,42236,1,B%,1,100,29
1706145151.736145,266349.000,43011,1,B%,1,100,29
1706145156.736207,271349.000,43825,1,B%,1,100,28
1706145161.735270,276348.000,44656,1,B%,1,100,28
1706145166.735332,281348.000,45456,1,B%,1,100,29
1706145171.734395,286347.000,46282,1,B%,1,100,29
1706145176.734457,291347.000,47112,1,B%,1,100,29
1706145181.734520,296347.000,47877,1,B%,1,100,28
1706145186.733582,301346.000,48712,1,B%,1,100,29
1706145191.732645,306345.000,49534,1,B%,1,100,29
1706145196.732708,311345.000,50373,1,B%,1,100,28
1706145201.731770,316344.000,51200,1,B%,1,100,28
1706145206.731833,321344.000,52041,1,B%,1,100,28
1706145211.730895,326343.000,52886,1,B%,1,100,29
1706145216.730958,331343.000,53715,1,B%,1,100,29
1706145221.730020,336342.000,54564,1,B%,1,100,29
1706145226.730083,341342.000,55407,1,B%,1,100,29
1706145231.729145,346341.000,56251,1,B%,1,100,29
1706145236.729208,351341.000,57076,1,B%,1,100,29
1706145241.728271,356340.000,57901,1,B%,1,100,29
1706145246.728333,361340.000,58740,1,B%,1,100,29
1706145251.727396,366339.000,59583,1,B%,1,100,29
1706145256.727458,371339.000,60414,1,B%,1,100,29
1706145261.726521,376338.000,61250,1,B%,1,100,29
1706145266.726583,381338.000,62096,1,B%,1,100,29
1706145271.725646,386337.000,62922,1,B%,1,100,29
1706145276.725708,391337.000,63767,1,B%,1,100,29
1706145281.724771,396336.000,64596,1,B%,1,100,29
1706145286.724833,401336.000,65434,1,B%,1,100,29
1706145291.723896,406335.000,748,1,B%,1,100,29
1706145296.723958,411335.000,1589,1,B%,1,100,29
1706145301.723021,416334.000,2433,1,B%,1,100,29
1706145306.723083,421334.000,3282,1,B%,1,100,29
1706145311.723146,426334.000,4125,1,B%,1,100,29
1706145316.722208,431333.000,4963,1,B%,1,100,30
1706145321.721271,436332.000,5799,1,B%,1,100,30
1706145326.721334,441332.000,6645,1,B%,1,100,30
1706145331.720396,446331.000,7461,1,B%,1,100,29
1706145336.720459,451331.000,8302,1,B%,1,100,30
1706145341.719521,456330.000,9151,1,B%,1,100,30
1706145346.719584,461330.000,9998,1,B%,1,100,30
1706145351.718646,466329.000,10830,1,B%,1,100,30
