LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1706145138.119974,252733,40816,1,BI,1,100,1920
1706145138.612981,253226,40903,1,BI,1,100,480
1706145141.013011,255626,41291,1,BI,1,100,2400
1706145141.853021,256466,41428,1,BI,1,100,840
1706145142.733032,257346,41577,1,BI,1,100,880
1706145143.626043,258239,41718,1,BI,1,100,880
1706145147.066086,261679,42270,1,BI,1,100,3440
1706145148.919109,263532,42564,1,BI,1,100,1840
1706145149.439116,264052,42650,1,BI,1,100,520
1706145153.132162,267745,43212,1,BI,1,100,3680
1706145153.652169,268265,43301,1,BI,1,100,520
1706145154.932185,269545,43503,1,BI,1,100,1280
1706145155.531192,270144,43606,1,BI,1,100,600
1706145156.665206,271278,43789,1,BI,1,100,1120
1706145157.465216,272078,43925,1,BI,1,100,800
1706145158.225226,272838,44060,1,BI,1,100,760
1706145159.344240,273957,44235,1,BI,1,100,1120
1706145160.344252,274957,44403,1,BI,1,100,1000
1706145161.158262,275771,44537,1,BI,1,100,800
1706145161.998273,276611,44690,1,BI,1,100,840
1706145162.917284,277530,44823,1,BI,1,100,920
1706145163.917297,278530,44982,1,BI,1,100,1000
1706145164.837309,279450,45135,1,BI,1,100,920
1706145165.850321,280463,45304,1,BI,1,100,1000
1706145166.971335,281584,45492,1,BI,1,100,1120
1706145167.730345,282343,45611,1,BI,1,100,760
1706145168.530355,283143,45756,1,BI,1,100,800
1706145169.383365,283996,45875,1,BI,1,100,840
1706145170.143375,284756,46010,1,BI,1,100,760
1706145170.983386,285596,46146,1,BI,1,100,840
1706145171.903397,286516,46302,1,BI,1,100,920
1706145172.663406,287276,46419,1,BI,1,100,760
1706145173.476417,288089,46557,1,BI,1,100,800
1706145174.316427,288929,46683,1,BI,1,100,840
1706145175.116437,289729,46821,1,BI,1,100,800
1706145175.996448,290609,46972,1,BI,1,100,880
1706145176.836459,291449,47113,1,BI,1,100,840
1706145177.769470,292382,47268,1,BI,1,100,920
1706145178.609481,293222,47373,1,BI,1,100,840
1706145179.449491,294062,47469,1,BI,1,100,840
1706145180.289502,294902,47622,1,BI,1,100,840
1706145181.449516,296062,47807,1,BI,1,100,1160
1706145182.342528,296955,47960,1,BI,1,100,880
1706145183.302540,297915,48116,1,BI,1,100,960
1706145184.182551,298795,48257,1,BI,1,100,880
1706145185.062562,299675,48410,1,BI,1,100,880
1706145185.942573,300555,48562,1,BI,1,100,880
1706145186.955585,301568,48732,1,BI,1,100,1000
1706145187.755595,302368,48866,1,BI,1,100,800
1706145188.595606,303208,49003,1,BI,1,100,840
1706145189.635619,304248,49179,1,BI,1,100,1040
1706145190.448629,305061,49314,1,BI,1,100,800
1706145191.448642,306061,49466,1,BI,1,100,1000
1706145192.368653,306981,49622,1,BI,1,100,920
1706145193.288665,307901,49775,1,BI,1,100,920
1706145194.048674,308661,49911,1,BI,1,100,760
1706145195.101687,309714,50082,1,BI,1,100,1040
1706145196.141700,310754,50252,1,BI,1,100,1040
1706145197.101712,311714,50424,1,BI,1,100,960
1706145198.021724,312634,50578,1,BI,1,100,920
1706145198.874734,313487,50714,1,BI,1,100,840
1706145199.674744,314287,50840,1,BI,1,100,800
1706145200.514755,315127,50977,1,BI,1,100,840
1706145201.394766,316007,51130,1,BI,1,100,880
1706145202.234776,316847,51269,1,BI,1,100,840
1706145203.167788,317780,51424,1,BI,1,100,920
1706145204.047799,318660,51575,1,BI,1,100,880
1706145205.007811,319620,51729,1,BI,1,100,960
1706145205.687819,320300,51849,1,BI,1,100,680
1706145206.766833,321379,52021,1,BI,1,100,1080
1706145207.780846,322393,52193,1,BI,1,100,1000
1706145208.779858,323392,52361,1,BI,1,100,1000
1706145209.620869,324233,52500,1,BI,1,100,840
1706145210.419879,325032,52645,1,BI,1,100,800
1706145211.433892,326046,52815,1,BI,1,100,1000
1706145212.272902,326885,52955,1,BI,1,100,840
1706145212.992911,327605,53076,1,BI,1,100,720
1706145213.952923,328565,53229,1,BI,1,100,960
1706145214.712933,329325,53365,1,BI,1,100,760
1706145215.686945,330299,53524,1,BI,1,100,960
1706145216.685957,331298,53698,1,BI,1,100,1000
1706145217.525968,332138,53837,1,BI,1,100,840
1706145218.245977,332858,53954,1,BI,1,100,720
1706145219.325990,333938,54141,1,BI,1,100,1080
1706145220.259002,334871,54303,1,BI,1,100,920
1706145221.259014,335871,54458,1,BI,1,100,1000
1706145222.099025,336711,54613,1,BI,1,100,840
1706145222.939035,337551,54752,1,BI,1,100,840
1706145223.752046,338364,54892,1,BI,1,100,800
1706145224.752058,339364,55060,1,BI,1,100,1000
1706145225.752071,340364,55215,1,BI,1,100,1000
1706145226.712083,341324,55385,1,BI,1,100,960
1706145227.592094,342204,55524,1,BI,1,100,880
1706145228.366103,342978,55660,1,BI,1,100,760
1706145229.125113,343737,55781,1,BI,1,100,760
1706145229.885122,344497,55920,1,BI,1,100,760
1706145230.885135,345497,56081,1,BI,1,100,1000
1706145231.685145,346297,56215,1,BI,1,100,800
1706145232.498155,347110,56355,1,BI,1,100,800
1706145233.338166,347950,56492,1,BI,1,100,840
1706145234.378179,348990,56662,1,BI,1,100,1040
1706145235.378191,349990,56821,1,BI,1,100,1000
1706145236.218201,350830,56958,1,BI,1,100,840
1706145237.231214,351843,57128,1,BI,1,100,1000
1706145238.111225,352723,57280,1,BI,1,100,880
1706145238.951236,353563,57415,1,BI,1,100,840
1706145239.911248,354523,57585,1,BI,1,100,960
1706145240.844259,355456,57726,1,BI,1,100,920
1706145241.684270,356296,57882,1,BI,1,100,840
1706145242.604281,357216,58035,1,BI,1,100,920
1706145243.444292,358056,58169,1,BI,1,100,840
1706145244.404304,359016,58325,1,BI,1,100,960
1706145245.297315,359909,58480,1,BI,1,100,880
1706145246.057325,360669,58603,1,BI,1,100,760
1706145247.017337,361629,58773,1,BI,1,100,960
1706145247.897348,362509,58910,1,BI,1,100,880
1706145248.830359,363442,59080,1,BI,1,100,920
1706145249.630369,364242,59218,1,BI,1,100,800
1706145250.550381,365162,59371,1,BI,1,100,920
1706145251.350391,365962,59498,1,BI,1,100,800
1706145252.150401,366762,59637,1,BI,1,100,800
1706145253.123413,367735,59790,1,BI,1,100,960
1706145253.963423,368575,59941,1,BI,1,100,840
1706145254.723433,369335,60060,1,BI,1,100,760
1706145255.563443,370175,60218,1,BI,1,100,840
1706145256.562456,371174,60378,1,BI,1,100,1000
1706145257.576469,372188,60552,1,BI,1,100,1000
1706145258.455480,373067,60687,1,BI,1,100,880
1706145261.389516,376001,61183,1,BI,1,100,2920
1706145262.229527,376841,61322,1,BI,1,100,840
1706145263.069537,377681,61456,1,BI,1,100,840
1706145263.828547,378440,61595,1,BI,1,100,760
1706145264.588556,379200,61716,1,BI,1,100,760
1706145265.348566,379960,61850,1,BI,1,100,760
1706145266.161576,380773,61973,1,BI,1,100,800
1706145267.001587,381613,62130,1,BI,1,100,840
1706145267.721596,382333,62247,1,BI,1,100,720
1706145268.601607,383213,62385,1,BI,1,100,880
1706145269.321616,383933,62502,1,BI,1,100,720
1706145270.214627,384826,62658,1,BI,1,100,880
1706145271.054637,385666,62794,1,BI,1,100,840
1706145271.934648,386546,62942,1,BI,1,100,880
1706145272.894660,387506,63094,1,BI,1,100,960
1706145273.694670,388306,63230,1,BI,1,100,800
1706145274.427680,389039,63349,1,BI,1,100,720
1706145275.347691,389959,63503,1,BI,1,100,920
1706145276.147701,390759,63639,1,BI,1,100,800
1706145277.067713,391679,63802,1,BI,1,100,920
1706145278.120726,392732,63973,1,BI,1,100,1040
1706145278.800734,393412,64090,1,BI,1,100,680
1706145279.640745,394252,64228,1,BI,1,100,840
1706145280.520756,395132,64381,1,BI,1,100,880
1706145281.440767,396052,64541,1,BI,1,100,920
1706145282.493780,397105,64716,1,BI,1,100,1040
1706145283.373791,397985,64866,1,BI,1,100,880
1706145284.173801,398785,64988,1,BI,1,100,800
1706145285.093813,399705,65160,1,BI,1,100,920
1706145286.053825,400665,65313,1,BI,1,100,960
1706145287.106838,401718,65488,1,BI,1,100,1040
1706145287.866848,402478,91,1,BI,1,100,760
1706145288.786859,403398,245,1,BI,1,100,920
1706145289.586869,404198,364,1,BI,1,100,800
1706145290.559881,405171,538,1,BI,1,100,960
1706145291.519893,406131,688,1,BI,1,100,960
1706145292.479905,407091,851,1,BI,1,100,960
1706145293.319916,407931,1007,1,BI,1,100,840
1706145294.159926,408771,1142,1,BI,1,100,840
1706145295.052938,409664,1294,1,BI,1,100,880
1706145295.972949,410584,1446,1,BI,1,100,920
1706145296.692958,411304,1567,1,BI,1,100,720
1706145297.652970,412264,1732,1,BI,1,100,960
1706145298.452980,413064,1868,1,BI,1,100,800
1706145299.425992,414037,2041,1,BI,1,100,960
1706145300.306003,414917,2179,1,BI,1,100,880
1706145301.026012,415637,2296,1,BI,1,100,720
1706145301.866023,416477,2459,1,BI,1,100,840
1706145302.679033,417290,2597,1,BI,1,100,800
1706145303.639045,418250,2750,1,BI,1,100,960
1706145304.518056,419129,2885,1,BI,1,100,880
1706145305.438067,420049,3040,1,BI,1,100,920
1706145306.238077,420849,3179,1,BI,1,100,800
1706145308.172101,422783,3509,1,BI,1,100,1920
1706145309.091113,423702,3662,1,BI,1,100,920
1706145309.971124,424582,3816,1,BI,1,100,880
1706145310.771134,425382,3954,1,BI,1,100,800
1706145311.585144,426196,4090,1,BI,1,100,800
1706145312.624157,427235,4263,1,BI,1,100,1040
1706145313.584169,428195,4417,1,BI,1,100,960
1706145314.304178,428915,4540,1,BI,1,100,720
1706145315.238190,429849,4693,1,BI,1,100,920
1706145316.077200,430688,4842,1,BI,1,100,840
1706145316.997212,431608,4998,1,BI,1,100,920
1706145317.997225,432608,5157,1,BI,1,100,1000
1706145318.677233,433288,5276,1,BI,1,100,680
1706145319.451243,434062,5392,1,BI,1,100,760
1706145320.490256,435101,5562,1,BI,1,100,1040
1706145321.490268,436101,5730,1,BI,1,100,1000
1706145322.370279,436981,5890,1,BI,1,100,880
1706145323.090288,437701,6012,1,BI,1,100,720
1706145324.103301,438714,6180,1,BI,1,100,1000
1706145324.943311,439554,6319,1,BI,1,100,840
1706145325.823323,440434,6470,1,BI,1,100,880
1706145326.703333,441314,6608,1,BI,1,100,880
1706145327.636345,442247,6768,1,BI,1,100,920
1706145328.316354,442927,6884,1,BI,1,100,680
1706145329.236365,443847,7039,1,BI,1,100,920
1706145330.276378,444887,7207,1,BI,1,100,1040
1706145331.156389,445767,7361,1,BI,1,100,880
1706145331.969399,446580,7495,1,BI,1,100,800
1706145332.889411,447500,7656,1,BI,1,100,920
1706145333.689421,448300,7777,1,BI,1,100,800
1706145334.529431,449140,7930,1,BI,1,100,840
1706145335.502444,450113,8084,1,BI,1,100,960
1706145336.382454,450993,8234,1,BI,1,100,880
1706145337.062463,451673,8356,1,BI,1,100,680
1706145337.982475,452593,8514,1,BI,1,100,920
