LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1706145141.737020,256350.000,41426,1,BV,1,100,3.59
1706145146.737082,261350.000,42235,1,BV,1,100,3.59
1706145151.736145,266349.000,43010,1,BV,1,100,3.59
1706145156.736207,271349.000,43824,1,BV,1,100,3.59
1706145161.735270,276348.000,44655,1,BV,1,100,3.59
1706145166.735332,281348.000,45455,1,BV,1,100,3.59
1706145171.734395,286347.000,46281,1,BV,1,100,3.59
1706145176.734457,291347.000,47111,1,BV,1,100,3.59
1706145181.734520,296347.000,47876,1,BV,1,100,3.59
1706145186.733582,301346.000,48711,1,BV,1,100,3.59
1706145191.732645,306345.000,49533,1,BV,1,100,3.59
1706145196.732708,311345.000,50372,1,BV,1,100,3.59
1706145201.731770,316344.000,51199,1,BV,1,100,3.59
1706145206.731833,321344.000,52040,1,BV,1,100,3.59
1706145211.730895,326343.000,52885,1,BV,1,100,3.59
1706145216.730958,331343.000,53714,1,BV,1,100,3.59
1706145221.730020,336342.000,54563,1,BV,1,100,3.59
1706145226.730083,341342.000,55406,1,BV,1,100,3.59
1706145231.729145,346341.000,56250,1,BV,1,100,3.59
1706145236.729208,351341.000,57075,1,BV,1,100,3.59
1706145241.728271,356340.000,57900,1,BV,1,100,3.59
1706145246.728333,361340.000,58739,1,BV,1,100,3.59
1706145251.727396,366339.000,59582,1,BV,1,100,3.59
1706145256.727458,371339.000,60413,1,BV,1,100,3.60
1706145261.726521,376338.000,61249,1,BV,1,100,3.59
1706145266.726583,381338.000,62095,1,BV,1,100,3.59
1706145271.725646,386337.000,62921,1,BV,1,100,3.59
1706145276.725708,391337.000,63766,1,BV,1,100,3.59
1706145281.724771,396336.000,64595,1,BV,1,100,3.59
1706145286.724833,401336.000,65433,1,BV,1,100,3.59
1706145291.723896,406335.000,747,1,BV,1,100,3.59
1706145296.723958,411335.000,1588,1,BV,1,100,3.59
1706145301.723021,416334.000,2432,1,BV,1,100,3.59
1706145306.723083,421334.000,3281,1,BV,1,100,3.59
1706145311.723146,426334.000,4124,1,BV,1,100,3.59
1706145316.722208,431333.000,4962,1,BV,1,100,3.60
1706145321.721271,436332.000,5798,1,BV,1,100,3.60
1706145326.721334,441332.000,6644,1,BV,1,100,3.60
1706145331.720396,446331.000,7460,1,BV,1,100,3.59
1706145336.720459,451331.000,8301,1,BV,1,100,3.60
1706145341.719521,456330.000,9150,1,BV,1,100,3.60
1706145346.719584,461330.000,9997,1,BV,1,100,3.60
1706145351.718646,466329.000,10829,1,BV,1,100,3.60
