LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1706145137.304964,251918.000,40680,2,EA,1,100,0.067128
1706145137.304964,251918.000,40680,2,EA,1,100,0.067321
1706145137.371965,251985.000,40697,1,EA,1,100,0.067325
1706145137.438466,252051.500,40712,2,EA,1,100,0.067366
1706145137.504967,252118.000,40712,2,EA,1,100,0.067501
1706145137.571968,252185.000,40731,2,EA,1,100,0.067502
1706145137.638968,252252.000,40731,2,EA,1,100,0.067517
1706145137.704969,252318.000,40747,1,EA,1,100,0.067561
1706145137.771970,252385.000,40765,2,EA,1,100,0.067609
1706145137.838971,252452.000,40765,2,EA,1,100,0.067643
1706145137.905472,252518.500,40786,2,EA,1,100,0.067749
1706145137.971972,252585.000,40786,2,EA,1,100,0.067805
1706145138.037973,252651.000,40805,1,EA,1,100,0.067744
1706145138.104974,252718.000,40822,2,EA,1,100,0.067863
1706145138.171975,252785.000,40822,2,EA,1,100,0.067990
1706145138.237976,252851.000,40839,1,EA,1,100,0.067994
1706145138.304977,252918.000,40855,2,EA,1,100,0.068174
1706145138.371978,252985.000,40855,2,EA,1,100,0.068246
1706145138.437978,253051.000,40875,1,EA,1,100,0.068138
1706145138.504979,253118.000,40889,2,EA,1,100,0.068300
1706145138.571980,253185.000,40889,2,EA,1,100,0.068244
1706145138.637981,253251.000,40908,1,EA,1,100,0.068284
1706145138.704982,253318.000,40927,2,EA,1,100,0.068462
1706145138.771982,253385.000,40927,2,EA,1,100,0.068337
1706145138.838983,253452.000,40944,1,EA,1,100,0.068452
1706145138.905484,253518.500,40959,2,EA,1,100,0.068575
1706145138.971985,253585.000,40959,2,EA,1,100,0.068589
1706145139.037986,253651.000,40975,1,EA,1,100,0.068678
1706145139.104987,253718.000,40994,2,EA,1,100,0.068525
1706145139.171988,253785.000,40994,2,EA,1,100,0.068601
1706145139.238488,253851.500,41013,2,EA,1,100,0.068726
1706145139.304989,253918.000,41013,2,EA,1,100,0.068684
1706145139.371990,253985.000,41029,1,EA,1,100,0.068766
1706145139.438491,254051.500,41047,2,EA,1,100,0.068834
1706145139.504992,254118.000,41047,2,EA,1,100,0.068807
1706145139.571992,254185.000,41063,1,EA,1,100,0.068867
1706145139.638493,254251.500,41080,2,EA,1,100,0.068900
1706145139.704994,254318.000,41080,2,EA,1,100,0.068984
1706145139.771995,254385.000,41097,1,EA,1,100,0.068949
1706145139.838496,254451.500,41112,2,EA,1,100,0.068856
1706145139.904997,254518.000,41112,2,EA,1,100,0.068819
1706145139.971498,254584.500,41128,2,EA,1,100,0.068765
1706145140.037998,254651.000,41128,2,EA,1,100,0.068699
