LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1706145137.304964,251918.000,40681,2,EL,1,100,1190.400024
1706145137.304964,251918.000,40681,2,EL,1,100,1130.599976
1706145137.371965,251985.000,40698,1,EL,1,100,1129.400024
1706145137.438466,252051.500,40713,2,EL,1,100,1116.800049
1706145137.504967,252118.000,40713,2,EL,1,100,1075.400024
1706145137.571968,252185.000,40732,2,EL,1,100,1075.000000
1706145137.638968,252252.000,40732,2,EL,1,100,1070.400024
1706145137.704969,252318.000,40748,1,EL,1,100,1057.000000
1706145137.771970,252385.000,40766,2,EL,1,100,1042.400024
1706145137.838971,252452.000,40766,2,EL,1,100,1032.000000
1706145137.905472,252518.500,40787,2,EL,1,100,999.599976
1706145137.971972,252585.000,40787,2,EL,1,100,982.400024
1706145138.037973,252651.000,40806,1,EL,1,100,1001.000000
1706145138.104974,252718.000,40823,2,EL,1,100,964.799988
1706145138.171975,252785.000,40823,2,EL,1,100,926.400024
1706145138.237976,252851.000,40840,1,EL,1,100,925.200012
1706145138.304977,252918.000,40856,2,EL,1,100,871.000000
1706145138.371978,252985.000,40856,2,EL,1,100,849.200012
1706145138.437978,253051.000,40876,1,EL,1,100,881.799988
1706145138.504979,253118.000,40890,2,EL,1,100,833.200012
1706145138.571980,253185.000,40890,2,EL,1,100,849.799988
1706145138.637981,253251.000,40909,1,EL,1,100,837.799988
1706145138.704982,253318.000,40928,2,EL,1,100,784.799988
1706145138.771982,253385.000,40928,2,EL,1,100,822.000000
1706145138.838983,253452.000,40945,1,EL,1,100,787.599976
1706145138.905484,253518.500,40960,2,EL,1,100,751.000000
1706145138.971985,253585.000,40960,2,EL,1,100,747.000000
1706145139.037986,253651.000,40976,1,EL,1,100,720.599976
1706145139.104987,253718.000,40995,2,EL,1,100,766.000000
1706145139.171988,253785.000,40995,2,EL,1,100,743.400024
1706145139.238488,253851.500,41014,2,EL,1,100,706.200012
1706145139.304989,253918.000,41014,2,EL,1,100,718.799988
1706145139.371990,253985.000,41030,1,EL,1,100,694.400024
1706145139.438491,254051.500,41048,2,EL,1,100,674.400024
1706145139.504992,254118.000,41048,2,EL,1,100,682.400024
1706145139.571992,254185.000,41064,1,EL,1,100,664.799988
1706145139.638493,254251.500,41081,2,EL,1,100,655.000000
1706145139.704994,254318.000,41081,2,EL,1,100,630.200012
1706145139.771995,254385.000,41098,1,EL,1,100,640.400024
1706145139.838496,254451.500,41113,2,EL,1,100,668.000000
1706145139.904997,254518.000,41113,2,EL,1,100,678.799988
1706145139.971498,254584.500,41129,2,EL,1,100,694.799988
1706145140.037998,254651.000,41129,2,EL,1,100,714.400024
1706145140.104999,254718.000,41147,1,EL,1,100,723.400024
1706145140.171500,254784.500,41163,2,EL,1,100,706.200012
1706145140.238001,254851.000,41163,2,EL,1,100,680.200012
1706145140.305002,254918.000,41180,1,EL,1,100,668.799988
1706145140.371502,254984.500,41195,2,EL,1,100,669.799988
1706145140.438003,255051.000,41195,2,EL,1,100,639.599976
1706145140.505004,255118.000,41212,1,EL,1,100,599.000000
1706145140.571505,255184.500,41228,2,EL,1,100,598.400024
1706145140.638006,255251.000,41228,2,EL,1,100,597.400024
1706145140.705007,255318.000,41245,1,EL,1,100,550.599976
1706145140.771508,255384.500,41262,2,EL,1,100,549.000000
1706145140.838008,255451.000,41262,2,EL,1,100,570.599976
1706145140.905009,255518.000,41279,1,EL,1,100,536.200012
1706145140.971510,255584.500,41297,2,EL,1,100,518.000000
1706145141.038011,255651.000,41297,2,EL,1,100,499.200012
1706145141.105012,255718.000,41315,1,EL,1,100,430.000000
1706145141.171513,255784.500,41330,2,EL,1,100,382.399994
1706145141.238013,255851.000,41330,2,EL,1,100,365.799988
1706145141.305014,255918.000,41346,1,EL,1,100,343.399994
1706145141.371515,255984.500,41363,2,EL,1,100,310.600006
1706145141.438016,256051.000,41363,2,EL,1,100,271.600006
1706145141.505017,256118.000,41380,1,EL,1,100,246.000000
1706145141.571517,256184.500,41395,2,EL,1,100,182.600006
1706145141.638018,256251.000,41395,2,EL,1,100,171.399994
1706145141.705019,256318.000,41414,2,EL,1,100,189.600006
1706145141.772020,256385.000,41414,2,EL,1,100,195.000000
