LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1706145137.202963,251816.000,40673,4,EM,1,100,RS
1706145137.202963,251816.000,40673,4,EM,1,100,RB
1706145137.202963,251816.000,40673,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145137.202963,251816.000,40673,4,EM,1,100,PS
1706145137.252964,251866.000,40693,4,EM,1,100,RS
1706145137.302964,251916.000,40693,4,EM,1,100,RB
1706145137.352965,251966.000,40693,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145137.402965,252016.000,40693,4,EM,1,100,PS
1706145137.461216,252074.250,40725,4,EM,1,100,RS
1706145137.519467,252132.500,40725,4,EM,1,100,RB
1706145137.577718,252190.750,40725,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145137.635968,252249.000,40725,4,EM,1,100,PS
1706145137.686219,252299.250,40760,4,EM,1,100,RS
1706145137.736470,252349.500,40760,4,EM,1,100,RB
1706145137.786720,252399.750,40760,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145137.836971,252450.000,40760,4,EM,1,100,PS
1706145137.887971,252501.000,40799,4,EM,1,100,RS
1706145137.938972,252552.000,40799,4,EM,1,100,RB
1706145137.989973,252603.000,40799,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145138.040973,252654.000,40799,4,EM,1,100,PS
1706145138.091224,252704.250,40835,4,EM,1,100,RS
1706145138.141475,252754.500,40835,4,EM,1,100,RB
1706145138.191725,252804.750,40835,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145138.241976,252855.000,40835,4,EM,1,100,PS
1706145138.292227,252905.250,40868,4,EM,1,100,RS
1706145138.342477,252955.500,40868,4,EM,1,100,RB
1706145138.392728,253005.750,40868,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145138.442978,253056.000,40868,4,EM,1,100,PS
1706145138.494479,253107.500,40902,4,EM,1,100,RS
1706145138.545980,253159.000,40902,4,EM,1,100,RB
1706145138.597480,253210.500,40902,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145138.648981,253262.000,40902,4,EM,1,100,PS
1706145138.699232,253312.250,40940,4,EM,1,100,RS
1706145138.749482,253362.500,40940,4,EM,1,100,RB
1706145138.799733,253412.750,40940,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145138.849983,253463.000,40940,4,EM,1,100,PS
1706145138.900984,253514.000,40971,4,EM,1,100,RS
1706145138.951985,253565.000,40971,4,EM,1,100,RB
1706145139.002985,253616.000,40971,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145139.053986,253667.000,40971,4,EM,1,100,PS
1706145139.104237,253717.250,41007,4,EM,1,100,RS
1706145139.154487,253767.500,41007,4,EM,1,100,RB
1706145139.204738,253817.750,41007,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145139.254988,253868.000,41007,4,EM,1,100,PS
1706145139.305239,253918.250,41040,4,EM,1,100,RS
1706145139.355490,253968.500,41040,4,EM,1,100,RB
1706145139.405740,254018.750,41040,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145139.455991,254069.000,41040,4,EM,1,100,PS
1706145139.506242,254119.250,41076,4,EM,1,100,RS
1706145139.556492,254169.500,41076,4,EM,1,100,RB
1706145139.606743,254219.750,41076,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145139.656994,254270.000,41076,4,EM,1,100,PS
1706145139.729495,254342.500,41108,4,EM,1,100,RS
1706145139.801995,254415.000,41108,4,EM,1,100,RB
1706145139.874496,254487.500,41108,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145139.946997,254560.000,41108,4,EM,1,100,PS
1706145139.997248,254610.250,41141,4,EM,1,100,RS
1706145140.047498,254660.500,41141,4,EM,1,100,RB
1706145140.097749,254710.750,41141,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145140.148000,254761.000,41141,4,EM,1,100,PS
1706145140.198250,254811.250,41175,4,EM,1,100,RS
1706145140.248501,254861.500,41175,4,EM,1,100,RB
1706145140.298752,254911.750,41175,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145140.349002,254962.000,41175,4,EM,1,100,PS
1706145140.399253,255012.250,41207,4,EM,1,100,RS
1706145140.449503,255062.500,41207,4,EM,1,100,RB
1706145140.499754,255112.750,41207,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145140.550005,255163.000,41207,4,EM,1,100,PS
1706145140.600505,255213.500,41240,4,EM,1,100,RS
1706145140.651006,255264.000,41240,4,EM,1,100,RB
1706145140.701507,255314.500,41240,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145140.752007,255365.000,41240,4,EM,1,100,PS
1706145140.802258,255415.250,41274,4,EM,1,100,RS
1706145140.852509,255465.500,41274,4,EM,1,100,RB
1706145140.902759,255515.750,41274,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145140.953010,255566.000,41274,4,EM,1,100,PS
1706145141.003260,255616.250,41309,4,EM,1,100,RS
1706145141.053511,255666.500,41309,4,EM,1,100,RB
1706145141.103762,255716.750,41309,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145141.154012,255767.000,41309,4,EM,1,100,PS
1706145141.204263,255817.250,41341,4,EM,1,100,RS
1706145141.254514,255867.500,41341,4,EM,1,100,RB
1706145141.304764,255917.750,41341,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145141.355015,255968.000,41341,4,EM,1,100,PS
1706145141.405265,256018.250,41375,4,EM,1,100,RS
1706145141.455516,256068.500,41375,4,EM,1,100,RB
1706145141.505767,256118.750,41375,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145141.556017,256169.000,41375,4,EM,1,100,PS
1706145141.607018,256220.000,41406,4,EM,1,100,RS
1706145141.658019,256271.000,41406,4,EM,1,100,RB
1706145141.709019,256322.000,41406,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145141.760020,256373.000,41406,4,EM,1,100,PS
1706145141.810271,256423.250,41446,4,EM,1,100,RS
1706145141.860521,256473.500,41446,4,EM,1,100,RB
1706145141.910772,256523.750,41446,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145141.961022,256574.000,41446,4,EM,1,100,PS
1706145142.018773,256631.750,41477,4,EM,1,100,RS
1706145142.076524,256689.500,41477,4,EM,1,100,RB
1706145142.134274,256747.250,41477,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145142.192025,256805.000,41477,4,EM,1,100,PS
1706145142.242276,256855.250,41511,4,EM,1,100,RS
1706145142.292526,256905.500,41511,4,EM,1,100,RB
1706145142.342777,256955.750,41511,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145142.393028,257006.000,41511,4,EM,1,100,PS
1706145142.443278,257056.250,41544,4,EM,1,100,RS
1706145142.493529,257106.500,41544,4,EM,1,100,RB
1706145142.543780,257156.750,41544,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145142.594030,257207.000,41544,4,EM,1,100,PS
1706145142.644281,257257.250,41576,4,EM,1,100,RS
1706145142.694532,257307.500,41576,4,EM,1,100,RB
1706145142.744782,257357.750,41576,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145142.795033,257408.000,41576,4,EM,1,100,PS
1706145142.870284,257483.250,41616,4,EM,1,100,RS
1706145142.945535,257558.500,41616,4,EM,1,100,RB
1706145143.020786,257633.750,41616,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145143.096037,257709.000,41616,4,EM,1,100,PS
1706145143.147037,257760.000,41652,4,EM,1,100,RS
1706145143.198038,257811.000,41652,4,EM,1,100,RB
1706145143.249038,257862.000,41652,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145143.300039,257913.000,41652,4,EM,1,100,PS
1706145143.350290,257963.250,41683,4,EM,1,100,RS
1706145143.400540,258013.500,41683,4,EM,1,100,RB
1706145143.450791,258063.750,41683,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145143.501042,258114.000,41683,4,EM,1,100,PS
1706145143.551292,258164.250,41717,4,EM,1,100,RS
1706145143.601543,258214.500,41717,4,EM,1,100,RB
1706145143.651793,258264.750,41717,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145143.702044,258315.000,41717,4,EM,1,100,PS
1706145143.752295,258365.250,41753,4,EM,1,100,RS
1706145143.802545,258415.500,41753,4,EM,1,100,RB
1706145143.852796,258465.750,41753,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145143.903047,258516.000,41753,4,EM,1,100,PS
1706145143.954047,258567.000,41786,4,EM,1,100,RS
1706145144.005048,258618.000,41786,4,EM,1,100,RB
1706145144.056049,258669.000,41786,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145144.107049,258720.000,41786,4,EM,1,100,PS
1706145144.157300,258770.250,41820,4,EM,1,100,RS
1706145144.207551,258820.500,41820,4,EM,1,100,RB
1706145144.257801,258870.750,41820,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145144.308052,258921.000,41820,4,EM,1,100,PS
1706145144.358302,258971.250,41854,4,EM,1,100,RS
1706145144.408553,259021.500,41854,4,EM,1,100,RB
1706145144.458804,259071.750,41854,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145144.509054,259122.000,41854,4,EM,1,100,PS
1706145144.559305,259172.250,41889,4,EM,1,100,RS
1706145144.609555,259222.500,41889,4,EM,1,100,RB
1706145144.659806,259272.750,41889,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145144.710057,259323.000,41889,4,EM,1,100,PS
1706145144.761307,259374.250,41921,4,EM,1,100,RS
1706145144.812558,259425.500,41921,4,EM,1,100,RB
1706145144.863809,259476.750,41921,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145144.915059,259528.000,41921,4,EM,1,100,PS
1706145144.965310,259578.250,41954,4,EM,1,100,RS
1706145145.015561,259628.500,41954,4,EM,1,100,RB
1706145145.065811,259678.750,41954,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145145.116062,259729.000,41954,4,EM,1,100,PS
1706145145.167063,259780.000,41986,4,EM,1,100,RS
1706145145.218063,259831.000,41986,4,EM,1,100,RB
1706145145.269064,259882.000,41986,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145145.320064,259933.000,41986,4,EM,1,100,PS
1706145145.370315,259983.250,42020,4,EM,1,100,RS
1706145145.420566,260033.500,42020,4,EM,1,100,RB
1706145145.470816,260083.750,42020,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145145.521067,260134.000,42020,4,EM,1,100,PS
1706145145.571317,260184.250,42053,4,EM,1,100,RS
1706145145.621568,260234.500,42053,4,EM,1,100,RB
1706145145.671819,260284.750,42053,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145145.722070,260335.000,42053,4,EM,1,100,PS
1706145145.772320,260385.250,42087,4,EM,1,100,RS
1706145145.822571,260435.500,42087,4,EM,1,100,RB
1706145145.872821,260485.750,42087,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145145.923072,260536.000,42087,4,EM,1,100,PS
1706145145.973323,260586.250,42118,4,EM,1,100,RS
1706145146.023573,260636.500,42118,4,EM,1,100,RB
1706145146.073824,260686.750,42118,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145146.124074,260737.000,42118,4,EM,1,100,PS
1706145146.174325,260787.250,42152,4,EM,1,100,RS
1706145146.224576,260837.500,42152,4,EM,1,100,RB
1706145146.274826,260887.750,42152,4,EM,1,100,2024-01-24_20-12-16-730103.csv
1706145146.325077,260938.000,42152,4,EM,1,100,PS
1706145146.375328,260988.250,42184,4,EM,1,100,RS
1706145146.425578,261038.500,42184,4,EM,1,100,RB
