LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1706145137.292964,251906.000,40688,3,GY,1,100,0.885
1706145137.292964,251906.000,40688,3,GY,1,100,0.793
1706145137.292964,251906.000,40688,3,GY,1,100,0.031
1706145137.332964,251946.000,40703,2,GY,1,100,-0.214
1706145137.372965,251986.000,40703,2,GY,1,100,-0.580
1706145137.412966,252026.000,40720,3,GY,1,100,-0.244
1706145137.452966,252066.000,40720,3,GY,1,100,0.366
1706145137.492966,252106.000,40720,3,GY,1,100,-0.427
1706145137.532967,252146.000,40739,3,GY,1,100,0.549
1706145137.572968,252186.000,40739,3,GY,1,100,0.305
1706145137.612968,252226.000,40739,3,GY,1,100,-1.129
1706145137.652968,252266.000,40755,3,GY,1,100,-0.305
1706145137.692969,252306.000,40755,3,GY,1,100,0.305
1706145137.732970,252346.000,40755,3,GY,1,100,0.610
1706145137.772970,252386.000,40773,2,GY,1,100,0.092
1706145137.812970,252426.000,40773,2,GY,1,100,0.153
1706145137.852971,252466.000,40794,4,GY,1,100,0.122
1706145137.892972,252506.000,40794,4,GY,1,100,-0.214
1706145137.932972,252546.000,40794,4,GY,1,100,0.092
1706145137.972972,252586.000,40794,4,GY,1,100,0.092
1706145138.012973,252626.000,40811,2,GY,1,100,0.061
1706145138.052974,252666.000,40811,2,GY,1,100,-0.183
1706145138.092974,252706.000,40830,3,GY,1,100,0.702
1706145138.132974,252746.000,40830,3,GY,1,100,0.793
1706145138.172975,252786.000,40830,3,GY,1,100,0.122
1706145138.212976,252826.000,40847,3,GY,1,100,0.336
1706145138.252976,252866.000,40847,3,GY,1,100,1.221
1706145138.292977,252906.000,40847,3,GY,1,100,0.885
1706145138.332977,252946.000,40863,2,GY,1,100,-0.122
1706145138.372977,252986.000,40863,2,GY,1,100,-0.671
1706145138.412978,253026.000,40881,3,GY,1,100,0.153
1706145138.452979,253066.000,40881,3,GY,1,100,0.153
1706145138.492979,253106.000,40881,3,GY,1,100,0.214
1706145138.528313,253141.333,40897,3,GY,1,100,-0.092
1706145138.563647,253176.667,40897,3,GY,1,100,0.427
1706145138.598980,253212.000,40897,3,GY,1,100,0.092
1706145138.638981,253252.000,40916,2,GY,1,100,-0.671
1706145138.678981,253292.000,40916,2,GY,1,100,-0.732
1706145138.718982,253332.000,40935,3,GY,1,100,-0.366
1706145138.758982,253372.000,40935,3,GY,1,100,0.763
1706145138.798983,253412.000,40935,3,GY,1,100,1.190
1706145138.838983,253452.000,40951,2,GY,1,100,0.946
1706145138.878984,253492.000,40951,2,GY,1,100,0.427
1706145138.918984,253532.000,40966,3,GY,1,100,0.305
1706145138.958985,253572.000,40966,3,GY,1,100,0.366
1706145138.998985,253612.000,40966,3,GY,1,100,-0.916
1706145139.038986,253652.000,40983,2,GY,1,100,-1.404
1706145139.078986,253692.000,40983,2,GY,1,100,-0.702
1706145139.118987,253732.000,41002,3,GY,1,100,-0.763
1706145139.158987,253772.000,41002,3,GY,1,100,-0.519
1706145139.198988,253812.000,41002,3,GY,1,100,0.153
1706145139.238988,253852.000,41021,2,GY,1,100,1.129
1706145139.278989,253892.000,41021,2,GY,1,100,0.854
1706145139.318989,253932.000,41035,3,GY,1,100,-0.214
1706145139.358990,253972.000,41035,3,GY,1,100,0.244
1706145139.398990,254012.000,41035,3,GY,1,100,0.641
1706145139.438991,254052.000,41055,2,GY,1,100,-0.092
1706145139.478991,254092.000,41055,2,GY,1,100,-0.977
1706145139.518992,254132.000,41071,3,GY,1,100,-1.160
1706145139.558992,254172.000,41071,3,GY,1,100,-0.458
1706145139.598993,254212.000,41071,3,GY,1,100,-0.854
1706145139.638993,254252.000,41088,2,GY,1,100,-0.153
1706145139.678994,254292.000,41088,2,GY,1,100,0.885
1706145139.718994,254332.000,41103,3,GY,1,100,-0.488
1706145139.758995,254372.000,41103,3,GY,1,100,-1.404
1706145139.798995,254412.000,41103,3,GY,1,100,0.397
1706145139.838996,254452.000,41120,3,GY,1,100,-0.031
1706145139.878996,254492.000,41120,3,GY,1,100,-0.427
1706145139.918997,254532.000,41120,3,GY,1,100,0.000
1706145139.958997,254572.000,41136,3,GY,1,100,-0.275
1706145139.998998,254612.000,41136,3,GY,1,100,-2.075
1706145140.038998,254652.000,41136,3,GY,1,100,-1.312
1706145140.078999,254692.000,41154,2,GY,1,100,-0.641
1706145140.118999,254732.000,41154,2,GY,1,100,-0.244
1706145140.159000,254772.000,41170,3,GY,1,100,0.092
1706145140.199000,254812.000,41170,3,GY,1,100,0.366
1706145140.239001,254852.000,41170,3,GY,1,100,1.404
1706145140.279001,254892.000,41185,2,GY,1,100,-3.174
1706145140.319002,254932.000,41185,2,GY,1,100,0.397
1706145140.359002,254972.000,41202,3,GY,1,100,-0.305
1706145140.399003,255012.000,41202,3,GY,1,100,-0.214
1706145140.439003,255052.000,41202,3,GY,1,100,-1.129
1706145140.474670,255087.667,41219,3,GY,1,100,0.153
1706145140.510338,255123.333,41219,3,GY,1,100,-0.671
1706145140.546005,255159.000,41219,3,GY,1,100,-0.763
1706145140.586005,255199.000,41235,2,GY,1,100,-0.305
1706145140.626006,255239.000,41235,2,GY,1,100,0.427
1706145140.666006,255279.000,41250,3,GY,1,100,-0.031
1706145140.706007,255319.000,41250,3,GY,1,100,-0.763
1706145140.746007,255359.000,41250,3,GY,1,100,-0.671
1706145140.786008,255399.000,41269,2,GY,1,100,-0.366
1706145140.826008,255439.000,41269,2,GY,1,100,-0.183
1706145140.866009,255479.000,41286,3,GY,1,100,-0.397
1706145140.906009,255519.000,41286,3,GY,1,100,-0.549
1706145140.946010,255559.000,41286,3,GY,1,100,-0.519
1706145140.986010,255599.000,41304,3,GY,1,100,-0.580
1706145141.026011,255639.000,41304,3,GY,1,100,0.122
1706145141.066011,255679.000,41304,3,GY,1,100,1.007
1706145141.106012,255719.000,41321,2,GY,1,100,0.580
1706145141.146012,255759.000,41321,2,GY,1,100,0.000
1706145141.186013,255799.000,41336,3,GY,1,100,0.214
1706145141.226013,255839.000,41336,3,GY,1,100,0.031
1706145141.266014,255879.000,41336,3,GY,1,100,0.366
1706145141.306014,255919.000,41353,2,GY,1,100,0.641
1706145141.346015,255959.000,41353,2,GY,1,100,0.244
1706145141.386015,255999.000,41370,3,GY,1,100,-0.183
1706145141.426016,256039.000,41370,3,GY,1,100,-0.366
1706145141.466016,256079.000,41370,3,GY,1,100,0.580
1706145141.506017,256119.000,41386,2,GY,1,100,0.885
1706145141.546017,256159.000,41386,2,GY,1,100,0.336
1706145141.586018,256199.000,41401,3,GY,1,100,0.244
1706145141.626018,256239.000,41401,3,GY,1,100,0.031
1706145141.666019,256279.000,41401,3,GY,1,100,0.153
1706145141.706019,256319.000,41421,2,GY,1,100,0.153
1706145141.746020,256359.000,41421,2,GY,1,100,0.122
1706145141.786020,256399.000,41441,3,GY,1,100,0.275
1706145141.826021,256439.000,41441,3,GY,1,100,-0.275
1706145141.866021,256479.000,41441,3,GY,1,100,-0.397
1706145141.906022,256519.000,41458,2,GY,1,100,0.092
1706145141.946022,256559.000,41458,2,GY,1,100,0.092
1706145141.986023,256599.000,41472,3,GY,1,100,-0.702
1706145142.026023,256639.000,41472,3,GY,1,100,-0.641
1706145142.066024,256679.000,41472,3,GY,1,100,-0.153
1706145142.106024,256719.000,41490,3,GY,1,100,0.122
1706145142.146025,256759.000,41490,3,GY,1,100,0.122
1706145142.186025,256799.000,41490,3,GY,1,100,0.305
1706145142.221692,256834.667,41506,3,GY,1,100,-0.793
1706145142.257360,256870.333,41506,3,GY,1,100,-0.610
1706145142.293026,256906.000,41506,3,GY,1,100,-0.214
1706145142.333027,256946.000,41523,2,GY,1,100,0.183
1706145142.373028,256986.000,41523,2,GY,1,100,0.427
1706145142.413028,257026.000,41539,3,GY,1,100,0.122
1706145142.453028,257066.000,41539,3,GY,1,100,0.305
1706145142.493029,257106.000,41539,3,GY,1,100,0.153
1706145142.533030,257146.000,41555,2,GY,1,100,-0.671
1706145142.573030,257186.000,41555,2,GY,1,100,-0.244
1706145142.613030,257226.000,41571,3,GY,1,100,0.061
1706145142.653031,257266.000,41571,3,GY,1,100,0.092
1706145142.693032,257306.000,41571,3,GY,1,100,0.031
1706145142.733032,257346.000,41591,2,GY,1,100,0.549
1706145142.773032,257386.000,41591,2,GY,1,100,0.458
1706145142.812700,257425.667,41606,3,GY,1,100,-0.122
1706145142.852367,257465.333,41606,3,GY,1,100,0.580
1706145142.892034,257505.000,41606,3,GY,1,100,0.610
1706145142.932034,257545.000,41628,5,GY,1,100,1.099
1706145142.972035,257585.000,41628,5,GY,1,100,0.031
1706145143.012036,257625.000,41628,5,GY,1,100,0.793
1706145143.052036,257665.000,41628,5,GY,1,100,1.190
1706145143.092036,257705.000,41628,5,GY,1,100,0.336
1706145143.132037,257745.000,41647,2,GY,1,100,0.122
1706145143.172038,257785.000,41647,2,GY,1,100,0.397
1706145143.212038,257825.000,41664,3,GY,1,100,0.244
1706145143.252038,257865.000,41664,3,GY,1,100,0.580
1706145143.292039,257905.000,41664,3,GY,1,100,0.031
1706145143.332040,257945.000,41678,2,GY,1,100,0.885
1706145143.372040,257985.000,41678,2,GY,1,100,0.122
1706145143.412040,258025.000,41696,3,GY,1,100,0.366
1706145143.452041,258065.000,41696,3,GY,1,100,0.305
1706145143.492042,258105.000,41696,3,GY,1,100,-0.854
1706145143.532042,258145.000,41712,3,GY,1,100,-1.648
1706145143.572042,258185.000,41712,3,GY,1,100,-0.916
1706145143.612043,258225.000,41712,3,GY,1,100,0.488
1706145143.652044,258265.000,41733,2,GY,1,100,0.580
1706145143.692044,258305.000,41733,2,GY,1,100,0.458
1706145143.732044,258345.000,41748,3,GY,1,100,-0.671
1706145143.772045,258385.000,41748,3,GY,1,100,-0.916
1706145143.812046,258425.000,41748,3,GY,1,100,0.427
1706145143.852046,258465.000,41765,2,GY,1,100,0.916
1706145143.892046,258505.000,41765,2,GY,1,100,0.275
1706145143.932047,258545.000,41781,3,GY,1,100,-1.007
1706145143.972048,258585.000,41781,3,GY,1,100,-1.099
1706145144.012048,258625.000,41781,3,GY,1,100,0.702
1706145144.052048,258665.000,41801,2,GY,1,100,-0.244
1706145144.092049,258705.000,41801,2,GY,1,100,0.000
1706145144.132050,258745.000,41815,3,GY,1,100,0.061
1706145144.172050,258785.000,41815,3,GY,1,100,0.366
1706145144.212050,258825.000,41815,3,GY,1,100,-2.289
1706145144.247718,258860.667,41832,3,GY,1,100,1.038
1706145144.283385,258896.333,41832,3,GY,1,100,0.946
1706145144.319052,258932.000,41832,3,GY,1,100,-0.397
1706145144.359052,258972.000,41849,3,GY,1,100,-0.427
1706145144.399053,259012.000,41849,3,GY,1,100,0.397
1706145144.439053,259052.000,41849,3,GY,1,100,0.427
1706145144.479054,259092.000,41866,2,GY,1,100,-0.671
1706145144.519054,259132.000,41866,2,GY,1,100,-0.122
