LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1706145138.119974,252733,40817,1,HR,1,100,66
1706145138.612981,253226,40904,1,HR,1,100,79
1706145141.013011,255626,41292,1,HR,1,100,67
1706145141.853021,256466,41429,1,HR,1,100,68
1706145142.733032,257346,41578,1,HR,1,100,68
1706145143.626043,258239,41719,1,HR,1,100,68
1706145147.066086,261679,42271,1,HR,1,100,57
1706145148.919109,263532,42565,1,HR,1,100,51
1706145149.439116,264052,42651,1,HR,1,100,66
1706145153.132162,267745,43213,1,HR,1,100,55
1706145153.652169,268265,43302,1,HR,1,100,68
1706145154.932185,269545,43504,1,HR,1,100,63
1706145155.531192,270144,43607,1,HR,1,100,72
1706145156.665206,271278,43790,1,HR,1,100,68
1706145157.465216,272078,43926,1,HR,1,100,69
1706145158.225226,272838,44061,1,HR,1,100,71
1706145159.344240,273957,44236,1,HR,1,100,67
1706145160.344252,274957,44404,1,HR,1,100,66
1706145161.158262,275771,44538,1,HR,1,100,68
1706145161.998273,276611,44691,1,HR,1,100,69
1706145162.917284,277530,44824,1,HR,1,100,68
1706145163.917297,278530,44983,1,HR,1,100,66
1706145164.837309,279450,45136,1,HR,1,100,66
1706145165.850321,280463,45305,1,HR,1,100,65
1706145166.971335,281584,45493,1,HR,1,100,62
1706145167.730345,282343,45612,1,HR,1,100,66
1706145168.530355,283143,45757,1,HR,1,100,68
1706145169.383365,283996,45876,1,HR,1,100,69
1706145170.143375,284756,46011,1,HR,1,100,71
1706145170.983386,285596,46147,1,HR,1,100,71
1706145171.903397,286516,46303,1,HR,1,100,70
1706145172.663406,287276,46420,1,HR,1,100,72
1706145173.476417,288089,46558,1,HR,1,100,73
1706145174.316427,288929,46684,1,HR,1,100,72
1706145175.116437,289729,46822,1,HR,1,100,73
1706145175.996448,290609,46973,1,HR,1,100,72
1706145176.836459,291449,47114,1,HR,1,100,72
1706145177.769470,292382,47269,1,HR,1,100,70
1706145178.609481,293222,47374,1,HR,1,100,71
1706145179.449491,294062,47470,1,HR,1,100,71
1706145180.289502,294902,47623,1,HR,1,100,71
1706145181.449516,296062,47808,1,HR,1,100,67
1706145182.342528,296955,47961,1,HR,1,100,67
1706145183.302540,297915,48117,1,HR,1,100,66
1706145184.182551,298795,48258,1,HR,1,100,66
1706145185.062562,299675,48411,1,HR,1,100,67
1706145185.942573,300555,48563,1,HR,1,100,67
1706145186.955585,301568,48733,1,HR,1,100,66
1706145187.755595,302368,48867,1,HR,1,100,68
1706145188.595606,303208,49004,1,HR,1,100,68
1706145189.635619,304248,49180,1,HR,1,100,66
1706145190.448629,305061,49315,1,HR,1,100,68
1706145191.448642,306061,49467,1,HR,1,100,66
1706145192.368653,306981,49623,1,HR,1,100,66
1706145193.288665,307901,49776,1,HR,1,100,66
1706145194.048674,308661,49912,1,HR,1,100,69
1706145195.101687,309714,50083,1,HR,1,100,66
1706145196.141700,310754,50253,1,HR,1,100,64
1706145197.101712,311714,50425,1,HR,1,100,64
1706145198.021724,312634,50579,1,HR,1,100,64
1706145198.874734,313487,50715,1,HR,1,100,66
1706145199.674744,314287,50841,1,HR,1,100,68
1706145200.514755,315127,50978,1,HR,1,100,69
1706145201.394766,316007,51131,1,HR,1,100,69
1706145202.234776,316847,51270,1,HR,1,100,69
1706145203.167788,317780,51425,1,HR,1,100,68
1706145204.047799,318660,51576,1,HR,1,100,68
1706145205.007811,319620,51730,1,HR,1,100,67
1706145205.687819,320300,51850,1,HR,1,100,72
1706145206.766833,321379,52022,1,HR,1,100,68
1706145207.780846,322393,52194,1,HR,1,100,66
1706145208.779858,323392,52362,1,HR,1,100,65
1706145209.620869,324233,52501,1,HR,1,100,66
1706145210.419879,325032,52646,1,HR,1,100,68
1706145211.433892,326046,52816,1,HR,1,100,66
1706145212.272902,326885,52956,1,HR,1,100,68
1706145212.992911,327605,53077,1,HR,1,100,71
1706145213.952923,328565,53230,1,HR,1,100,69
1706145214.712933,329325,53366,1,HR,1,100,71
1706145215.686945,330299,53525,1,HR,1,100,69
1706145216.685957,331298,53699,1,HR,1,100,67
1706145217.525968,332138,53838,1,HR,1,100,68
1706145218.245977,332858,53955,1,HR,1,100,72
1706145219.325990,333938,54142,1,HR,1,100,68
1706145220.259002,334871,54304,1,HR,1,100,67
1706145221.259014,335871,54459,1,HR,1,100,66
1706145222.099025,336711,54614,1,HR,1,100,67
1706145222.939035,337551,54753,1,HR,1,100,68
1706145223.752046,338364,54893,1,HR,1,100,70
1706145224.752058,339364,55061,1,HR,1,100,67
1706145225.752071,340364,55216,1,HR,1,100,66
1706145226.712083,341324,55386,1,HR,1,100,65
1706145227.592094,342204,55525,1,HR,1,100,66
1706145228.366103,342978,55661,1,HR,1,100,69
1706145229.125113,343737,55782,1,HR,1,100,71
1706145229.885122,344497,55921,1,HR,1,100,73
1706145230.885135,345497,56082,1,HR,1,100,70
1706145231.685145,346297,56216,1,HR,1,100,71
1706145232.498155,347110,56356,1,HR,1,100,72
1706145233.338166,347950,56493,1,HR,1,100,72
1706145234.378179,348990,56663,1,HR,1,100,69
1706145235.378191,349990,56822,1,HR,1,100,67
1706145236.218201,350830,56959,1,HR,1,100,68
1706145237.231214,351843,57129,1,HR,1,100,66
1706145238.111225,352723,57281,1,HR,1,100,67
1706145238.951236,353563,57416,1,HR,1,100,68
1706145239.911248,354523,57586,1,HR,1,100,66
1706145240.844259,355456,57727,1,HR,1,100,66
1706145241.684270,356296,57883,1,HR,1,100,67
1706145242.604281,357216,58036,1,HR,1,100,67
1706145243.444292,358056,58170,1,HR,1,100,68
1706145244.404304,359016,58326,1,HR,1,100,67
1706145245.297315,359909,58481,1,HR,1,100,67
1706145246.057325,360669,58604,1,HR,1,100,70
1706145247.017337,361629,58774,1,HR,1,100,68
1706145247.897348,362509,58911,1,HR,1,100,68
1706145248.830359,363442,59081,1,HR,1,100,67
1706145249.630369,364242,59219,1,HR,1,100,69
1706145250.550381,365162,59372,1,HR,1,100,68
1706145251.350391,365962,59499,1,HR,1,100,70
1706145252.150401,366762,59638,1,HR,1,100,71
1706145253.123413,367735,59791,1,HR,1,100,69
1706145253.963423,368575,59942,1,HR,1,100,70
1706145254.723433,369335,60061,1,HR,1,100,72
1706145255.563443,370175,60219,1,HR,1,100,72
1706145256.562456,371174,60379,1,HR,1,100,69
1706145257.576469,372188,60553,1,HR,1,100,67
1706145258.455480,373067,60688,1,HR,1,100,67
1706145261.389516,376001,61184,1,HR,1,100,57
1706145262.229527,376841,61323,1,HR,1,100,60
1706145263.069537,377681,61457,1,HR,1,100,63
1706145263.828547,378440,61596,1,HR,1,100,66
1706145264.588556,379200,61717,1,HR,1,100,69
1706145265.348566,379960,61851,1,HR,1,100,71
1706145266.161576,380773,61974,1,HR,1,100,72
1706145267.001587,381613,62131,1,HR,1,100,72
