LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1706145137.199963,251813.000,40676,1,PG,1,100,4161
1706145137.239963,251853.000,40679,2,PG,1,100,4161
1706145137.279964,251893.000,40679,2,PG,1,100,4181
1706145137.319964,251933.000,40696,3,PG,1,100,4187
1706145137.359965,251973.000,40696,3,PG,1,100,4164
1706145137.399965,252013.000,40696,3,PG,1,100,4183
1706145137.439966,252053.000,40711,2,PG,1,100,4197
1706145137.479966,252093.000,40711,2,PG,1,100,4189
1706145137.519967,252133.000,40730,4,PG,1,100,4198
1706145137.559967,252173.000,40730,4,PG,1,100,4195
1706145137.599968,252213.000,40730,4,PG,1,100,4202
1706145137.639968,252253.000,40730,4,PG,1,100,4181
1706145137.679969,252293.000,40746,2,PG,1,100,4183
1706145137.719969,252333.000,40746,2,PG,1,100,4192
1706145137.759970,252373.000,40764,3,PG,1,100,4195
1706145137.799970,252413.000,40764,3,PG,1,100,4171
1706145137.839971,252453.000,40764,3,PG,1,100,4181
1706145137.879971,252493.000,40785,3,PG,1,100,4186
1706145137.919972,252533.000,40785,3,PG,1,100,4198
1706145137.959972,252573.000,40785,3,PG,1,100,4193
1706145137.999973,252613.000,40804,3,PG,1,100,4193
1706145138.039973,252653.000,40804,3,PG,1,100,4185
1706145138.079974,252693.000,40804,3,PG,1,100,4187
1706145138.119974,252733.000,40821,2,PG,1,100,4199
1706145138.159975,252773.000,40821,2,PG,1,100,4202
1706145138.199975,252813.000,40838,3,PG,1,100,4198
1706145138.239976,252853.000,40838,3,PG,1,100,4203
1706145138.279976,252893.000,40838,3,PG,1,100,4225
1706145138.319977,252933.000,40854,2,PG,1,100,4214
1706145138.359977,252973.000,40854,2,PG,1,100,4194
1706145138.404311,253017.333,40874,3,PG,1,100,4203
1706145138.448645,253061.667,40874,3,PG,1,100,4203
1706145138.492979,253106.000,40874,3,PG,1,100,4189
1706145138.532979,253146.000,40888,2,PG,1,100,4209
1706145138.572980,253186.000,40888,2,PG,1,100,4202
1706145138.612981,253226.000,40907,3,PG,1,100,4195
1706145138.652981,253266.000,40907,3,PG,1,100,4192
1706145138.692981,253306.000,40907,3,PG,1,100,4194
1706145138.732982,253346.000,40926,2,PG,1,100,4199
1706145138.772983,253386.000,40926,2,PG,1,100,4199
1706145138.812983,253426.000,40943,3,PG,1,100,4192
1706145138.852983,253466.000,40943,3,PG,1,100,4214
1706145138.892984,253506.000,40943,3,PG,1,100,4215
1706145138.932985,253546.000,40958,2,PG,1,100,4204
1706145138.972985,253586.000,40958,2,PG,1,100,4216
1706145139.012985,253626.000,40974,3,PG,1,100,4212
1706145139.052986,253666.000,40974,3,PG,1,100,4205
1706145139.092987,253706.000,40974,3,PG,1,100,4205
1706145139.132987,253746.000,40993,2,PG,1,100,4203
1706145139.172987,253786.000,40993,2,PG,1,100,4205
1706145139.212988,253826.000,41012,3,PG,1,100,4186
1706145139.252989,253866.000,41012,3,PG,1,100,4197
1706145139.292989,253906.000,41012,3,PG,1,100,4201
1706145139.332989,253946.000,41028,2,PG,1,100,4187
1706145139.372990,253986.000,41028,2,PG,1,100,4185
1706145139.412991,254026.000,41046,3,PG,1,100,4204
1706145139.452991,254066.000,41046,3,PG,1,100,4195
1706145139.492991,254106.000,41046,3,PG,1,100,4202
1706145139.532992,254146.000,41062,2,PG,1,100,4205
1706145139.572993,254186.000,41062,2,PG,1,100,4200
1706145139.612993,254226.000,41079,3,PG,1,100,4214
1706145139.652993,254266.000,41079,3,PG,1,100,4208
1706145139.692994,254306.000,41079,3,PG,1,100,4211
1706145139.732995,254346.000,41096,3,PG,1,100,4195
1706145139.772995,254386.000,41096,3,PG,1,100,4187
1706145139.812995,254426.000,41096,3,PG,1,100,4180
1706145139.852996,254466.000,41111,3,PG,1,100,4181
1706145139.892997,254506.000,41111,3,PG,1,100,4170
1706145139.932997,254546.000,41111,3,PG,1,100,4194
1706145139.972997,254586.000,41127,2,PG,1,100,4188
1706145140.012998,254626.000,41127,2,PG,1,100,4190
1706145140.052999,254666.000,41145,3,PG,1,100,4175
1706145140.092999,254706.000,41145,3,PG,1,100,4186
1706145140.132999,254746.000,41145,3,PG,1,100,4182
1706145140.173000,254786.000,41161,3,PG,1,100,4173
1706145140.213001,254826.000,41161,3,PG,1,100,4185
1706145140.253001,254866.000,41161,3,PG,1,100,4193
1706145140.293001,254906.000,41178,2,PG,1,100,4186
1706145140.333002,254946.000,41178,2,PG,1,100,4175
1706145140.373003,254986.000,41193,3,PG,1,100,4189
1706145140.413003,255026.000,41193,3,PG,1,100,4178
1706145140.453003,255066.000,41193,3,PG,1,100,4169
1706145140.493004,255106.000,41210,2,PG,1,100,4162
1706145140.533005,255146.000,41210,2,PG,1,100,4170
1706145140.573005,255186.000,41226,3,PG,1,100,4159
1706145140.613006,255226.000,41226,3,PG,1,100,4153
1706145140.653006,255266.000,41226,3,PG,1,100,4149
1706145140.693007,255306.000,41243,2,PG,1,100,4148
1706145140.733007,255346.000,41243,2,PG,1,100,4182
1706145140.773008,255386.000,41260,3,PG,1,100,4165
1706145140.813008,255426.000,41260,3,PG,1,100,4150
1706145140.853009,255466.000,41260,3,PG,1,100,4160
1706145140.893009,255506.000,41277,2,PG,1,100,4162
1706145140.933010,255546.000,41277,2,PG,1,100,4173
1706145140.973010,255586.000,41295,3,PG,1,100,4158
1706145141.013011,255626.000,41295,3,PG,1,100,4177
