LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1706145137.199963,251813.000,40674,1,PI,1,100,149966
1706145137.239963,251853.000,40677,2,PI,1,100,149943
1706145137.279964,251893.000,40677,2,PI,1,100,149946
1706145137.319964,251933.000,40694,3,PI,1,100,149986
1706145137.359965,251973.000,40694,3,PI,1,100,149976
1706145137.399965,252013.000,40694,3,PI,1,100,150003
1706145137.439966,252053.000,40709,2,PI,1,100,150010
1706145137.479966,252093.000,40709,2,PI,1,100,150017
1706145137.519967,252133.000,40728,4,PI,1,100,150010
1706145137.559967,252173.000,40728,4,PI,1,100,150015
1706145137.599968,252213.000,40728,4,PI,1,100,149977
1706145137.639968,252253.000,40728,4,PI,1,100,149983
1706145137.679969,252293.000,40744,2,PI,1,100,149983
1706145137.719969,252333.000,40744,2,PI,1,100,149985
1706145137.759970,252373.000,40762,3,PI,1,100,149960
1706145137.799970,252413.000,40762,3,PI,1,100,149967
1706145137.839971,252453.000,40762,3,PI,1,100,149993
1706145137.879971,252493.000,40783,3,PI,1,100,149977
1706145137.919972,252533.000,40783,3,PI,1,100,149966
1706145137.959972,252573.000,40783,3,PI,1,100,149966
1706145137.999973,252613.000,40802,3,PI,1,100,149968
1706145138.039973,252653.000,40802,3,PI,1,100,149968
1706145138.079974,252693.000,40802,3,PI,1,100,149983
1706145138.119974,252733.000,40819,2,PI,1,100,149991
1706145138.159975,252773.000,40819,2,PI,1,100,149973
1706145138.199975,252813.000,40836,3,PI,1,100,150006
1706145138.239976,252853.000,40836,3,PI,1,100,150022
1706145138.279976,252893.000,40836,3,PI,1,100,150020
1706145138.319977,252933.000,40852,2,PI,1,100,149967
1706145138.359977,252973.000,40852,2,PI,1,100,149966
1706145138.404311,253017.333,40872,3,PI,1,100,149971
1706145138.448645,253061.667,40872,3,PI,1,100,149969
1706145138.492979,253106.000,40872,3,PI,1,100,149975
1706145138.532979,253146.000,40886,2,PI,1,100,150000
1706145138.572980,253186.000,40886,2,PI,1,100,149977
1706145138.612981,253226.000,40905,3,PI,1,100,149983
1706145138.652981,253266.000,40905,3,PI,1,100,149997
1706145138.692981,253306.000,40905,3,PI,1,100,149987
1706145138.732982,253346.000,40924,2,PI,1,100,149994
