LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1706145137.199963,251813.000,40675,1,PR,1,100,77526
1706145137.239963,251853.000,40678,2,PR,1,100,77522
1706145137.279964,251893.000,40678,2,PR,1,100,77536
1706145137.319964,251933.000,40695,3,PR,1,100,77541
1706145137.359965,251973.000,40695,3,PR,1,100,77541
1706145137.399965,252013.000,40695,3,PR,1,100,77552
1706145137.439966,252053.000,40710,2,PR,1,100,77530
1706145137.479966,252093.000,40710,2,PR,1,100,77538
1706145137.519967,252133.000,40729,4,PR,1,100,77540
1706145137.559967,252173.000,40729,4,PR,1,100,77548
1706145137.599968,252213.000,40729,4,PR,1,100,77540
1706145137.639968,252253.000,40729,4,PR,1,100,77559
1706145137.679969,252293.000,40745,2,PR,1,100,77532
1706145137.719969,252333.000,40745,2,PR,1,100,77547
1706145137.759970,252373.000,40763,3,PR,1,100,77544
1706145137.799970,252413.000,40763,3,PR,1,100,77534
1706145137.839971,252453.000,40763,3,PR,1,100,77527
1706145137.879971,252493.000,40784,3,PR,1,100,77545
1706145137.919972,252533.000,40784,3,PR,1,100,77542
1706145137.959972,252573.000,40784,3,PR,1,100,77531
1706145137.999973,252613.000,40803,3,PR,1,100,77531
1706145138.039973,252653.000,40803,3,PR,1,100,77538
1706145138.079974,252693.000,40803,3,PR,1,100,77541
1706145138.119974,252733.000,40820,2,PR,1,100,77539
1706145138.159975,252773.000,40820,2,PR,1,100,77531
1706145138.199975,252813.000,40837,3,PR,1,100,77540
1706145138.239976,252853.000,40837,3,PR,1,100,77549
1706145138.279976,252893.000,40837,3,PR,1,100,77543
1706145138.319977,252933.000,40853,2,PR,1,100,77528
1706145138.359977,252973.000,40853,2,PR,1,100,77547
1706145138.404311,253017.333,40873,3,PR,1,100,77532
1706145138.448645,253061.667,40873,3,PR,1,100,77542
1706145138.492979,253106.000,40873,3,PR,1,100,77551
1706145138.532979,253146.000,40887,2,PR,1,100,77539
1706145138.572980,253186.000,40887,2,PR,1,100,77527
1706145138.612981,253226.000,40906,3,PR,1,100,77540
1706145138.652981,253266.000,40906,3,PR,1,100,77540
1706145138.692981,253306.000,40906,3,PR,1,100,77530
1706145138.732982,253346.000,40925,2,PR,1,100,77547
1706145138.772983,253386.000,40925,2,PR,1,100,77548
1706145138.812983,253426.000,40942,3,PR,1,100,77540
1706145138.852983,253466.000,40942,3,PR,1,100,77542
1706145138.892984,253506.000,40942,3,PR,1,100,77537
1706145138.932985,253546.000,40957,2,PR,1,100,77540
1706145138.972985,253586.000,40957,2,PR,1,100,77543
1706145139.012985,253626.000,40973,3,PR,1,100,77558
1706145139.052986,253666.000,40973,3,PR,1,100,77559
1706145139.092987,253706.000,40973,3,PR,1,100,77551
1706145139.132987,253746.000,40992,2,PR,1,100,77546
1706145139.172987,253786.000,40992,2,PR,1,100,77554
1706145139.212988,253826.000,41011,3,PR,1,100,77566
1706145139.252989,253866.000,41011,3,PR,1,100,77550
1706145139.292989,253906.000,41011,3,PR,1,100,77549
1706145139.332989,253946.000,41027,2,PR,1,100,77559
1706145139.372990,253986.000,41027,2,PR,1,100,77543
1706145139.412991,254026.000,41045,3,PR,1,100,77543
1706145139.452991,254066.000,41045,3,PR,1,100,77546
1706145139.492991,254106.000,41045,3,PR,1,100,77557
1706145139.532992,254146.000,41061,2,PR,1,100,77557
1706145139.572993,254186.000,41061,2,PR,1,100,77568
1706145139.612993,254226.000,41078,3,PR,1,100,77577
1706145139.652993,254266.000,41078,3,PR,1,100,77555
1706145139.692994,254306.000,41078,3,PR,1,100,77557
1706145139.732995,254346.000,41095,3,PR,1,100,77570
1706145139.772995,254386.000,41095,3,PR,1,100,77576
1706145139.812995,254426.000,41095,3,PR,1,100,77560
1706145139.852996,254466.000,41110,3,PR,1,100,77581
1706145139.892997,254506.000,41110,3,PR,1,100,77564
1706145139.932997,254546.000,41110,3,PR,1,100,77556
1706145139.972997,254586.000,41126,2,PR,1,100,77562
1706145140.012998,254626.000,41126,2,PR,1,100,77577
1706145140.052999,254666.000,41144,3,PR,1,100,77570
1706145140.092999,254706.000,41144,3,PR,1,100,77561
1706145140.132999,254746.000,41144,3,PR,1,100,77571
1706145140.173000,254786.000,41160,3,PR,1,100,77562
1706145140.213001,254826.000,41160,3,PR,1,100,77566
1706145140.253001,254866.000,41160,3,PR,1,100,77545
1706145140.293001,254906.000,41177,2,PR,1,100,77556
1706145140.333002,254946.000,41177,2,PR,1,100,77557
1706145140.373003,254986.000,41192,3,PR,1,100,77562
1706145140.413003,255026.000,41192,3,PR,1,100,77560
1706145140.453003,255066.000,41192,3,PR,1,100,77566
1706145140.493004,255106.000,41209,2,PR,1,100,77550
1706145140.533005,255146.000,41209,2,PR,1,100,77553
1706145140.573005,255186.000,41225,3,PR,1,100,77556
1706145140.613006,255226.000,41225,3,PR,1,100,77561
1706145140.653006,255266.000,41225,3,PR,1,100,77549
1706145140.693007,255306.000,41242,2,PR,1,100,77566
1706145140.733007,255346.000,41242,2,PR,1,100,77554
1706145140.773008,255386.000,41259,3,PR,1,100,77545
1706145140.813008,255426.000,41259,3,PR,1,100,77531
1706145140.853009,255466.000,41259,3,PR,1,100,77546
1706145140.893009,255506.000,41276,2,PR,1,100,77546
1706145140.933010,255546.000,41276,2,PR,1,100,77536
1706145140.973010,255586.000,41294,3,PR,1,100,77548
1706145141.013011,255626.000,41294,3,PR,1,100,77546
1706145141.053011,255666.000,41294,3,PR,1,100,77541
1706145141.093012,255706.000,41312,2,PR,1,100,77536
1706145141.133012,255746.000,41312,2,PR,1,100,77536
1706145141.173012,255786.000,41327,3,PR,1,100,77542
1706145141.213013,255826.000,41327,3,PR,1,100,77547
1706145141.253014,255866.000,41327,3,PR,1,100,77537
1706145141.293014,255906.000,41343,2,PR,1,100,77545
1706145141.333014,255946.000,41343,2,PR,1,100,77522
1706145141.373015,255986.000,41360,3,PR,1,100,77535
1706145141.413016,256026.000,41360,3,PR,1,100,77529
1706145141.453016,256066.000,41360,3,PR,1,100,77529
1706145141.493016,256106.000,41377,2,PR,1,100,77532
1706145141.533017,256146.000,41377,2,PR,1,100,77532
1706145141.573018,256186.000,41392,3,PR,1,100,77525
1706145141.613018,256226.000,41392,3,PR,1,100,77505
1706145141.653018,256266.000,41392,3,PR,1,100,77513
1706145141.693019,256306.000,41411,3,PR,1,100,77515
1706145141.733020,256346.000,41411,3,PR,1,100,77530
1706145141.773020,256386.000,41411,3,PR,1,100,77502
1706145141.813020,256426.000,41431,2,PR,1,100,77518
1706145141.853021,256466.000,41431,2,PR,1,100,77525
1706145141.893022,256506.000,41448,3,PR,1,100,77512
1706145141.933022,256546.000,41448,3,PR,1,100,77506
1706145141.973022,256586.000,41448,3,PR,1,100,77498
1706145142.013023,256626.000,41464,2,PR,1,100,77514
1706145142.053024,256666.000,41464,2,PR,1,100,77531
1706145142.093024,256706.000,41480,3,PR,1,100,77544
1706145142.133024,256746.000,41480,3,PR,1,100,77542
1706145142.173025,256786.000,41480,3,PR,1,100,77520
1706145142.213026,256826.000,41496,3,PR,1,100,77523
1706145142.253026,256866.000,41496,3,PR,1,100,77522
1706145142.293026,256906.000,41496,3,PR,1,100,77529
1706145142.333027,256946.000,41513,2,PR,1,100,77518
1706145142.373028,256986.000,41513,2,PR,1,100,77530
1706145142.413028,257026.000,41530,3,PR,1,100,77517
1706145142.453028,257066.000,41530,3,PR,1,100,77520
1706145142.493029,257106.000,41530,3,PR,1,100,77526
1706145142.533030,257146.000,41546,2,PR,1,100,77522
1706145142.573030,257186.000,41546,2,PR,1,100,77512
1706145142.613030,257226.000,41561,3,PR,1,100,77527
1706145142.653031,257266.000,41561,3,PR,1,100,77522
1706145142.693032,257306.000,41561,3,PR,1,100,77512
1706145142.733032,257346.000,41581,2,PR,1,100,77528
1706145142.773032,257386.000,41581,2,PR,1,100,77518
1706145142.813033,257426.000,41597,2,PR,1,100,77518
1706145142.853034,257466.000,41597,2,PR,1,100,77527
1706145142.895634,257508.600,41618,5,PR,1,100,77542
1706145142.938235,257551.200,41618,5,PR,1,100,77552
1706145142.980835,257593.800,41618,5,PR,1,100,77537
1706145143.023436,257636.400,41618,5,PR,1,100,77534
1706145143.066036,257679.000,41618,5,PR,1,100,77529
1706145143.106037,257719.000,41637,3,PR,1,100,77540
1706145143.146037,257759.000,41637,3,PR,1,100,77562
1706145143.186038,257799.000,41637,3,PR,1,100,77538
1706145143.226038,257839.000,41654,3,PR,1,100,77550
1706145143.266039,257879.000,41654,3,PR,1,100,77562
1706145143.306039,257919.000,41654,3,PR,1,100,77545
1706145143.346040,257959.000,41670,2,PR,1,100,77533
1706145143.386040,257999.000,41670,2,PR,1,100,77537
1706145143.426041,258039.000,41686,3,PR,1,100,77551
1706145143.466041,258079.000,41686,3,PR,1,100,77543
1706145143.506042,258119.000,41686,3,PR,1,100,77547
1706145143.546042,258159.000,41702,2,PR,1,100,77549
1706145143.586043,258199.000,41702,2,PR,1,100,77553
1706145143.626043,258239.000,41723,3,PR,1,100,77547
1706145143.666044,258279.000,41723,3,PR,1,100,77550
1706145143.706044,258319.000,41723,3,PR,1,100,77556
1706145143.746045,258359.000,41740,2,PR,1,100,77550
1706145143.786045,258399.000,41740,2,PR,1,100,77555
1706145143.826046,258439.000,41755,3,PR,1,100,77553
1706145143.866046,258479.000,41755,3,PR,1,100,77549
1706145143.906047,258519.000,41755,3,PR,1,100,77548
1706145143.946047,258559.000,41771,2,PR,1,100,77555
1706145143.986048,258599.000,41771,2,PR,1,100,77567
1706145144.026048,258639.000,41791,3,PR,1,100,77532
1706145144.066049,258679.000,41791,3,PR,1,100,77580
1706145144.106049,258719.000,41791,3,PR,1,100,77581
1706145144.146050,258759.000,41807,2,PR,1,100,77575
1706145144.186050,258799.000,41807,2,PR,1,100,77564
1706145144.226051,258839.000,41822,3,PR,1,100,77577
1706145144.266051,258879.000,41822,3,PR,1,100,77582
1706145144.306052,258919.000,41822,3,PR,1,100,77573
1706145144.346052,258959.000,41839,3,PR,1,100,77574
1706145144.386053,258999.000,41839,3,PR,1,100,77586
1706145144.426053,259039.000,41839,3,PR,1,100,77569
1706145144.466054,259079.000,41856,3,PR,1,100,77580
1706145144.506054,259119.000,41856,3,PR,1,100,77562
1706145144.546055,259159.000,41856,3,PR,1,100,77572
1706145144.586055,259199.000,41874,2,PR,1,100,77579
1706145144.626056,259239.000,41874,2,PR,1,100,77565
1706145144.666056,259279.000,41891,3,PR,1,100,77578
1706145144.706057,259319.000,41891,3,PR,1,100,77589
1706145144.746057,259359.000,41891,3,PR,1,100,77574
1706145144.786058,259399.000,41906,2,PR,1,100,77568
1706145144.826058,259439.000,41906,2,PR,1,100,77565
1706145144.866059,259479.000,41923,3,PR,1,100,77569
1706145144.906059,259519.000,41923,3,PR,1,100,77592
1706145144.946060,259559.000,41923,3,PR,1,100,77594
1706145144.986060,259599.000,41939,2,PR,1,100,77590
1706145145.026061,259639.000,41939,2,PR,1,100,77577
1706145145.066061,259679.000,41957,3,PR,1,100,77593
1706145145.106062,259719.000,41957,3,PR,1,100,77600
1706145145.146062,259759.000,41957,3,PR,1,100,77590
1706145145.186063,259799.000,41971,2,PR,1,100,77587
1706145145.226063,259839.000,41971,2,PR,1,100,77600
1706145145.266064,259879.000,41988,3,PR,1,100,77597
1706145145.306064,259919.000,41988,3,PR,1,100,77589
1706145145.346065,259959.000,41988,3,PR,1,100,77605
1706145145.386065,259999.000,42005,2,PR,1,100,77602
1706145145.426066,260039.000,42005,2,PR,1,100,77610
1706145145.466066,260079.000,42022,3,PR,1,100,77603
1706145145.506067,260119.000,42022,3,PR,1,100,77597
1706145145.546067,260159.000,42022,3,PR,1,100,77592
1706145145.586068,260199.000,42038,2,PR,1,100,77585
1706145145.626068,260239.000,42038,2,PR,1,100,77587
1706145145.666069,260279.000,42055,3,PR,1,100,77578
1706145145.706069,260319.000,42055,3,PR,1,100,77589
1706145145.746070,260359.000,42055,3,PR,1,100,77575
1706145145.786070,260399.000,42072,2,PR,1,100,77596
1706145145.826071,260439.000,42072,2,PR,1,100,77604
1706145145.866071,260479.000,42089,3,PR,1,100,77590
1706145145.906072,260519.000,42089,3,PR,1,100,77601
1706145145.946072,260559.000,42089,3,PR,1,100,77596
1706145145.986073,260599.000,42104,3,PR,1,100,77601
1706145146.026073,260639.000,42104,3,PR,1,100,77589
1706145146.066074,260679.000,42104,3,PR,1,100,77593
1706145146.106074,260719.000,42121,2,PR,1,100,77598
1706145146.146075,260759.000,42121,2,PR,1,100,77592
1706145146.186075,260799.000,42137,3,PR,1,100,77591
1706145146.226076,260839.000,42137,3,PR,1,100,77594
1706145146.266076,260879.000,42137,3,PR,1,100,77616
1706145146.306077,260919.000,42154,2,PR,1,100,77594
1706145146.346077,260959.000,42154,2,PR,1,100,77589
1706145146.386078,260999.000,42171,3,PR,1,100,77602
1706145146.426078,261039.000,42171,3,PR,1,100,77598
1706145146.466079,261079.000,42171,3,PR,1,100,77595
1706145146.506079,261119.000,42186,2,PR,1,100,77608
1706145146.546080,261159.000,42186,2,PR,1,100,77616
1706145146.586080,261199.000,42202,3,PR,1,100,77618
1706145146.626081,261239.000,42202,3,PR,1,100,77625
1706145146.666081,261279.000,42202,3,PR,1,100,77636
1706145146.706082,261319.000,42220,3,PR,1,100,77612
