LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1706145137.886971,252500.000,40780,2,RD,1,100,TL
1706145137.886971,252500.000,40780,2,RD,1,100,TU
1706145140.440003,255053.000,41613,2,RD,1,100,TL
1706145142.993035,257606.000,41613,2,RD,1,100,TU
1706145145.547567,260160.500,42442,2,RD,1,100,TL
1706145148.102099,262715.000,42442,2,RD,1,100,TU
1706145150.657631,265270.500,43231,2,RD,1,100,TL
1706145153.213163,267826.000,43231,2,RD,1,100,TU
1706145155.773195,270386.000,44080,2,RD,1,100,TL
1706145158.333227,272946.000,44080,2,RD,1,100,TU
1706145160.892759,275505.500,44912,2,RD,1,100,TL
1706145163.452291,278065.000,44912,2,RD,1,100,TU
1706145166.007823,280620.500,45752,2,RD,1,100,TL
1706145168.563355,283176.000,45752,2,RD,1,100,TU
1706145171.114887,285727.500,46595,2,RD,1,100,TL
1706145173.666419,288279.000,46595,2,RD,1,100,TU
1706145176.300452,290913.000,47395,2,RD,1,100,TL
1706145178.934485,293547.000,47395,2,RD,1,100,TU
1706145181.503517,296116.000,48255,2,RD,1,100,TL
1706145184.072549,298685.000,48255,2,RD,1,100,TU
1706145186.644081,301256.500,49108,2,RD,1,100,TL
1706145189.215614,303828.000,49108,2,RD,1,100,TU
1706145191.776646,306389.000,49963,2,RD,1,100,TL
1706145194.337677,308950.000,49963,2,RD,1,100,TU
1706145196.893209,311505.500,50801,2,RD,1,100,TL
1706145199.448741,314061.000,50801,2,RD,1,100,TU
1706145202.004273,316616.500,51661,2,RD,1,100,TL
1706145204.559805,319172.000,51661,2,RD,1,100,TU
1706145207.121337,321733.500,52522,2,RD,1,100,TL
1706145209.682870,324295.000,52522,2,RD,1,100,TU
1706145212.247902,326860.000,53386,2,RD,1,100,TL
1706145214.812934,329425.000,53386,2,RD,1,100,TU
1706145217.373466,331985.500,54247,2,RD,1,100,TL
1706145219.933998,334546.000,54247,2,RD,1,100,TU
1706145222.497030,337109.000,55112,2,RD,1,100,TL
1706145225.060062,339672.000,55112,2,RD,1,100,TU
1706145227.623594,342235.500,55974,2,RD,1,100,TL
1706145230.187126,344799.000,55974,2,RD,1,100,TU
1706145232.740658,347352.500,56817,2,RD,1,100,TL
1706145235.294190,349906.000,56817,2,RD,1,100,TU
1706145237.860722,352472.500,57672,2,RD,1,100,TL
1706145240.427254,355039.000,57672,2,RD,1,100,TU
1706145242.993286,357605.000,58532,2,RD,1,100,TL
1706145245.559318,360171.000,58532,2,RD,1,100,TU
1706145248.122850,362734.500,59393,2,RD,1,100,TL
1706145250.686383,365298.000,59393,2,RD,1,100,TU
1706145253.249414,367861.000,60257,2,RD,1,100,TL
1706145255.812447,370424.000,60257,2,RD,1,100,TU
1706145258.374979,372986.500,61114,2,RD,1,100,TL
1706145260.937511,375549.000,61114,2,RD,1,100,TU
1706145263.498043,378109.500,61971,2,RD,1,100,TL
1706145266.058575,380670.000,61971,2,RD,1,100,TU
1706145268.617107,383228.500,62816,2,RD,1,100,TL
1706145271.175639,385787.000,62816,2,RD,1,100,TU
1706145273.738171,388349.500,63678,2,RD,1,100,TL
1706145276.300703,390912.000,63678,2,RD,1,100,TU
1706145278.861735,393473.000,64537,2,RD,1,100,TL
1706145281.422767,396034.000,64537,2,RD,1,100,TU
1706145283.981299,398592.500,65401,2,RD,1,100,TL
1706145286.539831,401151.000,65401,2,RD,1,100,TU
1706145289.101363,403712.500,728,2,RD,1,100,TL
1706145291.662895,406274.000,728,2,RD,1,100,TU
1706145294.239927,408851.000,1594,2,RD,1,100,TL
1706145296.816960,411428.000,1594,2,RD,1,100,TU
1706145299.369492,413980.500,2456,2,RD,1,100,TL
1706145301.922024,416533.000,2456,2,RD,1,100,TU
1706145304.478055,419089.000,3317,2,RD,1,100,TL
1706145307.034087,421645.000,3317,2,RD,1,100,TU
1706145309.586119,424197.000,4177,2,RD,1,100,TL
1706145312.138151,426749.000,4177,2,RD,1,100,TU
1706145314.692183,429303.000,5038,2,RD,1,100,TL
1706145317.246215,431857.000,5038,2,RD,1,100,TU
1706145319.806747,434417.500,5887,2,RD,1,100,TL
1706145322.367279,436978.000,5887,2,RD,1,100,TU
1706145324.917811,439528.500,6747,2,RD,1,100,TL
1706145327.468343,442079.000,6747,2,RD,1,100,TU
1706145330.027875,444638.500,7601,2,RD,1,100,TL
1706145332.587407,447198.000,7601,2,RD,1,100,TU
1706145335.139439,449750.000,8458,2,RD,1,100,TL
1706145337.691471,452302.000,8458,2,RD,1,100,TU
1706145340.245003,454855.500,9307,2,RD,1,100,TL
1706145342.798535,457409.000,9307,2,RD,1,100,TU
1706145345.353067,459963.500,10170,2,RD,1,100,TL
1706145347.907599,462518.000,10170,2,RD,1,100,TU
1706145350.472131,465082.500,11038,2,RD,1,100,TL
1706145353.036663,467647.000,11038,2,RD,1,100,TU
