LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1706145137.171962,251785,40726,1,SA,1,100,0.000651
1706145137.838971,252452,40800,1,SA,1,100,0.000163
1706145138.105974,252719,40869,1,SA,1,100,0.000383
1706145138.637981,253251,40921,1,SA,1,100,0.000177
1706145138.838983,253452,40988,1,SA,1,100,0.000225
1706145139.171988,253785,41008,1,SA,1,100,0.000125
1706145139.371990,253985,41042,1,SA,1,100,0.000068
1706145140.238001,254851,41256,1,SA,1,100,0.000447
1706145140.905009,255518,41407,1,SA,1,100,0.001277
1706145142.571030,257184,41633,1,SA,1,100,0.000353
1706145143.171037,257784,41720,1,SA,1,100,0.000846
1706145143.905047,258518,41787,1,SA,1,100,0.000182
1706145144.438053,259051,41871,1,SA,1,100,0.000213
1706145144.838058,259451,42035,1,SA,1,100,0.001202
1706145145.838071,260451,42253,1,SA,1,100,0.002208
1706145147.104087,261717,42355,1,SA,1,100,0.001092
1706145147.638093,262251,42405,1,SA,1,100,0.000481
1706145147.904097,262517,42447,1,SA,1,100,0.001121
1706145148.504104,263117,42583,1,SA,1,100,0.001051
1706145149.371115,263984,42684,1,SA,1,100,0.000412
1706145149.837121,264450,42801,1,SA,1,100,0.000907
1706145150.371128,264984,42852,1,SA,1,100,0.000461
1706145150.705132,265318,42902,1,SA,1,100,0.000358
1706145150.971135,265584,42921,1,SA,1,100,0.000209
1706145151.171138,265784,42941,1,SA,1,100,0.000119
1706145151.371140,265984,42977,1,SA,1,100,0.000572
1706145152.170150,266783,43145,1,SA,1,100,0.001302
1706145153.171163,267784,43251,1,SA,1,100,0.000265
1706145153.570168,268183,43320,1,SA,1,100,0.000289
1706145154.104174,268717,43485,1,SA,1,100,0.001418
1706145155.037186,269650,43554,1,SA,1,100,0.000157
1706145155.371190,269984,43673,1,SA,1,100,0.001012
1706145156.237201,270850,43827,1,SA,1,100,0.001175
1706145157.304214,271917,43944,1,SA,1,100,0.000425
1706145157.770220,272383,44083,1,SA,1,100,0.001502
1706145158.636231,273249,44184,1,SA,1,100,0.001002
1706145159.303239,273916,44253,1,SA,1,100,0.000318
1706145159.903247,274516,44420,1,SA,1,100,0.001112
1706145160.570255,275183,44556,1,SA,1,100,0.001825
1706145161.703269,276316,44757,1,SA,1,100,0.001674
1706145162.636281,277249,44842,1,SA,1,100,0.000831
1706145163.103287,277716,44892,1,SA,1,100,0.000335
1706145163.770295,278383,45015,1,SA,1,100,0.000536
1706145164.303302,278916,45083,1,SA,1,100,0.000426
1706145164.902309,279515,45186,1,SA,1,100,0.000501
1706145165.236314,279849,45235,1,SA,1,100,0.000294
1706145165.769320,280382,45356,1,SA,1,100,0.000799
1706145166.236326,280849,45389,1,SA,1,100,0.000309
1706145166.902334,281515,45528,1,SA,1,100,0.000841
1706145167.436341,282049,45578,1,SA,1,100,0.000197
1706145167.903347,282516,45729,1,SA,1,100,0.001164
1706145168.502354,283115,45758,1,SA,1,100,0.000183
1706145168.969360,283582,45892,1,SA,1,100,0.001105
1706145170.036374,284649,46043,1,SA,1,100,0.000736
1706145170.436379,285049,46095,1,SA,1,100,0.000592
1706145171.302389,285915,46231,1,SA,1,100,0.000432
1706145171.635394,286248,46283,1,SA,1,100,0.000375
1706145172.035399,286648,46336,1,SA,1,100,0.000097
1706145172.368403,286981,46421,1,SA,1,100,0.000476
1706145172.835409,287448,46473,1,SA,1,100,0.000181
1706145173.035411,287648,46540,1,SA,1,100,0.000607
1706145173.635419,288248,46649,1,SA,1,100,0.000925
1706145174.636431,289249,46766,1,SA,1,100,0.000093
1706145174.835434,289448,46802,1,SA,1,100,0.000174
1706145175.035436,289648,46838,1,SA,1,100,0.000238
1706145175.235439,289848,46891,1,SA,1,100,0.000631
1706145175.701444,290314,46974,1,SA,1,100,0.000410
1706145176.302452,290915,47075,1,SA,1,100,0.000700
1706145176.702457,291315,47146,1,SA,1,100,0.000661
1706145177.235464,291848,47198,1,SA,1,100,0.000176
1706145177.435466,292048,47249,1,SA,1,100,0.000451
1706145177.701469,292314,47318,1,SA,1,100,0.000592
1706145178.101475,292714,47353,1,SA,1,100,0.000348
1706145178.368478,292981,47375,1,SA,1,100,0.000276
1706145178.701482,293314,47400,1,SA,1,100,0.000276
1706145178.901484,293514,47402,1,SA,1,100,0.000218
1706145179.234489,293847,47471,1,SA,1,100,0.000104
1706145179.434491,294047,47570,1,SA,1,100,0.001147
1706145180.034499,294647,47640,1,SA,1,100,0.000722
1706145180.968510,295581,47788,1,SA,1,100,0.000693
1706145181.368515,295981,47843,1,SA,1,100,0.000517
1706145181.967523,296580,47962,1,SA,1,100,0.000610
1706145182.367528,296980,48029,1,SA,1,100,0.000683
1706145182.767533,297380,48049,1,SA,1,100,0.000158
1706145183.101537,297714,48118,1,SA,1,100,0.000113
1706145183.301539,297914,48152,1,SA,1,100,0.000391
1706145183.567543,298180,48203,1,SA,1,100,0.000372
1706145184.234551,298847,48341,1,SA,1,100,0.000772
1706145184.701557,299314,48393,1,SA,1,100,0.000596
1706145185.300565,299913,48511,1,SA,1,100,0.000616
1706145186.367578,300980,48713,1,SA,1,100,0.001051
1706145187.034586,301647,48831,1,SA,1,100,0.001382
