LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1706145137.504967,252118.000,40708,1,SF,1,100,73.3088
1706145137.838971,252452.000,40761,1,SF,1,100,74.5430
1706145138.171975,252785.000,40818,1,SF,1,100,75.7630
1706145138.437978,253051.000,40871,1,SF,1,100,76.9688
1706145138.771982,253385.000,40923,1,SF,1,100,78.1606
1706145139.171988,253785.000,40990,1,SF,1,100,79.3387
1706145139.504992,254118.000,41041,1,SF,1,100,80.5032
1706145139.771995,254385.000,41093,1,SF,1,100,81.6542
1706145140.104999,254718.000,41142,1,SF,1,100,80.7096
1706145140.438003,255051.000,41190,1,SF,1,100,79.7759
1706145140.838008,255451.000,41255,1,SF,1,100,78.8531
1706145141.105012,255718.000,41310,1,SF,1,100,80.0232
1706145141.438016,256051.000,41358,1,SF,1,100,79.0975
1706145141.772020,256385.000,41409,1,SF,1,100,80.2647
1706145142.171025,256784.000,41478,1,SF,1,100,79.3362
1706145142.438028,257051.000,41528,1,SF,1,100,78.4184
1706145142.771033,257384.000,41579,1,SF,1,100,77.5113
1706145143.171037,257784.000,41635,1,SF,1,100,78.6969
1706145143.505042,258118.000,41684,1,SF,1,100,77.7865
1706145143.771045,258384.000,41738,1,SF,1,100,78.9689
1706145144.105049,258718.000,41789,1,SF,1,100,80.1376
1706145144.438053,259051.000,41837,1,SF,1,100,79.2106
1706145144.838058,259451.000,41904,1,SF,1,100,80.3765
1706145145.104062,259717.000,41955,1,SF,1,100,79.4467
1706145145.438066,260051.000,42003,1,SF,1,100,78.5277
1706145145.838071,260451.000,42070,1,SF,1,100,79.7015
1706145146.104074,260717.000,42119,1,SF,1,100,78.7795
1706145146.438078,261051.000,42169,1,SF,1,100,77.8682
1706145146.771083,261384.000,42218,1,SF,1,100,76.9674
1706145147.104087,261717.000,42272,1,SF,1,100,78.1593
1706145147.504092,262117.000,42337,1,SF,1,100,77.2552
1706145147.771095,262384.000,42390,1,SF,1,100,78.4437
1706145148.171100,262784.000,42446,1,SF,1,100,79.6185
1706145148.504104,263117.000,42498,1,SF,1,100,80.7798
1706145148.837108,263450.000,42547,1,SF,1,100,79.8453
1706145149.104112,263717.000,42601,1,SF,1,100,81.0039
1706145149.437116,264050.000,42652,1,SF,1,100,80.0668
1706145149.837121,264450.000,42719,1,SF,1,100,81.2229
1706145150.104124,264717.000,42767,1,SF,1,100,80.2833
1706145150.437128,265050.000,42819,1,SF,1,100,81.4368
1706145150.771133,265384.000,42870,1,SF,1,100,82.5770
1706145151.104137,265717.000,42923,1,SF,1,100,85.7862
1706145151.504142,266117.000,42959,1,SF,1,100,86.8761
1706145151.771145,266384.000,42995,1,SF,1,100,87.9534
1706145152.104149,266717.000,43046,1,SF,1,100,86.9359
1706145152.504154,267117.000,43111,1,SF,1,100,85.9303
1706145152.837158,267450.000,43161,1,SF,1,100,87.0185
1706145153.104162,267717.000,43214,1,SF,1,100,86.0118
1706145153.504167,268117.000,43267,1,SF,1,100,87.0991
1706145153.770170,268383.000,43322,1,SF,1,100,88.1738
1706145154.104174,268717.000,43370,1,SF,1,100,87.1538
1706145154.504179,269117.000,43435,1,SF,1,100,86.1456
1706145154.837183,269450.000,43484,1,SF,1,100,85.1490
1706145155.104187,269717.000,43538,1,SF,1,100,86.2463
1706145155.437191,270050.000,43589,1,SF,1,100,87.3308
1706145155.837196,270450.000,43656,1,SF,1,100,86.3206
1706145156.103199,270716.000,43706,1,SF,1,100,87.4043
1706145156.437203,271050.000,43756,1,SF,1,100,86.3932
1706145156.770208,271383.000,43807,1,SF,1,100,85.3938
1706145157.170213,271783.000,43876,1,SF,1,100,86.4882
1706145157.437216,272050.000,43927,1,SF,1,100,85.4877
1706145157.770220,272383.000,43977,1,SF,1,100,86.5810
1706145158.170225,272783.000,44042,1,SF,1,100,85.5794
1706145158.436229,273049.000,44085,1,SF,1,100,86.6717
1706145158.836233,273449.000,44150,1,SF,1,100,85.6691
1706145159.103237,273716.000,44203,1,SF,1,100,86.7603
1706145159.436241,274049.000,44255,1,SF,1,100,87.8389
1706145159.836246,274449.000,44320,1,SF,1,100,86.8228
1706145160.103249,274716.000,44369,1,SF,1,100,85.8184
1706145160.436254,275049.000,44422,1,SF,1,100,86.9079
1706145160.770258,275383.000,44472,1,SF,1,100,85.9025
1706145161.170263,275783.000,44539,1,SF,1,100,84.9088
1706145161.436266,276049.000,44589,1,SF,1,100,86.0088
1706145161.769270,276382.000,44638,1,SF,1,100,85.0139
1706145162.169275,276782.000,44707,1,SF,1,100,84.0304
1706145162.436279,277049.000,44759,1,SF,1,100,85.1406
1706145162.769283,277382.000,44791,1,SF,1,100,84.1557
1706145163.169288,277782.000,44860,1,SF,1,100,85.2644
1706145163.503292,278116.000,44914,1,SF,1,100,86.3603
1706145163.836296,278449.000,44964,1,SF,1,100,85.3613
1706145164.169300,278782.000,45017,1,SF,1,100,86.4561
1706145164.436304,279049.000,45067,1,SF,1,100,85.4560
1706145164.769308,279382.000,45118,1,SF,1,100,86.5497
1706145165.102312,279715.000,45168,1,SF,1,100,85.5485
1706145165.502317,280115.000,45237,1,SF,1,100,88.7233
1706145165.769320,280382.000,45288,1,SF,1,100,87.6970
1706145166.102324,280715.000,45338,1,SF,1,100,86.6825
1706145166.436329,281049.000,45391,1,SF,1,100,89.8442
1706145166.836334,281449.000,45458,1,SF,1,100,88.8049
1706145167.169338,281782.000,45510,1,SF,1,100,87.7776
1706145167.436341,282049.000,45561,1,SF,1,100,88.8445
1706145167.769345,282382.000,45613,1,SF,1,100,89.8989
1706145168.169350,282782.000,45679,1,SF,1,100,88.8590
1706145168.502354,283115.000,45731,1,SF,1,100,89.9133
1706145168.769358,283382.000,45776,1,SF,1,100,90.9555
1706145169.169363,283782.000,45841,1,SF,1,100,89.9033
1706145169.502367,284115.000,45894,1,SF,1,100,90.9455
1706145169.769370,284382.000,45944,1,SF,1,100,89.8935
1706145170.102374,284715.000,45993,1,SF,1,100,88.8536
1706145170.502379,285115.000,46062,1,SF,1,100,89.9080
1706145170.835384,285448.000,46112,1,SF,1,100,90.9501
1706145171.102387,285715.000,46165,1,SF,1,100,89.8980
1706145171.435391,286048.000,46213,1,SF,1,100,88.8581
1706145171.769395,286382.000,46264,1,SF,1,100,89.9124
1706145172.168400,286781.000,46335,1,SF,1,100,90.9546
1706145172.435404,287048.000,46387,1,SF,1,100,91.9846
1706145172.768408,287381.000,46440,1,SF,1,100,93.0028
1706145173.168413,287781.000,46507,1,SF,1,100,94.0092
1706145173.502417,288115.000,46559,1,SF,1,100,95.0039
1706145173.768420,288381.000,46598,1,SF,1,100,93.9049
1706145174.102424,288715.000,46651,1,SF,1,100,94.9009
1706145174.502429,289115.000,46718,1,SF,1,100,93.8031
1706145174.768433,289381.000,46768,1,SF,1,100,94.8002
1706145175.101437,289714.000,46823,1,SF,1,100,95.7858
1706145175.435441,290048.000,46873,1,SF,1,100,96.7600
1706145175.835446,290448.000,46940,1,SF,1,100,97.7229
1706145176.168450,290781.000,46993,1,SF,1,100,98.6747
1706145176.435454,291048.000,47043,1,SF,1,100,97.5332
1706145176.768458,291381.000,47094,1,SF,1,100,98.4872
1706145177.168463,291781.000,47165,1,SF,1,100,99.4302
1706145177.501467,292114.000,47215,1,SF,1,100,100.3622
1706145177.768470,292381.000,47270,1,SF,1,100,101.2835
1706145178.101475,292714.000,47320,1,SF,1,100,102.1941
1706145178.434479,293047.000,47355,1,SF,1,100,103.0941
1706145179.034486,293647.000,47399,1,SF,1,100,103.9838
1706145179.101487,293714.000,47420,1,SF,1,100,106.9454
1706145179.434491,294047.000,47473,1,SF,1,100,107.7905
1706145179.834496,294447.000,47538,1,SF,1,100,106.5436
1706145180.101500,294714.000,47588,1,SF,1,100,107.3933
1706145180.434504,295047.000,47642,1,SF,1,100,108.2332
1706145180.768508,295381.000,47691,1,SF,1,100,106.9812
1706145181.168513,295781.000,47756,1,SF,1,100,105.7436
1706145181.434516,296047.000,47809,1,SF,1,100,106.6026
1706145181.767520,296380.000,47859,1,SF,1,100,107.4517
1706145182.167525,296780.000,47926,1,SF,1,100,106.2087
1706145182.434529,297047.000,47981,1,SF,1,100,107.0623
1706145182.767533,297380.000,48031,1,SF,1,100,107.9060
1706145183.101537,297714.000,48082,1,SF,1,100,108.7400
1706145183.501542,298114.000,48151,1,SF,1,100,109.5644
1706145183.767545,298380.000,48205,1,SF,1,100,112.4614
1706145184.167550,298780.000,48259,1,SF,1,100,111.1605
1706145184.434554,299047.000,48309,1,SF,1,100,109.8745
1706145184.767558,299380.000,48360,1,SF,1,100,110.6858
1706145185.100562,299713.000,48412,1,SF,1,100,111.4876
1706145185.500567,300113.000,48477,1,SF,1,100,110.1979
1706145185.767570,300380.000,48530,1,SF,1,100,111.0054
1706145186.100574,300713.000,48580,1,SF,1,100,109.7213
1706145186.500580,301113.000,48645,1,SF,1,100,108.4520
1706145186.767583,301380.000,48694,1,SF,1,100,107.1974
1706145187.100587,301713.000,48749,1,SF,1,100,108.0396
1706145187.434591,302047.000,48799,1,SF,1,100,106.7898
1706145187.834596,302447.000,48868,1,SF,1,100,107.6367
