LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1706145137.171962,251785,40727,1,SR,1,100,0.400000
1706145137.838971,252452,40801,1,SR,1,100,0.133333
1706145138.105974,252719,40870,1,SR,1,100,0.266667
1706145138.637981,253251,40922,1,SR,1,100,0.066667
1706145138.838983,253452,40989,1,SR,1,100,0.200000
1706145139.171988,253785,41009,1,SR,1,100,0.066667
1706145139.371990,253985,41043,1,SR,1,100,0.066667
1706145140.238001,254851,41257,1,SR,1,100,0.533333
1706145140.905009,255518,41408,1,SR,1,100,0.733333
1706145142.571030,257184,41634,1,SR,1,100,0.466667
1706145143.171037,257784,41721,1,SR,1,100,0.466667
1706145143.905047,258518,41788,1,SR,1,100,0.133333
1706145144.438053,259051,41872,1,SR,1,100,0.133333
1706145144.838058,259451,42036,1,SR,1,100,0.733333
1706145145.838071,260451,42254,1,SR,1,100,1.000000
1706145147.104087,261717,42356,1,SR,1,100,0.400000
1706145147.638093,262251,42406,1,SR,1,100,0.133333
1706145147.904097,262517,42448,1,SR,1,100,0.200000
1706145148.504104,263117,42584,1,SR,1,100,0.466667
1706145149.371115,263984,42685,1,SR,1,100,0.200000
1706145149.837121,264450,42802,1,SR,1,100,0.400000
1706145150.371128,264984,42853,1,SR,1,100,0.200000
1706145150.705132,265318,42903,1,SR,1,100,0.133333
1706145150.971135,265584,42922,1,SR,1,100,0.066667
1706145151.171138,265784,42942,1,SR,1,100,0.066667
1706145151.371140,265984,42978,1,SR,1,100,0.266667
1706145152.170150,266783,43146,1,SR,1,100,0.466667
1706145153.171163,267784,43252,1,SR,1,100,0.133333
1706145153.570168,268183,43321,1,SR,1,100,0.133333
1706145154.104174,268717,43486,1,SR,1,100,0.666667
1706145155.037186,269650,43555,1,SR,1,100,0.066667
1706145155.371190,269984,43674,1,SR,1,100,0.466667
1706145156.237201,270850,43828,1,SR,1,100,0.533333
1706145157.304214,271917,43945,1,SR,1,100,0.200000
1706145157.770220,272383,44084,1,SR,1,100,0.600000
1706145158.636231,273249,44185,1,SR,1,100,0.266667
1706145159.303239,273916,44254,1,SR,1,100,0.066667
1706145159.903247,274516,44421,1,SR,1,100,0.400000
1706145160.570255,275183,44557,1,SR,1,100,0.600000
1706145161.703269,276316,44758,1,SR,1,100,0.666667
1706145162.636281,277249,44843,1,SR,1,100,0.333333
1706145163.103287,277716,44893,1,SR,1,100,0.133333
1706145163.770295,278383,45016,1,SR,1,100,0.266667
1706145164.303302,278916,45084,1,SR,1,100,0.200000
