LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1706145137.297964,251911.000,40682,1,T1,1,100,35.712
1706145137.431966,252045.000,40714,1,T1,1,100,35.627
1706145137.564967,252178.000,40733,1,T1,1,100,35.697
1706145137.698969,252312.000,40749,1,T1,1,100,35.692
1706145137.831971,252445.000,40767,1,T1,1,100,35.689
1706145137.964972,252578.000,40788,1,T1,1,100,35.724
1706145138.097974,252711.000,40824,1,T1,1,100,35.774
1706145138.231976,252845.000,40841,1,T1,1,100,35.690
1706145138.364977,252978.000,40857,1,T1,1,100,35.759
1706145138.497979,253111.000,40891,1,T1,1,100,35.825
1706145138.631981,253245.000,40910,1,T1,1,100,35.782
1706145138.764982,253378.000,40929,1,T1,1,100,35.658
1706145138.897984,253511.000,40946,1,T1,1,100,35.710
1706145139.031986,253645.000,40977,1,T1,1,100,35.733
1706145139.164987,253778.000,40996,1,T1,1,100,35.636
1706145139.297989,253911.000,41015,1,T1,1,100,35.772
1706145139.431991,254045.000,41049,1,T1,1,100,35.688
1706145139.564992,254178.000,41065,1,T1,1,100,35.688
1706145139.697994,254311.000,41082,1,T1,1,100,35.759
1706145139.831996,254445.000,41114,1,T1,1,100,35.789
1706145139.964998,254578.000,41130,1,T1,1,100,35.731
1706145140.097999,254711.000,41148,1,T1,1,100,35.777
1706145140.231001,254844.000,41164,1,T1,1,100,35.726
1706145140.365002,254978.000,41196,1,T1,1,100,35.669
1706145140.498004,255111.000,41213,1,T1,1,100,35.679
1706145140.631006,255244.000,41229,1,T1,1,100,35.649
1706145140.765007,255378.000,41263,1,T1,1,100,35.635
1706145140.898009,255511.000,41280,1,T1,1,100,35.807
1706145141.031011,255644.000,41298,1,T1,1,100,35.633
1706145141.165012,255778.000,41316,1,T1,1,100,35.628
1706145141.298014,255911.000,41347,1,T1,1,100,35.662
1706145141.431016,256044.000,41364,1,T1,1,100,35.747
1706145141.565017,256178.000,41381,1,T1,1,100,35.713
1706145141.698019,256311.000,41415,1,T1,1,100,35.699
1706145141.831021,256444.000,41435,1,T1,1,100,35.763
1706145141.965022,256578.000,41452,1,T1,1,100,35.791
1706145142.098024,256711.000,41484,1,T1,1,100,35.768
1706145142.231026,256844.000,41500,1,T1,1,100,35.722
1706145142.365027,256978.000,41517,1,T1,1,100,35.773
1706145142.498029,257111.000,41534,1,T1,1,100,35.760
