LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1706145137.312964,251926.000,40683,1,TH,1,100,34.502
1706145137.446966,252060.000,40715,1,TH,1,100,34.502
1706145137.579967,252193.000,40734,1,TH,1,100,34.488
1706145137.712969,252326.000,40750,1,TH,1,100,34.488
1706145137.846971,252460.000,40768,1,TH,1,100,34.551
1706145137.979973,252593.000,40789,1,TH,1,100,34.551
1706145138.113974,252727.000,40825,1,TH,1,100,34.611
1706145138.246976,252860.000,40842,1,TH,1,100,34.618
1706145138.379978,252993.000,40858,1,TH,1,100,34.572
1706145138.512979,253126.000,40892,1,TH,1,100,34.572
1706145138.646981,253260.000,40911,1,TH,1,100,34.601
1706145138.779983,253393.000,40930,1,TH,1,100,34.601
1706145138.912984,253526.000,40961,1,TH,1,100,34.620
1706145139.046986,253660.000,40978,1,TH,1,100,34.620
1706145139.179988,253793.000,40997,1,TH,1,100,34.570
1706145139.312989,253926.000,41016,1,TH,1,100,34.577
1706145139.445991,254059.000,41050,1,TH,1,100,34.632
1706145139.579993,254193.000,41066,1,TH,1,100,34.632
1706145139.712994,254326.000,41083,1,TH,1,100,34.616
1706145139.846996,254460.000,41115,1,TH,1,100,34.616
1706145139.979998,254593.000,41131,1,TH,1,100,34.664
1706145140.112999,254726.000,41149,1,TH,1,100,34.664
1706145140.246001,254859.000,41165,1,TH,1,100,34.618
1706145140.380002,254993.000,41197,1,TH,1,100,34.618
1706145140.513004,255126.000,41214,1,TH,1,100,34.635
1706145140.646006,255259.000,41230,1,TH,1,100,34.642
1706145140.780008,255393.000,41264,1,TH,1,100,34.580
1706145140.913009,255526.000,41281,1,TH,1,100,34.580
1706145141.047011,255660.000,41299,1,TH,1,100,34.592
1706145141.180013,255793.000,41331,1,TH,1,100,34.592
1706145141.313014,255926.000,41348,1,TH,1,100,34.625
1706145141.446016,256059.000,41365,1,TH,1,100,34.625
1706145141.580018,256193.000,41396,1,TH,1,100,34.659
1706145141.713019,256326.000,41416,1,TH,1,100,34.659
1706145141.846021,256459.000,41436,1,TH,1,100,34.596
1706145141.980023,256593.000,41453,1,TH,1,100,34.604
