LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1706145137.884971,252498.000,40778,1,TL,1,100,2024-01-24_20-12-13-019126
1706145137.896971,252510.000,40781,1,TL,1,100,2024-01-24_20-12-17-893202
1706145142.992035,257605.000,41611,1,TL,1,100,2024-01-24_20-12-18-131571
1706145143.033036,257646.000,41614,1,TL,1,100,2024-01-24_20-12-23-027658
1706145148.100099,262713.000,42440,1,TL,1,100,2024-01-24_20-12-23-138617
1706145148.193100,262806.000,42443,1,TL,1,100,2024-01-24_20-12-28-186512
1706145153.208163,267821.000,43229,1,TL,1,100,2024-01-24_20-12-28-315389
1706145153.272164,267885.000,43232,1,TL,1,100,2024-01-24_20-12-33-270400
1706145158.331227,272944.000,44078,1,TL,1,100,2024-01-24_20-12-33-360670
1706145158.414228,273027.000,44081,1,TL,1,100,2024-01-24_20-12-38-410560
1706145163.448291,278061.000,44910,1,TL,1,100,2024-01-24_20-12-38-570179
1706145168.558355,283171.000,45748,1,TL,1,100,2024-01-24_20-12-43-547811
1706145168.561355,283174.000,45750,1,TL,1,100,2024-01-24_20-12-43-596743
1706145168.579355,283192.000,45753,1,TL,1,100,2024-01-24_20-12-48-569882
1706145173.664419,288277.000,46593,1,TL,1,100,2024-01-24_20-12-48-721631
1706145173.705420,288318.000,46596,1,TL,1,100,2024-01-24_20-12-53-701562
1706145178.932485,293545.000,47393,1,TL,1,100,2024-01-24_20-12-53-810164
1706145178.943485,293556.000,47396,1,TL,1,100,2024-01-24_20-12-58-938985
1706145184.070549,298683.000,48253,1,TL,1,100,2024-01-24_20-12-59-351405
1706145189.209614,303822.000,49104,1,TL,1,100,2024-01-24_20-13-04-331563
1706145189.212614,303825.000,49106,1,TL,1,100,2024-01-24_20-13-04-331689
1706145189.231614,303844.000,49109,1,TL,1,100,2024-01-24_20-13-09-228282
1706145194.335678,308948.000,49961,1,TL,1,100,2024-01-24_20-13-09-407148
1706145194.404678,309017.000,49964,1,TL,1,100,2024-01-24_20-13-14-402789
1706145199.444741,314057.000,50799,1,TL,1,100,2024-01-24_20-13-14-467299
1706145199.506742,314119.000,50802,1,TL,1,100,2024-01-24_20-13-19-500971
1706145204.557806,319170.000,51659,1,TL,1,100,2024-01-24_20-13-19-593324
1706145209.676869,324289.000,52518,1,TL,1,100,2024-01-24_20-13-24-633376
1706145209.680870,324293.000,52520,1,TL,1,100,2024-01-24_20-13-24-761065
1706145209.741870,324354.000,52523,1,TL,1,100,2024-01-24_20-13-29-733772
1706145214.809934,329422.000,53384,1,TL,1,100,2024-01-24_20-13-29-860042
1706145214.824934,329437.000,53387,1,TL,1,100,2024-01-24_20-13-34-818263
1706145219.932998,334545.000,54245,1,TL,1,100,2024-01-24_20-13-34-998564
