RD,TS_received,TS_sent,AK,RoundTrip,
252500,252510,2024-01-24_20-12-17-893202,252511,10,
257606,257646,2024-01-24_20-12-23-027658,257647,40,
262715,262806,2024-01-24_20-12-28-186512,262807,91,
267826,267885,2024-01-24_20-12-33-270400,267887,59,
272946,273027,2024-01-24_20-12-38-410560,273028,81,
278065,283171,2024-01-24_20-12-43-547811,283173,5106,
283176,283192,2024-01-24_20-12-48-569882,283193,16,
288279,288318,2024-01-24_20-12-53-701562,288319,39,
293547,293556,2024-01-24_20-12-58-938985,293558,9,
298685,303822,2024-01-24_20-13-04-331563,303824,5137,
303828,303844,2024-01-24_20-13-09-228282,303845,16,
308950,309017,2024-01-24_20-13-14-402789,309022,67,
314061,314119,2024-01-24_20-13-19-500971,314120,58,
319172,324289,2024-01-24_20-13-24-633376,324291,5117,
324295,324354,2024-01-24_20-13-29-733772,324355,59,
329425,329437,2024-01-24_20-13-34-818263,329438,12,
334546,334565,2024-01-24_20-13-39-944250,334567,19,
339672,344795,2024-01-24_20-13-45-254223,344796,5123,
344799,344809,2024-01-24_20-13-50-193377,344810,10,
349906,349967,2024-01-24_20-13-55-350555,349968,61,
355039,355046,2024-01-24_20-14-00-430478,355047,7,
360171,365290,2024-01-24_20-14-05-662546,365292,5119,
365298,370420,2024-01-24_20-14-10-790536,370421,5122,
370424,370460,2024-01-24_20-14-15-842189,370462,36,
375549,380663,2024-01-24_20-14-21-149354,380667,5114,
380670,385774,2024-01-24_20-14-26-152236,385776,5104,
385787,390907,2024-01-24_20-14-31-271001,390909,5120,
390912,390996,2024-01-24_20-14-36-380913,391001,84,
396034,396125,2024-01-24_20-14-41-509588,396127,91,
401151,406270,2024-01-24_20-14-46-683155,406271,5119,
406274,411421,2024-01-24_20-14-51-800616,411425,5147,
411428,411480,2024-01-24_20-14-56-864490,411482,52,
416533,416549,2024-01-24_20-15-01-924951,416550,16,
421645,421720,2024-01-24_20-15-07-103188,421721,75,
426749,426814,2024-01-24_20-15-12-181192,426815,65,
431857,436969,2024-01-24_20-15-17-378258,436970,5112,
436978,437044,2024-01-24_20-15-22-421529,437045,66,
442079,447190,2024-01-24_20-15-27-566202,447195,5111,
447198,447283,2024-01-24_20-15-32-664059,447287,85,
452302,452380,2024-01-24_20-15-37-763143,452382,78,
457409,457435,2024-01-24_20-15-42-817498,457436,26,
462518,462527,2024-01-24_20-15-47-912099,462529,9,
467647,467729,2024-01-24_20-15-53-090907,467731,82,
