timestamps,TP9,AF7,AF8,TP10,Right AUX
1709251376.082,-10.742,20.996,354.004,2.441,82.031
1709251376.086,6.836,23.926,334.473,20.996,72.266
1709251376.090,27.344,28.320,258.301,22.949,42.480
1709251376.094,30.762,29.297,262.695,9.277,49.316
1709251376.098,25.879,29.785,215.820,-0.488,32.227
1709251376.102,17.090,27.832,142.578,2.930,40.527
1709251376.106,22.949,30.762,-71.777,32.715,15.625
1709251376.109,24.414,30.273,-67.383,39.062,6.348
1709251376.113,1.953,26.367,211.914,15.625,30.762
1709251376.117,0.488,28.809,166.504,-1.953,21.484
1709251376.121,30.762,23.926,169.922,10.742,19.043
1709251376.125,33.203,21.484,281.738,25.391,33.691
1709251376.142,12.695,32.227,233.887,34.180,29.297
1709251376.146,7.812,36.621,98.633,34.180,15.625
1709251376.150,14.160,33.203,142.090,29.297,32.227
1709251376.154,25.391,30.762,275.879,6.836,41.992
1709251376.158,17.578,30.273,308.594,-16.113,69.336
1709251376.162,7.812,26.367,44.434,-9.277,56.152
1709251376.166,28.320,22.461,-114.746,4.883,29.297
1709251376.169,33.691,21.973,169.922,20.020,55.664
1709251376.173,13.672,23.438,276.367,32.227,29.297
1709251376.177,8.789,26.367,16.602,40.039,21.484
1709251376.181,19.043,27.832,-19.531,31.738,71.777
1709251376.185,35.645,24.414,256.348,16.602,56.152
1709251376.188,36.621,25.391,257.324,16.602,42.480
1709251376.192,24.414,32.227,160.156,16.113,74.707
1709251376.196,13.672,34.180,81.055,10.254,34.668
1709251376.200,25.879,29.785,173.340,31.250,24.414
1709251376.204,32.227,28.809,232.910,52.734,47.363
1709251376.208,5.859,30.762,20.508,43.945,8.789
1709251376.212,-11.230,27.832,-81.055,27.832,8.789
1709251376.215,13.184,28.809,101.074,21.484,60.059
1709251376.219,46.387,28.320,173.340,33.203,48.828
1709251376.223,42.969,31.250,-141.602,23.926,9.766
1709251376.227,20.020,37.109,-187.988,2.441,2.441
1709251376.231,24.902,34.180,150.391,18.555,16.602
1709251376.232,49.805,32.227,223.633,40.527,34.180
1709251376.236,54.688,33.203,199.707,40.039,43.457
1709251376.240,40.039,32.227,196.777,16.602,31.738
1709251376.244,23.926,33.203,222.168,17.578,41.016
1709251376.248,41.992,32.715,239.258,33.203,38.086
1709251376.252,51.758,30.762,133.789,33.203,20.020
1709251376.256,36.133,35.645,60.547,30.273,21.973
1709251376.259,30.273,34.668,216.309,37.109,43.457
1709251376.263,54.688,34.668,147.461,45.898,15.137
1709251376.267,71.289,36.133,66.406,36.621,6.348
1709251376.271,42.969,34.668,292.969,27.832,41.016
1709251376.275,21.973,39.062,189.453,29.785,9.277
