timestamps,TP9,AF7,AF8,TP10,Right AUX
1709251141.137,-9.277,34.668,-971.191,-2.930,0.977
1709251141.141,20.996,34.180,-971.191,23.926,24.902
1709251141.145,36.133,35.156,-971.191,31.738,26.855
1709251141.149,14.160,39.062,-971.191,11.230,27.344
1709251141.153,3.418,41.504,-971.191,10.254,17.578
1709251141.157,25.879,40.527,-971.191,18.555,4.395
1709251141.161,57.617,36.621,-971.191,28.809,23.438
1709251141.164,56.152,39.062,-971.191,37.598,42.480
1709251141.168,25.879,44.434,-971.191,21.484,16.602
1709251141.172,12.695,38.574,-971.191,27.344,5.859
1709251141.176,36.133,35.645,-971.191,34.180,59.570
1709251141.180,48.828,43.457,-969.238,24.414,35.645
1709251141.182,21.973,40.527,-973.145,17.578,9.766
1709251141.186,12.695,35.645,-946.289,11.230,39.062
1709251141.190,40.039,31.250,-871.582,30.762,51.270
1709251141.194,60.547,27.344,-830.078,35.156,44.434
1709251141.198,35.156,36.133,-778.809,29.297,19.531
1709251141.202,-2.930,36.133,-693.359,41.992,18.066
1709251141.206,28.320,29.297,-602.051,58.105,42.969
1709251141.209,69.824,34.180,-568.359,60.059,62.988
1709251141.213,27.344,39.062,-541.016,31.250,39.062
1709251141.217,-12.207,34.668,-446.289,14.648,24.414
1709251141.221,14.648,34.668,-415.527,40.039,20.020
1709251141.225,50.293,35.645,-398.438,41.992,31.250
1709251141.228,41.016,31.250,-367.188,36.621,32.715
1709251141.232,11.719,30.273,-338.379,27.344,23.926
1709251141.236,18.555,30.762,-309.570,23.438,20.996
1709251141.240,51.758,32.227,-277.832,37.598,11.719
1709251141.244,58.105,33.691,-256.836,35.645,11.230
1709251141.248,27.344,31.738,-234.375,18.066,39.551
1709251141.252,0.977,29.297,-202.637,21.484,41.504
1709251141.255,22.949,27.832,-209.473,35.156,26.855
1709251141.259,47.363,29.785,-207.031,35.645,26.855
1709251141.263,30.273,32.227,-181.152,33.203,20.020
1709251141.267,4.883,29.785,-217.773,27.832,45.410
1709251141.271,14.648,28.809,-243.652,22.949,27.344
1709251141.272,40.039,26.855,-231.934,29.785,9.277
1709251141.276,25.391,29.297,-247.070,17.578,29.785
1709251141.280,3.906,34.180,-289.551,3.906,23.438
1709251141.284,24.902,30.273,-272.949,20.508,21.973
1709251141.288,56.641,28.809,-261.230,39.062,29.297
1709251141.292,47.363,31.738,-307.129,42.969,21.973
1709251141.296,11.719,34.668,-341.797,20.996,13.184
1709251141.299,9.277,40.039,-370.117,11.719,4.395
1709251141.303,38.086,38.086,-339.844,28.320,54.199
1709251141.307,48.340,37.109,-403.809,25.879,61.523
1709251141.311,22.949,41.992,-546.875,13.672,-18.555
1709251141.315,-0.977,39.551,-552.734,22.461,-8.789
1709251141.332,31.738,33.691,-522.949,31.250,51.758
1709251141.336,59.082,34.180,-601.074,33.203,42.480
1709251141.340,26.855,36.133,-659.668,21.973,11.719
1709251141.344,0.977,34.668,-642.578,6.836,36.133
1709251141.348,10.254,29.297,-649.414,24.414,63.965
1709251141.352,33.691,28.320,-709.961,41.016,23.438
1709251141.356,23.438,37.109,-738.770,28.320,1.465
1709251141.359,-8.301,42.480,-722.656,12.695,34.668
1709251141.363,6.348,41.992,-693.848,14.648,54.688
1709251141.367,38.574,44.922,-737.793,33.203,37.109
1709251141.371,38.086,47.363,-780.273,40.039,16.113
1709251141.375,19.531,46.875,-785.645,29.785,15.625
1709251141.362,21.973,42.969,-793.457,21.973,22.949
1709251141.366,48.828,41.992,-824.219,44.922,57.617
1709251141.370,41.016,39.062,-882.812,58.105,51.270
1709251141.374,2.930,36.133,-905.762,43.945,0.977
1709251141.378,-8.301,35.156,-921.387,31.738,20.020
1709251141.382,23.438,34.668,-955.078,38.086,46.875
1709251141.386,67.871,35.645,-973.633,51.758,23.926
1709251141.389,55.664,34.668,-969.727,48.340,18.066
1709251141.393,3.418,36.621,-971.191,38.574,6.348
1709251141.397,19.531,38.086,-971.191,54.688,5.371
1709251141.401,53.223,40.039,-971.191,53.223,0.488
1709251141.405,35.156,42.480,-971.191,23.438,1.465
1709251141.408,3.906,41.992,-971.191,19.043,-2.930
1709251141.412,12.695,42.480,-971.191,35.156,-5.371
1709251141.416,40.527,42.969,-971.191,50.293,31.250
1709251141.420,40.039,40.527,-971.191,34.180,32.227
1709251141.424,18.066,45.898,-971.191,14.648,4.395
1709251141.428,16.113,48.340,-971.191,23.438,-0.977
1709251141.432,53.711,43.945,-971.191,36.621,25.879
1709251141.435,58.594,38.086,-971.191,35.645,42.969
1709251141.439,7.324,41.504,-971.191,28.320,32.715
1709251141.443,-8.789,47.363,-971.191,20.508,0.488
1709251141.447,27.344,41.504,-971.191,37.598,19.043
1709251141.451,56.641,37.109,-971.191,42.969,74.219
1709251141.468,41.504,38.086,-971.191,20.996,42.480
1709251141.472,11.719,45.410,-971.191,21.973,-3.906
1709251141.476,25.391,48.340,-971.191,29.785,27.832
1709251141.480,53.223,41.504,-971.191,36.621,51.270
1709251141.484,44.434,42.969,-971.191,38.086,21.484
