LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1709251379.786305,1308332.000,21776,2,AK,1,100,20994
1709251379.786305,1308332.000,21776,2,AK,1,100,RD
1709251379.789305,1308335.000,21778,2,AK,1,100,20994
1709251379.792305,1308338.000,21778,2,AK,1,100,RD
1709251382.352216,1310898.000,22612,2,AK,1,100,21779
1709251384.912127,1313458.000,22612,2,AK,1,100,RD
1709251384.917127,1313463.000,22614,2,AK,1,100,21779
1709251384.922127,1313468.000,22614,2,AK,1,100,RD
1709251387.469539,1316015.500,23433,2,AK,1,100,22615
1709251390.016951,1318563.000,23433,2,AK,1,100,RD
1709251390.018951,1318565.000,23435,2,AK,1,100,22615
1709251390.020951,1318567.000,23435,2,AK,1,100,RD
1709251392.574862,1321121.000,24252,2,AK,1,100,23436
1709251395.128774,1323675.000,24252,2,AK,1,100,RD
1709251395.129774,1323676.000,24254,2,AK,1,100,23436
1709251395.130774,1323677.000,24254,2,AK,1,100,RD
1709251397.694685,1326241.000,25082,2,AK,1,100,24255
1709251400.258596,1328805.000,25082,2,AK,1,100,RD
1709251400.260096,1328806.500,25084,2,AK,1,100,24255
1709251400.261596,1328808.000,25084,2,AK,1,100,RD
1709251402.824508,1331371.000,25911,2,AK,1,100,25085
1709251405.387419,1333934.000,25911,2,AK,1,100,RD
1709251405.388919,1333935.500,25913,2,AK,1,100,25085
1709251405.390419,1333937.000,25913,2,AK,1,100,RD
1709251405.405418,1333952.000,25916,2,AK,1,100,25914
1709251405.420418,1333967.000,25916,2,AK,1,100,RD
1709251407.957830,1336504.500,26739,2,AK,1,100,25914
1709251410.495242,1339042.000,26739,2,AK,1,100,RD
1709251413.057154,1341604.000,27567,2,AK,1,100,26740
1709251415.619065,1344166.000,27567,2,AK,1,100,RD
1709251415.622065,1344169.000,27569,2,AK,1,100,26740
1709251415.625065,1344172.000,27569,2,AK,1,100,RD
1709251415.645564,1344192.500,27572,2,AK,1,100,27570
1709251415.666063,1344213.000,27572,2,AK,1,100,RD
1709251418.196476,1346743.500,28402,2,AK,1,100,27570
1709251420.726888,1349274.000,28402,2,AK,1,100,RD
1709251423.356297,1351903.500,29237,2,AK,1,100,28403
1709251425.985706,1354533.000,29237,2,AK,1,100,RD
1709251425.987206,1354534.500,29239,2,AK,1,100,28403
1709251425.988706,1354536.000,29239,2,AK,1,100,RD
1709251428.540118,1357087.500,30045,2,AK,1,100,29240
1709251431.091530,1359639.000,30045,2,AK,1,100,RD
1709251431.093029,1359640.500,30047,2,AK,1,100,29240
1709251431.094530,1359642.000,30047,2,AK,1,100,RD
1709251431.109029,1359656.500,30050,2,AK,1,100,30048
1709251431.123528,1359671.000,30050,2,AK,1,100,RD
1709251433.667440,1362215.000,30879,2,AK,1,100,30048
1709251436.211353,1364759.000,30879,2,AK,1,100,RD
1709251438.768264,1367316.000,31705,2,AK,1,100,30880
1709251441.325176,1369873.000,31705,2,AK,1,100,RD
1709251441.327675,1369875.500,31707,2,AK,1,100,30880
1709251441.330175,1369878.000,31707,2,AK,1,100,RD
1709251441.352175,1369900.000,31710,2,AK,1,100,31708
1709251441.374174,1369922.000,31710,2,AK,1,100,RD
1709251443.904586,1372452.500,32535,2,AK,1,100,31708
1709251446.434999,1374983.000,32535,2,AK,1,100,RD
1709251448.995410,1377543.500,33365,2,AK,1,100,32536
1709251451.555822,1380104.000,33365,2,AK,1,100,RD
1709251451.557822,1380106.000,33367,2,AK,1,100,32536
1709251451.559821,1380108.000,33367,2,AK,1,100,RD
1709251454.120733,1382669.000,34196,2,AK,1,100,33368
1709251456.681644,1385230.000,34196,2,AK,1,100,RD
1709251456.685144,1385233.500,34198,2,AK,1,100,33368
1709251456.688644,1385237.000,34198,2,AK,1,100,RD
1709251459.240556,1387789.000,35007,2,AK,1,100,34199
1709251461.792467,1390341.000,35007,2,AK,1,100,RD
1709251461.794467,1390343.000,35009,2,AK,1,100,34199
1709251461.796467,1390345.000,35009,2,AK,1,100,RD
1709251464.361378,1392910.000,35835,2,AK,1,100,35010
1709251466.926290,1395475.000,35835,2,AK,1,100,RD
1709251466.927790,1395476.500,35837,2,AK,1,100,35010
1709251466.929290,1395478.000,35837,2,AK,1,100,RD
1709251469.489201,1398038.000,36662,2,AK,1,100,35838
1709251472.049113,1400598.000,36662,2,AK,1,100,RD
1709251472.050612,1400599.500,36664,2,AK,1,100,35838
1709251472.052112,1400601.000,36664,2,AK,1,100,RD
1709251474.622523,1403171.500,37491,2,AK,1,100,36665
1709251477.192935,1405742.000,37491,2,AK,1,100,RD
1709251477.193934,1405743.000,37493,2,AK,1,100,36665
1709251477.194934,1405744.000,37493,2,AK,1,100,RD
1709251479.759346,1408308.500,38315,2,AK,1,100,37494
1709251482.323757,1410873.000,38315,2,AK,1,100,RD
1709251482.325257,1410874.500,38317,2,AK,1,100,37494
1709251482.326757,1410876.000,38317,2,AK,1,100,RD
1709251482.355756,1410905.000,38320,2,AK,1,100,38318
1709251482.384755,1410934.000,38320,2,AK,1,100,RD
1709251484.918167,1413467.500,39150,2,AK,1,100,38318
1709251487.451580,1416001.000,39150,2,AK,1,100,RD
1709251490.013491,1418563.000,39978,2,AK,1,100,39151
1709251492.575402,1421125.000,39978,2,AK,1,100,RD
1709251492.576402,1421126.000,39980,2,AK,1,100,39151
1709251492.577402,1421127.000,39980,2,AK,1,100,RD
1709251495.130314,1423680.000,40787,2,AK,1,100,39981
1709251497.683225,1426233.000,40787,2,AK,1,100,RD
1709251497.685225,1426235.000,40789,2,AK,1,100,39981
1709251497.687225,1426237.000,40789,2,AK,1,100,RD
1709251500.246637,1428796.500,41614,2,AK,1,100,40790
1709251502.806048,1431356.000,41614,2,AK,1,100,RD
1709251502.807548,1431357.500,41616,2,AK,1,100,40790
1709251502.809048,1431359.000,41616,2,AK,1,100,RD
1709251505.370960,1433921.000,42438,2,AK,1,100,41617
1709251507.932871,1436483.000,42438,2,AK,1,100,RD
1709251507.934871,1436485.000,42440,2,AK,1,100,41617
1709251507.936871,1436487.000,42440,2,AK,1,100,RD
1709251510.501282,1439051.500,43271,2,AK,1,100,42441
1709251513.065693,1441616.000,43271,2,AK,1,100,RD
1709251513.067193,1441617.500,43273,2,AK,1,100,42441
1709251513.068693,1441619.000,43273,2,AK,1,100,RD
1709251515.629105,1444179.500,44095,2,AK,1,100,43274
1709251518.189516,1446740.000,44095,2,AK,1,100,RD
1709251518.190516,1446741.000,44097,2,AK,1,100,43274
1709251518.191516,1446742.000,44097,2,AK,1,100,RD
1709251520.751427,1449302.000,44924,2,AK,1,100,44098
1709251523.311339,1451862.000,44924,2,AK,1,100,RD
1709251523.314339,1451865.000,44926,2,AK,1,100,44098
1709251523.317338,1451868.000,44926,2,AK,1,100,RD
1709251523.339338,1451890.000,44929,2,AK,1,100,44927
1709251523.361337,1451912.000,44929,2,AK,1,100,RD
1709251525.890249,1454441.000,45735,2,AK,1,100,44927
1709251528.419162,1456970.000,45735,2,AK,1,100,RD
1709251530.974074,1459525.000,46554,2,AK,1,100,45736
1709251533.528985,1462080.000,46554,2,AK,1,100,RD
1709251536.095896,1464647.000,47385,2,AK,1,100,46555
1709251538.662808,1467214.000,47385,2,AK,1,100,RD
1709251538.664808,1467216.000,47387,2,AK,1,100,46555
1709251538.666807,1467218.000,47387,2,AK,1,100,RD
1709251541.224219,1469775.500,48210,2,AK,1,100,47388
1709251543.781631,1472333.000,48210,2,AK,1,100,RD
1709251543.783630,1472335.000,48212,2,AK,1,100,47388
1709251543.785630,1472337.000,48212,2,AK,1,100,RD
1709251546.350042,1474901.500,49040,2,AK,1,100,48213
1709251548.914453,1477466.000,49040,2,AK,1,100,RD
1709251548.915953,1477467.500,49042,2,AK,1,100,48213
1709251548.917453,1477469.000,49042,2,AK,1,100,RD
1709251551.468864,1480020.500,49853,2,AK,1,100,49043
1709251554.020276,1482572.000,49853,2,AK,1,100,RD
1709251554.021776,1482573.500,49855,2,AK,1,100,49043
1709251554.023276,1482575.000,49855,2,AK,1,100,RD
1709251556.585187,1485137.000,50676,2,AK,1,100,49856
1709251559.147099,1487699.000,50676,2,AK,1,100,RD
1709251559.148099,1487700.000,50678,2,AK,1,100,49856
1709251559.149099,1487701.000,50678,2,AK,1,100,RD
1709251559.160598,1487712.500,50681,2,AK,1,100,50679
