LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1709251378.936334,1307482,21641,1,BI,1,100,1520
1709251381.256254,1309802,22012,1,BI,1,100,2320
1709251381.816235,1310362,22096,1,BI,1,100,560
1709251383.789166,1312335,22426,1,BI,1,100,1960
1709251384.509141,1313055,22541,1,BI,1,100,720
1709251385.349112,1313895,22684,1,BI,1,100,840
1709251386.522072,1315068,22864,1,BI,1,100,1160
1709251387.362043,1315908,22997,1,BI,1,100,840
1709251388.122016,1316668,23129,1,BI,1,100,760
1709251389.120982,1317667,23295,1,BI,1,100,1000
1709251389.841957,1318388,23413,1,BI,1,100,720
1709251390.200944,1318747,23454,1,BI,1,100,360
1709251391.134912,1319681,23604,1,BI,1,100,920
1709251391.854887,1320401,23719,1,BI,1,100,720
1709251394.053811,1322600,24081,1,BI,1,100,2200
1709251394.694789,1323241,24183,1,BI,1,100,640
1709251395.227771,1323774,24257,1,BI,1,100,520
1709251399.879610,1328426,25012,1,BI,1,100,4640
1709251400.120601,1328667,25064,1,BI,1,100,240
1709251401.559551,1330106,25282,1,BI,1,100,1440
1709251402.159531,1330706,25382,1,BI,1,100,600
1709251404.292457,1332839,25728,1,BI,1,100,2120
1709251407.572343,1336119,26260,1,BI,1,100,3280
1709251414.238113,1342785,27330,1,BI,1,100,6640
1709251414.998086,1343545,27465,1,BI,1,100,760
1709251415.838058,1344385,27604,1,BI,1,100,840
1709251416.158046,1344705,27655,1,BI,1,100,320
1709251418.210975,1346758,27985,1,BI,1,100,2040
1709251419.010948,1347558,28118,1,BI,1,100,800
1709251419.490931,1348038,28201,1,BI,1,100,480
1709251420.890882,1349438,28422,1,BI,1,100,1400
1709251421.263870,1349811,28489,1,BI,1,100,360
1709251422.343832,1350891,28655,1,BI,1,100,1080
1709251422.903813,1351451,28754,1,BI,1,100,560
1709251423.743784,1352291,28886,1,BI,1,100,840
1709251425.383727,1353931,29155,1,BI,1,100,1640
1709251432.448483,1360996,30280,1,BI,1,100,7040
1709251433.608443,1362156,30462,1,BI,1,100,1160
1709251434.222421,1362770,30563,1,BI,1,100,600
1709251434.862399,1363410,30665,1,BI,1,100,640
1709251438.715266,1367263,31276,1,BI,1,100,3840
1709251440.274212,1368822,31524,1,BI,1,100,1560
1709251443.407104,1371955,32040,1,BI,1,100,3120
1709251446.766987,1375315,32586,1,BI,1,100,3360
1709251447.539960,1376088,32703,1,BI,1,100,760
1709251449.219902,1377768,32986,1,BI,1,100,1680
1709251451.952808,1380501,33420,1,BI,1,100,2720
1709251454.232729,1382781,33797,1,BI,1,100,2280
1709251455.632680,1384181,34030,1,BI,1,100,1400
1709251461.218487,1389767,34923,1,BI,1,100,5560
1709251462.458444,1391007,35111,1,BI,1,100,1240
1709251463.418411,1391967,35260,1,BI,1,100,960
1709251467.511270,1396060,35921,1,BI,1,100,4080
1709251469.764192,1398313,36283,1,BI,1,100,2240
1709251476.015975,1404565,37290,1,BI,1,100,6240
1709251476.856946,1405406,37441,1,BI,1,100,840
1709251484.681675,1413231,38700,1,BI,1,100,7800
1709251486.641608,1415191,39016,1,BI,1,100,1960
1709251487.534577,1416084,39153,1,BI,1,100,880
1709251489.814498,1418364,39531,1,BI,1,100,2280
1709251491.707432,1420257,39828,1,BI,1,100,1880
1709251508.345857,1436896,42493,1,BI,1,100,16600
1709251508.918837,1437469,42592,1,BI,1,100,560
1709251509.998799,1438549,42777,1,BI,1,100,1080
1709251511.038763,1439589,42941,1,BI,1,100,1040
1709251520.103450,1448654,44398,1,BI,1,100,9040
1709251522.436369,1450987,44775,1,BI,1,100,2320
1709251528.449161,1457000,45738,1,BI,1,100,6000
1709251530.009107,1458560,45990,1,BI,1,100,1560
1709251531.702049,1460253,46255,1,BI,1,100,1680
1709251532.782011,1461333,46436,1,BI,1,100,1080
1709251533.461987,1462013,46557,1,BI,1,100,680
1709251534.714944,1463266,46742,1,BI,1,100,1240
1709251536.194893,1464746,46989,1,BI,1,100,1480
1709251537.154860,1465706,47137,1,BI,1,100,960
1709251543.580637,1472132,48176,1,BI,1,100,6400
1709251544.940590,1473492,48398,1,BI,1,100,1360
1709251547.260510,1475812,48775,1,BI,1,100,2320
1709251548.193478,1476745,48924,1,BI,1,100,920
1709251551.873350,1480425,49503,1,BI,1,100,3680
1709251552.246338,1480798,49571,1,BI,1,100,360
1709251561.992000,1490544,51127,1,BI,1,100,9720
