LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1709251378.708342,1307254.000,21596,1,EA,1,100,0.389136
1709251378.775340,1307321.000,21610,1,EA,1,100,0.389028
1709251378.841837,1307387.500,21628,2,EA,1,100,0.389028
1709251378.908335,1307454.000,21628,2,EA,1,100,0.389180
1709251378.974333,1307520.000,21646,1,EA,1,100,0.389527
1709251379.041331,1307587.000,21661,2,EA,1,100,0.389874
1709251379.108328,1307654.000,21661,2,EA,1,100,0.390245
1709251379.174326,1307720.000,21678,1,EA,1,100,0.390943
1709251379.241324,1307787.000,21695,2,EA,1,100,0.391622
1709251379.308321,1307854.000,21695,2,EA,1,100,0.392282
1709251379.374319,1307920.000,21711,1,EA,1,100,0.392921
1709251379.441317,1307987.000,21728,2,EA,1,100,0.393674
1709251379.508314,1308054.000,21728,2,EA,1,100,0.394518
1709251379.574312,1308120.000,21745,1,EA,1,100,0.395590
1709251379.641310,1308187.000,21762,2,EA,1,100,0.396398
1709251379.708308,1308254.000,21762,2,EA,1,100,0.397232
1709251379.774805,1308320.500,21784,2,EA,1,100,0.398205
1709251379.841303,1308387.000,21784,2,EA,1,100,0.399115
1709251379.907801,1308453.500,21801,2,EA,1,100,0.399914
1709251379.974298,1308520.000,21801,2,EA,1,100,0.400533
1709251380.041296,1308587.000,21817,1,EA,1,100,0.401361
1709251380.107794,1308653.500,21834,2,EA,1,100,0.402262
1709251380.174291,1308720.000,21834,2,EA,1,100,0.403051
1709251380.241289,1308787.000,21849,1,EA,1,100,0.403726
1709251380.307787,1308853.500,21866,2,EA,1,100,0.404404
1709251380.374285,1308920.000,21866,2,EA,1,100,0.405201
1709251380.441282,1308987.000,21884,1,EA,1,100,0.405530
1709251380.507780,1309053.500,21901,2,EA,1,100,0.405954
1709251380.574278,1309120.000,21901,2,EA,1,100,0.406332
1709251380.641275,1309187.000,21916,2,EA,1,100,0.406710
1709251380.708273,1309254.000,21916,2,EA,1,100,0.407089
1709251380.774271,1309320.000,21933,1,EA,1,100,0.407136
1709251380.841268,1309387.000,21950,2,EA,1,100,0.407421
1709251380.908266,1309454.000,21950,2,EA,1,100,0.407635
1709251380.974264,1309520.000,21967,1,EA,1,100,0.407826
1709251381.041261,1309587.000,21981,2,EA,1,100,0.407921
1709251381.108259,1309654.000,21981,2,EA,1,100,0.407730
1709251381.174257,1309720.000,21999,1,EA,1,100,0.407659
1709251381.241255,1309787.000,22017,2,EA,1,100,0.407683
1709251381.308252,1309854.000,22017,2,EA,1,100,0.407754
1709251381.374250,1309920.000,22034,1,EA,1,100,0.407540
1709251381.441247,1309987.000,22049,2,EA,1,100,0.407493
1709251381.508245,1310054.000,22049,2,EA,1,100,0.407398
1709251381.574243,1310120.000,22066,1,EA,1,100,0.407279
1709251381.640741,1310186.500,22082,2,EA,1,100,0.407136
1709251381.707238,1310253.000,22082,2,EA,1,100,0.406852
1709251381.774236,1310320.000,22101,1,EA,1,100,0.406544
1709251381.841234,1310387.000,22116,2,EA,1,100,0.406402
1709251381.908231,1310454.000,22116,2,EA,1,100,0.406214
1709251381.974229,1310520.000,22133,1,EA,1,100,0.405978
1709251382.040727,1310586.500,22149,2,EA,1,100,0.405930
1709251382.107224,1310653.000,22149,2,EA,1,100,0.405530
1709251382.174222,1310720.000,22167,1,EA,1,100,0.405154
1709251382.240720,1310786.500,22181,2,EA,1,100,0.405013
1709251382.307218,1310853.000,22181,2,EA,1,100,0.405060
1709251382.374215,1310920.000,22198,1,EA,1,100,0.405506
1709251382.440713,1310986.500,22215,2,EA,1,100,0.406710
1709251382.507211,1311053.000,22215,2,EA,1,100,0.407113
1709251382.574208,1311120.000,22232,1,EA,1,100,0.407588
1709251382.640706,1311186.500,22247,2,EA,1,100,0.407683
1709251382.707204,1311253.000,22247,2,EA,1,100,0.407445
1709251382.774201,1311320.000,22264,2,EA,1,100,0.407564
1709251382.841199,1311387.000,22264,2,EA,1,100,0.408517
1709251382.907197,1311453.000,22280,1,EA,1,100,0.410774
1709251382.974195,1311520.000,22297,2,EA,1,100,0.411791
1709251383.041192,1311587.000,22297,2,EA,1,100,0.412666
1709251383.107190,1311653.000,22313,1,EA,1,100,0.413276
1709251383.174188,1311720.000,22329,2,EA,1,100,0.413986
1709251383.241185,1311787.000,22329,2,EA,1,100,0.414969
1709251383.307183,1311853.000,22345,1,EA,1,100,0.415735
1709251383.374181,1311920.000,22362,2,EA,1,100,0.416304
1709251383.441178,1311987.000,22362,2,EA,1,100,0.416652
1709251383.507176,1312053.000,22379,1,EA,1,100,0.417049
1709251383.574174,1312120.000,22394,2,EA,1,100,0.417698
1709251383.641171,1312187.000,22394,2,EA,1,100,0.418172
1709251383.707169,1312253.000,22412,1,EA,1,100,0.418248
1709251383.774167,1312320.000,22432,2,EA,1,100,0.418573
1709251383.841165,1312387.000,22432,2,EA,1,100,0.419000
1709251383.907162,1312453.000,22448,1,EA,1,100,0.419503
1709251383.974160,1312520.000,22463,2,EA,1,100,0.419730
1709251384.041157,1312587.000,22463,2,EA,1,100,0.420133
1709251384.107155,1312653.000,22479,1,EA,1,100,0.420361
1709251384.174153,1312720.000,22497,2,EA,1,100,0.420766
1709251384.241151,1312787.000,22497,2,EA,1,100,0.420943
1709251384.307148,1312853.000,22513,1,EA,1,100,0.420715
1709251384.374146,1312920.000,22528,2,EA,1,100,0.420690
1709251384.441144,1312987.000,22528,2,EA,1,100,0.420842
1709251384.507142,1313053.000,22547,1,EA,1,100,0.420994
1709251384.574139,1313120.000,22566,2,EA,1,100,0.421222
1709251384.641137,1313187.000,22566,2,EA,1,100,0.421324
1709251384.707134,1313253.000,22582,1,EA,1,100,0.421476
1709251384.774132,1313320.000,22599,2,EA,1,100,0.421578
1709251384.841130,1313387.000,22599,2,EA,1,100,0.421578
1709251384.907628,1313453.500,22620,2,EA,1,100,0.421782
1709251384.974125,1313520.000,22620,2,EA,1,100,0.422113
1709251385.040623,1313586.500,22636,2,EA,1,100,0.421960
1709251385.107121,1313653.000,22636,2,EA,1,100,0.421782
1709251385.174118,1313720.000,22654,1,EA,1,100,0.421680
1709251385.240616,1313786.500,22670,2,EA,1,100,0.421858
1709251385.307114,1313853.000,22670,2,EA,1,100,0.422266
1709251385.374111,1313920.000,22689,1,EA,1,100,0.422342
1709251385.440609,1313986.500,22705,2,EA,1,100,0.422393
1709251385.507107,1314053.000,22705,2,EA,1,100,0.422598
1709251385.574105,1314120.000,22721,2,EA,1,100,0.422751
1709251385.641102,1314187.000,22721,2,EA,1,100,0.422751
1709251385.707100,1314253.000,22737,1,EA,1,100,0.422700
1709251385.773598,1314319.500,22755,2,EA,1,100,0.422905
1709251385.840095,1314386.000,22755,2,EA,1,100,0.423135
1709251385.907093,1314453.000,22771,1,EA,1,100,0.423161
1709251385.973591,1314519.500,22786,2,EA,1,100,0.423263
1709251386.040088,1314586.000,22786,2,EA,1,100,0.423571
1709251386.107086,1314653.000,22802,1,EA,1,100,0.423622
1709251386.173584,1314719.500,22820,2,EA,1,100,0.423597
1709251386.240082,1314786.000,22820,2,EA,1,100,0.423828
1709251386.307079,1314853.000,22836,1,EA,1,100,0.423931
1709251386.373577,1314919.500,22851,2,EA,1,100,0.424034
1709251386.440075,1314986.000,22851,2,EA,1,100,0.424265
1709251386.507072,1315053.000,22870,1,EA,1,100,0.424317
1709251386.573570,1315119.500,22887,2,EA,1,100,0.424394
1709251386.640068,1315186.000,22887,2,EA,1,100,0.424317
1709251386.707065,1315253.000,22903,1,EA,1,100,0.424343
1709251386.773563,1315319.500,22919,2,EA,1,100,0.424240
1709251386.840061,1315386.000,22919,2,EA,1,100,0.424137
1709251386.907058,1315453.000,22935,1,EA,1,100,0.424265
1709251386.973556,1315519.500,22952,2,EA,1,100,0.424291
1709251387.040054,1315586.000,22952,2,EA,1,100,0.424059
1709251387.107052,1315653.000,22968,1,EA,1,100,0.423956
1709251387.173549,1315719.500,22984,2,EA,1,100,0.423828
1709251387.240047,1315786.000,22984,2,EA,1,100,0.423520
1709251387.307045,1315853.000,23002,2,EA,1,100,0.423417
1709251387.374042,1315920.000,23002,2,EA,1,100,0.423391
1709251387.440040,1315986.000,23019,1,EA,1,100,0.423237
1709251387.507038,1316053.000,23036,2,EA,1,100,0.423033
1709251387.574035,1316120.000,23036,2,EA,1,100,0.422802
1709251387.640033,1316186.000,23053,1,EA,1,100,0.422598
1709251387.707031,1316253.000,23067,2,EA,1,100,0.422521
1709251387.774029,1316320.000,23067,2,EA,1,100,0.422368
1709251387.840026,1316386.000,23085,1,EA,1,100,0.422215
1709251387.907024,1316453.000,23101,2,EA,1,100,0.422266
1709251387.974021,1316520.000,23101,2,EA,1,100,0.422138
1709251388.040019,1316586.000,23118,1,EA,1,100,0.421909
1709251388.107017,1316653.000,23135,2,EA,1,100,0.422011
1709251388.174015,1316720.000,23135,2,EA,1,100,0.421909
1709251388.240012,1316786.000,23152,1,EA,1,100,0.421705
1709251388.307010,1316853.000,23168,2,EA,1,100,0.421629
1709251388.374008,1316920.000,23168,2,EA,1,100,0.421527
1709251388.440005,1316986.000,23185,1,EA,1,100,0.421603
1709251388.507003,1317053.000,23200,2,EA,1,100,0.421654
1709251388.574001,1317120.000,23200,2,EA,1,100,0.421553
1709251388.639998,1317186.000,23217,1,EA,1,100,0.421298
1709251388.706996,1317253.000,23233,2,EA,1,100,0.421171
1709251388.773994,1317320.000,23233,2,EA,1,100,0.421121
1709251388.839992,1317386.000,23251,1,EA,1,100,0.421121
1709251388.906489,1317452.500,23265,2,EA,1,100,0.421019
1709251388.972987,1317519.000,23265,2,EA,1,100,0.420892
1709251389.039985,1317586.000,23282,1,EA,1,100,0.420867
1709251389.106482,1317652.500,23301,2,EA,1,100,0.420690
