LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1709251378.708342,1307254.000,21597,1,EL,1,100,-16039.200195
1709251378.775340,1307321.000,21611,1,EL,1,100,-16038.200195
1709251378.841837,1307387.500,21629,2,EL,1,100,-16038.200195
1709251378.908335,1307454.000,21629,2,EL,1,100,-16039.599609
1709251378.974333,1307520.000,21647,1,EL,1,100,-16042.799805
1709251379.041331,1307587.000,21662,2,EL,1,100,-16046.000000
1709251379.108328,1307654.000,21662,2,EL,1,100,-16049.400391
1709251379.174326,1307720.000,21679,1,EL,1,100,-16055.799805
1709251379.241324,1307787.000,21696,2,EL,1,100,-16062.000000
1709251379.308321,1307854.000,21696,2,EL,1,100,-16068.000000
1709251379.374319,1307920.000,21712,1,EL,1,100,-16073.799805
1709251379.441317,1307987.000,21729,2,EL,1,100,-16080.599609
1709251379.508314,1308054.000,21729,2,EL,1,100,-16088.200195
1709251379.574312,1308120.000,21746,1,EL,1,100,-16097.799805
1709251379.641310,1308187.000,21763,2,EL,1,100,-16105.000000
1709251379.708308,1308254.000,21763,2,EL,1,100,-16112.400391
1709251379.774805,1308320.500,21785,2,EL,1,100,-16121.000000
1709251379.841303,1308387.000,21785,2,EL,1,100,-16129.000000
1709251379.907801,1308453.500,21802,2,EL,1,100,-16136.000000
1709251379.974298,1308520.000,21802,2,EL,1,100,-16141.400391
1709251380.041296,1308587.000,21818,1,EL,1,100,-16148.599609
1709251380.107794,1308653.500,21835,2,EL,1,100,-16156.400391
1709251380.174291,1308720.000,21835,2,EL,1,100,-16163.200195
1709251380.241289,1308787.000,21850,1,EL,1,100,-16169.000000
1709251380.307787,1308853.500,21867,2,EL,1,100,-16174.799805
1709251380.374285,1308920.000,21867,2,EL,1,100,-16181.599609
1709251380.441282,1308987.000,21885,1,EL,1,100,-16184.400391
1709251380.507780,1309053.500,21902,2,EL,1,100,-16188.000000
1709251380.574278,1309120.000,21902,2,EL,1,100,-16191.200195
1709251380.641275,1309187.000,21917,2,EL,1,100,-16194.400391
1709251380.708273,1309254.000,21917,2,EL,1,100,-16197.599609
1709251380.774271,1309320.000,21934,1,EL,1,100,-16198.000000
1709251380.841268,1309387.000,21951,2,EL,1,100,-16200.400391
1709251380.908266,1309454.000,21951,2,EL,1,100,-16202.200195
1709251380.974264,1309520.000,21968,1,EL,1,100,-16203.799805
1709251381.041261,1309587.000,21982,2,EL,1,100,-16204.599609
1709251381.108259,1309654.000,21982,2,EL,1,100,-16203.000000
1709251381.174257,1309720.000,22000,1,EL,1,100,-16202.400391
1709251381.241255,1309787.000,22018,2,EL,1,100,-16202.599609
1709251381.308252,1309854.000,22018,2,EL,1,100,-16203.200195
1709251381.374250,1309920.000,22035,1,EL,1,100,-16201.400391
1709251381.441247,1309987.000,22050,2,EL,1,100,-16201.000000
1709251381.508245,1310054.000,22050,2,EL,1,100,-16200.200195
1709251381.574243,1310120.000,22067,1,EL,1,100,-16199.200195
1709251381.640741,1310186.500,22083,2,EL,1,100,-16198.000000
1709251381.707238,1310253.000,22083,2,EL,1,100,-16195.599609
1709251381.774236,1310320.000,22102,1,EL,1,100,-16193.000000
1709251381.841234,1310387.000,22117,2,EL,1,100,-16191.799805
