LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1709251378.720342,1307266.000,21592,4,EM,1,100,RS
1709251378.720342,1307266.000,21592,4,EM,1,100,RB
1709251378.720342,1307266.000,21592,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251378.720342,1307266.000,21592,4,EM,1,100,PS
1709251378.771090,1307316.750,21623,4,EM,1,100,RS
1709251378.821838,1307367.500,21623,4,EM,1,100,RB
1709251378.872586,1307418.250,21623,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251378.923335,1307469.000,21623,4,EM,1,100,PS
1709251378.973583,1307519.250,21657,4,EM,1,100,RS
1709251379.023831,1307569.500,21657,4,EM,1,100,RB
1709251379.074080,1307619.750,21657,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251379.124328,1307670.000,21657,4,EM,1,100,PS
1709251379.174576,1307720.250,21691,4,EM,1,100,RS
1709251379.224824,1307770.500,21691,4,EM,1,100,RB
1709251379.275073,1307820.750,21691,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251379.325321,1307871.000,21691,4,EM,1,100,PS
1709251379.375569,1307921.250,21723,4,EM,1,100,RS
1709251379.425817,1307971.500,21723,4,EM,1,100,RB
1709251379.476066,1308021.750,21723,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251379.526314,1308072.000,21723,4,EM,1,100,PS
1709251379.576562,1308122.250,21758,4,EM,1,100,RS
1709251379.626810,1308172.500,21758,4,EM,1,100,RB
1709251379.677059,1308222.750,21758,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251379.727307,1308273.000,21758,4,EM,1,100,PS
1709251379.783055,1308328.750,21797,4,EM,1,100,RS
1709251379.838803,1308384.500,21797,4,EM,1,100,RB
1709251379.894551,1308440.250,21797,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251379.950299,1308496.000,21797,4,EM,1,100,PS
1709251380.000547,1308546.250,21829,4,EM,1,100,RS
1709251380.050796,1308596.500,21829,4,EM,1,100,RB
1709251380.101044,1308646.750,21829,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251380.151292,1308697.000,21829,4,EM,1,100,PS
1709251380.201540,1308747.250,21862,4,EM,1,100,RS
1709251380.251789,1308797.500,21862,4,EM,1,100,RB
1709251380.302037,1308847.750,21862,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251380.352285,1308898.000,21862,4,EM,1,100,PS
1709251380.402534,1308948.250,21896,4,EM,1,100,RS
1709251380.452782,1308998.500,21896,4,EM,1,100,RB
1709251380.503030,1309048.750,21896,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251380.553278,1309099.000,21896,4,EM,1,100,PS
1709251380.603527,1309149.250,21929,4,EM,1,100,RS
1709251380.653775,1309199.500,21929,4,EM,1,100,RB
1709251380.704023,1309249.750,21929,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251380.754271,1309300.000,21929,4,EM,1,100,PS
1709251380.805269,1309351.000,21963,4,EM,1,100,RS
1709251380.856268,1309402.000,21963,4,EM,1,100,RB
1709251380.907266,1309453.000,21963,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251380.958264,1309504.000,21963,4,EM,1,100,PS
1709251381.008263,1309554.000,21994,4,EM,1,100,RS
1709251381.058261,1309604.000,21994,4,EM,1,100,RB
1709251381.108259,1309654.000,21994,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251381.158257,1309704.000,21994,4,EM,1,100,PS
1709251381.208506,1309754.250,22030,4,EM,1,100,RS
1709251381.258754,1309804.500,22030,4,EM,1,100,RB
1709251381.309002,1309854.750,22030,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251381.359250,1309905.000,22030,4,EM,1,100,PS
1709251381.410249,1309956.000,22062,4,EM,1,100,RS
1709251381.461247,1310007.000,22062,4,EM,1,100,RB
1709251381.512245,1310058.000,22062,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251381.563243,1310109.000,22062,4,EM,1,100,PS
1709251381.613492,1310159.250,22095,4,EM,1,100,RS
1709251381.663740,1310209.500,22095,4,EM,1,100,RB
1709251381.713988,1310259.750,22095,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251381.764236,1310310.000,22095,4,EM,1,100,PS
1709251381.814485,1310360.250,22129,4,EM,1,100,RS
1709251381.864733,1310410.500,22129,4,EM,1,100,RB
1709251381.914981,1310460.750,22129,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251381.965230,1310511.000,22129,4,EM,1,100,PS
1709251382.015478,1310561.250,22162,4,EM,1,100,RS
1709251382.065726,1310611.500,22162,4,EM,1,100,RB
1709251382.115974,1310661.750,22162,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251382.166223,1310712.000,22162,4,EM,1,100,PS
1709251382.216721,1310762.500,22194,4,EM,1,100,RS
1709251382.267219,1310813.000,22194,4,EM,1,100,RB
1709251382.317717,1310863.500,22194,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251382.368216,1310914.000,22194,4,EM,1,100,PS
1709251382.418464,1310964.250,22228,4,EM,1,100,RS
1709251382.468712,1311014.500,22228,4,EM,1,100,RB
1709251382.518960,1311064.750,22228,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251382.569209,1311115.000,22228,4,EM,1,100,PS
1709251382.619707,1311165.500,22259,4,EM,1,100,RS
1709251382.670205,1311216.000,22259,4,EM,1,100,RB
1709251382.720703,1311266.500,22259,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251382.771202,1311317.000,22259,4,EM,1,100,PS
1709251382.821200,1311367.000,22293,4,EM,1,100,RS
1709251382.871198,1311417.000,22293,4,EM,1,100,RB
1709251382.921196,1311467.000,22293,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251382.971195,1311517.000,22293,4,EM,1,100,PS
1709251383.021443,1311567.250,22324,4,EM,1,100,RS
1709251383.071691,1311617.500,22324,4,EM,1,100,RB
1709251383.121939,1311667.750,22324,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251383.172188,1311718.000,22324,4,EM,1,100,PS
1709251383.223186,1311769.000,22358,4,EM,1,100,RS
1709251383.274184,1311820.000,22358,4,EM,1,100,RB
1709251383.325182,1311871.000,22358,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251383.376181,1311922.000,22358,4,EM,1,100,PS
1709251383.428429,1311974.250,22390,4,EM,1,100,RS
1709251383.480677,1312026.500,22390,4,EM,1,100,RB
1709251383.532925,1312078.750,22390,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251383.585173,1312131.000,22390,4,EM,1,100,PS
1709251383.639672,1312185.500,22425,4,EM,1,100,RS
1709251383.694170,1312240.000,22425,4,EM,1,100,RB
1709251383.748668,1312294.500,22425,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251383.803166,1312349.000,22425,4,EM,1,100,PS
1709251383.853414,1312399.250,22459,4,EM,1,100,RS
1709251383.903662,1312449.500,22459,4,EM,1,100,RB
1709251383.953911,1312499.750,22459,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251384.004159,1312550.000,22459,4,EM,1,100,PS
1709251384.054657,1312600.500,22492,4,EM,1,100,RS
1709251384.105155,1312651.000,22492,4,EM,1,100,RB
1709251384.155654,1312701.500,22492,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251384.206152,1312752.000,22492,4,EM,1,100,PS
1709251384.256400,1312802.250,22524,4,EM,1,100,RS
1709251384.306648,1312852.500,22524,4,EM,1,100,RB
1709251384.356897,1312902.750,22524,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251384.407145,1312953.000,22524,4,EM,1,100,PS
1709251384.457393,1313003.250,22562,4,EM,1,100,RS
1709251384.507642,1313053.500,22562,4,EM,1,100,RB
1709251384.557890,1313103.750,22562,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251384.608138,1313154.000,22562,4,EM,1,100,PS
1709251384.658386,1313204.250,22594,4,EM,1,100,RS
1709251384.708635,1313254.500,22594,4,EM,1,100,RB
1709251384.758883,1313304.750,22594,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251384.809131,1313355.000,22594,4,EM,1,100,PS
1709251384.863129,1313409.000,22616,4,EM,1,100,RS
1709251384.917127,1313463.000,22616,4,EM,1,100,RB
1709251384.971125,1313517.000,22616,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251385.025124,1313571.000,22616,4,EM,1,100,PS
1709251385.075372,1313621.250,22649,4,EM,1,100,RS
1709251385.125620,1313671.500,22649,4,EM,1,100,RB
1709251385.175868,1313721.750,22649,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251385.226117,1313772.000,22649,4,EM,1,100,PS
1709251385.277115,1313823.000,22683,4,EM,1,100,RS
1709251385.328113,1313874.000,22683,4,EM,1,100,RB
1709251385.379111,1313925.000,22683,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251385.430110,1313976.000,22683,4,EM,1,100,PS
1709251385.480358,1314026.250,22717,4,EM,1,100,RS
1709251385.530606,1314076.500,22717,4,EM,1,100,RB
1709251385.580854,1314126.750,22717,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251385.631103,1314177.000,22717,4,EM,1,100,PS
1709251385.681351,1314227.250,22750,4,EM,1,100,RS
1709251385.731599,1314277.500,22750,4,EM,1,100,RB
1709251385.781847,1314327.750,22750,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251385.832096,1314378.000,22750,4,EM,1,100,PS
1709251385.882344,1314428.250,22782,4,EM,1,100,RS
1709251385.932592,1314478.500,22782,4,EM,1,100,RB
1709251385.982840,1314528.750,22782,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251386.033089,1314579.000,22782,4,EM,1,100,PS
1709251386.083337,1314629.250,22815,4,EM,1,100,RS
1709251386.133585,1314679.500,22815,4,EM,1,100,RB
1709251386.183833,1314729.750,22815,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251386.234082,1314780.000,22815,4,EM,1,100,PS
1709251386.284330,1314830.250,22847,4,EM,1,100,RS
1709251386.334578,1314880.500,22847,4,EM,1,100,RB
1709251386.384826,1314930.750,22847,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251386.435075,1314981.000,22847,4,EM,1,100,PS
1709251386.485323,1315031.250,22883,4,EM,1,100,RS
1709251386.535571,1315081.500,22883,4,EM,1,100,RB
1709251386.585819,1315131.750,22883,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251386.636068,1315182.000,22883,4,EM,1,100,PS
1709251386.686316,1315232.250,22914,4,EM,1,100,RS
1709251386.736564,1315282.500,22914,4,EM,1,100,RB
1709251386.786813,1315332.750,22914,4,EM,1,100,2024-02-29_19-02-58-000990.csv
1709251386.837061,1315383.000,22914,4,EM,1,100,PS
1709251386.887309,1315433.250,22948,4,EM,1,100,RS
1709251386.937557,1315483.500,22948,4,EM,1,100,RB
1709251386.987806,1315533.750,22948,4,EM,1,100,2024-02-29_19-02-58-000990.csv
