LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1709251378.936334,1307482,21642,1,HR,1,100,62
1709251381.256254,1309802,22013,1,HR,1,100,54
1709251381.816235,1310362,22097,1,HR,1,100,66
1709251383.789166,1312335,22427,1,HR,1,100,58
1709251384.509141,1313055,22542,1,HR,1,100,63
1709251385.349112,1313895,22685,1,HR,1,100,65
1709251386.522072,1315068,22865,1,HR,1,100,62
1709251387.362043,1315908,22998,1,HR,1,100,64
1709251388.122016,1316668,23130,1,HR,1,100,68
1709251389.120982,1317667,23296,1,HR,1,100,66
1709251389.841957,1318388,23414,1,HR,1,100,70
1709251390.200944,1318747,23455,1,HR,1,100,91
1709251391.134912,1319681,23605,1,HR,1,100,85
1709251391.854887,1320401,23720,1,HR,1,100,85
1709251394.053811,1322600,24082,1,HR,1,100,72
1709251394.694789,1323241,24184,1,HR,1,100,77
1709251395.227771,1323774,24258,1,HR,1,100,86
1709251399.879610,1328426,25013,1,HR,1,100,69
1709251400.120601,1328667,25065,1,HR,1,100,110
1709251401.559551,1330106,25283,1,HR,1,100,94
1709251402.159531,1330706,25383,1,HR,1,100,96
1709251404.292457,1332839,25729,1,HR,1,100,81
1709251407.572343,1336119,26261,1,HR,1,100,67
1709251414.238113,1342785,27331,1,HR,1,100,54
1709251414.998086,1343545,27466,1,HR,1,100,60
1709251415.838058,1344385,27605,1,HR,1,100,62
1709251416.158046,1344705,27656,1,HR,1,100,90
1709251418.210975,1346758,27986,1,HR,1,100,77
1709251419.010948,1347558,28119,1,HR,1,100,76
1709251419.490931,1348038,28202,1,HR,1,100,87
1709251420.890882,1349438,28423,1,HR,1,100,77
1709251421.263870,1349811,28490,1,HR,1,100,97
1709251422.343832,1350891,28656,1,HR,1,100,88
1709251422.903813,1351451,28755,1,HR,1,100,92
1709251423.743784,1352291,28887,1,HR,1,100,88
1709251425.383727,1353931,29156,1,HR,1,100,76
1709251432.448483,1360996,30281,1,HR,1,100,61
1709251433.608443,1362156,30463,1,HR,1,100,59
1709251434.222421,1362770,30564,1,HR,1,100,68
1709251434.862399,1363410,30666,1,HR,1,100,74
1709251438.715266,1367263,31277,1,HR,1,100,61
1709251440.274212,1368822,31525,1,HR,1,100,56
1709251443.407104,1371955,32041,1,HR,1,100,48
1709251446.766987,1375315,32587,1,HR,1,100,41
1709251447.539960,1376088,32704,1,HR,1,100,50
1709251449.219902,1377768,32987,1,HR,1,100,46
1709251451.952808,1380501,33421,1,HR,1,100,41
1709251454.232729,1382781,33798,1,HR,1,100,38
1709251455.632680,1384181,34031,1,HR,1,100,39
1709251461.218487,1389767,34924,1,HR,1,100,33
1709251462.458444,1391007,35112,1,HR,1,100,36
1709251463.418411,1391967,35261,1,HR,1,100,42
1709251467.511270,1396060,35922,1,HR,1,100,36
1709251469.764192,1398313,36284,1,HR,1,100,34
1709251476.015975,1404565,37291,1,HR,1,100,29
1709251476.856946,1405406,37442,1,HR,1,100,38
1709251484.681675,1413231,38701,1,HR,1,100,31
1709251486.641608,1415191,39017,1,HR,1,100,31
1709251487.534577,1416084,39154,1,HR,1,100,39
1709251489.814498,1418364,39532,1,HR,1,100,36
1709251491.707432,1420257,39829,1,HR,1,100,35
1709251508.345857,1436896,42494,1,HR,1,100,28
1709251508.918837,1437469,42593,1,HR,1,100,46
1709251509.998799,1438549,42778,1,HR,1,100,48
1709251511.038763,1439589,42942,1,HR,1,100,50
1709251520.103450,1448654,44399,1,HR,1,100,41
1709251522.436369,1450987,44776,1,HR,1,100,37
1709251528.449161,1457000,45739,1,HR,1,100,31
1709251530.009107,1458560,45991,1,HR,1,100,33
1709251531.702049,1460253,46256,1,HR,1,100,33
1709251532.782011,1461333,46437,1,HR,1,100,38
1709251533.461987,1462013,46558,1,HR,1,100,49
1709251534.714944,1463266,46743,1,HR,1,100,49
1709251536.194893,1464746,46990,1,HR,1,100,47
1709251537.154860,1465706,47138,1,HR,1,100,51
1709251543.580637,1472132,48177,1,HR,1,100,41
1709251544.940590,1473492,48399,1,HR,1,100,42
1709251547.260510,1475812,48776,1,HR,1,100,38
1709251548.193478,1476745,48925,1,HR,1,100,44
1709251551.873350,1480425,49504,1,HR,1,100,38
1709251552.246338,1480798,49572,1,HR,1,100,67
1709251561.992000,1490544,51128,1,HR,1,100,53
