LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1709251378.696342,1307242.000,21593,1,PI,1,100,166273
1709251378.736341,1307282.000,21607,3,PI,1,100,166255
1709251378.776340,1307322.000,21607,3,PI,1,100,166259
1709251378.816338,1307362.000,21607,3,PI,1,100,166251
1709251378.856337,1307402.000,21625,2,PI,1,100,166243
1709251378.896336,1307442.000,21625,2,PI,1,100,166268
1709251378.936334,1307482.000,21643,3,PI,1,100,166299
1709251378.976333,1307522.000,21643,3,PI,1,100,166280
1709251379.016331,1307562.000,21643,3,PI,1,100,166305
1709251379.056330,1307602.000,21658,2,PI,1,100,166321
1709251379.096329,1307642.000,21658,2,PI,1,100,166284
1709251379.136327,1307682.000,21675,3,PI,1,100,166324
1709251379.176326,1307722.000,21675,3,PI,1,100,166362
1709251379.216325,1307762.000,21675,3,PI,1,100,166361
1709251379.256323,1307802.000,21692,2,PI,1,100,166355
1709251379.296322,1307842.000,21692,2,PI,1,100,166374
1709251379.336320,1307882.000,21708,3,PI,1,100,166357
1709251379.376319,1307922.000,21708,3,PI,1,100,166327
1709251379.416318,1307962.000,21708,3,PI,1,100,166358
1709251379.456316,1308002.000,21725,3,PI,1,100,166382
1709251379.496315,1308042.000,21725,3,PI,1,100,166362
1709251379.536314,1308082.000,21725,3,PI,1,100,166399
1709251379.576312,1308122.000,21742,2,PI,1,100,166423
1709251379.616311,1308162.000,21742,2,PI,1,100,166407
1709251379.656309,1308202.000,21759,3,PI,1,100,166447
1709251379.696308,1308242.000,21759,3,PI,1,100,166480
1709251379.736306,1308282.000,21759,3,PI,1,100,166501
1709251379.776305,1308322.000,21781,4,PI,1,100,166469
1709251379.816304,1308362.000,21781,4,PI,1,100,166498
1709251379.856302,1308402.000,21781,4,PI,1,100,166518
1709251379.896301,1308442.000,21781,4,PI,1,100,166508
1709251379.936300,1308482.000,21798,2,PI,1,100,166501
1709251379.976298,1308522.000,21798,2,PI,1,100,166483
1709251380.016297,1308562.000,21814,3,PI,1,100,166539
1709251380.056295,1308602.000,21814,3,PI,1,100,166531
1709251380.096294,1308642.000,21814,3,PI,1,100,166558
1709251380.136293,1308682.000,21831,2,PI,1,100,166535
1709251380.176291,1308722.000,21831,2,PI,1,100,166545
1709251380.216290,1308762.000,21846,3,PI,1,100,166558
1709251380.256289,1308802.000,21846,3,PI,1,100,166570
1709251380.296287,1308842.000,21846,3,PI,1,100,166605
1709251380.336286,1308882.000,21863,2,PI,1,100,166594
1709251380.376284,1308922.000,21863,2,PI,1,100,166625
1709251380.416283,1308962.000,21881,3,PI,1,100,166593
1709251380.456282,1309002.000,21881,3,PI,1,100,166584
1709251380.496280,1309042.000,21881,3,PI,1,100,166575
1709251380.536279,1309082.000,21898,2,PI,1,100,166603
1709251380.576277,1309122.000,21898,2,PI,1,100,166591
1709251380.616276,1309162.000,21913,3,PI,1,100,166601
1709251380.656275,1309202.000,21913,3,PI,1,100,166618
1709251380.696273,1309242.000,21913,3,PI,1,100,166599
1709251380.736272,1309282.000,21930,2,PI,1,100,166581
1709251380.776271,1309322.000,21930,2,PI,1,100,166587
1709251380.816269,1309362.000,21947,3,PI,1,100,166607
1709251380.856268,1309402.000,21947,3,PI,1,100,166620
1709251380.896266,1309442.000,21947,3,PI,1,100,166618
1709251380.936265,1309482.000,21964,2,PI,1,100,166650
1709251380.976264,1309522.000,21964,2,PI,1,100,166639
1709251381.016262,1309562.000,21978,3,PI,1,100,166604
1709251381.056261,1309602.000,21978,3,PI,1,100,166598
1709251381.096260,1309642.000,21978,3,PI,1,100,166585
1709251381.136258,1309682.000,21996,3,PI,1,100,166579
1709251381.176257,1309722.000,21996,3,PI,1,100,166612
1709251381.216255,1309762.000,21996,3,PI,1,100,166651
1709251381.256254,1309802.000,22014,2,PI,1,100,166624
1709251381.296252,1309842.000,22014,2,PI,1,100,166617
1709251381.336251,1309882.000,22031,3,PI,1,100,166629
1709251381.376250,1309922.000,22031,3,PI,1,100,166651
1709251381.416248,1309962.000,22031,3,PI,1,100,166669
1709251381.456247,1310002.000,22046,2,PI,1,100,166667
1709251381.496246,1310042.000,22046,2,PI,1,100,166662
1709251381.536244,1310082.000,22063,3,PI,1,100,166649
1709251381.576243,1310122.000,22063,3,PI,1,100,166638
1709251381.616241,1310162.000,22063,3,PI,1,100,166634
1709251381.656240,1310202.000,22079,2,PI,1,100,166628
1709251381.696239,1310242.000,22079,2,PI,1,100,166646
1709251381.736237,1310282.000,22098,3,PI,1,100,166634
1709251381.776236,1310322.000,22098,3,PI,1,100,166651
1709251381.816235,1310362.000,22098,3,PI,1,100,166659
1709251381.856233,1310402.000,22113,2,PI,1,100,166644
1709251381.896232,1310442.000,22113,2,PI,1,100,166659
1709251381.940564,1310486.333,22130,3,PI,1,100,166668
1709251381.984895,1310530.667,22130,3,PI,1,100,166660
1709251382.029227,1310575.000,22130,3,PI,1,100,166651
1709251382.069226,1310615.000,22146,2,PI,1,100,166681
1709251382.109225,1310655.000,22146,2,PI,1,100,166671
1709251382.149223,1310695.000,22164,3,PI,1,100,166668
1709251382.189222,1310735.000,22164,3,PI,1,100,166664
1709251382.229220,1310775.000,22164,3,PI,1,100,166680
1709251382.269219,1310815.000,22178,2,PI,1,100,166663
1709251382.309217,1310855.000,22178,2,PI,1,100,166689
1709251382.349216,1310895.000,22195,3,PI,1,100,166692
1709251382.389215,1310935.000,22195,3,PI,1,100,166688
1709251382.429213,1310975.000,22195,3,PI,1,100,166700
1709251382.469212,1311015.000,22212,2,PI,1,100,166707
1709251382.509211,1311055.000,22212,2,PI,1,100,166731
1709251382.549209,1311095.000,22229,3,PI,1,100,166746
1709251382.589208,1311135.000,22229,3,PI,1,100,166772
1709251382.629206,1311175.000,22229,3,PI,1,100,166749
1709251382.669205,1311215.000,22244,2,PI,1,100,166705
1709251382.709204,1311255.000,22244,2,PI,1,100,166716
1709251382.749202,1311295.000,22261,3,PI,1,100,166729
1709251382.789201,1311335.000,22261,3,PI,1,100,166742
1709251382.829200,1311375.000,22261,3,PI,1,100,166721
1709251382.869198,1311415.000,22277,2,PI,1,100,166751
1709251382.909197,1311455.000,22277,2,PI,1,100,166789
1709251382.949195,1311495.000,22294,3,PI,1,100,166758
1709251382.989194,1311535.000,22294,3,PI,1,100,166733
1709251383.029193,1311575.000,22294,3,PI,1,100,166744
1709251383.069191,1311615.000,22310,2,PI,1,100,166760
1709251383.109190,1311655.000,22310,2,PI,1,100,166770
1709251383.149189,1311695.000,22326,3,PI,1,100,166820
1709251383.189187,1311735.000,22326,3,PI,1,100,166837
1709251383.229186,1311775.000,22326,3,PI,1,100,166855
1709251383.269184,1311815.000,22342,2,PI,1,100,166849
1709251383.309183,1311855.000,22342,2,PI,1,100,166829
1709251383.349182,1311895.000,22359,3,PI,1,100,166818
1709251383.389180,1311935.000,22359,3,PI,1,100,166830
1709251383.429179,1311975.000,22359,3,PI,1,100,166861
1709251383.469177,1312015.000,22376,3,PI,1,100,166873
1709251383.509176,1312055.000,22376,3,PI,1,100,166851
1709251383.549175,1312095.000,22376,3,PI,1,100,166888
1709251383.589173,1312135.000,22391,2,PI,1,100,166876
1709251383.629172,1312175.000,22391,2,PI,1,100,166832
1709251383.669170,1312215.000,22409,3,PI,1,100,166825
1709251383.709169,1312255.000,22409,3,PI,1,100,166847
1709251383.749168,1312295.000,22409,3,PI,1,100,166882
1709251383.789166,1312335.000,22429,2,PI,1,100,166915
1709251383.829165,1312375.000,22429,2,PI,1,100,166955
1709251383.869164,1312415.000,22445,3,PI,1,100,166945
1709251383.909162,1312455.000,22445,3,PI,1,100,166907
1709251383.949161,1312495.000,22445,3,PI,1,100,166931
1709251383.989159,1312535.000,22460,2,PI,1,100,166958
1709251384.029158,1312575.000,22460,2,PI,1,100,166935
1709251384.069157,1312615.000,22476,3,PI,1,100,166912
1709251384.109155,1312655.000,22476,3,PI,1,100,166954
1709251384.149154,1312695.000,22476,3,PI,1,100,166979
1709251384.189152,1312735.000,22494,2,PI,1,100,166930
1709251384.229151,1312775.000,22494,2,PI,1,100,166875
1709251384.269150,1312815.000,22510,3,PI,1,100,166898
1709251384.309148,1312855.000,22510,3,PI,1,100,166863
1709251384.349147,1312895.000,22510,3,PI,1,100,166879
1709251384.389146,1312935.000,22525,2,PI,1,100,166918
1709251384.429144,1312975.000,22525,2,PI,1,100,166896
1709251384.469143,1313015.000,22544,3,PI,1,100,166977
1709251384.509141,1313055.000,22544,3,PI,1,100,167005
1709251384.549140,1313095.000,22544,3,PI,1,100,167050
1709251384.589139,1313135.000,22563,3,PI,1,100,167031
1709251384.629137,1313175.000,22563,3,PI,1,100,167044
1709251384.669136,1313215.000,22563,3,PI,1,100,167041
1709251384.709135,1313255.000,22579,2,PI,1,100,167030
1709251384.749133,1313295.000,22579,2,PI,1,100,167020
1709251384.789132,1313335.000,22596,3,PI,1,100,167025
1709251384.829130,1313375.000,22596,3,PI,1,100,167064
1709251384.869129,1313415.000,22596,3,PI,1,100,167103
1709251384.909127,1313455.000,22617,4,PI,1,100,167140
1709251384.949126,1313495.000,22617,4,PI,1,100,167161
1709251384.989125,1313535.000,22617,4,PI,1,100,167160
1709251385.029123,1313575.000,22617,4,PI,1,100,167126
1709251385.069122,1313615.000,22633,2,PI,1,100,167120
1709251385.109121,1313655.000,22633,2,PI,1,100,167147
