LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1709251378.696342,1307242.000,21594,1,PR,1,100,126677
1709251378.736341,1307282.000,21608,3,PR,1,100,126645
1709251378.776340,1307322.000,21608,3,PR,1,100,126655
1709251378.816338,1307362.000,21608,3,PR,1,100,126639
1709251378.856337,1307402.000,21626,2,PR,1,100,126640
1709251378.896336,1307442.000,21626,2,PR,1,100,126655
1709251378.936334,1307482.000,21644,3,PR,1,100,126672
1709251378.976333,1307522.000,21644,3,PR,1,100,126687
1709251379.016331,1307562.000,21644,3,PR,1,100,126692
1709251379.056330,1307602.000,21659,2,PR,1,100,126680
1709251379.096329,1307642.000,21659,2,PR,1,100,126655
1709251379.136327,1307682.000,21676,3,PR,1,100,126689
1709251379.176326,1307722.000,21676,3,PR,1,100,126734
1709251379.216325,1307762.000,21676,3,PR,1,100,126727
1709251379.256323,1307802.000,21693,2,PR,1,100,126711
1709251379.296322,1307842.000,21693,2,PR,1,100,126706
1709251379.336320,1307882.000,21709,3,PR,1,100,126703
1709251379.376319,1307922.000,21709,3,PR,1,100,126679
1709251379.416318,1307962.000,21709,3,PR,1,100,126698
1709251379.456316,1308002.000,21726,3,PR,1,100,126687
1709251379.496315,1308042.000,21726,3,PR,1,100,126719
1709251379.536314,1308082.000,21726,3,PR,1,100,126721
1709251379.576312,1308122.000,21743,2,PR,1,100,126753
1709251379.616311,1308162.000,21743,2,PR,1,100,126744
1709251379.656309,1308202.000,21760,3,PR,1,100,126770
1709251379.696308,1308242.000,21760,3,PR,1,100,126810
1709251379.736306,1308282.000,21760,3,PR,1,100,126828
1709251379.776305,1308322.000,21782,4,PR,1,100,126809
1709251379.816304,1308362.000,21782,4,PR,1,100,126830
1709251379.856302,1308402.000,21782,4,PR,1,100,126845
1709251379.896301,1308442.000,21782,4,PR,1,100,126818
1709251379.936300,1308482.000,21799,2,PR,1,100,126804
1709251379.976298,1308522.000,21799,2,PR,1,100,126817
1709251380.016297,1308562.000,21815,3,PR,1,100,126829
1709251380.056295,1308602.000,21815,3,PR,1,100,126835
1709251380.096294,1308642.000,21815,3,PR,1,100,126824
1709251380.136293,1308682.000,21832,2,PR,1,100,126809
1709251380.176291,1308722.000,21832,2,PR,1,100,126838
1709251380.216290,1308762.000,21847,3,PR,1,100,126835
1709251380.256289,1308802.000,21847,3,PR,1,100,126830
1709251380.296287,1308842.000,21847,3,PR,1,100,126861
1709251380.336286,1308882.000,21864,2,PR,1,100,126889
1709251380.376284,1308922.000,21864,2,PR,1,100,126907
1709251380.416283,1308962.000,21882,3,PR,1,100,126875
1709251380.456282,1309002.000,21882,3,PR,1,100,126880
1709251380.496280,1309042.000,21882,3,PR,1,100,126870
1709251380.536279,1309082.000,21899,2,PR,1,100,126880
1709251380.576277,1309122.000,21899,2,PR,1,100,126868
1709251380.616276,1309162.000,21914,3,PR,1,100,126884
1709251380.656275,1309202.000,21914,3,PR,1,100,126873
1709251380.696273,1309242.000,21914,3,PR,1,100,126877
1709251380.736272,1309282.000,21931,2,PR,1,100,126845
1709251380.776271,1309322.000,21931,2,PR,1,100,126861
1709251380.816269,1309362.000,21948,3,PR,1,100,126900
1709251380.856268,1309402.000,21948,3,PR,1,100,126886
1709251380.896266,1309442.000,21948,3,PR,1,100,126891
1709251380.936265,1309482.000,21965,2,PR,1,100,126891
1709251380.976264,1309522.000,21965,2,PR,1,100,126850
1709251381.016262,1309562.000,21979,3,PR,1,100,126851
1709251381.056261,1309602.000,21979,3,PR,1,100,126867
1709251381.096260,1309642.000,21979,3,PR,1,100,126842
1709251381.136258,1309682.000,21997,3,PR,1,100,126841
1709251381.176257,1309722.000,21997,3,PR,1,100,126878
1709251381.216255,1309762.000,21997,3,PR,1,100,126904
1709251381.256254,1309802.000,22015,2,PR,1,100,126854
1709251381.296252,1309842.000,22015,2,PR,1,100,126863
1709251381.336251,1309882.000,22032,3,PR,1,100,126885
1709251381.376250,1309922.000,22032,3,PR,1,100,126892
1709251381.416248,1309962.000,22032,3,PR,1,100,126890
1709251381.456247,1310002.000,22047,2,PR,1,100,126899
1709251381.496246,1310042.000,22047,2,PR,1,100,126909
1709251381.536244,1310082.000,22064,3,PR,1,100,126893
1709251381.576243,1310122.000,22064,3,PR,1,100,126878
1709251381.616241,1310162.000,22064,3,PR,1,100,126871
1709251381.656240,1310202.000,22080,2,PR,1,100,126872
1709251381.696239,1310242.000,22080,2,PR,1,100,126852
1709251381.736237,1310282.000,22099,3,PR,1,100,126860
1709251381.776236,1310322.000,22099,3,PR,1,100,126882
1709251381.816235,1310362.000,22099,3,PR,1,100,126876
1709251381.856233,1310402.000,22114,2,PR,1,100,126888
1709251381.896232,1310442.000,22114,2,PR,1,100,126880
1709251381.940564,1310486.333,22131,3,PR,1,100,126888
1709251381.984895,1310530.667,22131,3,PR,1,100,126908
1709251382.029227,1310575.000,22131,3,PR,1,100,126874
1709251382.069226,1310615.000,22147,2,PR,1,100,126887
1709251382.109225,1310655.000,22147,2,PR,1,100,126883
1709251382.149223,1310695.000,22165,3,PR,1,100,126878
1709251382.189222,1310735.000,22165,3,PR,1,100,126896
1709251382.229220,1310775.000,22165,3,PR,1,100,126872
1709251382.269219,1310815.000,22179,2,PR,1,100,126893
1709251382.309217,1310855.000,22179,2,PR,1,100,126908
1709251382.349216,1310895.000,22196,3,PR,1,100,126908
1709251382.389215,1310935.000,22196,3,PR,1,100,126882
1709251382.429213,1310975.000,22196,3,PR,1,100,126902
1709251382.469212,1311015.000,22213,2,PR,1,100,126930
1709251382.509211,1311055.000,22213,2,PR,1,100,126921
1709251382.549209,1311095.000,22230,3,PR,1,100,126946
1709251382.589208,1311135.000,22230,3,PR,1,100,126992
1709251382.629206,1311175.000,22230,3,PR,1,100,126953
1709251382.669205,1311215.000,22245,2,PR,1,100,126903
1709251382.709204,1311255.000,22245,2,PR,1,100,126939
1709251382.749202,1311295.000,22262,3,PR,1,100,126946
1709251382.789201,1311335.000,22262,3,PR,1,100,126939
1709251382.829200,1311375.000,22262,3,PR,1,100,126920
1709251382.869198,1311415.000,22278,2,PR,1,100,126953
1709251382.909197,1311455.000,22278,2,PR,1,100,126987
1709251382.949195,1311495.000,22295,3,PR,1,100,126937
1709251382.989194,1311535.000,22295,3,PR,1,100,126923
1709251383.029193,1311575.000,22295,3,PR,1,100,126954
1709251383.069191,1311615.000,22311,2,PR,1,100,126945
1709251383.109190,1311655.000,22311,2,PR,1,100,126980
1709251383.149189,1311695.000,22327,3,PR,1,100,127003
1709251383.189187,1311735.000,22327,3,PR,1,100,127017
1709251383.229186,1311775.000,22327,3,PR,1,100,127050
1709251383.269184,1311815.000,22343,2,PR,1,100,127057
1709251383.309183,1311855.000,22343,2,PR,1,100,127006
1709251383.349182,1311895.000,22360,3,PR,1,100,127010
1709251383.389180,1311935.000,22360,3,PR,1,100,127028
1709251383.429179,1311975.000,22360,3,PR,1,100,127057
1709251383.469177,1312015.000,22377,3,PR,1,100,127063
1709251383.509176,1312055.000,22377,3,PR,1,100,127044
1709251383.549175,1312095.000,22377,3,PR,1,100,127080
1709251383.589173,1312135.000,22392,2,PR,1,100,127080
1709251383.629172,1312175.000,22392,2,PR,1,100,127033
1709251383.669170,1312215.000,22410,3,PR,1,100,127033
1709251383.709169,1312255.000,22410,3,PR,1,100,127024
1709251383.749168,1312295.000,22410,3,PR,1,100,127057
1709251383.789166,1312335.000,22430,2,PR,1,100,127116
1709251383.829165,1312375.000,22430,2,PR,1,100,127125
1709251383.869164,1312415.000,22446,3,PR,1,100,127124
1709251383.909162,1312455.000,22446,3,PR,1,100,127132
1709251383.949161,1312495.000,22446,3,PR,1,100,127115
1709251383.989159,1312535.000,22461,2,PR,1,100,127139
1709251384.029158,1312575.000,22461,2,PR,1,100,127107
1709251384.069157,1312615.000,22477,3,PR,1,100,127108
1709251384.109155,1312655.000,22477,3,PR,1,100,127118
1709251384.149154,1312695.000,22477,3,PR,1,100,127159
1709251384.189152,1312735.000,22495,2,PR,1,100,127139
1709251384.229151,1312775.000,22495,2,PR,1,100,127097
1709251384.269150,1312815.000,22511,3,PR,1,100,127109
1709251384.309148,1312855.000,22511,3,PR,1,100,127073
1709251384.349147,1312895.000,22511,3,PR,1,100,127071
1709251384.389146,1312935.000,22526,2,PR,1,100,127102
1709251384.429144,1312975.000,22526,2,PR,1,100,127091
1709251384.469143,1313015.000,22545,3,PR,1,100,127155
1709251384.509141,1313055.000,22545,3,PR,1,100,127179
1709251384.549140,1313095.000,22545,3,PR,1,100,127204
1709251384.589139,1313135.000,22564,3,PR,1,100,127200
1709251384.629137,1313175.000,22564,3,PR,1,100,127203
1709251384.669136,1313215.000,22564,3,PR,1,100,127190
1709251384.709135,1313255.000,22580,2,PR,1,100,127186
1709251384.749133,1313295.000,22580,2,PR,1,100,127195
1709251384.789132,1313335.000,22597,3,PR,1,100,127193
1709251384.829130,1313375.000,22597,3,PR,1,100,127214
1709251384.869129,1313415.000,22597,3,PR,1,100,127228
1709251384.909127,1313455.000,22618,4,PR,1,100,127293
1709251384.949126,1313495.000,22618,4,PR,1,100,127284
1709251384.989125,1313535.000,22618,4,PR,1,100,127296
1709251385.029123,1313575.000,22618,4,PR,1,100,127281
1709251385.069122,1313615.000,22634,2,PR,1,100,127265
1709251385.109121,1313655.000,22634,2,PR,1,100,127265
1709251385.149119,1313695.000,22652,3,PR,1,100,127245
1709251385.189118,1313735.000,22652,3,PR,1,100,127268
1709251385.229116,1313775.000,22652,3,PR,1,100,127249
1709251385.269115,1313815.000,22668,2,PR,1,100,127234
1709251385.309114,1313855.000,22668,2,PR,1,100,127291
1709251385.349112,1313895.000,22687,3,PR,1,100,127281
1709251385.389111,1313935.000,22687,3,PR,1,100,127275
1709251385.429110,1313975.000,22687,3,PR,1,100,127277
1709251385.469108,1314015.000,22703,2,PR,1,100,127297
1709251385.509107,1314055.000,22703,2,PR,1,100,127324
1709251385.549105,1314095.000,22719,3,PR,1,100,127303
1709251385.589104,1314135.000,22719,3,PR,1,100,127318
1709251385.629103,1314175.000,22719,3,PR,1,100,127318
1709251385.669101,1314215.000,22735,2,PR,1,100,127316
1709251385.709100,1314255.000,22735,2,PR,1,100,127310
1709251385.749099,1314295.000,22753,3,PR,1,100,127297
1709251385.789097,1314335.000,22753,3,PR,1,100,127300
1709251385.829096,1314375.000,22753,3,PR,1,100,127292
1709251385.869094,1314415.000,22769,2,PR,1,100,127321
1709251385.909093,1314455.000,22769,2,PR,1,100,127323
1709251385.948758,1314494.667,22784,3,PR,1,100,127319
1709251385.988424,1314534.333,22784,3,PR,1,100,127331
1709251386.028089,1314574.000,22784,3,PR,1,100,127334
1709251386.068421,1314614.333,22800,3,PR,1,100,127305
1709251386.108753,1314654.667,22800,3,PR,1,100,127334
1709251386.149085,1314695.000,22800,3,PR,1,100,127343
1709251386.188583,1314734.500,22818,2,PR,1,100,127348
1709251386.228082,1314774.000,22818,2,PR,1,100,127327
1709251386.268580,1314814.500,22834,2,PR,1,100,127323
1709251386.309079,1314855.000,22834,2,PR,1,100,127314
1709251386.353411,1314899.333,22849,3,PR,1,100,127334
1709251386.397743,1314943.667,22849,3,PR,1,100,127324
1709251386.442075,1314988.000,22849,3,PR,1,100,127313
1709251386.482073,1315028.000,22868,2,PR,1,100,127322
1709251386.522072,1315068.000,22868,2,PR,1,100,127319
1709251386.562070,1315108.000,22885,3,PR,1,100,127349
1709251386.602069,1315148.000,22885,3,PR,1,100,127344
1709251386.642068,1315188.000,22885,3,PR,1,100,127288
1709251386.682066,1315228.000,22901,2,PR,1,100,127334
1709251386.722065,1315268.000,22901,2,PR,1,100,127347
1709251386.762064,1315308.000,22917,3,PR,1,100,127350
1709251386.802062,1315348.000,22917,3,PR,1,100,127313
1709251386.842061,1315388.000,22917,3,PR,1,100,127339
1709251386.882059,1315428.000,22933,3,PR,1,100,127353
1709251386.922058,1315468.000,22933,3,PR,1,100,127335
1709251386.962057,1315508.000,22933,3,PR,1,100,127338
1709251387.002055,1315548.000,22950,2,PR,1,100,127358
1709251387.042054,1315588.000,22950,2,PR,1,100,127385
1709251387.082052,1315628.000,22966,3,PR,1,100,127370
1709251387.122051,1315668.000,22966,3,PR,1,100,127350
1709251387.162050,1315708.000,22966,3,PR,1,100,127351
1709251387.202048,1315748.000,22982,2,PR,1,100,127350
1709251387.242047,1315788.000,22982,2,PR,1,100,127344
1709251387.282045,1315828.000,23000,3,PR,1,100,127356
1709251387.322044,1315868.000,23000,3,PR,1,100,127322
1709251387.362043,1315908.000,23000,3,PR,1,100,127350
1709251387.402041,1315948.000,23017,2,PR,1,100,127378
1709251387.442040,1315988.000,23017,2,PR,1,100,127343
1709251387.482038,1316028.000,23034,3,PR,1,100,127367
1709251387.522037,1316068.000,23034,3,PR,1,100,127359
1709251387.562036,1316108.000,23034,3,PR,1,100,127357
1709251387.602034,1316148.000,23051,2,PR,1,100,127380
1709251387.642033,1316188.000,23051,2,PR,1,100,127370
1709251387.682032,1316228.000,23065,3,PR,1,100,127374
1709251387.722030,1316268.000,23065,3,PR,1,100,127377
1709251387.762029,1316308.000,23065,3,PR,1,100,127361
1709251387.802027,1316348.000,23083,3,PR,1,100,127371
1709251387.842026,1316388.000,23083,3,PR,1,100,127332
1709251387.882025,1316428.000,23083,3,PR,1,100,127324
1709251387.922023,1316468.000,23099,2,PR,1,100,127312
1709251387.962022,1316508.000,23099,2,PR,1,100,127287
1709251388.002021,1316548.000,23116,3,PR,1,100,127323
1709251388.042019,1316588.000,23116,3,PR,1,100,127370
1709251388.082018,1316628.000,23116,3,PR,1,100,127383
1709251388.122016,1316668.000,23133,2,PR,1,100,127318
1709251388.162015,1316708.000,23133,2,PR,1,100,127334
1709251388.202014,1316748.000,23150,3,PR,1,100,127356
1709251388.242012,1316788.000,23150,3,PR,1,100,127330
1709251388.282011,1316828.000,23150,3,PR,1,100,127357
1709251388.322010,1316868.000,23166,2,PR,1,100,127339
1709251388.362008,1316908.000,23166,2,PR,1,100,127354
1709251388.402007,1316948.000,23183,3,PR,1,100,127352
1709251388.442005,1316988.000,23183,3,PR,1,100,127330
1709251388.482004,1317028.000,23183,3,PR,1,100,127328
1709251388.522002,1317068.000,23198,2,PR,1,100,127347
1709251388.562001,1317108.000,23198,2,PR,1,100,127373
1709251388.602000,1317148.000,23215,3,PR,1,100,127365
1709251388.641998,1317188.000,23215,3,PR,1,100,127367
1709251388.681997,1317228.000,23215,3,PR,1,100,127406
1709251388.721996,1317268.000,23231,2,PR,1,100,127405
1709251388.761994,1317308.000,23231,2,PR,1,100,127406
1709251388.801993,1317348.000,23249,3,PR,1,100,127386
1709251388.841991,1317388.000,23249,3,PR,1,100,127386
1709251388.881990,1317428.000,23249,3,PR,1,100,127384
1709251388.921989,1317468.000,23263,2,PR,1,100,127372
1709251388.961987,1317508.000,23263,2,PR,1,100,127372
1709251389.001986,1317548.000,23280,3,PR,1,100,127365
1709251389.041985,1317588.000,23280,3,PR,1,100,127360
1709251389.081983,1317628.000,23280,3,PR,1,100,127393
1709251389.121649,1317667.667,23299,3,PR,1,100,127437
1709251389.161314,1317707.333,23299,3,PR,1,100,127426
1709251389.200979,1317747.000,23299,3,PR,1,100,127421
1709251389.240978,1317787.000,23316,2,PR,1,100,127406
1709251389.280976,1317827.000,23316,2,PR,1,100,127415
1709251389.320975,1317867.000,23331,3,PR,1,100,127424
1709251389.360974,1317907.000,23331,3,PR,1,100,127423
1709251389.400972,1317947.000,23331,3,PR,1,100,127432
1709251389.441471,1317987.500,23348,2,PR,1,100,127436
1709251389.481969,1318028.000,23348,2,PR,1,100,127402
1709251389.521635,1318067.667,23366,3,PR,1,100,127370
1709251389.561300,1318107.333,23366,3,PR,1,100,127376
1709251389.600965,1318147.000,23366,3,PR,1,100,127368
1709251389.641464,1318187.500,23383,2,PR,1,100,127370
1709251389.681962,1318228.000,23383,2,PR,1,100,127344
1709251389.721628,1318267.667,23399,3,PR,1,100,127343
1709251389.761293,1318307.333,23399,3,PR,1,100,127353
1709251389.800958,1318347.000,23399,3,PR,1,100,127379
1709251389.841290,1318387.333,23417,3,PR,1,100,127383
1709251389.881622,1318427.667,23417,3,PR,1,100,127386
1709251389.921954,1318468.000,23417,3,PR,1,100,127354
1709251389.961753,1318507.800,23439,5,PR,1,100,127360
1709251390.001551,1318547.600,23439,5,PR,1,100,127340
1709251390.041350,1318587.400,23439,5,PR,1,100,127343
1709251390.081149,1318627.200,23439,5,PR,1,100,127363
1709251390.120947,1318667.000,23439,5,PR,1,100,127359
1709251390.160946,1318707.000,23458,2,PR,1,100,127395
1709251390.200944,1318747.000,23458,2,PR,1,100,127368
1709251390.240943,1318787.000,23473,3,PR,1,100,127413
1709251390.280942,1318827.000,23473,3,PR,1,100,127378
1709251390.320940,1318867.000,23473,3,PR,1,100,127399
1709251390.360939,1318907.000,23489,2,PR,1,100,127387
1709251390.400938,1318947.000,23489,2,PR,1,100,127382
1709251390.440936,1318987.000,23507,3,PR,1,100,127392
1709251390.480935,1319027.000,23507,3,PR,1,100,127405
1709251390.520933,1319067.000,23507,3,PR,1,100,127397
1709251390.560932,1319107.000,23523,2,PR,1,100,127365
1709251390.600931,1319147.000,23523,2,PR,1,100,127390
1709251390.645596,1319191.667,23539,3,PR,1,100,127406
1709251390.690261,1319236.333,23539,3,PR,1,100,127414
1709251390.734926,1319281.000,23539,3,PR,1,100,127428
1709251390.774925,1319321.000,23554,2,PR,1,100,127418
1709251390.814923,1319361.000,23554,2,PR,1,100,127405
1709251390.854922,1319401.000,23572,4,PR,1,100,127355
1709251390.894920,1319441.000,23572,4,PR,1,100,127372
1709251390.934919,1319481.000,23572,4,PR,1,100,127397
1709251390.974918,1319521.000,23572,4,PR,1,100,127373
1709251391.014916,1319561.000,23588,2,PR,1,100,127383
1709251391.054915,1319601.000,23588,2,PR,1,100,127388
1709251391.094913,1319641.000,23608,3,PR,1,100,127386
1709251391.134912,1319681.000,23608,3,PR,1,100,127402
1709251391.174911,1319721.000,23608,3,PR,1,100,127407
1709251391.214909,1319761.000,23624,2,PR,1,100,127396
1709251391.254908,1319801.000,23624,2,PR,1,100,127390
1709251391.294907,1319841.000,23639,3,PR,1,100,127416
1709251391.334905,1319881.000,23639,3,PR,1,100,127394
1709251391.374904,1319921.000,23639,3,PR,1,100,127390
1709251391.414902,1319961.000,23655,2,PR,1,100,127394
1709251391.454901,1320001.000,23655,2,PR,1,100,127450
1709251391.494900,1320041.000,23673,3,PR,1,100,127478
1709251391.534898,1320081.000,23673,3,PR,1,100,127445
1709251391.574897,1320121.000,23673,3,PR,1,100,127451
1709251391.614896,1320161.000,23689,2,PR,1,100,127447
1709251391.654894,1320201.000,23689,2,PR,1,100,127410
1709251391.694893,1320241.000,23704,3,PR,1,100,127439
1709251391.734891,1320281.000,23704,3,PR,1,100,127449
1709251391.774890,1320321.000,23704,3,PR,1,100,127449
1709251391.814889,1320361.000,23723,2,PR,1,100,127476
1709251391.854887,1320401.000,23723,2,PR,1,100,127514
1709251391.894886,1320441.000,23740,3,PR,1,100,127526
1709251391.934885,1320481.000,23740,3,PR,1,100,127493
1709251391.974883,1320521.000,23740,3,PR,1,100,127453
1709251392.014882,1320561.000,23756,3,PR,1,100,127418
1709251392.054880,1320601.000,23756,3,PR,1,100,127317
1709251392.094879,1320641.000,23756,3,PR,1,100,127306
1709251392.134877,1320681.000,23772,2,PR,1,100,127281
1709251392.174876,1320721.000,23772,2,PR,1,100,127297
1709251392.214875,1320761.000,23788,3,PR,1,100,127350
1709251392.254874,1320801.000,23788,3,PR,1,100,127385
1709251392.294872,1320841.000,23788,3,PR,1,100,127418
1709251392.334871,1320881.000,23805,2,PR,1,100,127392
1709251392.374869,1320921.000,23805,2,PR,1,100,127400
1709251392.414868,1320961.000,23821,3,PR,1,100,127425
1709251392.454866,1321001.000,23821,3,PR,1,100,127458
1709251392.494865,1321041.000,23821,3,PR,1,100,127449
1709251392.534864,1321081.000,23838,2,PR,1,100,127451
1709251392.574862,1321121.000,23838,2,PR,1,100,127466
1709251392.614528,1321160.667,23853,3,PR,1,100,127477
1709251392.654193,1321200.333,23853,3,PR,1,100,127462
1709251392.693858,1321240.000,23853,3,PR,1,100,127506
1709251392.733857,1321280.000,23870,2,PR,1,100,127513
1709251392.773855,1321320.000,23870,2,PR,1,100,127474
1709251392.813854,1321360.000,23887,3,PR,1,100,127480
1709251392.853853,1321400.000,23887,3,PR,1,100,127529
1709251392.893851,1321440.000,23887,3,PR,1,100,127501
1709251392.934350,1321480.500,23904,2,PR,1,100,127476
1709251392.974849,1321521.000,23904,2,PR,1,100,127482
1709251393.014514,1321560.667,23918,3,PR,1,100,127475
1709251393.054179,1321600.333,23918,3,PR,1,100,127463
1709251393.093844,1321640.000,23918,3,PR,1,100,127460
1709251393.134343,1321680.500,23936,2,PR,1,100,127472
1709251393.174842,1321721.000,23936,2,PR,1,100,127466
1709251393.214507,1321760.667,23952,3,PR,1,100,127468
1709251393.254172,1321800.333,23952,3,PR,1,100,127458
1709251393.293838,1321840.000,23952,3,PR,1,100,127473
1709251393.334169,1321880.333,23969,3,PR,1,100,127462
1709251393.374501,1321920.667,23969,3,PR,1,100,127478
1709251393.414833,1321961.000,23969,3,PR,1,100,127487
