LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1709251379.793305,1308339.000,21779,2,RD,1,100,TL
1709251379.793305,1308339.000,21779,2,RD,1,100,TU
1709251382.358216,1310904.000,22615,2,RD,1,100,TL
1709251384.923127,1313469.000,22615,2,RD,1,100,TU
1709251387.472039,1316018.000,23436,2,RD,1,100,TL
1709251390.020951,1318567.000,23436,2,RD,1,100,TU
1709251392.577362,1321123.500,24255,2,RD,1,100,TL
1709251395.133774,1323680.000,24255,2,RD,1,100,TU
1709251397.698185,1326244.500,25085,2,RD,1,100,TL
1709251400.262596,1328809.000,25085,2,RD,1,100,TU
1709251402.826508,1331373.000,25914,2,RD,1,100,TL
1709251405.390419,1333937.000,25914,2,RD,1,100,TU
1709251407.944330,1336491.000,26740,2,RD,1,100,TL
1709251410.498242,1339045.000,26740,2,RD,1,100,TU
1709251413.061653,1341608.500,27570,2,RD,1,100,TL
1709251415.625065,1344172.000,27570,2,RD,1,100,TU
1709251418.176476,1346723.500,28403,2,RD,1,100,TL
1709251420.727888,1349275.000,28403,2,RD,1,100,TU
1709251423.358297,1351905.500,29240,2,RD,1,100,TL
1709251425.988706,1354536.000,29240,2,RD,1,100,TU
1709251428.541618,1357089.000,30048,2,RD,1,100,TL
1709251431.094530,1359642.000,30048,2,RD,1,100,TU
1709251433.653441,1362201.000,30880,2,RD,1,100,TL
1709251436.212353,1364760.000,30880,2,RD,1,100,TU
1709251438.771764,1367319.500,31708,2,RD,1,100,TL
1709251441.331175,1369879.000,31708,2,RD,1,100,TU
1709251443.883587,1372431.500,32536,2,RD,1,100,TL
1709251446.435999,1374984.000,32536,2,RD,1,100,TU
1709251448.998410,1377546.500,33368,2,RD,1,100,TL
1709251451.560821,1380109.000,33368,2,RD,1,100,TU
1709251454.125233,1382673.500,34199,2,RD,1,100,TL
1709251456.689644,1385238.000,34199,2,RD,1,100,TU
1709251459.243556,1387792.000,35010,2,RD,1,100,TL
1709251461.797467,1390346.000,35010,2,RD,1,100,TU
1709251464.363878,1392912.500,35838,2,RD,1,100,TL
1709251466.930290,1395479.000,35838,2,RD,1,100,TU
1709251469.491701,1398040.500,36665,2,RD,1,100,TL
1709251472.053112,1400602.000,36665,2,RD,1,100,TU
1709251474.624523,1403173.500,37494,2,RD,1,100,TL
1709251477.195934,1405745.000,37494,2,RD,1,100,TU
1709251479.761846,1408311.000,38318,2,RD,1,100,TL
1709251482.327757,1410877.000,38318,2,RD,1,100,TU
1709251484.889668,1413439.000,39151,2,RD,1,100,TL
1709251487.451580,1416001.000,39151,2,RD,1,100,TU
1709251490.014991,1418564.500,39981,2,RD,1,100,TL
1709251492.578402,1421128.000,39981,2,RD,1,100,TU
1709251495.132814,1423682.500,40790,2,RD,1,100,TL
1709251497.687225,1426237.000,40790,2,RD,1,100,TU
1709251500.248137,1428798.000,41617,2,RD,1,100,TL
1709251502.809048,1431359.000,41617,2,RD,1,100,TU
1709251505.373459,1433923.500,42441,2,RD,1,100,TL
1709251507.937871,1436488.000,42441,2,RD,1,100,TU
1709251510.503782,1439054.000,43274,2,RD,1,100,TL
1709251513.069693,1441620.000,43274,2,RD,1,100,TU
1709251515.631104,1444181.500,44098,2,RD,1,100,TL
1709251518.192516,1446743.000,44098,2,RD,1,100,TU
1709251520.755427,1449306.000,44927,2,RD,1,100,TL
1709251523.318339,1451869.000,44927,2,RD,1,100,TU
1709251525.868750,1454419.500,45736,2,RD,1,100,TL
1709251528.419162,1456970.000,45736,2,RD,1,100,TU
1709251530.974574,1459525.500,46555,2,RD,1,100,TL
1709251533.529985,1462081.000,46555,2,RD,1,100,TU
1709251536.098396,1464649.500,47388,2,RD,1,100,TL
1709251538.666807,1467218.000,47388,2,RD,1,100,TU
1709251541.226719,1469778.000,48213,2,RD,1,100,TL
1709251543.786630,1472338.000,48213,2,RD,1,100,TU
1709251546.352541,1474904.000,49043,2,RD,1,100,TL
1709251548.918453,1477470.000,49043,2,RD,1,100,TU
1709251551.471364,1480023.000,49856,2,RD,1,100,TL
1709251554.024276,1482576.000,49856,2,RD,1,100,TU
1709251556.588687,1485140.500,50679,2,RD,1,100,TL
1709251559.153099,1487705.000,50679,2,RD,1,100,TU
