LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1709251379.174326,1307720,21879,1,SA,1,100,0.014258
1709251382.574208,1311120,22407,1,SA,1,100,0.010585
1709251424.701751,1353249,29119,1,SA,1,100,0.000789
1709251446.831985,1375380,32721,1,SA,1,100,0.002833
1709251475.561991,1404111,37357,1,SA,1,100,0.003298
1709251484.694675,1413244,38751,1,SA,1,100,0.000491
1709251485.094661,1413644,38801,1,SA,1,100,0.000477
1709251486.093626,1414643,39099,1,SA,1,100,0.004166
1709251498.826186,1427376,41138,1,SA,1,100,0.007543
1709251517.356545,1445907,44150,1,SA,1,100,0.004975
1709251526.822217,1455373,45554,1,SA,1,100,0.003039
1709251527.688187,1456239,45774,1,SA,1,100,0.010708
1709251530.088104,1458639,46057,1,SA,1,100,0.001172
1709251553.351299,1481903,49802,1,SA,1,100,0.000401
