LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1709251378.908335,1307454.000,21624,1,SF,1,100,8.1459
1709251379.174326,1307720.000,21674,1,SF,1,100,8.0517
1709251379.508314,1308054.000,21724,1,SF,1,100,7.9586
1709251379.841303,1308387.000,21780,1,SF,1,100,7.8665
1709251380.174291,1308720.000,21830,1,SF,1,100,7.7755
1709251380.574278,1309120.000,21897,1,SF,1,100,9.7678
1709251380.908266,1309454.000,21946,1,SF,1,100,9.6548
1709251381.174257,1309720.000,21995,1,SF,1,100,9.5431
1709251381.508245,1310054.000,22045,1,SF,1,100,9.4327
1709251381.908231,1310454.000,22112,1,SF,1,100,9.3236
1709251382.174222,1310720.000,22163,1,SF,1,100,9.2158
1709251382.507211,1311053.000,22211,1,SF,1,100,9.1091
1709251382.841199,1311387.000,22260,1,SF,1,100,9.0038
1709251383.241185,1311787.000,22325,1,SF,1,100,8.8996
1709251383.507176,1312053.000,22375,1,SF,1,100,8.7967
1709251383.841165,1312387.000,22428,1,SF,1,100,10.7772
1709251384.241151,1312787.000,22493,1,SF,1,100,10.6525
1709251384.507142,1313053.000,22543,1,SF,1,100,10.5293
1709251384.841130,1313387.000,22595,1,SF,1,100,10.4074
1709251385.174118,1313720.000,22650,1,SF,1,100,10.2871
1709251385.507107,1314053.000,22701,1,SF,1,100,10.1681
1709251385.840095,1314386.000,22751,1,SF,1,100,10.0504
1709251386.240082,1314786.000,22816,1,SF,1,100,9.9342
1709251386.507072,1315053.000,22866,1,SF,1,100,9.8192
1709251386.840061,1315386.000,22915,1,SF,1,100,9.7057
1709251387.240047,1315786.000,22980,1,SF,1,100,9.5934
1709251387.574035,1316120.000,23032,1,SF,1,100,9.4824
1709251387.840026,1316386.000,23081,1,SF,1,100,9.3727
1709251388.174015,1316720.000,23131,1,SF,1,100,9.2643
1709251388.574001,1317120.000,23196,1,SF,1,100,9.1571
1709251388.839992,1317386.000,23247,1,SF,1,100,9.0512
1709251389.172980,1317719.000,23297,1,SF,1,100,8.9465
1709251389.506968,1318053.000,23346,1,SF,1,100,8.8430
1709251389.906955,1318453.000,23415,1,SF,1,100,8.7407
1709251390.172945,1318719.000,23456,1,SF,1,100,8.6396
1709251390.506934,1319053.000,23505,1,SF,1,100,8.5396
1709251390.972918,1319519.000,23570,1,SF,1,100,8.4408
1709251391.172911,1319719.000,23606,1,SF,1,100,8.3432
1709251391.572897,1320119.000,23671,1,SF,1,100,8.2467
1709251391.839888,1320386.000,23721,1,SF,1,100,8.1513
1709251392.172876,1320719.000,23770,1,SF,1,100,8.0570
1709251392.572862,1321119.000,23836,1,SF,1,100,7.9638
1709251392.905851,1321452.000,23885,1,SF,1,100,7.8717
1709251393.172842,1321719.000,23934,1,SF,1,100,7.7806
1709251393.505830,1322052.000,23982,1,SF,1,100,7.6906
1709251393.905816,1322452.000,24047,1,SF,1,100,7.6016
1709251394.172807,1322719.000,24100,1,SF,1,100,7.5137
1709251394.505795,1323052.000,24148,1,SF,1,100,7.4268
1709251394.839784,1323386.000,24201,1,SF,1,100,7.3409
1709251395.239770,1323786.000,24259,1,SF,1,100,7.2559
1709251395.505761,1324052.000,24309,1,SF,1,100,7.1720
1709251395.838749,1324385.000,24358,1,SF,1,100,7.0890
1709251396.238735,1324785.000,24423,1,SF,1,100,7.0070
1709251396.505726,1325052.000,24471,1,SF,1,100,6.9260
1709251396.838715,1325385.000,24520,1,SF,1,100,6.8459
1709251397.172703,1325719.000,24570,1,SF,1,100,6.7667
1709251397.572689,1326119.000,24635,1,SF,1,100,6.6884
1709251397.838680,1326385.000,24684,1,SF,1,100,6.6110
1709251398.172669,1326719.000,24732,1,SF,1,100,6.5345
1709251398.572655,1327119.000,24797,1,SF,1,100,6.4589
1709251398.838646,1327385.000,24848,1,SF,1,100,6.3842
1709251399.171634,1327718.000,24896,1,SF,1,100,6.3104
1709251399.505623,1328052.000,24945,1,SF,1,100,6.2374
1709251399.905609,1328452.000,25014,1,SF,1,100,6.1652
1709251400.171599,1328718.000,25066,1,SF,1,100,6.0939
1709251400.571586,1329118.000,25118,1,SF,1,100,6.0234
1709251400.838576,1329385.000,25168,1,SF,1,100,5.9537
1709251401.171565,1329718.000,25217,1,SF,1,100,5.8849
1709251401.571551,1330118.000,25284,1,SF,1,100,5.8168
1709251401.838542,1330385.000,25332,1,SF,1,100,5.7495
1709251402.171530,1330718.000,25384,1,SF,1,100,5.6830
1709251402.504519,1331051.000,25433,1,SF,1,100,5.6172
1709251402.904505,1331451.000,25498,1,SF,1,100,5.5523
1709251403.171496,1331718.000,25547,1,SF,1,100,5.4880
1709251403.504484,1332051.000,25595,1,SF,1,100,5.4245
1709251403.904470,1332451.000,25661,1,SF,1,100,5.3618
1709251404.238459,1332785.000,25711,1,SF,1,100,5.2998
1709251404.504450,1333051.000,25761,1,SF,1,100,5.2385
1709251404.838438,1333385.000,25812,1,SF,1,100,5.1779
1709251405.237424,1333784.000,25877,1,SF,1,100,5.1180
1709251405.504415,1334051.000,25934,1,SF,1,100,5.0588
1709251405.837404,1334384.000,25983,1,SF,1,100,5.0002
1709251406.237390,1334784.000,26048,1,SF,1,100,4.9424
1709251406.504380,1335051.000,26096,1,SF,1,100,4.8852
1709251406.837369,1335384.000,26147,1,SF,1,100,4.8287
1709251407.171357,1335718.000,26195,1,SF,1,100,4.7728
1709251407.571343,1336118.000,26262,1,SF,1,100,4.7176
1709251407.837334,1336384.000,26311,1,SF,1,100,4.6631
1709251408.171323,1336718.000,26359,1,SF,1,100,4.6091
1709251408.504311,1337051.000,26410,1,SF,1,100,4.5558
1709251408.904297,1337451.000,26475,1,SF,1,100,4.5031
1709251409.170288,1337717.000,26523,1,SF,1,100,4.4510
1709251409.504277,1338051.000,26572,1,SF,1,100,4.3995
1709251409.904263,1338451.000,26639,1,SF,1,100,4.3486
1709251410.170254,1338717.000,26689,1,SF,1,100,4.2983
1709251410.570240,1339117.000,26741,1,SF,1,100,4.2486
1709251410.904228,1339451.000,26792,1,SF,1,100,4.1994
1709251411.170219,1339717.000,26840,1,SF,1,100,4.1509
1709251411.504207,1340051.000,26889,1,SF,1,100,4.1029
1709251411.904193,1340451.000,26954,1,SF,1,100,4.0554
1709251412.170184,1340717.000,27004,1,SF,1,100,4.0085
1709251412.503173,1341050.000,27053,1,SF,1,100,3.9621
1709251412.837161,1341384.000,27101,1,SF,1,100,3.9163
1709251413.237147,1341784.000,27166,1,SF,1,100,3.8710
1709251413.503138,1342050.000,27217,1,SF,1,100,3.8262
1709251413.837127,1342384.000,27265,1,SF,1,100,3.7819
1709251414.237113,1342784.000,27332,1,SF,1,100,3.7382
1709251414.503103,1343050.000,27381,1,SF,1,100,3.6949
1709251414.837092,1343384.000,27432,1,SF,1,100,3.6522
1709251415.170080,1343717.000,27484,1,SF,1,100,3.6099
1709251415.570067,1344117.000,27549,1,SF,1,100,3.5682
1709251415.836057,1344383.000,27606,1,SF,1,100,3.5269
1709251416.170046,1344717.000,27657,1,SF,1,100,3.4861
1709251416.570032,1345117.000,27722,1,SF,1,100,3.4458
1709251416.836023,1345383.000,27772,1,SF,1,100,3.4059
1709251417.170011,1345717.000,27821,1,SF,1,100,3.3665
1709251417.503000,1346050.000,27869,1,SF,1,100,3.3276
1709251417.902986,1346450.000,27934,1,SF,1,100,3.2891
1709251418.169977,1346717.000,27987,1,SF,1,100,3.2510
1709251418.502965,1347050.000,28035,1,SF,1,100,3.2134
1709251418.902951,1347450.000,28100,1,SF,1,100,3.1762
1709251419.235940,1347783.000,28151,1,SF,1,100,3.1395
1709251419.502931,1348050.000,28203,1,SF,1,100,3.1032
1709251419.835919,1348383.000,28254,1,SF,1,100,3.0673
1709251420.235905,1348783.000,28319,1,SF,1,100,3.0318
1709251420.502896,1349050.000,28367,1,SF,1,100,2.9967
1709251420.835885,1349383.000,28405,1,SF,1,100,2.9621
1709251421.235871,1349783.000,28472,1,SF,1,100,2.9278
1709251421.502861,1350050.000,28524,1,SF,1,100,2.8939
1709251421.835850,1350383.000,28573,1,SF,1,100,2.8605
1709251422.235836,1350783.000,28638,1,SF,1,100,2.8274
1709251422.568825,1351116.000,28688,1,SF,1,100,2.7947
1709251422.835815,1351383.000,28739,1,SF,1,100,2.7623
1709251423.168804,1351716.000,28789,1,SF,1,100,2.7304
1709251423.568790,1352116.000,28854,1,SF,1,100,2.6988
1709251423.835781,1352383.000,28905,1,SF,1,100,2.6676
1709251424.168769,1352716.000,28954,1,SF,1,100,2.6367
1709251424.501758,1353049.000,29004,1,SF,1,100,2.6062
1709251424.901744,1353449.000,29071,1,SF,1,100,2.5761
1709251425.168735,1353716.000,29121,1,SF,1,100,4.6285
1709251425.501723,1354049.000,29172,1,SF,1,100,4.5750
1709251426.101702,1354649.000,29242,1,SF,1,100,4.5220
1709251426.168700,1354716.000,29259,1,SF,1,100,4.4697
1709251426.501688,1355049.000,29308,1,SF,1,100,4.4180
1709251426.901675,1355449.000,29373,1,SF,1,100,4.3669
1709251427.168665,1355716.000,29421,1,SF,1,100,4.3164
1709251427.501654,1356049.000,29470,1,SF,1,100,4.2665
1709251427.901640,1356449.000,29536,1,SF,1,100,4.2171
1709251428.234628,1356782.000,29585,1,SF,1,100,4.1683
1709251428.501619,1357049.000,29634,1,SF,1,100,4.1201
1709251428.834608,1357382.000,29682,1,SF,1,100,4.0725
1709251429.234594,1357782.000,29747,1,SF,1,100,4.0253
1709251429.501585,1358049.000,29798,1,SF,1,100,3.9788
1709251429.834573,1358382.000,29848,1,SF,1,100,3.9328
1709251430.167562,1358715.000,29897,1,SF,1,100,3.8873
1709251430.567548,1359115.000,29962,1,SF,1,100,3.8423
1709251430.834538,1359382.000,30012,1,SF,1,100,3.7978
1709251431.167527,1359715.000,30068,1,SF,1,100,3.7539
1709251431.501515,1360049.000,30117,1,SF,1,100,3.7105
1709251431.900502,1360448.000,30182,1,SF,1,100,3.6676
1709251432.234490,1360782.000,30232,1,SF,1,100,3.6251
1709251432.500481,1361048.000,30282,1,SF,1,100,3.5832
1709251432.834469,1361382.000,30331,1,SF,1,100,3.5417
1709251433.234456,1361782.000,30396,1,SF,1,100,3.5008
1709251433.500446,1362048.000,30446,1,SF,1,100,3.4603
1709251433.834435,1362382.000,30497,1,SF,1,100,3.4202
1709251434.167423,1362715.000,30545,1,SF,1,100,3.3807
1709251434.567409,1363115.000,30614,1,SF,1,100,3.3416
1709251434.834400,1363382.000,30667,1,SF,1,100,3.3029
1709251435.167389,1363715.000,30715,1,SF,1,100,3.2647
1709251435.567375,1364115.000,30780,1,SF,1,100,3.2269
1709251435.834366,1364382.000,30829,1,SF,1,100,3.1896
1709251436.300349,1364848.000,30882,1,SF,1,100,3.1527
1709251436.500342,1365048.000,30916,1,SF,1,100,3.1162
1709251436.900329,1365448.000,30981,1,SF,1,100,3.0802
1709251437.233317,1365781.000,31029,1,SF,1,100,3.0446
1709251437.500308,1366048.000,31080,1,SF,1,100,3.0093
1709251437.833296,1366381.000,31128,1,SF,1,100,2.9745
1709251438.233283,1366781.000,31193,1,SF,1,100,2.9401
1709251438.500273,1367048.000,31242,1,SF,1,100,2.9061
1709251438.833262,1367381.000,31292,1,SF,1,100,2.8725
1709251439.233248,1367781.000,31358,1,SF,1,100,2.8393
1709251439.500239,1368048.000,31408,1,SF,1,100,2.8064
1709251439.833227,1368381.000,31458,1,SF,1,100,2.7740
1709251440.166216,1368714.000,31507,1,SF,1,100,2.7419
1709251440.566202,1369114.000,31574,1,SF,1,100,2.7101
1709251440.833193,1369381.000,31624,1,SF,1,100,2.6788
1709251441.166181,1369714.000,31673,1,SF,1,100,2.6478
1709251441.566167,1370114.000,31745,1,SF,1,100,2.6172
1709251441.833158,1370381.000,31793,1,SF,1,100,2.5869
1709251442.166147,1370714.000,31844,1,SF,1,100,2.5570
1709251442.499135,1371047.000,31892,1,SF,1,100,2.5274
1709251442.899121,1371447.000,31957,1,SF,1,100,2.4982
1709251443.166112,1371714.000,32006,1,SF,1,100,2.4693
1709251443.499100,1372047.000,32056,1,SF,1,100,2.4407
1709251443.899086,1372447.000,32122,1,SF,1,100,2.4125
1709251444.233075,1372781.000,32172,1,SF,1,100,2.3846
1709251444.499066,1373047.000,32220,1,SF,1,100,2.3570
1709251444.833054,1373381.000,32271,1,SF,1,100,2.3297
1709251445.233040,1373781.000,32336,1,SF,1,100,2.3028
1709251445.499031,1374047.000,32386,1,SF,1,100,2.2761
1709251445.832020,1374380.000,32435,1,SF,1,100,2.2498
1709251446.166008,1374714.000,32483,1,SF,1,100,2.2238
1709251446.498996,1375047.000,32537,1,SF,1,100,2.1980
1709251446.831985,1375380.000,32588,1,SF,1,100,2.1726
1709251447.231971,1375780.000,32653,1,SF,1,100,2.1475
1709251447.498962,1376047.000,32705,1,SF,1,100,2.1226
1709251447.831950,1376380.000,32756,1,SF,1,100,4.1803
1709251448.231936,1376780.000,32821,1,SF,1,100,4.1320
1709251448.564925,1377113.000,32869,1,SF,1,100,4.0842
1709251448.831916,1377380.000,32920,1,SF,1,100,4.0369
1709251449.164904,1377713.000,32968,1,SF,1,100,3.9902
1709251449.565890,1378114.000,33037,1,SF,1,100,3.9441
1709251449.831881,1378380.000,33086,1,SF,1,100,3.8984
1709251450.164870,1378713.000,33135,1,SF,1,100,3.8533
1709251450.498858,1379047.000,33185,1,SF,1,100,3.8088
1709251450.898844,1379447.000,33250,1,SF,1,100,3.7647
1709251451.164835,1379713.000,33298,1,SF,1,100,3.7212
1709251451.498823,1380047.000,33347,1,SF,1,100,3.6781
1709251451.831812,1380380.000,33403,1,SF,1,100,3.6356
1709251452.164800,1380713.000,33453,1,SF,1,100,3.5935
1709251452.564787,1381113.000,33518,1,SF,1,100,3.5519
1709251452.831777,1381380.000,33569,1,SF,1,100,3.5108
1709251453.164766,1381713.000,33617,1,SF,1,100,3.4702
1709251453.497754,1382046.000,33666,1,SF,1,100,3.4301
1709251453.897741,1382446.000,33731,1,SF,1,100,3.3904
1709251454.164731,1382713.000,33781,1,SF,1,100,3.3512
1709251454.497720,1383046.000,33832,1,SF,1,100,3.3124
1709251454.897706,1383446.000,33899,1,SF,1,100,3.2741
1709251455.164697,1383713.000,33947,1,SF,1,100,3.2362
1709251455.497685,1384046.000,33997,1,SF,1,100,3.1988
1709251455.830674,1384379.000,34048,1,SF,1,100,3.1618
1709251456.230660,1384779.000,34113,1,SF,1,100,3.1252
1709251456.497651,1385046.000,34162,1,SF,1,100,3.0891
1709251456.897637,1385446.000,34217,1,SF,1,100,3.0533
1709251457.164628,1385713.000,34266,1,SF,1,100,3.0180
1709251457.497616,1386046.000,34314,1,SF,1,100,2.9831
1709251457.897602,1386446.000,34379,1,SF,1,100,2.9486
1709251458.164593,1386713.000,34430,1,SF,1,100,2.9145
1709251458.497581,1387046.000,34478,1,SF,1,100,2.8808
1709251458.830570,1387379.000,34527,1,SF,1,100,2.8474
1709251459.230556,1387779.000,34592,1,SF,1,100,2.8145
1709251459.497547,1388046.000,34642,1,SF,1,100,2.7819
1709251459.830535,1388379.000,34693,1,SF,1,100,2.7498
1709251460.230521,1388779.000,34758,1,SF,1,100,2.7179
1709251460.497512,1389046.000,34792,1,SF,1,100,2.6865
1709251460.897498,1389446.000,34857,1,SF,1,100,2.6554
1709251461.163489,1389712.000,34905,1,SF,1,100,2.6247
1709251461.497478,1390046.000,34956,1,SF,1,100,2.5943
1709251461.896464,1390445.000,35012,1,SF,1,100,2.5643
1709251462.163455,1390712.000,35062,1,SF,1,100,2.5347
1709251462.496443,1391045.000,35113,1,SF,1,100,2.5053
1709251462.896429,1391445.000,35178,1,SF,1,100,2.4764
1709251463.163420,1391712.000,35226,1,SF,1,100,2.4477
1709251463.496408,1392045.000,35278,1,SF,1,100,2.4194
1709251463.830397,1392379.000,35327,1,SF,1,100,2.3914
1709251464.230383,1392779.000,35392,1,SF,1,100,2.3638
1709251464.496374,1393045.000,35441,1,SF,1,100,2.3364
