LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1709251378.768340,1307314.000,21612,1,T1,1,100,34.720
1709251378.901335,1307447.000,21630,1,T1,1,100,34.666
1709251379.034331,1307580.000,21663,1,T1,1,100,34.607
1709251379.168326,1307714.000,21680,1,T1,1,100,34.546
1709251379.301322,1307847.000,21697,1,T1,1,100,34.485
1709251379.434317,1307980.000,21713,1,T1,1,100,34.635
1709251379.568312,1308114.000,21747,1,T1,1,100,34.629
1709251379.701308,1308247.000,21764,1,T1,1,100,34.591
1709251379.834303,1308380.000,21786,1,T1,1,100,34.610
1709251379.968298,1308514.000,21803,1,T1,1,100,34.583
1709251380.101294,1308647.000,21819,1,T1,1,100,34.678
1709251380.234289,1308780.000,21851,1,T1,1,100,34.754
1709251380.368285,1308914.000,21868,1,T1,1,100,34.681
1709251380.501280,1309047.000,21886,1,T1,1,100,34.685
1709251380.634275,1309180.000,21918,1,T1,1,100,34.722
1709251380.767271,1309313.000,21935,1,T1,1,100,34.667
1709251380.901266,1309447.000,21952,1,T1,1,100,34.749
1709251381.034262,1309580.000,21983,1,T1,1,100,34.785
1709251381.167257,1309713.000,22001,1,T1,1,100,34.730
1709251381.301252,1309847.000,22019,1,T1,1,100,34.777
1709251381.434248,1309980.000,22051,1,T1,1,100,34.726
1709251381.567243,1310113.000,22068,1,T1,1,100,34.704
1709251381.701239,1310247.000,22084,1,T1,1,100,34.766
1709251381.834234,1310380.000,22118,1,T1,1,100,34.721
1709251381.967229,1310513.000,22135,1,T1,1,100,34.773
1709251382.101225,1310647.000,22151,1,T1,1,100,34.654
1709251382.234220,1310780.000,22183,1,T1,1,100,34.673
1709251382.367216,1310913.000,22200,1,T1,1,100,34.681
1709251382.501211,1311047.000,22217,1,T1,1,100,34.685
1709251382.634206,1311180.000,22234,1,T1,1,100,34.793
1709251382.767202,1311313.000,22266,1,T1,1,100,34.804
1709251382.901197,1311447.000,22282,1,T1,1,100,34.738
1709251383.034192,1311580.000,22299,1,T1,1,100,34.780
1709251383.167188,1311713.000,22331,1,T1,1,100,34.834
1709251383.301183,1311847.000,22347,1,T1,1,100,34.680
1709251383.434179,1311980.000,22364,1,T1,1,100,34.755
1709251383.567174,1312113.000,22396,1,T1,1,100,34.823
1709251383.701169,1312247.000,22414,1,T1,1,100,34.640
1709251383.834165,1312380.000,22434,1,T1,1,100,34.809
1709251383.967160,1312513.000,22465,1,T1,1,100,34.846
1709251384.100156,1312646.000,22481,1,T1,1,100,34.756
1709251384.234151,1312780.000,22499,1,T1,1,100,34.824
1709251384.367146,1312913.000,22530,1,T1,1,100,34.817
1709251384.500142,1313046.000,22549,1,T1,1,100,34.779
1709251384.634137,1313180.000,22568,1,T1,1,100,34.727
1709251384.767133,1313313.000,22584,1,T1,1,100,34.740
1709251384.900128,1313446.000,22622,1,T1,1,100,34.746
1709251385.034123,1313580.000,22638,1,T1,1,100,34.713
1709251385.167119,1313713.000,22656,1,T1,1,100,34.769
1709251385.300114,1313846.000,22672,1,T1,1,100,34.687
1709251385.434109,1313980.000,22691,1,T1,1,100,34.758
1709251385.567105,1314113.000,22723,1,T1,1,100,34.754
1709251385.700100,1314246.000,22739,1,T1,1,100,34.752
1709251385.834095,1314380.000,22757,1,T1,1,100,34.786
1709251385.967091,1314513.000,22788,1,T1,1,100,34.801
1709251386.100086,1314646.000,22804,1,T1,1,100,34.737
1709251386.234082,1314780.000,22822,1,T1,1,100,34.780
1709251386.367077,1314913.000,22853,1,T1,1,100,34.798
1709251386.500072,1315046.000,22872,1,T1,1,100,34.806
1709251386.634068,1315180.000,22889,1,T1,1,100,34.810
1709251386.767063,1315313.000,22921,1,T1,1,100,34.776
1709251386.900059,1315446.000,22937,1,T1,1,100,34.797
1709251387.034054,1315580.000,22954,1,T1,1,100,34.664
1709251387.167049,1315713.000,22986,1,T1,1,100,34.642
1709251387.300045,1315846.000,23004,1,T1,1,100,34.739
1709251387.433040,1315979.000,23021,1,T1,1,100,34.781
1709251387.567036,1316113.000,23038,1,T1,1,100,34.834
1709251387.700031,1316246.000,23069,1,T1,1,100,34.786
1709251387.833026,1316379.000,23087,1,T1,1,100,34.695
1709251387.967022,1316513.000,23103,1,T1,1,100,34.726
1709251388.100017,1316646.000,23137,1,T1,1,100,34.775
1709251388.233012,1316779.000,23154,1,T1,1,100,34.796
1709251388.367008,1316913.000,23170,1,T1,1,100,34.806
1709251388.500003,1317046.000,23202,1,T1,1,100,34.739
1709251388.632999,1317179.000,23219,1,T1,1,100,34.745
1709251388.766994,1317313.000,23235,1,T1,1,100,34.854
1709251388.899989,1317446.000,23267,1,T1,1,100,34.866
1709251389.032985,1317579.000,23284,1,T1,1,100,34.800
1709251389.166980,1317713.000,23303,1,T1,1,100,34.736
1709251389.299976,1317846.000,23320,1,T1,1,100,34.744
1709251389.432971,1317979.000,23352,1,T1,1,100,34.747
1709251389.566966,1318113.000,23370,1,T1,1,100,34.784
1709251389.699962,1318246.000,23387,1,T1,1,100,34.800
1709251389.832957,1318379.000,23421,1,T1,1,100,34.736
1709251389.966453,1318512.500,23443,2,T1,1,100,34.780
1709251390.099948,1318646.000,23443,2,T1,1,100,34.798
1709251390.232943,1318779.000,23477,1,T1,1,100,34.842
1709251390.366939,1318913.000,23493,1,T1,1,100,34.825
1709251390.499934,1319046.000,23511,1,T1,1,100,34.889
1709251390.632930,1319179.000,23527,1,T1,1,100,34.775
1709251390.766925,1319313.000,23558,1,T1,1,100,34.796
1709251390.899920,1319446.000,23576,1,T1,1,100,34.805
1709251391.032916,1319579.000,23592,1,T1,1,100,34.809
1709251391.165911,1319712.000,23612,1,T1,1,100,34.776
1709251391.299906,1319846.000,23643,1,T1,1,100,34.832
1709251391.432902,1319979.000,23659,1,T1,1,100,34.856
1709251391.565897,1320112.000,23677,1,T1,1,100,34.796
1709251391.699893,1320246.000,23708,1,T1,1,100,34.770
1709251391.832888,1320379.000,23727,1,T1,1,100,34.794
1709251391.965883,1320512.000,23744,1,T1,1,100,34.805
1709251392.099879,1320646.000,23776,1,T1,1,100,34.667
1709251392.232874,1320779.000,23792,1,T1,1,100,34.785
1709251392.365870,1320912.000,23809,1,T1,1,100,34.694
1709251392.499865,1321046.000,23825,1,T1,1,100,34.797
1709251392.632860,1321179.000,23857,1,T1,1,100,34.806
1709251392.765856,1321312.000,23874,1,T1,1,100,34.774
1709251392.899851,1321446.000,23891,1,T1,1,100,34.867
1709251393.032846,1321579.000,23922,1,T1,1,100,34.871
1709251393.165842,1321712.000,23940,1,T1,1,100,34.803
1709251393.299837,1321846.000,23956,1,T1,1,100,34.808
1709251393.432833,1321979.000,23988,1,T1,1,100,34.846
1709251393.565828,1322112.000,24005,1,T1,1,100,34.827
1709251393.699823,1322246.000,24021,1,T1,1,100,34.748
1709251393.832819,1322379.000,24053,1,T1,1,100,34.714
1709251393.965814,1322512.000,24070,1,T1,1,100,34.734
1709251394.098809,1322645.000,24088,1,T1,1,100,34.850
1709251394.232805,1322779.000,24106,1,T1,1,100,34.864
1709251394.365800,1322912.000,24137,1,T1,1,100,34.657
1709251394.498796,1323045.000,24154,1,T1,1,100,34.852
1709251394.632791,1323179.000,24173,1,T1,1,100,34.794
1709251394.765786,1323312.000,24207,1,T1,1,100,34.734
1709251394.898782,1323445.000,24223,1,T1,1,100,34.849
1709251395.032777,1323579.000,24240,1,T1,1,100,34.864
1709251395.165773,1323712.000,24265,1,T1,1,100,34.799
1709251395.298768,1323845.000,24281,1,T1,1,100,34.700
1709251395.432763,1323979.000,24298,1,T1,1,100,34.764
1709251395.565759,1324112.000,24330,1,T1,1,100,34.756
1709251395.698754,1324245.000,24346,1,T1,1,100,34.753
1709251395.832750,1324379.000,24364,1,T1,1,100,34.858
1709251395.965745,1324512.000,24395,1,T1,1,100,34.903
1709251396.098740,1324645.000,24411,1,T1,1,100,34.816
1709251396.232736,1324779.000,24429,1,T1,1,100,34.850
1709251396.365731,1324912.000,24460,1,T1,1,100,34.829
1709251396.498727,1325045.000,24477,1,T1,1,100,34.819
1709251396.632722,1325179.000,24494,1,T1,1,100,34.816
1709251396.765717,1325312.000,24526,1,T1,1,100,34.778
1709251396.898713,1325445.000,24542,1,T1,1,100,34.691
1709251397.032708,1325579.000,24559,1,T1,1,100,34.760
1709251397.165704,1325712.000,24576,1,T1,1,100,34.790
1709251397.298699,1325845.000,24607,1,T1,1,100,34.732
1709251397.431694,1325978.000,24624,1,T1,1,100,34.813
1709251397.565690,1326112.000,24641,1,T1,1,100,34.813
1709251397.698685,1326245.000,24672,1,T1,1,100,34.954
1709251397.831681,1326378.000,24690,1,T1,1,100,34.874
1709251397.965676,1326512.000,24706,1,T1,1,100,34.768
1709251398.098671,1326645.000,24738,1,T1,1,100,34.864
1709251398.231667,1326778.000,24755,1,T1,1,100,34.835
1709251398.365662,1326912.000,24771,1,T1,1,100,34.929
1709251398.498657,1327045.000,24803,1,T1,1,100,34.792
1709251398.631653,1327178.000,24820,1,T1,1,100,34.733
1709251398.765648,1327312.000,24836,1,T1,1,100,34.778
1709251398.898643,1327445.000,24868,1,T1,1,100,34.727
1709251399.031639,1327578.000,24885,1,T1,1,100,34.740
1709251399.165634,1327712.000,24902,1,T1,1,100,34.852
1709251399.298630,1327845.000,24919,1,T1,1,100,34.759
1709251399.431625,1327978.000,24951,1,T1,1,100,34.825
1709251399.565620,1328112.000,24969,1,T1,1,100,34.889
1709251399.698616,1328245.000,24986,1,T1,1,100,34.916
1709251399.831611,1328378.000,25020,1,T1,1,100,34.893
1709251399.965607,1328512.000,25036,1,T1,1,100,34.847
1709251400.098602,1328645.000,25053,1,T1,1,100,34.828
1709251400.231597,1328778.000,25092,2,T1,1,100,34.784
1709251400.364593,1328911.000,25092,2,T1,1,100,34.871
1709251400.498588,1329045.000,25124,1,T1,1,100,34.838
1709251400.631583,1329178.000,25140,1,T1,1,100,34.823
1709251400.765579,1329312.000,25157,1,T1,1,100,34.817
1709251400.898574,1329445.000,25189,1,T1,1,100,34.850
1709251401.031570,1329578.000,25205,1,T1,1,100,34.829
1709251401.164565,1329711.000,25223,1,T1,1,100,34.855
1709251401.298560,1329845.000,25254,1,T1,1,100,34.831
1709251401.431556,1329978.000,25270,1,T1,1,100,34.785
1709251401.564551,1330111.000,25290,1,T1,1,100,34.836
1709251401.698547,1330245.000,25321,1,T1,1,100,34.823
1709251401.831542,1330378.000,25338,1,T1,1,100,34.746
1709251401.964537,1330511.000,25355,1,T1,1,100,34.713
1709251402.098533,1330645.000,25371,1,T1,1,100,34.911
1709251402.231528,1330778.000,25405,1,T1,1,100,34.997
1709251402.364524,1330911.000,25422,1,T1,1,100,34.892
1709251402.498519,1331045.000,25439,1,T1,1,100,34.847
1709251402.631514,1331178.000,25470,1,T1,1,100,34.757
1709251402.764510,1331311.000,25487,1,T1,1,100,34.895
1709251402.898505,1331445.000,25504,1,T1,1,100,34.990
1709251403.031501,1331578.000,25535,1,T1,1,100,34.854
1709251403.164496,1331711.000,25553,1,T1,1,100,34.830
1709251403.298491,1331845.000,25569,1,T1,1,100,34.927
1709251403.431487,1331978.000,25601,1,T1,1,100,34.791
1709251403.564482,1332111.000,25618,1,T1,1,100,34.910
1709251403.698478,1332245.000,25634,1,T1,1,100,34.996
1709251403.831473,1332378.000,25651,1,T1,1,100,34.892
1709251403.964468,1332511.000,25683,1,T1,1,100,34.918
1709251404.098464,1332645.000,25699,1,T1,1,100,34.858
1709251404.231459,1332778.000,25717,1,T1,1,100,34.974
1709251404.364455,1332911.000,25750,1,T1,1,100,35.024
1709251404.497450,1333044.000,25767,1,T1,1,100,35.010
1709251404.631445,1333178.000,25786,1,T1,1,100,34.969
1709251404.764441,1333311.000,25818,1,T1,1,100,34.809
1709251404.897436,1333444.000,25834,1,T1,1,100,34.918
1709251405.031431,1333578.000,25851,1,T1,1,100,34.858
1709251405.164427,1333711.000,25883,1,T1,1,100,34.868
1709251405.297422,1333844.000,25899,1,T1,1,100,34.907
1709251405.431417,1333978.000,25923,1,T1,1,100,34.960
1709251405.564413,1334111.000,25955,1,T1,1,100,34.805
1709251405.697408,1334244.000,25971,1,T1,1,100,34.809
1709251405.831404,1334378.000,25989,1,T1,1,100,34.918
1709251405.964399,1334511.000,26020,1,T1,1,100,34.858
1709251406.097394,1334644.000,26036,1,T1,1,100,34.903
1709251406.231390,1334778.000,26054,1,T1,1,100,34.958
1709251406.364385,1334911.000,26070,1,T1,1,100,34.805
1709251406.497380,1335044.000,26102,1,T1,1,100,34.915
1709251406.631376,1335178.000,26119,1,T1,1,100,34.892
1709251406.764371,1335311.000,26135,1,T1,1,100,34.883
1709251406.897367,1335444.000,26167,1,T1,1,100,34.914
1709251407.031362,1335578.000,26184,1,T1,1,100,34.892
1709251407.164357,1335711.000,26201,1,T1,1,100,34.882
1709251407.297353,1335844.000,26232,1,T1,1,100,34.843
1709251407.430348,1335977.000,26249,1,T1,1,100,34.932
1709251407.564344,1336111.000,26268,1,T1,1,100,34.829
1709251407.697339,1336244.000,26299,1,T1,1,100,34.784
1709251407.830334,1336377.000,26317,1,T1,1,100,34.907
1709251407.964330,1336511.000,26333,1,T1,1,100,34.782
1709251408.097325,1336644.000,26365,1,T1,1,100,34.835
1709251408.230321,1336777.000,26382,1,T1,1,100,34.893
1709251408.364316,1336911.000,26398,1,T1,1,100,34.954
1709251408.497311,1337044.000,26416,1,T1,1,100,34.803
1709251408.630307,1337177.000,26447,1,T1,1,100,34.808
1709251408.764302,1337311.000,26463,1,T1,1,100,34.917
1709251408.897298,1337444.000,26481,1,T1,1,100,34.822
1709251409.030293,1337577.000,26512,1,T1,1,100,34.852
1709251409.164288,1337711.000,26529,1,T1,1,100,34.901
1709251409.297284,1337844.000,26546,1,T1,1,100,34.815
1709251409.430279,1337977.000,26578,1,T1,1,100,34.920
1709251409.564275,1338111.000,26596,1,T1,1,100,34.930
1709251409.697270,1338244.000,26613,1,T1,1,100,34.863
1709251409.830265,1338377.000,26645,1,T1,1,100,34.941
1709251409.964261,1338511.000,26661,1,T1,1,100,35.010
1709251410.097256,1338644.000,26678,1,T1,1,100,34.898
1709251410.230252,1338777.000,26695,1,T1,1,100,34.991
1709251410.363247,1338910.000,26726,1,T1,1,100,34.890
1709251410.497242,1339044.000,26747,1,T1,1,100,34.846
1709251410.630238,1339177.000,26764,1,T1,1,100,34.933
1709251410.763233,1339310.000,26780,1,T1,1,100,34.900
1709251410.897228,1339444.000,26798,1,T1,1,100,34.886
1709251411.030224,1339577.000,26829,1,T1,1,100,34.951
1709251411.163219,1339710.000,26846,1,T1,1,100,34.872
1709251411.297215,1339844.000,26863,1,T1,1,100,34.732
1709251411.430210,1339977.000,26895,1,T1,1,100,34.813
1709251411.563205,1340110.000,26911,1,T1,1,100,34.955
1709251411.697201,1340244.000,26928,1,T1,1,100,34.839
1709251411.830196,1340377.000,26960,1,T1,1,100,34.788
1709251411.963192,1340510.000,26976,1,T1,1,100,34.873
1709251412.097187,1340644.000,26993,1,T1,1,100,34.874
1709251412.230182,1340777.000,27010,1,T1,1,100,34.946
1709251412.363178,1340910.000,27041,1,T1,1,100,34.976
1709251412.497173,1341044.000,27059,1,T1,1,100,34.883
1709251412.630168,1341177.000,27075,1,T1,1,100,34.914
1709251412.763164,1341310.000,27107,1,T1,1,100,34.892
1709251412.897159,1341444.000,27124,1,T1,1,100,34.882
1709251413.030154,1341577.000,27140,1,T1,1,100,34.843
