LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1709251378.783340,1307329.000,21613,1,TH,1,100,34.246
1709251378.916335,1307462.000,21631,1,TH,1,100,34.246
1709251379.049330,1307595.000,21664,1,TH,1,100,34.164
1709251379.183326,1307729.000,21681,1,TH,1,100,34.164
1709251379.316321,1307862.000,21698,1,TH,1,100,34.209
1709251379.449317,1307995.000,21730,1,TH,1,100,34.209
1709251379.583312,1308129.000,21748,1,TH,1,100,34.275
1709251379.716307,1308262.000,21765,1,TH,1,100,34.282
1709251379.849303,1308395.000,21787,1,TH,1,100,34.176
1709251379.983298,1308529.000,21804,1,TH,1,100,34.176
1709251380.116293,1308662.000,21836,1,TH,1,100,34.296
1709251380.249289,1308795.000,21852,1,TH,1,100,34.296
1709251380.382284,1308928.000,21869,1,TH,1,100,34.183
1709251380.516279,1309062.000,21903,1,TH,1,100,34.183
1709251380.649275,1309195.000,21919,1,TH,1,100,34.248
1709251380.782270,1309328.000,21936,1,TH,1,100,34.248
1709251380.916266,1309462.000,21953,1,TH,1,100,34.180
1709251381.049261,1309595.000,21984,1,TH,1,100,34.180
1709251381.183256,1309729.000,22002,1,TH,1,100,34.185
1709251381.316252,1309862.000,22020,1,TH,1,100,34.185
1709251381.449247,1309995.000,22052,1,TH,1,100,34.188
1709251381.582243,1310128.000,22069,1,TH,1,100,34.188
1709251381.716238,1310262.000,22085,1,TH,1,100,34.178
1709251381.849233,1310395.000,22119,1,TH,1,100,34.178
1709251381.982229,1310528.000,22136,1,TH,1,100,34.168
1709251382.116224,1310662.000,22152,1,TH,1,100,34.168
1709251382.249220,1310795.000,22184,1,TH,1,100,34.173
1709251382.382215,1310928.000,22201,1,TH,1,100,34.173
1709251382.516210,1311062.000,22218,1,TH,1,100,34.294
1709251382.649206,1311195.000,22249,1,TH,1,100,34.294
1709251382.782201,1311328.000,22267,1,TH,1,100,34.262
1709251382.915197,1311461.000,22283,1,TH,1,100,34.262
1709251383.049192,1311595.000,22300,1,TH,1,100,34.200
1709251383.182187,1311728.000,22332,1,TH,1,100,34.200
1709251383.315183,1311861.000,22348,1,TH,1,100,34.171
