LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1709251379.785305,1308331.000,21775,1,TL,1,100,2024-02-29_19-02-55-195471
1709251379.791305,1308337.000,21777,1,TL,1,100,2024-02-29_19-02-55-195583
1709251384.911128,1313457.000,22611,1,TL,1,100,2024-02-29_19-02-59-946975
1709251384.918127,1313464.000,22613,1,TL,1,100,2024-02-29_19-02-59-999097
1709251390.015951,1318562.000,23432,1,TL,1,100,2024-02-29_19-03-04-969283
1709251390.018951,1318565.000,23434,1,TL,1,100,2024-02-29_19-03-05-147952
1709251395.126774,1323673.000,24251,1,TL,1,100,2024-02-29_19-03-10-292332
1709251395.129774,1323676.000,24253,1,TL,1,100,2024-02-29_19-03-10-292428
1709251400.257596,1328804.000,25081,1,TL,1,100,2024-02-29_19-03-15-307154
1709251400.260596,1328807.000,25083,1,TL,1,100,2024-02-29_19-03-15-307333
1709251405.386419,1333933.000,25910,1,TL,1,100,2024-02-29_19-03-20-476072
1709251405.388419,1333935.000,25912,1,TL,1,100,2024-02-29_19-03-20-476148
1709251405.418418,1333965.000,25915,1,TL,1,100,2024-02-29_19-03-25-404418
1709251410.494242,1339041.000,26738,1,TL,1,100,2024-02-29_19-03-25-464164
1709251415.618065,1344165.000,27566,1,TL,1,100,2024-02-29_19-03-31-490909
1709251415.620065,1344167.000,27568,1,TL,1,100,2024-02-29_19-03-31-490985
1709251415.665063,1344212.000,27571,1,TL,1,100,2024-02-29_19-03-35-646215
1709251420.725888,1349273.000,28401,1,TL,1,100,2024-02-29_19-03-35-694392
1709251425.984706,1354532.000,29236,1,TL,1,100,2024-02-29_19-03-41-334239
1709251425.986706,1354534.000,29238,1,TL,1,100,2024-02-29_19-03-41-334322
1709251431.090530,1359638.000,30044,1,TL,1,100,2024-02-29_19-03-46-337900
1709251431.093529,1359641.000,30046,1,TL,1,100,2024-02-29_19-03-46-337994
1709251431.121529,1359669.000,30049,1,TL,1,100,2024-02-29_19-03-51-109974
1709251436.209352,1364757.000,30878,1,TL,1,100,2024-02-29_19-03-51-162326
1709251441.323176,1369871.000,31704,1,TL,1,100,2024-02-29_19-03-56-380643
1709251441.329175,1369877.000,31706,1,TL,1,100,2024-02-29_19-03-57-392922
1709251441.373174,1369921.000,31709,1,TL,1,100,2024-02-29_19-04-01-358462
1709251446.430999,1374979.000,32534,1,TL,1,100,2024-02-29_19-04-01-429014
1709251451.549822,1380098.000,33364,1,TL,1,100,2024-02-29_19-04-06-615267
1709251451.556822,1380105.000,33366,1,TL,1,100,2024-02-29_19-04-06-615343
1709251456.680644,1385229.000,34195,1,TL,1,100,2024-02-29_19-04-12-347039
1709251456.687644,1385236.000,34197,1,TL,1,100,2024-02-29_19-04-12-347157
1709251461.788467,1390337.000,35006,1,TL,1,100,2024-02-29_19-04-16-995200
1709251461.794467,1390343.000,35008,1,TL,1,100,2024-02-29_19-04-16-995277
1709251466.920290,1395469.000,35834,1,TL,1,100,2024-02-29_19-04-22-149980
1709251466.927290,1395476.000,35836,1,TL,1,100,2024-02-29_19-04-22-150074
1709251472.048112,1400597.000,36661,1,TL,1,100,2024-02-29_19-04-27-469710
1709251472.051112,1400600.000,36663,1,TL,1,100,2024-02-29_19-04-27-469785
1709251477.190935,1405740.000,37490,1,TL,1,100,2024-02-29_19-04-32-160534
1709251477.193934,1405743.000,37492,1,TL,1,100,2024-02-29_19-04-32-332311
1709251482.319757,1410869.000,38314,1,TL,1,100,2024-02-29_19-04-37-337788
1709251482.325757,1410875.000,38316,1,TL,1,100,2024-02-29_19-04-37-337995
1709251482.382755,1410932.000,38319,1,TL,1,100,2024-02-29_19-04-42-367816
1709251487.449580,1415999.000,39149,1,TL,1,100,2024-02-29_19-04-42-466600
1709251492.570402,1421120.000,39977,1,TL,1,100,2024-02-29_19-04-48-462158
1709251492.576402,1421126.000,39979,1,TL,1,100,2024-02-29_19-04-48-462251
1709251497.681226,1426231.000,40786,1,TL,1,100,2024-02-29_19-04-53-056553
1709251497.684226,1426234.000,40788,1,TL,1,100,2024-02-29_19-04-53-056650
1709251502.805048,1431355.000,41613,1,TL,1,100,2024-02-29_19-04-57-684471
1709251502.808048,1431358.000,41615,1,TL,1,100,2024-02-29_19-04-58-129434
1709251507.927871,1436478.000,42437,1,TL,1,100,2024-02-29_19-05-02-978261
1709251507.934871,1436485.000,42439,1,TL,1,100,2024-02-29_19-05-02-988693
1709251513.061693,1441612.000,43270,1,TL,1,100,2024-02-29_19-05-08-369229
1709251513.067693,1441618.000,43272,1,TL,1,100,2024-02-29_19-05-08-369319
1709251518.188516,1446739.000,44094,1,TL,1,100,2024-02-29_19-05-13-134185
1709251518.190516,1446741.000,44096,1,TL,1,100,2024-02-29_19-05-13-209070
1709251523.310339,1451861.000,44923,1,TL,1,100,2024-02-29_19-05-18-315186
1709251523.313339,1451864.000,44925,1,TL,1,100,2024-02-29_19-05-18-320297
1709251523.360337,1451911.000,44928,1,TL,1,100,2024-02-29_19-05-23-349277
1709251528.418162,1456969.000,45734,1,TL,1,100,2024-02-29_19-05-23-451709
1709251533.524985,1462076.000,46553,1,TL,1,100,2024-02-29_19-05-29-219982
1709251538.657808,1467209.000,47384,1,TL,1,100,2024-02-29_19-05-34-267405
1709251538.663808,1467215.000,47386,1,TL,1,100,2024-02-29_19-05-34-267472
1709251543.776631,1472328.000,48209,1,TL,1,100,2024-02-29_19-05-39-295972
1709251543.783630,1472335.000,48211,1,TL,1,100,2024-02-29_19-05-39-296044
1709251548.909453,1477461.000,49039,1,TL,1,100,2024-02-29_19-05-44-342558
1709251548.916453,1477468.000,49041,1,TL,1,100,2024-02-29_19-05-44-342816
1709251554.019276,1482571.000,49852,1,TL,1,100,2024-02-29_19-05-49-495513
1709251554.022276,1482574.000,49854,1,TL,1,100,2024-02-29_19-05-49-495626
1709251559.146099,1487698.000,50675,1,TL,1,100,2024-02-29_19-05-54-348640
1709251559.148099,1487700.000,50677,1,TL,1,100,2024-02-29_19-05-54-348718
1709251559.171098,1487723.000,50680,1,TL,1,100,2024-02-29_19-05-59-162098
