RD,TS_received,TS_sent,AK,RoundTrip,
1308339,1313457,2024-02-29_19-02-59-946975,1313458,5118,
1313469,1318562,2024-02-29_19-03-04-969283,1318563,5093,
1318567,1323673,2024-02-29_19-03-10-292332,1323675,5106,
1323680,1328804,2024-02-29_19-03-15-307154,1328805,5124,
1328809,1333933,2024-02-29_19-03-20-476072,1333934,5124,
1333937,1333965,2024-02-29_19-03-25-404418,1333967,28,
1339045,1344165,2024-02-29_19-03-31-490909,1344166,5120,
1344172,1344212,2024-02-29_19-03-35-646215,1344213,40,
1349275,1354532,2024-02-29_19-03-41-334239,1354533,5257,
1354536,1359638,2024-02-29_19-03-46-337900,1359639,5102,
1359642,1359669,2024-02-29_19-03-51-109974,1359671,27,
1364760,1369871,2024-02-29_19-03-56-380643,1369873,5111,
1369879,1369921,2024-02-29_19-04-01-358462,1369922,42,
1374984,1380098,2024-02-29_19-04-06-615267,1380104,5114,
1380109,1385229,2024-02-29_19-04-12-347039,1385230,5120,
1385238,1390337,2024-02-29_19-04-16-995200,1390341,5099,
1390346,1395469,2024-02-29_19-04-22-149980,1395475,5123,
1395479,1400597,2024-02-29_19-04-27-469710,1400598,5118,
1400602,1405740,2024-02-29_19-04-32-160534,1405742,5138,
1405745,1410869,2024-02-29_19-04-37-337788,1410873,5124,
1410877,1410932,2024-02-29_19-04-42-367816,1410934,55,
1416001,1421120,2024-02-29_19-04-48-462158,1421125,5119,
1421128,1426231,2024-02-29_19-04-53-056553,1426233,5103,
1426237,1431355,2024-02-29_19-04-57-684471,1431356,5118,
1431359,1436478,2024-02-29_19-05-02-978261,1436483,5119,
1436488,1441612,2024-02-29_19-05-08-369229,1441616,5124,
1441620,1446739,2024-02-29_19-05-13-134185,1446740,5119,
1446743,1451861,2024-02-29_19-05-18-315186,1451862,5118,
1451869,1451911,2024-02-29_19-05-23-349277,1451912,42,
1456970,1462076,2024-02-29_19-05-29-219982,1462080,5106,
1462081,1467209,2024-02-29_19-05-34-267405,1467214,5128,
1467218,1472328,2024-02-29_19-05-39-295972,1472333,5110,
1472338,1477461,2024-02-29_19-05-44-342558,1477466,5123,
1477470,1482571,2024-02-29_19-05-49-495513,1482572,5101,
1482576,1487698,2024-02-29_19-05-54-348640,1487699,5122,
1487705,1487723,2024-02-29_19-05-59-162098,1487724,18,
