LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1709251149.324152,1077880.000,50234,2,AK,1,100,49455
1709251149.324152,1077880.000,50234,2,AK,1,100,RD
1709251149.328152,1077884.000,50236,2,AK,1,100,49455
1709251149.332152,1077888.000,50236,2,AK,1,100,RD
1709251149.348652,1077904.500,50239,2,AK,1,100,50237
1709251149.365152,1077921.000,50239,2,AK,1,100,RD
1709251151.910634,1080466.500,51073,2,AK,1,100,50237
1709251154.456117,1083012.000,51073,2,AK,1,100,RD
1709251157.019599,1085575.500,51901,2,AK,1,100,51074
1709251159.583081,1088139.000,51901,2,AK,1,100,RD
1709251159.586081,1088142.000,51903,2,AK,1,100,51074
1709251159.589081,1088145.000,51903,2,AK,1,100,RD
1709251159.596581,1088152.500,51906,2,AK,1,100,51904
1709251159.604081,1088160.000,51906,2,AK,1,100,RD
1709251162.157563,1090713.500,52738,2,AK,1,100,51904
1709251164.711046,1093267.000,52738,2,AK,1,100,RD
1709251167.265028,1095821.000,53547,2,AK,1,100,52739
1709251169.819010,1098375.000,53547,2,AK,1,100,RD
1709251169.820010,1098376.000,53549,2,AK,1,100,52739
1709251169.821010,1098377.000,53549,2,AK,1,100,RD
1709251172.387492,1100943.500,54380,2,AK,1,100,53550
1709251174.953974,1103510.000,54380,2,AK,1,100,RD
1709251174.954975,1103511.000,54382,2,AK,1,100,53550
1709251174.955975,1103512.000,54382,2,AK,1,100,RD
1709251174.985474,1103541.500,54385,2,AK,1,100,54383
1709251175.014974,1103571.000,54385,2,AK,1,100,RD
1709251177.543457,1106099.500,55213,2,AK,1,100,54383
1709251180.071939,1108628.000,55213,2,AK,1,100,RD
1709251182.637421,1111193.500,56042,2,AK,1,100,55214
1709251185.202904,1113759.000,56042,2,AK,1,100,RD
1709251185.203903,1113760.000,56044,2,AK,1,100,55214
1709251185.204904,1113761.000,56044,2,AK,1,100,RD
1709251187.768386,1116324.500,56867,2,AK,1,100,56045
1709251190.331868,1118888.000,56867,2,AK,1,100,RD
1709251190.333368,1118889.500,56869,2,AK,1,100,56045
1709251190.334868,1118891.000,56869,2,AK,1,100,RD
1709251190.356868,1118913.000,56872,2,AK,1,100,56870
1709251190.378868,1118935.000,56872,2,AK,1,100,RD
1709251192.915850,1121472.000,57696,2,AK,1,100,56870
1709251195.452832,1124009.000,57696,2,AK,1,100,RD
1709251195.461833,1124018.000,57699,2,AK,1,100,57697
1709251195.470832,1124027.000,57699,2,AK,1,100,RD
1709251198.027815,1126584.000,58526,2,AK,1,100,57697
1709251200.584797,1129141.000,58526,2,AK,1,100,RD
1709251203.138279,1131694.500,59333,2,AK,1,100,58527
1709251205.691761,1134248.000,59333,2,AK,1,100,RD
1709251205.693262,1134249.500,59335,2,AK,1,100,58527
1709251205.694762,1134251.000,59335,2,AK,1,100,RD
1709251208.259244,1136815.500,60163,2,AK,1,100,59336
1709251210.823726,1139380.000,60163,2,AK,1,100,RD
1709251210.825726,1139382.000,60165,2,AK,1,100,59336
1709251210.827726,1139384.000,60165,2,AK,1,100,RD
1709251213.394708,1141951.000,60987,2,AK,1,100,60166
1709251215.961690,1144518.000,60987,2,AK,1,100,RD
1709251215.962690,1144519.000,60989,2,AK,1,100,60166
1709251215.963690,1144520.000,60989,2,AK,1,100,RD
1709251215.973690,1144530.000,60992,2,AK,1,100,60990
1709251215.983690,1144540.000,60992,2,AK,1,100,RD
1709251218.539172,1147095.500,61816,2,AK,1,100,60990
1709251221.094655,1149651.000,61816,2,AK,1,100,RD
1709251223.657637,1152214.000,62638,2,AK,1,100,61817
1709251226.220619,1154777.000,62638,2,AK,1,100,RD
1709251226.222119,1154778.500,62640,2,AK,1,100,61817
1709251226.223619,1154780.000,62640,2,AK,1,100,RD
1709251226.242619,1154799.000,62643,2,AK,1,100,62641
1709251226.261619,1154818.000,62643,2,AK,1,100,RD
1709251228.810601,1157367.000,63467,2,AK,1,100,62641
1709251231.359584,1159916.000,63467,2,AK,1,100,RD
1709251231.397583,1159954.000,63470,2,AK,1,100,63468
1709251231.435583,1159992.000,63470,2,AK,1,100,RD
1709251233.950566,1162507.000,64278,2,AK,1,100,63468
1709251236.465548,1165022.000,64278,2,AK,1,100,RD
1709251236.487048,1165043.500,64281,2,AK,1,100,64279
1709251236.508548,1165065.000,64281,2,AK,1,100,RD
1709251239.054030,1167610.500,65102,2,AK,1,100,64279
1709251241.599513,1170156.000,65102,2,AK,1,100,RD
1709251244.163495,1172720.000,396,2,AK,1,100,65103
1709251246.727477,1175284.000,396,2,AK,1,100,RD
1709251246.728977,1175285.500,398,2,AK,1,100,65103
1709251246.730477,1175287.000,398,2,AK,1,100,RD
1709251249.296959,1177853.500,1219,2,AK,1,100,399
1709251251.863441,1180420.000,1219,2,AK,1,100,RD
1709251251.864441,1180421.000,1221,2,AK,1,100,399
1709251251.865442,1180422.000,1221,2,AK,1,100,RD
1709251254.417924,1182974.500,2030,2,AK,1,100,1222
1709251256.970406,1185527.000,2030,2,AK,1,100,RD
1709251256.971906,1185528.500,2032,2,AK,1,100,1222
1709251256.973406,1185530.000,2032,2,AK,1,100,RD
1709251259.532888,1188089.500,2859,2,AK,1,100,2033
1709251262.092371,1190649.000,2859,2,AK,1,100,RD
1709251262.094871,1190651.500,2861,2,AK,1,100,2033
1709251262.097371,1190654.000,2861,2,AK,1,100,RD
1709251262.145370,1190702.000,2864,2,AK,1,100,2862
1709251262.193370,1190750.000,2864,2,AK,1,100,RD
1709251264.713852,1193270.500,3689,2,AK,1,100,2862
1709251267.234335,1195791.000,3689,2,AK,1,100,RD
1709251269.789317,1198346.000,4502,2,AK,1,100,3690
1709251272.344300,1200901.000,4502,2,AK,1,100,RD
1709251272.346800,1200903.500,4504,2,AK,1,100,3690
1709251272.349299,1200906.000,4504,2,AK,1,100,RD
1709251272.397299,1200954.000,4507,2,AK,1,100,4505
1709251272.445299,1201002.000,4507,2,AK,1,100,RD
1709251274.951282,1203508.000,5313,2,AK,1,100,4505
1709251277.457264,1206014.000,5313,2,AK,1,100,RD
1709251277.464264,1206021.000,5316,2,AK,1,100,5314
1709251277.471264,1206028.000,5316,2,AK,1,100,RD
1709251280.025746,1208582.500,6141,2,AK,1,100,5314
1709251282.580229,1211137.000,6141,2,AK,1,100,RD
1709251285.134211,1213691.000,6904,2,AK,1,100,6142
1709251287.688193,1216245.000,6904,2,AK,1,100,RD
1709251287.689693,1216246.500,6906,2,AK,1,100,6142
1709251287.691193,1216248.000,6906,2,AK,1,100,RD
1709251290.255175,1218812.000,7731,2,AK,1,100,6907
1709251292.819158,1221376.000,7731,2,AK,1,100,RD
1709251292.820657,1221377.500,7733,2,AK,1,100,6907
1709251292.822158,1221379.000,7733,2,AK,1,100,RD
1709251295.386140,1223943.000,8557,2,AK,1,100,7734
1709251297.950122,1226507.000,8557,2,AK,1,100,RD
1709251297.951622,1226508.500,8559,2,AK,1,100,7734
1709251297.953122,1226510.000,8559,2,AK,1,100,RD
1709251297.974122,1226531.000,8562,2,AK,1,100,8560
1709251297.995122,1226552.000,8562,2,AK,1,100,RD
1709251300.525104,1229082.000,9385,2,AK,1,100,8560
1709251303.055087,1231612.000,9385,2,AK,1,100,RD
1709251305.609069,1234166.000,10193,2,AK,1,100,9386
1709251308.163051,1236720.000,10193,2,AK,1,100,RD
1709251308.164551,1236721.500,10195,2,AK,1,100,9386
1709251308.166051,1236723.000,10195,2,AK,1,100,RD
1709251310.732533,1239289.500,11019,2,AK,1,100,10196
1709251313.299016,1241856.000,11019,2,AK,1,100,RD
1709251313.300016,1241857.000,11021,2,AK,1,100,10196
1709251313.301016,1241858.000,11021,2,AK,1,100,RD
1709251315.859998,1244417.000,11848,2,AK,1,100,11022
1709251318.418980,1246976.000,11848,2,AK,1,100,RD
1709251318.419980,1246977.000,11850,2,AK,1,100,11022
1709251318.420980,1246978.000,11850,2,AK,1,100,RD
1709251318.427480,1246984.500,11853,2,AK,1,100,11851
1709251318.433980,1246991.000,11853,2,AK,1,100,RD
1709251320.979962,1249537.000,12676,2,AK,1,100,11851
1709251323.525945,1252083.000,12676,2,AK,1,100,RD
