LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1709251149.487151,1078043.000,50275,1,B%,1,100,23
1709251154.486116,1083042.000,51094,1,B%,1,100,23
1709251159.486082,1088042.000,51899,1,B%,1,100,23
1709251164.486047,1093042.000,52718,1,B%,1,100,23
1709251169.485013,1098041.000,53512,1,B%,1,100,23
1709251174.483978,1103040.000,54309,1,B%,1,100,23
1709251179.483943,1108040.000,55128,1,B%,1,100,22
1709251184.482908,1113039.000,55944,1,B%,1,100,23
1709251189.482874,1118039.000,56734,1,B%,1,100,23
1709251194.481839,1123038.000,57547,1,B%,1,100,23
1709251199.481805,1128038.000,58360,1,B%,1,100,23
1709251204.480770,1133037.000,59149,1,B%,1,100,23
1709251209.480735,1138037.000,59963,1,B%,1,100,23
1709251214.479701,1143036.000,60755,1,B%,1,100,23
1709251219.479666,1148036.000,61569,1,B%,1,100,23
1709251224.478631,1153035.000,62375,1,B%,1,100,23
1709251229.478597,1158035.000,63168,1,B%,1,100,23
1709251234.477562,1163034.000,63980,1,B%,1,100,23
1709251239.477527,1168034.000,64774,1,B%,1,100,23
1709251244.476493,1173033.000,46,1,B%,1,100,23
1709251249.476458,1178033.000,843,1,B%,1,100,23
1709251254.475423,1183032.000,1653,1,B%,1,100,24
1709251259.475389,1188032.000,2450,1,B%,1,100,23
1709251264.474354,1193031.000,3262,1,B%,1,100,23
1709251269.474319,1198031.000,4053,1,B%,1,100,24
1709251274.473285,1203030.000,4853,1,B%,1,100,23
1709251279.473250,1208030.000,5662,1,B%,1,100,23
1709251284.472215,1213029.000,6455,1,B%,1,100,23
1709251289.472181,1218029.000,7206,1,B%,1,100,23
1709251294.471146,1223028.000,8017,1,B%,1,100,23
1709251299.471112,1228028.000,8825,1,B%,1,100,23
1709251304.470077,1233027.000,9617,1,B%,1,100,23
1709251309.470042,1238027.000,10412,1,B%,1,100,23
1709251314.469007,1243026.000,11224,1,B%,1,100,23
1709251319.468973,1248026.000,12036,1,B%,1,100,23
1709251324.467938,1253025.000,12844,1,B%,1,100,23
