LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1709251148.829156,1077385,50165,1,BI,1,100,3800
1709251149.629150,1078185,50276,1,BI,1,100,800
1709251151.269139,1079825,50538,1,BI,1,100,1640
1709251151.549137,1080105,50591,1,BI,1,100,280
1709251155.122112,1083678,51177,1,BI,1,100,3560
1709251161.534068,1090090,52219,1,BI,1,100,6400
1709251162.987057,1091543,52450,1,BI,1,100,1440
1709251163.548054,1092104,52535,1,BI,1,100,560
1709251164.627046,1093183,52719,1,BI,1,100,1080
1709251165.387041,1093943,52840,1,BI,1,100,760
1709251171.133001,1099689,53751,1,BI,1,100,5720
1709251172.452992,1101009,53964,1,BI,1,100,1320
1709251174.572977,1103129,54311,1,BI,1,100,2120
1709251175.625970,1104182,54484,1,BI,1,100,1040
1709251176.265965,1104822,54584,1,BI,1,100,640
1709251181.198931,1109755,55380,1,BI,1,100,4920
1709251182.878920,1111435,55661,1,BI,1,100,1680
1709251183.718914,1112275,55794,1,BI,1,100,840
1709251191.184862,1119741,57004,1,BI,1,100,7440
1709251194.357840,1122914,57513,1,BI,1,100,3160
1709251195.557832,1124114,57701,1,BI,1,100,1200
1709251196.996822,1125553,57949,1,BI,1,100,1440
1709251206.142758,1134699,59403,1,BI,1,100,9120
1709251210.515728,1139072,60111,1,BI,1,100,4360
1709251217.381680,1145938,61206,1,BI,1,100,6840
1709251231.260584,1159817,63448,1,BI,1,100,13840
1709251233.139571,1161696,63749,1,BI,1,100,1880
1709251234.953559,1163510,64048,1,BI,1,100,1800
1709251243.525499,1172082,65398,1,BI,1,100,8560
1709251244.738491,1173295,64,1,BI,1,100,1200
1709251245.458486,1174015,179,1,BI,1,100,720
1709251246.378479,1174935,329,1,BI,1,100,920
1709251253.164433,1181721,1421,1,BI,1,100,6760
1709251257.657401,1186214,2134,1,BI,1,100,4480
1709251258.457396,1187014,2266,1,BI,1,100,800
1709251259.137391,1187694,2381,1,BI,1,100,680
1709251270.522312,1199079,4201,1,BI,1,100,11360
1709251271.416306,1199973,4350,1,BI,1,100,880
1709251271.976302,1200533,4435,1,BI,1,100,560
1709251282.001233,1210558,6039,1,BI,1,100,10000
1709251287.214196,1215771,6836,1,BI,1,100,5200
1709251294.480146,1223037,7997,1,BI,1,100,7240
1709251307.399056,1235956,10077,1,BI,1,100,12880
1709251311.332029,1239889,10691,1,BI,1,100,3920
1709251314.331008,1242888,11188,1,BI,1,100,3000
1709251315.585000,1244142,11388,1,BI,1,100,1240
1709251319.423973,1247981,12017,1,BI,1,100,3840
1709251327.569917,1256127,13318,1,BI,1,100,8120
