LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1709251149.487151,1078043.000,50274,1,BV,1,100,3.55
1709251154.486116,1083042.000,51093,1,BV,1,100,3.56
1709251159.486082,1088042.000,51898,1,BV,1,100,3.56
1709251164.485047,1093041.000,52717,1,BV,1,100,3.55
1709251169.485013,1098041.000,53511,1,BV,1,100,3.55
1709251174.483978,1103040.000,54308,1,BV,1,100,3.55
1709251179.483943,1108040.000,55127,1,BV,1,100,3.55
1709251184.482908,1113039.000,55943,1,BV,1,100,3.55
1709251189.482874,1118039.000,56733,1,BV,1,100,3.56
1709251194.481839,1123038.000,57546,1,BV,1,100,3.55
1709251199.481805,1128038.000,58359,1,BV,1,100,3.56
1709251204.480770,1133037.000,59148,1,BV,1,100,3.55
1709251209.480735,1138037.000,59962,1,BV,1,100,3.56
1709251214.479701,1143036.000,60754,1,BV,1,100,3.55
1709251219.479666,1148036.000,61568,1,BV,1,100,3.55
1709251224.478631,1153035.000,62374,1,BV,1,100,3.55
1709251229.478597,1158035.000,63167,1,BV,1,100,3.55
1709251234.477562,1163034.000,63979,1,BV,1,100,3.55
1709251239.477527,1168034.000,64773,1,BV,1,100,3.55
1709251244.476493,1173033.000,45,1,BV,1,100,3.55
1709251249.476458,1178033.000,842,1,BV,1,100,3.56
1709251254.475423,1183032.000,1652,1,BV,1,100,3.56
1709251259.475389,1188032.000,2449,1,BV,1,100,3.55
1709251264.474354,1193031.000,3261,1,BV,1,100,3.55
1709251269.474319,1198031.000,4052,1,BV,1,100,3.56
1709251274.473285,1203030.000,4852,1,BV,1,100,3.55
1709251279.473250,1208030.000,5661,1,BV,1,100,3.56
1709251284.472215,1213029.000,6454,1,BV,1,100,3.55
1709251289.472181,1218029.000,7205,1,BV,1,100,3.55
1709251294.471146,1223028.000,8016,1,BV,1,100,3.55
1709251299.471112,1228028.000,8824,1,BV,1,100,3.55
1709251304.470077,1233027.000,9616,1,BV,1,100,3.55
1709251309.470042,1238027.000,10411,1,BV,1,100,3.55
1709251314.469007,1243026.000,11223,1,BV,1,100,3.55
1709251319.468973,1248026.000,12035,1,BV,1,100,3.55
1709251324.467938,1253025.000,12843,1,BV,1,100,3.55
