LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1709251145.854176,1074410.000,49677,1,EA,1,100,0.453858
1709251145.921176,1074477.000,49693,1,EA,1,100,0.454566
1709251145.987675,1074543.500,49708,2,EA,1,100,0.455366
1709251146.054175,1074610.000,49708,2,EA,1,100,0.456109
1709251146.121174,1074677.000,49724,1,EA,1,100,0.457033
1709251146.187674,1074743.500,49742,2,EA,1,100,0.457662
1709251146.254174,1074810.000,49742,2,EA,1,100,0.458894
1709251146.321173,1074877.000,49758,1,EA,1,100,0.464321
1709251146.387673,1074943.500,49773,2,EA,1,100,0.471240
1709251146.454172,1075010.000,49773,2,EA,1,100,0.475053
1709251146.521172,1075077.000,49790,1,EA,1,100,0.479419
1709251146.587671,1075143.500,49807,2,EA,1,100,0.484303
1709251146.654171,1075210.000,49807,2,EA,1,100,0.485785
1709251146.721170,1075277.000,49823,1,EA,1,100,0.486766
1709251146.787670,1075343.500,49842,2,EA,1,100,0.487853
1709251146.854169,1075410.000,49842,2,EA,1,100,0.488980
1709251146.921169,1075477.000,49857,1,EA,1,100,0.490043
1709251146.987669,1075543.500,49874,2,EA,1,100,0.491041
1709251147.054168,1075610.000,49874,2,EA,1,100,0.491767
1709251147.121167,1075677.000,49891,2,EA,1,100,0.492425
1709251147.188167,1075744.000,49891,2,EA,1,100,0.492946
1709251147.254167,1075810.000,49908,1,EA,1,100,0.493364
1709251147.321166,1075877.000,49922,2,EA,1,100,0.493747
1709251147.388166,1075944.000,49922,2,EA,1,100,0.494061
1709251147.454165,1076010.000,49939,1,EA,1,100,0.493991
1709251147.521165,1076077.000,49956,2,EA,1,100,0.493887
1709251147.588164,1076144.000,49956,2,EA,1,100,0.493712
1709251147.654164,1076210.000,49973,1,EA,1,100,0.493712
1709251147.721163,1076277.000,49987,2,EA,1,100,0.493538
1709251147.788163,1076344.000,49987,2,EA,1,100,0.493329
1709251147.854162,1076410.000,50005,1,EA,1,100,0.493329
1709251147.921162,1076477.000,50021,2,EA,1,100,0.493329
1709251147.988162,1076544.000,50021,2,EA,1,100,0.493224
1709251148.054161,1076610.000,50038,1,EA,1,100,0.493120
1709251148.121161,1076677.000,50053,2,EA,1,100,0.493155
1709251148.188160,1076744.000,50053,2,EA,1,100,0.493468
1709251148.254160,1076810.000,50070,1,EA,1,100,0.493503
1709251148.321159,1076877.000,50086,2,EA,1,100,0.493538
1709251148.388159,1076944.000,50086,2,EA,1,100,0.493608
1709251148.454158,1077010.000,50103,1,EA,1,100,0.493817
1709251148.520658,1077076.500,50118,2,EA,1,100,0.493921
1709251148.587157,1077143.000,50118,2,EA,1,100,0.494271
1709251148.654157,1077210.000,50135,1,EA,1,100,0.494866
1709251148.720656,1077276.500,50151,2,EA,1,100,0.495111
1709251148.787156,1077343.000,50151,2,EA,1,100,0.495392
1709251148.854156,1077410.000,50171,1,EA,1,100,0.495497
1709251148.921155,1077477.000,50186,2,EA,1,100,0.495568
1709251148.988155,1077544.000,50186,2,EA,1,100,0.495919
1709251149.054154,1077610.000,50202,1,EA,1,100,0.495990
1709251149.121154,1077677.000,50219,2,EA,1,100,0.495743
1709251149.188153,1077744.000,50219,2,EA,1,100,0.495779
1709251149.254486,1077810.333,50243,3,EA,1,100,0.495146
1709251149.320819,1077876.667,50243,3,EA,1,100,0.494936
1709251149.387152,1077943.000,50243,3,EA,1,100,0.494796
1709251149.454151,1078010.000,50261,2,EA,1,100,0.494516
1709251149.521151,1078077.000,50261,2,EA,1,100,0.494201
1709251149.587150,1078143.000,50281,1,EA,1,100,0.493747
1709251149.654150,1078210.000,50298,2,EA,1,100,0.493852
1709251149.721149,1078277.000,50298,2,EA,1,100,0.493538
1709251149.788149,1078344.000,50314,1,EA,1,100,0.493224
1709251149.854649,1078410.500,50330,2,EA,1,100,0.493016
1709251149.921148,1078477.000,50330,2,EA,1,100,0.492946
1709251149.987148,1078543.000,50346,1,EA,1,100,0.492876
1709251150.054147,1078610.000,50363,2,EA,1,100,0.492668
1709251150.121147,1078677.000,50363,2,EA,1,100,0.492529
1709251150.187146,1078743.000,50380,1,EA,1,100,0.492286
1709251150.254146,1078810.000,50396,2,EA,1,100,0.492460
1709251150.321145,1078877.000,50396,2,EA,1,100,0.492390
1709251150.387645,1078943.500,50411,2,EA,1,100,0.492321
1709251150.454144,1079010.000,50411,2,EA,1,100,0.492286
1709251150.521144,1079077.000,50429,1,EA,1,100,0.492321
1709251150.587643,1079143.500,50445,2,EA,1,100,0.492321
1709251150.654143,1079210.000,50445,2,EA,1,100,0.492252
1709251150.721143,1079277.000,50462,1,EA,1,100,0.492148
1709251150.787642,1079343.500,50477,2,EA,1,100,0.492217
1709251150.854142,1079410.000,50477,2,EA,1,100,0.492252
1709251150.921141,1079477.000,50494,1,EA,1,100,0.492390
1709251150.987641,1079543.500,50510,2,EA,1,100,0.492494
1709251151.054140,1079610.000,50510,2,EA,1,100,0.492703
1709251151.121140,1079677.000,50527,1,EA,1,100,0.492911
1709251151.187639,1079743.500,50544,2,EA,1,100,0.493294
1709251151.254139,1079810.000,50544,2,EA,1,100,0.494061
1709251151.321138,1079877.000,50561,1,EA,1,100,0.495076
1709251151.387638,1079943.500,50577,2,EA,1,100,0.495955
1709251151.454138,1080010.000,50577,2,EA,1,100,0.496871
1709251151.521137,1080077.000,50597,1,EA,1,100,0.497862
1709251151.587636,1080143.500,50611,2,EA,1,100,0.498929
1709251151.654136,1080210.000,50611,2,EA,1,100,0.499749
1709251151.721136,1080277.000,50628,1,EA,1,100,0.500429
1709251151.787635,1080343.500,50645,2,EA,1,100,0.501147
1709251151.854135,1080410.000,50645,2,EA,1,100,0.501939
1709251151.921134,1080477.000,50662,1,EA,1,100,0.502733
1709251151.987634,1080543.500,50676,2,EA,1,100,0.503639
1709251152.054133,1080610.000,50676,2,EA,1,100,0.504876
1709251152.121133,1080677.000,50693,1,EA,1,100,0.506596
1709251152.187632,1080743.500,50710,2,EA,1,100,0.507700
1709251152.254132,1080810.000,50710,2,EA,1,100,0.508476
1709251152.321131,1080877.000,50727,1,EA,1,100,0.509217
1709251152.387631,1080943.500,50742,2,EA,1,100,0.510258
1709251152.454131,1081010.000,50742,2,EA,1,100,0.511378
1709251152.520630,1081076.500,50759,2,EA,1,100,0.512316
1709251152.587130,1081143.000,50759,2,EA,1,100,0.512955
1709251152.654129,1081210.000,50775,1,EA,1,100,0.513747
1709251152.720629,1081276.500,50794,2,EA,1,100,0.514465
1709251152.787128,1081343.000,50794,2,EA,1,100,0.514769
1709251152.854128,1081410.000,50811,1,EA,1,100,0.515110
1709251152.920627,1081476.500,50826,2,EA,1,100,0.515566
1709251152.987127,1081543.000,50826,2,EA,1,100,0.516595
1709251153.054127,1081610.000,50842,1,EA,1,100,0.517935
1709251153.120626,1081676.500,50860,2,EA,1,100,0.519398
1709251153.187125,1081743.000,50860,2,EA,1,100,0.520830
1709251153.254125,1081810.000,50876,1,EA,1,100,0.520985
1709251153.320625,1081876.500,50893,2,EA,1,100,0.520946
1709251153.387124,1081943.000,50893,2,EA,1,100,0.520752
1709251153.454123,1082010.000,50909,1,EA,1,100,0.520442
1709251153.520623,1082076.500,50927,2,EA,1,100,0.520326
1709251153.587123,1082143.000,50927,2,EA,1,100,0.520132
1709251153.654122,1082210.000,50943,1,EA,1,100,0.519822
1709251153.720622,1082276.500,50958,2,EA,1,100,0.519900
1709251153.787121,1082343.000,50958,2,EA,1,100,0.522387
1709251153.854121,1082410.000,50975,1,EA,1,100,0.524111
1709251153.920620,1082476.500,50994,2,EA,1,100,0.524072
1709251153.987120,1082543.000,50994,2,EA,1,100,0.524033
1709251154.054119,1082610.000,51010,1,EA,1,100,0.523914
1709251154.120619,1082676.500,51027,2,EA,1,100,0.523640
1709251154.187119,1082743.000,51027,2,EA,1,100,0.522856
1709251154.254118,1082810.000,51042,1,EA,1,100,0.522543
1709251154.320618,1082876.500,51059,2,EA,1,100,0.522036
1709251154.387117,1082943.000,51059,2,EA,1,100,0.521335
1709251154.453617,1083009.500,51080,2,EA,1,100,0.520442
1709251154.520116,1083076.000,51080,2,EA,1,100,0.520132
1709251154.587116,1083143.000,51098,2,EA,1,100,0.519707
1709251154.654115,1083210.000,51098,2,EA,1,100,0.519359
1709251154.720115,1083276.000,51115,1,EA,1,100,0.519012
1709251154.787114,1083343.000,51130,2,EA,1,100,0.518896
1709251154.854114,1083410.000,51130,2,EA,1,100,0.518935
1709251154.920114,1083476.000,51147,1,EA,1,100,0.518704
1709251154.987113,1083543.000,51163,2,EA,1,100,0.518781
1709251155.054112,1083610.000,51163,2,EA,1,100,0.518781
1709251155.120112,1083676.000,51182,1,EA,1,100,0.518974
1709251155.187112,1083743.000,51197,2,EA,1,100,0.519127
1709251155.254111,1083810.000,51197,2,EA,1,100,0.519089
1709251155.320111,1083876.000,51214,1,EA,1,100,0.519243
1709251155.387110,1083943.000,51230,2,EA,1,100,0.519436
1709251155.454110,1084010.000,51230,2,EA,1,100,0.519552
1709251155.520109,1084076.000,51248,1,EA,1,100,0.519629
1709251155.586609,1084142.500,51262,2,EA,1,100,0.520093
1709251155.653108,1084209.000,51262,2,EA,1,100,0.520403
1709251155.720108,1084276.000,51279,1,EA,1,100,0.520985
1709251155.786608,1084342.500,51296,2,EA,1,100,0.521335
1709251155.853107,1084409.000,51296,2,EA,1,100,0.521529
1709251155.920106,1084476.000,51313,1,EA,1,100,0.521724
1709251155.986606,1084542.500,51328,2,EA,1,100,0.521724
1709251156.053106,1084609.000,51328,2,EA,1,100,0.521880
1709251156.120105,1084676.000,51345,2,EA,1,100,0.522075
1709251156.187105,1084743.000,51345,2,EA,1,100,0.522192
1709251156.253104,1084809.000,51361,1,EA,1,100,0.522465
1709251156.320104,1084876.000,51380,2,EA,1,100,0.522700
1709251156.387103,1084943.000,51380,2,EA,1,100,0.522543
1709251156.453103,1085009.000,51396,1,EA,1,100,0.522504
