LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1709251145.854176,1074410.000,49678,1,EL,1,100,-16551.400391
1709251145.921176,1074477.000,49694,1,EL,1,100,-16556.199219
1709251145.987675,1074543.500,49709,2,EL,1,100,-16561.599609
1709251146.054175,1074610.000,49709,2,EL,1,100,-16566.599609
1709251146.121174,1074677.000,49725,1,EL,1,100,-16572.800781
1709251146.187674,1074743.500,49743,2,EL,1,100,-16577.000000
1709251146.254174,1074810.000,49743,2,EL,1,100,-16585.199219
1709251146.321173,1074877.000,49759,1,EL,1,100,-16620.800781
1709251146.387673,1074943.500,49774,2,EL,1,100,-16665.000000
1709251146.454172,1075010.000,49774,2,EL,1,100,-16688.800781
1709251146.521172,1075077.000,49791,1,EL,1,100,-16715.599609
1709251146.587671,1075143.500,49808,2,EL,1,100,-16745.000000
1709251146.654171,1075210.000,49808,2,EL,1,100,-16753.800781
1709251146.721170,1075277.000,49824,1,EL,1,100,-16759.599609
1709251146.787670,1075343.500,49843,2,EL,1,100,-16766.000000
1709251146.854169,1075410.000,49843,2,EL,1,100,-16772.599609
1709251146.921169,1075477.000,49858,1,EL,1,100,-16778.800781
1709251146.987669,1075543.500,49875,2,EL,1,100,-16784.599609
1709251147.054168,1075610.000,49875,2,EL,1,100,-16788.800781
1709251147.121167,1075677.000,49892,2,EL,1,100,-16792.599609
1709251147.188167,1075744.000,49892,2,EL,1,100,-16795.599609
1709251147.254167,1075810.000,49909,1,EL,1,100,-16798.000000
1709251147.321166,1075877.000,49923,2,EL,1,100,-16800.199219
1709251147.388166,1075944.000,49923,2,EL,1,100,-16802.000000
1709251147.454165,1076010.000,49940,1,EL,1,100,-16801.599609
1709251147.521165,1076077.000,49957,2,EL,1,100,-16801.000000
1709251147.588164,1076144.000,49957,2,EL,1,100,-16800.000000
1709251147.654164,1076210.000,49974,1,EL,1,100,-16800.000000
1709251147.721163,1076277.000,49988,2,EL,1,100,-16799.000000
1709251147.788163,1076344.000,49988,2,EL,1,100,-16797.800781
1709251147.854162,1076410.000,50006,1,EL,1,100,-16797.800781
1709251147.921162,1076477.000,50022,2,EL,1,100,-16797.800781
1709251147.988162,1076544.000,50022,2,EL,1,100,-16797.199219
1709251148.054161,1076610.000,50039,1,EL,1,100,-16796.599609
1709251148.121161,1076677.000,50054,2,EL,1,100,-16796.800781
1709251148.188160,1076744.000,50054,2,EL,1,100,-16798.599609
1709251148.254160,1076810.000,50071,1,EL,1,100,-16798.800781
1709251148.321159,1076877.000,50087,2,EL,1,100,-16799.000000
1709251148.388159,1076944.000,50087,2,EL,1,100,-16799.400391
1709251148.454158,1077010.000,50104,1,EL,1,100,-16800.599609
1709251148.520658,1077076.500,50119,2,EL,1,100,-16801.199219
1709251148.587157,1077143.000,50119,2,EL,1,100,-16803.199219
1709251148.654157,1077210.000,50136,1,EL,1,100,-16806.599609
1709251148.720656,1077276.500,50152,2,EL,1,100,-16808.000000
1709251148.787156,1077343.000,50152,2,EL,1,100,-16809.599609
1709251148.854156,1077410.000,50172,1,EL,1,100,-16810.199219
1709251148.921155,1077477.000,50187,2,EL,1,100,-16810.599609
1709251148.988155,1077544.000,50187,2,EL,1,100,-16812.599609
1709251149.054154,1077610.000,50203,1,EL,1,100,-16813.000000
1709251149.121154,1077677.000,50220,2,EL,1,100,-16811.599609
1709251149.188153,1077744.000,50220,2,EL,1,100,-16811.800781
1709251149.254486,1077810.333,50244,3,EL,1,100,-16808.199219
1709251149.320819,1077876.667,50244,3,EL,1,100,-16807.000000
1709251149.387152,1077943.000,50244,3,EL,1,100,-16806.199219
1709251149.454151,1078010.000,50262,2,EL,1,100,-16804.599609
1709251149.521151,1078077.000,50262,2,EL,1,100,-16802.800781
1709251149.587150,1078143.000,50282,1,EL,1,100,-16800.199219
1709251149.654150,1078210.000,50299,2,EL,1,100,-16800.800781
1709251149.721149,1078277.000,50299,2,EL,1,100,-16799.000000
1709251149.788149,1078344.000,50315,1,EL,1,100,-16797.199219
1709251149.854649,1078410.500,50331,2,EL,1,100,-16796.000000
1709251149.921148,1078477.000,50331,2,EL,1,100,-16795.599609
1709251149.987148,1078543.000,50347,1,EL,1,100,-16795.199219
1709251150.054147,1078610.000,50364,2,EL,1,100,-16794.000000
1709251150.121147,1078677.000,50364,2,EL,1,100,-16793.199219
1709251150.187146,1078743.000,50381,1,EL,1,100,-16791.800781
1709251150.254146,1078810.000,50397,2,EL,1,100,-16792.800781
